REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,10M-7V,5,46,17,8,10,9,1,2,10,3,3,13,7,14,37,29,5,0,108,21,-1,-1,2,57,16,12,7,1,4,9,108,0.01910699815817569,0.5301423920785333,0.1475361268160181,0.11336965185244169,0.06191867143859898,0.012765274681035551,0.03587010714728106,0.0792907778279155,3.0,-11.0,1.0,-4.0,3.0,2.0,5.0,1.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,10V-11V,2,48,14,9,3,4,2,0,9,2,5,18,3,28,27,8,2,0,91,21,-1,-1,2,48,14,10,6,1,3,7,91,0.01910699815817569,0.5301423920785333,0.1475361268160181,0.11336965185244169,0.06191867143859898,0.012765274681035551,0.03587010714728106,0.0792907778279155,0.0,0.0,0.0,-1.0,-3.0,1.0,1.0,2.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,11M-8V,1,39,21,19,9,1,0,1,6,1,3,15,4,22,23,22,6,2,97,21,-1,-1,2,51,14,11,6,1,4,8,97,0.01910699815817569,0.5301423920785333,0.1475361268160181,0.11336965185244169,0.06191867143859898,0.012765274681035551,0.03587010714728106,0.0792907778279155,-1.0,-12.0,7.0,8.0,3.0,0.0,-3.0,-2.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,12M-9V,2,68,20,20,2,7,1,0,10,1,4,15,25,26,32,21,5,1,130,21,-1,-1,2,69,19,15,8,2,5,10,129,0.01910699815817569,0.5301423920785333,0.1475361268160181,0.11336965185244169,0.06191867143859898,0.012765274681035551,0.03587010714728106,0.0792907778279155,0.0,-1.0,1.0,5.0,-6.0,-1.0,2.0,0.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,12V-15V,3,62,16,11,3,2,2,1,15,3,4,8,17,20,39,21,6,1,115,21,-1,-1,2,61,17,13,7,2,4,9,116,0.01910699815817569,0.5301423920785333,0.1475361268160181,0.11336965185244169,0.06191867143859898,0.012765274681035551,0.03587010714728106,0.0792907778279155,1.0,1.0,-1.0,-2.0,-4.0,1.0,-2.0,6.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,13V,3,33,12,5,9,3,0,0,9,0,2,14,10,11,22,10,2,3,74,21,-1,-1,1,39,11,8,5,1,3,6,74,0.01910699815817569,0.5301423920785333,0.1475361268160181,0.11336965185244169,0.06191867143859898,0.012765274681035551,0.03587010714728106,0.0792907778279155,2.0,-6.0,1.0,-3.0,4.0,-1.0,0.0,3.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,14V,1,27,11,10,5,1,0,2,5,2,1,10,3,9,15,22,1,1,62,21,-1,-1,1,33,9,7,4,1,2,5,62,0.01910699815817569,0.5301423920785333,0.1475361268160181,0.11336965185244169,0.06191867143859898,0.012765274681035551,0.03587010714728106,0.0792907778279155,0.0,-6.0,2.0,3.0,1.0,1.0,-1.0,0.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,16V,0,37,13,13,3,0,0,0,2,0,0,6,23,14,16,7,2,0,68,21,-1,-1,1,36,10,8,4,1,3,5,68,0.01910699815817569,0.5301423920785333,0.1475361268160181,0.11336965185244169,0.06191867143859898,0.012765274681035551,0.03587010714728106,0.0792907778279155,-1.0,1.0,3.0,5.0,-1.0,-1.0,-3.0,-3.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,1M-13M,1,25,10,9,5,1,0,2,4,2,2,8,11,5,9,15,7,0,57,21,-1,-1,1,30,8,6,4,1,2,5,57,0.01910699815817569,0.5301423920785333,0.1475361268160181,0.11336965185244169,0.06191867143859898,0.012765274681035551,0.03587010714728106,0.0792907778279155,0.0,-5.0,2.0,3.0,1.0,1.0,-1.0,-1.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,1V,0,13,3,2,3,1,0,0,3,0,2,6,0,1,5,6,4,1,25,21,-1,-1,0,13,4,3,2,0,1,2,25,0.01910699815817569,0.5301423920785333,0.1475361268160181,0.11336965185244169,0.06191867143859898,0.012765274681035551,0.03587010714728106,0.0792907778279155,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0
