REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,10M,3,51,33,20,9,4,2,0,10,2,1,25,32,19,26,14,11,3,132,30,-1,-1,2,56,25,20,9,1,7,12,131,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,1.0,-5.0,8.0,0.0,0.0,1.0,-3.0,-2.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,11M,1,58,25,27,13,11,1,0,16,1,1,8,51,34,29,16,12,1,152,30,-1,-1,2,64,29,23,10,2,8,14,152,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-1.0,-6.0,-4.0,4.0,3.0,-1.0,3.0,2.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,12M,4,51,26,16,9,17,1,5,13,6,4,12,52,25,19,23,8,0,142,30,-1,-1,2,60,27,21,10,2,7,13,143,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,2.0,-9.0,-1.0,-5.0,-1.0,4.0,10.0,0.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,13M,1,50,23,13,9,6,0,1,9,1,2,15,29,24,20,15,6,1,112,30,-1,-1,2,47,21,17,8,1,6,10,112,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-1.0,3.0,2.0,-4.0,1.0,0.0,0.0,-1.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,17,1,44,22,18,5,5,2,0,3,2,10,10,23,19,20,13,5,0,100,30,-1,-1,1,43,19,15,7,1,5,9,100,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,0.0,1.0,3.0,3.0,-2.0,1.0,0.0,-6.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,1M,0,40,23,14,12,4,1,0,14,1,7,13,8,3,23,33,16,5,108,30,-1,-1,1,46,21,16,7,1,6,10,108,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-1.0,-6.0,2.0,-2.0,5.0,0.0,-2.0,4.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,2M,2,55,24,18,9,6,0,0,8,0,2,2,9,27,23,45,12,2,122,30,-1,-1,2,52,23,18,9,1,6,11,122,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,0.0,3.0,1.0,0.0,0.0,-1.0,0.0,-3.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,3M,2,53,12,18,9,10,0,0,17,0,1,9,4,26,24,40,15,2,121,30,-1,-1,2,51,23,18,8,2,6,11,121,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,0.0,2.0,-11.0,0.0,1.0,-2.0,4.0,6.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,4M,4,58,29,23,15,6,0,0,6,0,1,9,33,4,45,31,15,4,141,30,-1,-1,2,60,27,21,10,2,7,12,142,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,2.0,-2.0,2.0,2.0,5.0,-2.0,-1.0,-6.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,5M,0,73,23,25,13,4,0,0,8,0,2,10,55,6,34,26,10,3,146,30,-1,-1,2,62,28,22,10,2,7,13,146,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-2.0,11.0,-5.0,3.0,3.0,-2.0,-3.0,-5.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,6M,1,64,29,20,8,8,0,1,12,1,0,6,37,28,39,21,10,2,143,30,-1,-1,2,61,27,21,10,2,7,13,143,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-1.0,3.0,2.0,-1.0,-2.0,-1.0,1.0,-1.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,7M,0,46,24,18,10,6,0,4,14,4,2,4,19,35,21,19,20,2,122,30,-1,-1,2,52,23,18,9,1,6,11,122,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-2.0,-6.0,1.0,0.0,1.0,3.0,0.0,3.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,8M,1,70,25,23,10,9,0,0,10,0,1,30,17,41,26,23,7,3,148,30,-1,-1,2,63,28,22,10,2,8,13,148,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-1.0,7.0,-3.0,1.0,0.0,-2.0,1.0,-3.0
DE ANTOFAGASTA,MEJILLONES,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENTE,9M,3,68,21,20,16,8,0,2,8,2,2,48,19,29,25,14,8,1,146,30,-1,-1,2,62,28,22,10,2,7,13,146,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,1.0,6.0,-7.0,-2.0,6.0,0.0,1.0,-5.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,10V,0,46,33,18,7,4,2,0,13,2,4,25,8,36,16,26,6,2,123,30,-1,-1,2,52,24,19,8,1,6,11,123,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-2.0,-6.0,9.0,-1.0,-1.0,1.0,-2.0,2.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,11V,1,60,23,21,8,5,2,1,12,3,3,31,14,41,23,10,9,2,133,30,-1,-1,2,56,25,20,9,2,7,12,133,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-1.0,4.0,-2.0,1.0,-1.0,1.0,-2.0,0.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,12V,2,39,28,22,6,2,0,0,11,0,9,24,18,24,17,15,3,1,110,30,-1,-1,1,47,21,16,8,1,6,10,111,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,1.0,-8.0,7.0,6.0,-2.0,-1.0,-4.0,1.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,13V,4,69,25,20,12,8,1,1,9,2,4,35,30,33,18,22,5,2,149,30,-1,-1,2,63,29,22,10,2,8,13,149,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,2.0,6.0,-4.0,-2.0,2.0,0.0,0.0,-4.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,14V,1,60,28,27,7,3,0,1,11,1,6,16,38,24,27,19,9,0,138,30,-1,-1,2,58,26,21,10,2,7,12,139,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-1.0,2.0,2.0,6.0,-3.0,-1.0,-4.0,-1.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,15V,3,58,24,16,7,10,0,0,13,0,4,24,36,24,17,19,6,1,131,30,-1,-1,2,55,25,20,9,1,7,12,131,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,1.0,3.0,-1.0,-4.0,-2.0,-1.0,3.0,1.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,16V,1,44,20,20,5,2,0,1,10,1,4,23,24,16,18,16,1,1,103,30,-1,-1,1,44,20,16,7,1,5,9,103,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,0.0,0.0,0.0,4.0,-2.0,0.0,-3.0,1.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,1V,3,47,20,18,4,8,0,0,12,0,2,12,11,48,10,13,10,6,112,30,-1,-1,2,47,21,17,8,1,6,10,112,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,1.0,0.0,-1.0,1.0,-4.0,-1.0,2.0,2.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,2V,2,55,17,19,13,6,0,0,21,0,2,10,31,28,11,26,20,5,133,30,-1,-1,2,56,25,20,9,2,7,12,133,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,0.0,-1.0,-8.0,-1.0,4.0,-2.0,-1.0,9.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,3V,0,52,29,24,18,9,0,2,14,2,2,9,63,3,23,35,11,2,148,30,-1,-1,2,63,28,22,10,2,8,13,148,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-2.0,-11.0,1.0,2.0,8.0,0.0,1.0,1.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,4V,2,69,29,15,5,7,1,1,12,2,3,12,57,4,18,34,12,1,141,30,-1,-1,2,60,27,21,10,2,7,12,141,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,0.0,9.0,2.0,-6.0,-5.0,0.0,0.0,0.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,5V,2,60,25,16,5,11,0,0,14,0,2,42,25,3,29,25,5,1,133,30,-1,-1,2,56,25,20,9,2,7,12,132,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,0.0,4.0,0.0,-4.0,-4.0,-2.0,4.0,2.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,6V,1,59,31,19,2,6,1,2,7,3,0,70,7,3,21,22,6,2,128,30,-1,-1,2,54,24,19,9,2,7,11,131,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,-1.0,5.0,7.0,0.0,-7.0,1.0,-1.0,-4.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,7V,3,58,22,17,10,9,0,0,20,0,6,23,21,37,34,13,4,1,139,30,-1,-1,2,59,26,21,10,2,7,12,139,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,1.0,-1.0,-4.0,-4.0,0.0,-2.0,2.0,8.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,8V,2,46,30,23,7,3,0,0,11,0,6,34,19,21,28,14,0,0,122,30,-1,-1,2,52,23,18,9,1,6,11,122,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,0.0,-6.0,7.0,5.0,-2.0,-1.0,-3.0,0.0
DE ANTOFAGASTA,MEJILLONES,ESCUELA JULIA HERRERA VARAS,9V,2,53,24,21,7,3,1,8,12,9,4,19,9,47,22,21,8,1,131,30,-1,-1,2,55,25,20,9,1,7,12,131,0.013302922492767481,0.4236344280926511,0.191143282813202,0.15070131461273176,0.06903835783073478,0.011523929709449881,0.0511573346072419,0.08949842984122106,0.0,-2.0,-1.0,1.0,-2.0,8.0,-4.0,0.0
