REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,40+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40+,P_FRANCO ALDO PARISI_40+,P_GABRIEL BORIC_40+,P_JOSE ANTONIO KAST_40+,P_MARCO ENRIQUEZ-OMINAMI_40+,P_NULO BLANCO_40+,P_SEBASTIAN SICHEL_40+,P_YASNA PROVOSTE_40+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,10,6,42,49,24,12,11,0,0,12,0,1,21,54,31,24,16,9,0,156,22,-1,-1,4,50,44,20,10,3,9,16,76,80,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,2.0,-8.0,5.0,4.0,2.0,-3.0,2.0,-4.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,11,1,37,46,16,9,10,1,3,15,4,3,39,49,18,16,11,2,0,138,22,-1,-1,4,43,47,16,8,2,7,11,91,47,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,-3.0,-6.0,-1.0,0.0,1.0,2.0,3.0,4.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,12,6,41,54,16,7,10,2,1,17,3,13,19,71,21,14,12,4,0,154,22,-1,-1,5,47,52,18,9,3,8,12,103,51,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,1.0,-6.0,2.0,-2.0,-2.0,0.0,2.0,5.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,13,6,38,57,27,13,4,2,1,18,3,11,21,54,36,27,14,2,1,166,22,-1,-1,4,54,49,21,10,3,9,16,86,80,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,2.0,-16.0,8.0,6.0,3.0,0.0,-5.0,2.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,1M,1,37,17,26,13,7,1,2,26,3,1,6,10,8,26,43,28,8,130,22,-1,-1,2,46,23,20,10,3,8,18,17,113,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,-1.0,-9.0,-6.0,6.0,3.0,0.0,-1.0,8.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,2M,3,50,19,17,6,8,4,1,8,5,0,10,3,11,48,26,13,4,116,22,-1,-1,1,42,20,18,8,3,7,17,13,102,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,2.0,8.0,-1.0,-1.0,-2.0,2.0,1.0,-9.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,3M,2,64,26,28,15,11,1,2,24,3,1,5,17,67,40,30,9,4,173,22,-1,-1,2,62,31,27,13,4,10,24,23,150,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,0.0,2.0,-5.0,1.0,2.0,-1.0,1.0,0.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,4M,0,62,33,15,7,9,2,2,23,4,2,3,34,42,41,14,11,5,153,22,-1,-1,2,53,33,22,11,3,9,20,39,113,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,-2.0,9.0,0.0,-7.0,-4.0,1.0,0.0,3.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,5M,1,62,36,15,10,13,0,3,17,3,2,12,44,33,28,22,10,6,157,22,-1,-1,3,53,39,22,10,3,9,18,58,99,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,-2.0,9.0,-3.0,-7.0,0.0,0.0,4.0,-1.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,6M,3,67,39,15,13,6,2,3,22,5,0,24,30,43,26,25,14,8,170,22,-1,-1,3,58,40,24,11,4,10,20,54,116,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,0.0,9.0,-1.0,-9.0,2.0,1.0,-4.0,2.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,7M,4,53,45,29,12,9,3,0,13,3,4,25,40,36,32,20,9,2,168,22,-1,-1,4,56,44,23,11,3,9,18,69,99,0.03943256313111196,0.2778284614465607,0.4370818462492731,0.0964235689266883,0.04595934835858347,0.014216852120864328,0.04893518959313399,0.040122170173784076,0.007526124611239806,0.36846303746744796,0.14158267455129367,0.16279558063430133,0.07707235844986246,0.024034304514990612,0.06129493023690453,0.15723098953395975,0.0,-3.0,1.0,6.0,1.0,0.0,0.0,-5.0
