REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,40+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40+,P_FRANCO ALDO PARISI_40+,P_GABRIEL BORIC_40+,P_JOSE ANTONIO KAST_40+,P_MARCO ENRIQUEZ-OMINAMI_40+,P_NULO BLANCO_40+,P_SEBASTIAN SICHEL_40+,P_YASNA PROVOSTE_40+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ATACAMA,DIEGO DE ALMAGRO,LICEO MANUEL MAGALHAES MEDLING,10M,4,32,27,13,5,5,0,0,24,0,2,5,17,47,24,9,5,0,110,34,-1,-1,2,33,23,14,5,2,4,27,24,85,0.00869191215239762,0.5136490794173314,0.24572054460535533,0.1286804298979339,0.034216871616434365,0.013769210729645282,0.02188393053920161,0.033388021041700515,0.022253105391951085,0.2449785324280377,0.1952339803658835,0.12147780978218593,0.05296450531766488,0.016012485125640918,0.04370184162794775,0.30337773996068834,2.0,-1.0,4.0,-1.0,0.0,-2.0,1.0,-3.0
DE ATACAMA,DIEGO DE ALMAGRO,LICEO MANUEL MAGALHAES MEDLING,10V,0,46,22,16,5,2,1,1,18,2,1,10,41,20,25,9,4,1,111,34,-1,-1,2,41,24,14,5,2,4,19,52,59,0.00869191215239762,0.5136490794173314,0.24572054460535533,0.1286804298979339,0.034216871616434365,0.013769210729645282,0.02188393053920161,0.033388021041700515,0.022253105391951085,0.2449785324280377,0.1952339803658835,0.12147780978218593,0.05296450531766488,0.016012485125640918,0.04370184162794775,0.30337773996068834,-2.0,5.0,-2.0,2.0,0.0,0.0,-2.0,-1.0
DE ATACAMA,DIEGO DE ALMAGRO,LICEO MANUEL MAGALHAES MEDLING,11M,4,48,31,21,5,7,1,2,24,3,4,9,27,34,37,22,9,2,143,34,-1,-1,2,46,30,18,7,2,5,33,40,104,0.00869191215239762,0.5136490794173314,0.24572054460535533,0.1286804298979339,0.034216871616434365,0.013769210729645282,0.02188393053920161,0.033388021041700515,0.022253105391951085,0.2449785324280377,0.1952339803658835,0.12147780978218593,0.05296450531766488,0.016012485125640918,0.04370184162794775,0.30337773996068834,2.0,2.0,1.0,3.0,-2.0,1.0,2.0,-9.0
DE ATACAMA,DIEGO DE ALMAGRO,LICEO MANUEL MAGALHAES MEDLING,11V,6,39,16,11,6,1,1,7,27,8,1,20,10,43,22,14,2,2,114,34,-1,-1,2,36,24,14,6,2,4,26,31,83,0.00869191215239762,0.5136490794173314,0.24572054460535533,0.1286804298979339,0.034216871616434365,0.013769210729645282,0.02188393053920161,0.033388021041700515,0.022253105391951085,0.2449785324280377,0.1952339803658835,0.12147780978218593,0.05296450531766488,0.016012485125640918,0.04370184162794775,0.30337773996068834,4.0,3.0,-8.0,-3.0,0.0,6.0,-3.0,1.0
DE ATACAMA,DIEGO DE ALMAGRO,LICEO MANUEL MAGALHAES MEDLING,12M,2,42,17,15,6,2,1,0,17,1,3,7,42,30,12,6,2,0,102,34,-1,-1,2,39,23,13,4,1,3,17,52,50,0.00869191215239762,0.5136490794173314,0.24572054460535533,0.1286804298979339,0.034216871616434365,0.013769210729645282,0.02188393053920161,0.033388021041700515,0.022253105391951085,0.2449785324280377,0.1952339803658835,0.12147780978218593,0.05296450531766488,0.016012485125640918,0.04370184162794775,0.30337773996068834,0.0,3.0,-6.0,2.0,2.0,0.0,-1.0,0.0
DE ATACAMA,DIEGO DE ALMAGRO,LICEO MANUEL MAGALHAES MEDLING,12V,2,42,29,10,0,3,2,2,31,4,2,32,3,26,23,27,7,1,121,34,-1,-1,2,40,25,15,6,2,4,27,37,84,0.00869191215239762,0.5136490794173314,0.24572054460535533,0.1286804298979339,0.034216871616434365,0.013769210729645282,0.02188393053920161,0.033388021041700515,0.022253105391951085,0.2449785324280377,0.1952339803658835,0.12147780978218593,0.05296450531766488,0.016012485125640918,0.04370184162794775,0.30337773996068834,0.0,2.0,4.0,-5.0,-6.0,2.0,-1.0,4.0
DE ATACAMA,DIEGO DE ALMAGRO,LICEO MANUEL MAGALHAES MEDLING,13M,4,48,30,11,2,7,0,0,19,0,2,10,58,23,15,9,4,0,121,34,-1,-1,2,48,27,15,5,2,4,18,70,51,0.00869191215239762,0.5136490794173314,0.24572054460535533,0.1286804298979339,0.034216871616434365,0.013769210729645282,0.02188393053920161,0.033388021041700515,0.022253105391951085,0.2449785324280377,0.1952339803658835,0.12147780978218593,0.05296450531766488,0.016012485125640918,0.04370184162794775,0.30337773996068834,2.0,0.0,3.0,-4.0,-3.0,-2.0,3.0,1.0
DE ATACAMA,DIEGO DE ALMAGRO,LICEO MANUEL MAGALHAES MEDLING,13V,1,36,26,15,6,2,0,0,21,0,5,17,10,23,30,11,9,2,107,34,-1,-1,2,35,22,13,5,2,4,24,32,75,0.00869191215239762,0.5136490794173314,0.24572054460535533,0.1286804298979339,0.034216871616434365,0.013769210729645282,0.02188393053920161,0.033388021041700515,0.022253105391951085,0.2449785324280377,0.1952339803658835,0.12147780978218593,0.05296450531766488,0.016012485125640918,0.04370184162794775,0.30337773996068834,-1.0,1.0,4.0,2.0,1.0,-2.0,-2.0,-3.0
DE ATACAMA,DIEGO DE ALMAGRO,LICEO MANUEL MAGALHAES MEDLING,14V,0,41,31,12,9,5,0,0,22,0,3,29,14,32,24,10,4,4,120,34,-1,-1,2,42,26,15,5,2,4,24,46,74,0.00869191215239762,0.5136490794173314,0.24572054460535533,0.1286804298979339,0.034216871616434365,0.013769210729645282,0.02188393053920161,0.033388021041700515,0.022253105391951085,0.2449785324280377,0.1952339803658835,0.12147780978218593,0.05296450531766488,0.016012485125640918,0.04370184162794775,0.30337773996068834,-2.0,-1.0,5.0,-3.0,4.0,-2.0,1.0,-2.0
DE ATACAMA,DIEGO DE ALMAGRO,LICEO MANUEL MAGALHAES MEDLING,15V,4,34,18,13,5,0,0,0,15,0,1,9,29,14,18,11,4,3,89,34,-1,-1,2,32,19,11,4,1,3,17,39,50,0.00869191215239762,0.5136490794173314,0.24572054460535533,0.1286804298979339,0.034216871616434365,0.013769210729645282,0.02188393053920161,0.033388021041700515,0.022253105391951085,0.2449785324280377,0.1952339803658835,0.12147780978218593,0.05296450531766488,0.016012485125640918,0.04370184162794775,0.30337773996068834,2.0,2.0,-1.0,2.0,1.0,-1.0,-3.0,-2.0
