REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ATACAMA,EL SALVADOR,ESCUELA COEDUCACIONAL PARTICULAR,10V-11V-12V,2,40,37,12,11,5,1,0,24,1,3,14,35,21,28,24,7,0,132,11,-1,-1,1,34,36,14,9,2,7,29,132,0.011387900355871887,0.2576512455516014,0.27259786476868325,0.10889679715302493,0.06548042704626336,0.011387900355871887,0.05266903914590748,0.2199288256227758,1.0,6.0,1.0,-2.0,2.0,-1.0,-2.0,-5.0
DE ATACAMA,EL SALVADOR,ESCUELA COEDUCACIONAL PARTICULAR,12M-13M-14M-2V,1,35,32,13,10,9,0,1,28,1,8,13,15,31,36,21,4,1,129,11,-1,-1,2,33,35,14,8,2,7,28,129,0.011387900355871887,0.2576512455516014,0.27259786476868325,0.10889679715302493,0.06548042704626336,0.011387900355871887,0.05266903914590748,0.2199288256227758,-1.0,2.0,-3.0,-1.0,2.0,-1.0,2.0,0.0
DE ATACAMA,EL SALVADOR,ESCUELA COEDUCACIONAL PARTICULAR,13V-14V-15V,4,27,25,14,5,1,0,0,37,0,4,10,14,33,29,18,4,1,113,11,-1,-1,1,29,31,12,8,1,6,25,113,0.011387900355871887,0.2576512455516014,0.27259786476868325,0.10889679715302493,0.06548042704626336,0.011387900355871887,0.05266903914590748,0.2199288256227758,3.0,-2.0,-6.0,2.0,-3.0,-1.0,-5.0,12.0
DE ATACAMA,EL SALVADOR,ESCUELA COEDUCACIONAL PARTICULAR,15M-16M-17M,1,39,38,18,13,8,0,2,33,2,7,11,24,49,38,17,4,2,152,11,-1,-1,2,39,41,17,10,2,8,33,152,0.011387900355871887,0.2576512455516014,0.27259786476868325,0.10889679715302493,0.06548042704626336,0.011387900355871887,0.05266903914590748,0.2199288256227758,-1.0,0.0,-3.0,1.0,3.0,0.0,0.0,0.0
DE ATACAMA,EL SALVADOR,ESCUELA COEDUCACIONAL PARTICULAR,16V-17V-18V,1,37,35,15,7,10,0,0,40,0,3,14,15,44,38,30,1,0,145,11,-1,-1,2,37,39,16,9,2,8,32,145,0.011387900355871887,0.2576512455516014,0.27259786476868325,0.10889679715302493,0.06548042704626336,0.011387900355871887,0.05266903914590748,0.2199288256227758,-1.0,0.0,-4.0,-1.0,-2.0,-2.0,2.0,8.0
DE ATACAMA,EL SALVADOR,ESCUELA COEDUCACIONAL PARTICULAR,18M-3V-4V-5V,1,29,37,13,7,7,2,0,32,2,11,11,20,33,22,25,5,1,128,11,-1,-1,1,33,35,14,8,2,7,28,128,0.011387900355871887,0.2576512455516014,0.27259786476868325,0.10889679715302493,0.06548042704626336,0.011387900355871887,0.05266903914590748,0.2199288256227758,0.0,-4.0,2.0,-1.0,-1.0,0.0,0.0,4.0
DE ATACAMA,EL SALVADOR,ESCUELA COEDUCACIONAL PARTICULAR,19V,0,21,20,12,2,6,0,1,14,1,0,6,15,28,18,8,1,0,76,11,-1,-1,1,19,21,8,5,1,4,17,76,0.011387900355871887,0.2576512455516014,0.27259786476868325,0.10889679715302493,0.06548042704626336,0.011387900355871887,0.05266903914590748,0.2199288256227758,-1.0,2.0,-1.0,4.0,-3.0,0.0,2.0,-3.0
DE ATACAMA,EL SALVADOR,ESCUELA COEDUCACIONAL PARTICULAR,1M-2M-3M-4M-1V,3,36,44,13,7,9,1,3,24,4,6,22,26,15,33,28,7,3,140,11,-1,-1,2,36,38,15,9,2,7,31,140,0.011387900355871887,0.2576512455516014,0.27259786476868325,0.10889679715302493,0.06548042704626336,0.011387900355871887,0.05266903914590748,0.2199288256227758,1.0,0.0,6.0,-2.0,-2.0,2.0,2.0,-7.0
DE ATACAMA,EL SALVADOR,ESCUELA COEDUCACIONAL PARTICULAR,5M-6M-7M-20,2,32,50,12,13,6,1,2,27,3,7,14,39,31,27,20,5,2,145,11,-1,-1,2,37,39,16,9,2,8,32,145,0.011387900355871887,0.2576512455516014,0.27259786476868325,0.10889679715302493,0.06548042704626336,0.011387900355871887,0.05266903914590748,0.2199288256227758,0.0,-5.0,11.0,-4.0,4.0,1.0,-2.0,-5.0
DE ATACAMA,EL SALVADOR,ESCUELA COEDUCACIONAL PARTICULAR,6V-7V-8V-9V,0,28,35,15,4,4,0,2,26,2,7,15,12,11,28,28,8,5,114,11,-1,-1,1,29,31,13,8,1,6,25,114,0.011387900355871887,0.2576512455516014,0.27259786476868325,0.10889679715302493,0.06548042704626336,0.011387900355871887,0.05266903914590748,0.2199288256227758,-1.0,-1.0,4.0,2.0,-4.0,1.0,-2.0,1.0
