REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ATACAMA,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,1M,0,7,8,14,1,7,0,0,41,0,2,8,1,1,23,27,12,4,78,10,-1,-1,0,13,10,9,2,1,3,40,78,0.002010050251256281,0.17187312222488102,0.12460716279811758,0.11952513892212384,0.022092207067081437,0.009026614554252747,0.03515806545957299,0.5157076387227141,0.0,-6.0,-2.0,5.0,-1.0,-1.0,4.0,1.0
DE ATACAMA,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,1V,0,17,10,6,1,3,0,0,68,0,2,7,0,16,26,29,20,6,105,10,-1,-1,0,18,13,13,2,1,4,54,106,0.002010050251256281,0.17187312222488102,0.12460716279811758,0.11952513892212384,0.022092207067081437,0.009026614554252747,0.03515806545957299,0.5157076387227141,0.0,-1.0,-3.0,-7.0,-1.0,-1.0,-1.0,14.0
DE ATACAMA,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,2M,0,10,12,13,0,3,2,0,66,2,0,4,5,15,40,23,10,9,106,10,-1,-1,0,18,13,13,2,1,4,55,106,0.002010050251256281,0.17187312222488102,0.12460716279811758,0.11952513892212384,0.022092207067081437,0.009026614554252747,0.03515806545957299,0.5157076387227141,0.0,-8.0,-1.0,0.0,-2.0,1.0,-1.0,11.0
DE ATACAMA,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,2V,0,16,12,14,3,5,0,2,56,2,2,2,17,8,30,26,12,10,108,10,-1,-1,0,19,13,13,2,1,4,56,107,0.002010050251256281,0.17187312222488102,0.12460716279811758,0.11952513892212384,0.022092207067081437,0.009026614554252747,0.03515806545957299,0.5157076387227141,0.0,-3.0,-1.0,1.0,1.0,1.0,1.0,0.0
DE ATACAMA,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,3M,0,16,10,12,4,4,0,0,68,0,2,1,14,42,24,12,12,7,114,10,-1,-1,0,20,14,14,2,1,4,59,114,0.002010050251256281,0.17187312222488102,0.12460716279811758,0.11952513892212384,0.022092207067081437,0.009026614554252747,0.03515806545957299,0.5157076387227141,0.0,-4.0,-4.0,-2.0,2.0,-1.0,0.0,9.0
DE ATACAMA,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,3V,1,27,20,8,0,3,1,0,48,1,2,8,20,24,28,12,7,7,108,10,-1,-1,0,19,13,13,2,1,4,56,108,0.002010050251256281,0.17187312222488102,0.12460716279811758,0.11952513892212384,0.022092207067081437,0.009026614554252747,0.03515806545957299,0.5157076387227141,1.0,8.0,7.0,-5.0,-2.0,0.0,-1.0,-8.0
DE ATACAMA,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,4M,1,15,11,10,7,2,1,0,46,1,0,6,38,13,17,7,8,4,93,10,-1,-1,0,16,12,11,2,1,3,48,93,0.002010050251256281,0.17187312222488102,0.12460716279811758,0.11952513892212384,0.022092207067081437,0.009026614554252747,0.03515806545957299,0.5157076387227141,1.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-2.0
DE ATACAMA,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,4V,0,24,13,17,4,4,0,1,75,1,1,16,13,35,34,17,14,8,138,10,-1,-1,0,24,17,17,3,1,5,71,138,0.002010050251256281,0.17187312222488102,0.12460716279811758,0.11952513892212384,0.022092207067081437,0.009026614554252747,0.03515806545957299,0.5157076387227141,0.0,0.0,-4.0,0.0,1.0,0.0,-1.0,4.0
DE ATACAMA,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,5V,0,17,17,16,1,2,1,1,35,2,3,14,8,14,24,14,12,1,90,10,-1,-1,0,16,11,11,2,1,3,46,90,0.002010050251256281,0.17187312222488102,0.12460716279811758,0.11952513892212384,0.022092207067081437,0.009026614554252747,0.03515806545957299,0.5157076387227141,0.0,1.0,6.0,5.0,-1.0,1.0,-1.0,-11.0
DE ATACAMA,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,6,0,22,11,9,1,2,0,0,10,0,0,23,15,6,8,0,3,0,55,10,-1,-1,0,9,7,7,1,1,2,28,55,0.002010050251256281,0.17187312222488102,0.12460716279811758,0.11952513892212384,0.022092207067081437,0.009026614554252747,0.03515806545957299,0.5157076387227141,0.0,13.0,4.0,2.0,0.0,-1.0,0.0,-18.0
