REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V,1,39,31,37,8,13,0,2,27,2,4,42,36,35,19,18,4,0,158,58,-1,-1,2,32,41,41,9,3,11,19,117,41,0.015311998699008164,0.24655033314538372,0.2736054959688058,0.2636877321690838,0.04843931853286655,0.013339257788619666,0.0632748148438475,0.0757910488523847,0.012356147159221923,0.08556356159708739,0.20957700392426207,0.23684193891385144,0.07584612802173413,0.024013913147535957,0.09999810791137925,0.2558031993249278,-1.0,7.0,-10.0,-4.0,-1.0,-1.0,2.0,8.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,ESCUELA BASICA LITORAL AUSTRAL,17V,1,31,38,29,8,16,5,1,12,6,1,61,22,27,18,9,1,2,141,58,-1,-1,2,30,37,36,8,2,10,16,111,30,0.015311998699008164,0.24655033314538372,0.2736054959688058,0.2636877321690838,0.04843931853286655,0.013339257788619666,0.0632748148438475,0.0757910488523847,0.012356147159221923,0.08556356159708739,0.20957700392426207,0.23684193891385144,0.07584612802173413,0.024013913147535957,0.09999810791137925,0.2558031993249278,-1.0,1.0,1.0,-7.0,0.0,4.0,6.0,-4.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,ESCUELA BASICA LITORAL AUSTRAL,18V,6,37,26,29,3,13,2,2,15,4,1,57,11,24,22,15,3,0,133,58,-1,-1,2,26,34,34,8,2,10,17,93,40,0.015311998699008164,0.24655033314538372,0.2736054959688058,0.2636877321690838,0.04843931853286655,0.013339257788619666,0.0632748148438475,0.0757910488523847,0.012356147159221923,0.08556356159708739,0.20957700392426207,0.23684193891385144,0.07584612802173413,0.024013913147535957,0.09999810791137925,0.2558031993249278,4.0,11.0,-8.0,-5.0,-5.0,2.0,3.0,-2.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,ESCUELA BASICA LITORAL AUSTRAL,19V,1,28,30,30,5,4,0,1,12,1,8,30,19,32,15,6,1,0,111,58,-1,-1,1,24,29,29,6,2,8,12,89,22,0.015311998699008164,0.24655033314538372,0.2736054959688058,0.2636877321690838,0.04843931853286655,0.013339257788619666,0.0632748148438475,0.0757910488523847,0.012356147159221923,0.08556356159708739,0.20957700392426207,0.23684193891385144,0.07584612802173413,0.024013913147535957,0.09999810791137925,0.2558031993249278,0.0,4.0,1.0,1.0,-1.0,-1.0,-4.0,0.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,ESCUELA BASICA LITORAL AUSTRAL,20V,2,25,30,39,4,8,0,0,21,0,2,15,26,46,25,10,5,0,129,58,-1,-1,2,25,33,33,7,2,10,17,89,40,0.015311998699008164,0.24655033314538372,0.2736054959688058,0.2636877321690838,0.04843931853286655,0.013339257788619666,0.0632748148438475,0.0757910488523847,0.012356147159221923,0.08556356159708739,0.20957700392426207,0.23684193891385144,0.07584612802173413,0.024013913147535957,0.09999810791137925,0.2558031993249278,0.0,0.0,-3.0,6.0,-3.0,-2.0,-2.0,4.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,ESCUELA BASICA LITORAL AUSTRAL,21V,1,20,32,46,10,12,1,0,14,1,6,32,23,48,9,13,3,2,136,58,-1,-1,2,29,36,35,7,2,10,15,109,27,0.015311998699008164,0.24655033314538372,0.2736054959688058,0.2636877321690838,0.04843931853286655,0.013339257788619666,0.0632748148438475,0.0757910488523847,0.012356147159221923,0.08556356159708739,0.20957700392426207,0.23684193891385144,0.07584612802173413,0.024013913147535957,0.09999810791137925,0.2558031993249278,-1.0,-9.0,-4.0,11.0,3.0,-1.0,2.0,-1.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,ESCUELA BASICA LITORAL AUSTRAL,22V,3,28,42,37,7,4,2,0,26,2,4,32,20,53,22,13,4,1,149,58,-1,-1,2,30,38,38,8,3,11,19,109,40,0.015311998699008164,0.24655033314538372,0.2736054959688058,0.2636877321690838,0.04843931853286655,0.013339257788619666,0.0632748148438475,0.0757910488523847,0.012356147159221923,0.08556356159708739,0.20957700392426207,0.23684193891385144,0.07584612802173413,0.024013913147535957,0.09999810791137925,0.2558031993249278,1.0,-2.0,4.0,-1.0,-1.0,-1.0,-7.0,7.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,ESCUELA BASICA LITORAL AUSTRAL,23V,0,31,42,35,5,6,0,2,11,2,4,31,33,34,18,9,3,0,132,58,-1,-1,2,28,34,34,7,2,10,15,102,30,0.015311998699008164,0.24655033314538372,0.2736054959688058,0.2636877321690838,0.04843931853286655,0.013339257788619666,0.0632748148438475,0.0757910488523847,0.012356147159221923,0.08556356159708739,0.20957700392426207,0.23684193891385144,0.07584612802173413,0.024013913147535957,0.09999810791137925,0.2558031993249278,-2.0,3.0,8.0,1.0,-2.0,0.0,-4.0,-4.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,ESCUELA BASICA LITORAL AUSTRAL,24V,1,26,46,35,11,7,1,2,9,3,11,44,19,38,17,8,1,0,138,58,-1,-1,2,30,36,36,7,2,10,15,112,26,0.015311998699008164,0.24655033314538372,0.2736054959688058,0.2636877321690838,0.04843931853286655,0.013339257788619666,0.0632748148438475,0.0757910488523847,0.012356147159221923,0.08556356159708739,0.20957700392426207,0.23684193891385144,0.07584612802173413,0.024013913147535957,0.09999810791137925,0.2558031993249278,-1.0,-4.0,10.0,-1.0,4.0,1.0,-3.0,-6.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,ESCUELA BASICA LITORAL AUSTRAL,25V,3,27,31,39,8,7,1,0,10,1,6,29,29,34,17,7,2,1,126,58,-1,-1,2,27,33,32,7,2,9,14,98,27,0.015311998699008164,0.24655033314538372,0.2736054959688058,0.2636877321690838,0.04843931853286655,0.013339257788619666,0.0632748148438475,0.0757910488523847,0.012356147159221923,0.08556356159708739,0.20957700392426207,0.23684193891385144,0.07584612802173413,0.024013913147535957,0.09999810791137925,0.2558031993249278,1.0,0.0,-2.0,7.0,1.0,-1.0,-2.0,-4.0
