REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,10,1,10,37,17,3,2,1,0,5,1,3,34,24,9,2,2,2,0,76,17,-1,-1,1,10,28,18,4,2,5,8,70,6,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,0.0,0.0,9.0,-1.0,-1.0,-1.0,-3.0,-3.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,1M,2,4,16,30,2,10,1,1,15,2,0,4,2,4,13,29,19,10,81,17,-1,-1,2,6,22,20,3,2,8,18,10,71,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,0.0,-2.0,-6.0,10.0,-1.0,0.0,2.0,-3.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,1V,0,4,17,22,3,6,1,1,12,2,4,10,3,3,9,23,7,6,66,17,-1,-1,1,6,20,16,3,1,6,13,20,45,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,-1.0,-2.0,-3.0,6.0,0.0,1.0,0.0,-1.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,2M,1,6,25,18,3,6,0,0,16,0,3,6,2,4,24,23,11,2,75,17,-1,-1,1,6,21,18,3,2,8,16,15,60,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,0.0,0.0,4.0,0.0,0.0,-2.0,-2.0,0.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,2V,0,7,27,14,4,4,1,0,19,1,1,9,5,8,15,23,12,3,76,17,-1,-1,1,6,23,19,3,2,7,15,23,53,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,-1.0,1.0,4.0,-5.0,1.0,-1.0,-3.0,4.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,3M,1,8,24,18,2,9,1,0,12,1,1,0,5,1,29,27,10,2,75,17,-1,-1,1,5,20,19,3,2,8,17,7,68,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,0.0,3.0,4.0,-1.0,-1.0,-1.0,1.0,-5.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,3V,3,0,26,10,4,6,1,2,13,3,0,4,5,8,15,22,8,3,65,17,-1,-1,1,5,19,16,3,2,6,13,17,48,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,2.0,-5.0,7.0,-6.0,1.0,1.0,0.0,0.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,4M,1,11,33,30,4,5,0,2,25,2,2,5,8,43,24,24,4,1,111,17,-1,-1,2,11,36,27,5,3,9,18,58,53,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,-1.0,0.0,-3.0,3.0,-1.0,-1.0,-4.0,7.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,4V,2,13,23,16,3,9,3,2,16,5,0,10,9,17,26,16,6,3,87,17,-1,-1,1,8,27,21,4,2,8,16,36,51,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,1.0,5.0,-4.0,-5.0,-1.0,3.0,1.0,0.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,5M,3,6,34,21,8,9,1,2,21,3,1,5,8,54,20,10,6,1,105,17,-1,-1,1,11,36,25,5,3,8,16,68,37,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,2.0,-5.0,-2.0,-4.0,3.0,0.0,1.0,5.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,5V,2,13,35,18,5,11,1,0,16,1,2,9,29,21,17,15,7,1,101,17,-1,-1,1,11,34,24,5,3,8,15,61,40,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,1.0,2.0,1.0,-6.0,0.0,-2.0,3.0,1.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,6M,1,11,39,38,4,10,0,8,24,8,3,15,34,42,19,11,5,1,135,17,-1,-1,1,15,47,32,7,4,10,19,94,36,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,0.0,-4.0,-8.0,6.0,-3.0,4.0,0.0,5.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,6V,1,15,44,21,8,10,1,3,22,4,2,26,18,35,16,20,5,2,125,17,-1,-1,2,14,42,30,6,4,9,18,81,43,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,-1.0,1.0,2.0,-9.0,2.0,0.0,1.0,4.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,7M,1,14,31,31,3,13,3,1,13,4,2,12,47,19,11,18,1,0,110,17,-1,-1,1,13,38,26,6,3,8,15,80,30,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,0.0,1.0,-7.0,5.0,-3.0,1.0,5.0,-2.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,7V,1,18,29,29,8,7,2,1,10,3,5,12,34,17,15,16,4,2,105,17,-1,-1,1,11,36,25,5,3,8,16,68,37,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,0.0,7.0,-7.0,4.0,3.0,0.0,-1.0,-6.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,8V,2,16,45,28,6,7,2,1,16,3,6,17,40,22,17,17,4,0,123,17,-1,-1,1,14,42,30,6,3,9,18,85,38,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,1.0,2.0,3.0,-2.0,0.0,0.0,-2.0,-2.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,9V,0,8,41,30,5,7,0,0,9,0,8,33,29,12,10,4,4,0,100,17,-1,-1,1,12,36,24,5,3,7,12,82,18,0.007736248171318553,0.1335642988829771,0.3794666760613851,0.23736752936024225,0.055622081551761716,0.030930924202244244,0.05766482282951943,0.09764741894055155,0.02066093878382724,0.063415307741265,0.26176656620468813,0.24712357102346127,0.0355863567429654,0.021306598834161833,0.10890850348813873,0.2412321571814924,-1.0,-4.0,5.0,6.0,0.0,-3.0,0.0,-3.0
