REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,10M,2,28,45,23,6,14,1,1,17,2,1,45,35,20,19,6,8,2,137,22,-1,-1,1,29,48,21,4,2,10,22,101,35,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,1.0,-1.0,-3.0,2.0,2.0,0.0,4.0,-5.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,10V,1,42,62,29,5,9,1,1,28,2,3,18,59,46,23,13,15,1,178,22,-1,-1,2,37,61,27,5,3,13,30,126,52,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,-1.0,5.0,1.0,2.0,0.0,-1.0,-4.0,-2.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,11V,0,32,44,18,3,13,1,0,10,1,3,69,25,5,8,4,5,2,121,22,-1,-1,1,27,44,18,4,1,9,17,102,19,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,-1.0,5.0,0.0,0.0,-1.0,0.0,4.0,-7.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,12,0,23,35,22,2,8,1,1,8,2,15,25,23,8,9,13,6,1,100,22,-1,-1,1,21,34,15,3,2,7,17,71,29,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,-1.0,2.0,1.0,7.0,-1.0,0.0,1.0,-9.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,1M,2,20,31,25,3,12,0,0,24,0,1,22,2,3,20,35,23,11,117,22,-1,-1,1,18,33,22,3,3,8,29,28,89,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,1.0,2.0,-2.0,3.0,0.0,-3.0,4.0,-5.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,1V,1,13,38,18,2,8,1,1,37,2,1,16,6,3,15,37,28,13,119,22,-1,-1,1,18,34,23,3,3,7,30,26,93,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,0.0,-5.0,4.0,-5.0,-1.0,-1.0,1.0,7.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,2M,1,19,24,24,3,9,1,3,35,4,2,9,7,1,32,37,23,8,119,22,-1,-1,1,17,33,23,3,4,7,31,19,100,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,0.0,2.0,-9.0,1.0,0.0,0.0,2.0,4.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,2V,0,10,30,30,3,5,1,1,35,2,1,15,5,1,30,31,21,11,115,22,-1,-1,1,17,32,22,3,3,7,30,22,93,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,-1.0,-7.0,-2.0,8.0,0.0,-1.0,-2.0,5.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,3M,1,23,42,23,5,6,2,3,23,5,3,10,1,15,28,43,17,10,128,22,-1,-1,1,20,36,24,3,4,8,32,29,98,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,0.0,3.0,6.0,-1.0,2.0,1.0,-2.0,-9.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,3V,1,17,40,26,3,7,3,2,29,5,2,14,5,31,33,18,21,5,128,22,-1,-1,1,22,39,23,4,3,8,28,52,77,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,0.0,-5.0,1.0,3.0,-1.0,2.0,-1.0,1.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,4M,2,19,37,22,4,3,3,4,21,7,1,12,2,23,25,26,21,5,115,22,-1,-1,1,19,34,21,3,3,7,27,38,77,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,1.0,0.0,3.0,1.0,1.0,4.0,-4.0,-6.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,4V,2,17,44,17,3,9,3,3,32,6,2,13,12,26,20,29,19,4,130,22,-1,-1,1,23,40,23,3,3,9,28,53,72,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,1.0,-6.0,4.0,-6.0,0.0,3.0,0.0,4.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,5M,1,27,38,22,4,7,0,1,24,1,1,12,24,0,34,29,20,4,124,22,-1,-1,1,20,36,23,3,3,8,30,37,87,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,0.0,7.0,2.0,-1.0,1.0,-2.0,-1.0,-6.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,5V,1,27,37,24,1,10,2,3,34,5,2,6,46,1,28,33,14,9,139,22,-1,-1,1,24,42,25,4,3,9,31,55,84,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,0.0,3.0,-5.0,-1.0,-3.0,2.0,1.0,3.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,6M,1,31,49,28,2,13,0,0,24,0,2,16,28,4,43,29,19,7,148,22,-1,-1,1,25,44,27,4,4,9,34,50,98,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,0.0,6.0,5.0,1.0,-2.0,-4.0,4.0,-10.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,6V,2,28,38,16,4,9,1,4,31,5,7,13,32,2,21,27,25,6,133,22,-1,-1,1,23,41,23,4,3,9,29,54,79,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,1.0,5.0,-3.0,-7.0,0.0,2.0,0.0,2.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,7M,1,30,40,23,5,10,0,1,33,1,1,10,33,41,34,16,5,3,143,22,-1,-1,1,28,47,23,4,3,10,27,85,58,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,0.0,2.0,-7.0,0.0,1.0,-2.0,0.0,6.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,7V,1,25,49,21,4,13,1,3,39,4,6,12,48,20,37,16,12,4,156,22,-1,-1,1,30,51,26,4,3,11,30,86,69,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,0.0,-5.0,-2.0,-5.0,0.0,1.0,2.0,9.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,8M,2,27,56,19,7,13,1,0,33,1,4,6,31,74,24,12,7,0,158,22,-1,-1,2,33,55,24,5,2,11,26,115,43,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,0.0,-6.0,1.0,-5.0,2.0,-1.0,2.0,7.0
DE COQUIMBO,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA,8V,3,32,36,24,3,10,1,1,31,2,2,52,7,34,21,17,6,2,141,22,-1,-1,1,29,48,22,4,2,10,25,95,46,0.009362446408839018,0.24140070409529338,0.38042190928324127,0.13379928241455125,0.03504773043933441,0.0065548160645464305,0.07669713165833897,0.11671597963585527,0.009529749379883833,0.12844788101678276,0.25390901867744237,0.20399064836744024,0.02139418923935279,0.03449183219781083,0.05757621089301899,0.29066047022826813,2.0,3.0,-12.0,2.0,-1.0,0.0,0.0,6.0
