REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,1M,0,27,16,25,9,8,0,0,14,0,0,9,11,6,22,25,19,7,99,15,-1,-1,2,19,17,23,6,2,12,18,99,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,-2.0,8.0,-1.0,2.0,3.0,-2.0,-4.0,-4.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,1V,0,14,16,26,0,13,0,1,17,1,2,10,13,11,15,16,17,4,87,15,-1,-1,2,16,15,20,6,1,11,16,88,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,-2.0,-2.0,1.0,6.0,-6.0,0.0,2.0,1.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,2M,1,22,11,22,4,15,0,3,24,3,1,11,5,9,27,26,18,5,102,15,-1,-1,2,19,17,24,7,2,12,19,102,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,-1.0,3.0,-6.0,-2.0,-3.0,1.0,3.0,5.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,2V,0,19,13,22,3,9,0,1,23,1,1,10,9,5,19,21,13,12,90,15,-1,-1,2,17,16,21,6,1,11,16,90,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,-2.0,2.0,-3.0,1.0,-3.0,0.0,-2.0,7.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,3M,4,16,11,24,3,14,0,1,19,1,1,10,5,5,19,29,18,4,92,15,-1,-1,2,17,16,21,6,2,11,17,91,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,2.0,-1.0,-5.0,3.0,-3.0,-1.0,3.0,2.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,3V,0,11,11,19,10,15,1,2,12,3,1,10,7,8,11,17,21,6,81,15,-1,-1,2,15,14,19,5,1,10,15,81,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,-2.0,-4.0,-3.0,0.0,5.0,2.0,5.0,-3.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,4M,3,12,21,18,10,15,0,0,22,0,1,8,5,5,32,30,12,8,101,15,-1,-1,2,19,17,24,7,2,12,18,101,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,1.0,-7.0,4.0,-6.0,3.0,-2.0,3.0,4.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,4V,1,20,24,28,6,14,0,3,16,3,0,14,9,7,23,25,24,9,112,15,-1,-1,2,21,19,26,8,2,14,20,111,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,-1.0,-1.0,5.0,2.0,-2.0,1.0,0.0,-4.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,5M,0,16,18,14,6,11,2,1,12,3,1,8,7,6,28,16,9,5,80,15,-1,-1,2,15,14,19,5,1,10,14,80,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,-2.0,1.0,4.0,-5.0,1.0,2.0,1.0,-2.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,5V,5,11,17,20,3,7,0,0,13,0,3,8,12,5,20,15,10,3,76,15,-1,-1,2,14,13,18,5,1,9,14,76,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,3.0,-3.0,4.0,2.0,-2.0,-1.0,-2.0,-1.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,6M,2,21,24,24,14,17,0,1,18,1,1,10,3,49,32,15,10,1,121,15,-1,-1,2,23,21,28,8,2,15,22,121,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,0.0,-2.0,3.0,-4.0,6.0,-1.0,2.0,-4.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,6V,2,17,15,21,1,6,1,3,19,4,1,8,4,24,27,14,7,1,85,15,-1,-1,2,16,15,20,6,1,10,15,86,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,0.0,1.0,0.0,1.0,-5.0,3.0,-4.0,4.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,7M,4,21,13,24,10,14,0,1,16,1,3,9,10,39,18,16,7,1,103,15,-1,-1,2,19,18,24,7,2,12,19,103,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,2.0,2.0,-5.0,0.0,3.0,-1.0,2.0,-3.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,7V,6,21,13,20,9,9,1,1,15,2,0,6,6,28,30,17,7,1,95,15,-1,-1,2,18,16,22,6,2,12,17,95,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,4.0,3.0,-3.0,-2.0,3.0,0.0,-3.0,-2.0
DE COQUIMBO,CAREN,COLEGIO RIO GRANDE,8V,1,24,24,26,7,8,0,0,21,0,4,17,23,23,11,12,17,3,111,15,-1,-1,2,21,19,26,7,2,14,20,110,0.02019673191803177,0.18953432276984936,0.17211318792630342,0.232078664992183,0.0661523859962313,0.01605362468403059,0.12194614193691415,0.18192493977645643,-1.0,3.0,5.0,0.0,0.0,-2.0,-6.0,1.0
