REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,1M,2,35,27,19,12,16,4,3,23,7,5,8,4,10,35,44,28,10,141,14,-1,-1,2,32,36,26,9,4,9,23,144,0.01675666832178198,0.22748625525559182,0.2567107937816987,0.18010545330802288,0.06488791325409633,0.027429216393792505,0.06103681051708595,0.16558688916792988,0.0,3.0,-9.0,-7.0,3.0,3.0,7.0,0.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,1V,4,14,26,23,8,7,3,2,27,5,3,7,4,9,25,36,20,8,114,14,-1,-1,2,26,29,21,7,3,7,19,112,0.01675666832178198,0.22748625525559182,0.2567107937816987,0.18010545330802288,0.06488791325409633,0.027429216393792505,0.06103681051708595,0.16558688916792988,2.0,-12.0,-3.0,2.0,1.0,2.0,0.0,8.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,2M,2,30,34,22,13,6,2,3,22,5,2,3,8,5,48,47,13,8,134,14,-1,-1,2,31,34,24,9,4,8,22,134,0.01675666832178198,0.22748625525559182,0.2567107937816987,0.18010545330802288,0.06488791325409633,0.027429216393792505,0.06103681051708595,0.16558688916792988,0.0,-1.0,0.0,-2.0,4.0,1.0,-2.0,0.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,2V,3,16,43,16,7,11,1,1,27,2,3,6,16,10,19,47,20,4,125,14,-1,-1,2,28,32,23,8,3,8,21,125,0.01675666832178198,0.22748625525559182,0.2567107937816987,0.18010545330802288,0.06488791325409633,0.027429216393792505,0.06103681051708595,0.16558688916792988,1.0,-12.0,11.0,-7.0,-1.0,-1.0,3.0,6.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,3M,1,36,25,28,8,6,4,2,26,6,4,2,10,48,40,20,10,2,136,14,-1,-1,2,31,35,24,9,4,8,23,136,0.01675666832178198,0.22748625525559182,0.2567107937816987,0.18010545330802288,0.06488791325409633,0.027429216393792505,0.06103681051708595,0.16558688916792988,-1.0,5.0,-10.0,4.0,-1.0,2.0,-2.0,3.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,3V,0,31,34,14,5,7,1,1,17,2,1,6,33,10,24,23,12,1,110,14,-1,-1,2,25,28,20,7,3,7,18,110,0.01675666832178198,0.22748625525559182,0.2567107937816987,0.18010545330802288,0.06488791325409633,0.027429216393792505,0.06103681051708595,0.16558688916792988,-2.0,6.0,6.0,-6.0,-2.0,-1.0,0.0,-1.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,4M,3,40,21,21,8,3,2,2,14,4,1,8,28,39,16,11,11,1,114,14,-1,-1,2,26,29,21,7,3,7,19,115,0.01675666832178198,0.22748625525559182,0.2567107937816987,0.18010545330802288,0.06488791325409633,0.027429216393792505,0.06103681051708595,0.16558688916792988,1.0,14.0,-8.0,0.0,1.0,1.0,-4.0,-5.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,4V,1,41,30,27,4,6,0,1,28,1,0,34,13,26,26,19,15,7,138,14,-1,-1,2,31,36,25,9,4,8,23,140,0.01675666832178198,0.22748625525559182,0.2567107937816987,0.18010545330802288,0.06488791325409633,0.027429216393792505,0.06103681051708595,0.16558688916792988,-1.0,10.0,-6.0,2.0,-5.0,-3.0,-2.0,5.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,5M,0,36,35,26,13,10,1,2,16,3,0,19,34,43,18,9,16,0,139,14,-1,-1,2,32,36,25,9,4,8,23,139,0.01675666832178198,0.22748625525559182,0.2567107937816987,0.18010545330802288,0.06488791325409633,0.027429216393792505,0.06103681051708595,0.16558688916792988,-2.0,4.0,-1.0,1.0,4.0,-1.0,2.0,-7.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,5V,0,23,34,27,7,3,1,2,24,3,3,15,17,32,24,16,11,3,121,14,-1,-1,2,28,31,22,8,3,7,20,121,0.01675666832178198,0.22748625525559182,0.2567107937816987,0.18010545330802288,0.06488791325409633,0.027429216393792505,0.06103681051708595,0.16558688916792988,-2.0,-5.0,3.0,5.0,-1.0,0.0,-4.0,4.0
