REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,30-49,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-49,P_FRANCO ALDO PARISI_30-49,P_GABRIEL BORIC_30-49,P_JOSE ANTONIO KAST_30-49,P_MARCO ENRIQUEZ-OMINAMI_30-49,P_NULO BLANCO_30-49,P_SEBASTIAN SICHEL_30-49,P_YASNA PROVOSTE_30-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,10M,6,28,31,71,9,10,3,2,27,5,1,11,43,50,36,30,12,4,187,33,-1,-1,3,27,27,67,13,7,17,26,12,93,82,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,3.0,1.0,4.0,4.0,-4.0,-2.0,-7.0,1.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,11M,5,19,35,65,17,21,1,2,24,3,0,18,49,39,34,28,17,4,189,33,-1,-1,3,28,28,66,13,7,17,27,18,88,83,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,2.0,-9.0,7.0,-1.0,4.0,-4.0,4.0,-3.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,12M,4,31,21,71,9,20,2,0,23,2,3,24,61,33,26,15,17,2,181,33,-1,-1,3,30,29,62,12,6,15,24,27,94,60,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,1.0,1.0,-8.0,9.0,-3.0,-4.0,5.0,-1.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,13M,0,30,27,46,12,17,4,7,20,11,1,22,52,35,23,14,15,0,163,33,-1,-1,3,27,26,56,11,6,13,21,23,87,52,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-3.0,3.0,1.0,-10.0,1.0,5.0,4.0,-1.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,1M,1,15,15,53,11,24,0,0,23,0,1,19,8,1,30,41,31,11,142,33,-1,-1,2,18,17,47,10,5,19,24,20,9,113,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-1.0,-3.0,-2.0,6.0,1.0,-5.0,5.0,-1.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,1V,0,14,13,44,4,17,2,2,17,4,0,13,9,2,22,36,23,8,113,33,-1,-1,2,14,13,38,8,4,15,19,13,11,89,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-2.0,0.0,0.0,6.0,-4.0,0.0,2.0,-2.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,2M,1,22,13,53,10,14,2,5,17,7,0,11,7,10,37,36,23,13,137,33,-1,-1,2,16,15,47,10,6,18,23,11,17,109,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-1.0,6.0,-2.0,6.0,0.0,1.0,-4.0,-6.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,2V,0,24,20,61,10,26,0,3,26,3,5,12,7,13,54,40,30,8,170,33,-1,-1,2,21,20,58,12,7,22,28,17,20,132,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-2.0,3.0,0.0,3.0,-2.0,-4.0,4.0,-2.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,3M,4,18,16,38,11,17,2,1,22,3,1,12,5,5,34,40,21,11,129,33,-1,-1,2,15,15,44,9,5,17,22,13,10,106,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,2.0,3.0,1.0,-6.0,2.0,-2.0,0.0,0.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,4M,3,15,17,55,14,18,2,5,31,7,1,11,5,35,44,34,21,8,160,33,-1,-1,2,20,20,56,11,6,19,26,12,40,107,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,1.0,-5.0,-3.0,-1.0,3.0,1.0,-1.0,5.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,5M,4,17,22,51,6,16,2,4,28,6,1,14,10,26,35,29,28,7,150,33,-1,-1,2,20,19,52,10,6,17,24,15,36,99,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,2.0,-3.0,3.0,-1.0,-4.0,0.0,-1.0,4.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,6M,1,21,17,44,12,16,3,2,29,5,2,7,20,9,34,47,19,7,145,33,-1,-1,2,17,17,51,10,6,18,24,9,29,107,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-1.0,4.0,0.0,-7.0,2.0,-1.0,-2.0,5.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,7M,2,24,24,60,13,18,1,3,28,4,0,11,27,41,52,31,10,1,173,33,-1,-1,3,23,23,61,12,7,18,26,11,68,94,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-1.0,1.0,1.0,-1.0,1.0,-3.0,0.0,2.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,8M,2,22,19,57,14,22,0,10,22,10,0,4,20,58,47,24,11,4,168,33,-1,-1,3,22,22,61,12,7,16,25,4,78,86,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-1.0,0.0,-3.0,-4.0,2.0,3.0,6.0,-3.0
DE LA ARAUCANIA,CHOLCHOL,COLEGIO SAN FRANCISCO DE ASIS,9M,2,30,20,81,10,23,2,1,35,3,3,14,28,71,40,36,12,1,204,33,-1,-1,3,30,30,72,14,8,18,29,17,99,89,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-1.0,0.0,-10.0,9.0,-4.0,-5.0,5.0,6.0
DE LA ARAUCANIA,CHOLCHOL,LICEO JAMES MUNDELL,10V,2,24,22,70,21,15,1,5,27,6,2,17,25,84,24,21,10,3,187,33,-1,-1,3,30,29,66,13,7,15,24,19,109,58,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-1.0,-6.0,-7.0,4.0,8.0,-1.0,0.0,3.0
DE LA ARAUCANIA,CHOLCHOL,LICEO JAMES MUNDELL,11V,2,32,34,71,11,10,1,4,28,5,2,31,35,51,27,27,13,7,193,33,-1,-1,3,31,30,66,13,7,17,26,33,86,74,0.01656654213699561,0.30194604563938576,0.26211905602550956,0.21074212026322686,0.016747406840180036,0.008239624132250267,0.08781211060820329,0.09582709435424855,0.022973456393978398,0.16956379714786285,0.1760110677216504,0.374770427318786,0.07415657181568133,0.03941249243175414,0.03753789689622496,0.10557429027406184,0.010981894303180422,0.09092821481671204,0.08751161982014262,0.3544400622933762,0.0764495338562665,0.043177583442567294,0.14944246794999408,0.18706862351776085,-1.0,1.0,4.0,5.0,-2.0,-2.0,-7.0,2.0
