REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,CURARREHUE,COMPLEJO EDUCACIONAL MONSENOR FRANCISCO VALDES SUBERCASEAUX,10M,2,15,29,55,6,10,1,2,7,3,0,21,56,21,11,12,6,0,127,25,-1,-1,3,14,27,51,5,2,12,13,98,29,0.022562833455881903,0.13405487712944972,0.23931458416114904,0.3826044028647042,0.0361518422253543,0.00938349522303172,0.08081970148749779,0.0951082634529314,0.010945169868036666,0.040401183360450406,0.12195725899828865,0.4616338209757649,0.05013762641554562,0.021786378424694955,0.15827610746921014,0.1348624544880087,-1.0,1.0,2.0,4.0,1.0,1.0,-2.0,-6.0
DE LA ARAUCANIA,CURARREHUE,COMPLEJO EDUCACIONAL MONSENOR FRANCISCO VALDES SUBERCASEAUX,13,3,27,16,33,4,3,0,0,3,0,3,51,28,3,2,2,0,0,89,25,-1,-1,2,12,21,34,3,1,7,9,85,4,0.022562833455881903,0.13405487712944972,0.23931458416114904,0.3826044028647042,0.0361518422253543,0.00938349522303172,0.08081970148749779,0.0951082634529314,0.010945169868036666,0.040401183360450406,0.12195725899828865,0.4616338209757649,0.05013762641554562,0.021786378424694955,0.15827610746921014,0.1348624544880087,1.0,15.0,-5.0,-1.0,1.0,-1.0,-4.0,-6.0
DE LA ARAUCANIA,CURARREHUE,COMPLEJO EDUCACIONAL MONSENOR FRANCISCO VALDES SUBERCASEAUX,14,1,12,35,33,6,15,0,2,13,2,10,38,17,18,15,14,4,1,117,25,-1,-1,2,13,24,47,5,2,12,12,83,34,0.022562833455881903,0.13405487712944972,0.23931458416114904,0.3826044028647042,0.0361518422253543,0.00938349522303172,0.08081970148749779,0.0951082634529314,0.010945169868036666,0.040401183360450406,0.12195725899828865,0.4616338209757649,0.05013762641554562,0.021786378424694955,0.15827610746921014,0.1348624544880087,-1.0,-1.0,11.0,-14.0,1.0,0.0,3.0,1.0
DE LA ARAUCANIA,CURARREHUE,COMPLEJO EDUCACIONAL MONSENOR FRANCISCO VALDES SUBERCASEAUX,15,7,23,43,47,5,19,0,2,8,2,11,26,51,30,17,17,3,0,154,25,-1,-1,3,17,33,62,6,2,15,16,118,37,0.022562833455881903,0.13405487712944972,0.23931458416114904,0.3826044028647042,0.0361518422253543,0.00938349522303172,0.08081970148749779,0.0951082634529314,0.010945169868036666,0.040401183360450406,0.12195725899828865,0.4616338209757649,0.05013762641554562,0.021786378424694955,0.15827610746921014,0.1348624544880087,4.0,6.0,10.0,-15.0,-1.0,0.0,4.0,-8.0
DE LA ARAUCANIA,CURARREHUE,COMPLEJO EDUCACIONAL MONSENOR FRANCISCO VALDES SUBERCASEAUX,1M,1,5,13,36,5,14,1,0,15,1,3,8,2,1,12,34,22,8,90,25,-1,-1,1,5,13,40,4,2,13,12,14,76,0.022562833455881903,0.13405487712944972,0.23931458416114904,0.3826044028647042,0.0361518422253543,0.00938349522303172,0.08081970148749779,0.0951082634529314,0.010945169868036666,0.040401183360450406,0.12195725899828865,0.4616338209757649,0.05013762641554562,0.021786378424694955,0.15827610746921014,0.1348624544880087,0.0,0.0,0.0,-4.0,1.0,-1.0,1.0,3.0
DE LA ARAUCANIA,CURARREHUE,COMPLEJO EDUCACIONAL MONSENOR FRANCISCO VALDES SUBERCASEAUX,2M,3,8,9,42,2,17,2,0,8,2,4,13,1,1,29,25,15,3,91,25,-1,-1,1,5,13,41,4,2,13,12,19,72,0.022562833455881903,0.13405487712944972,0.23931458416114904,0.3826044028647042,0.0361518422253543,0.00938349522303172,0.08081970148749779,0.0951082634529314,0.010945169868036666,0.040401183360450406,0.12195725899828865,0.4616338209757649,0.05013762641554562,0.021786378424694955,0.15827610746921014,0.1348624544880087,2.0,3.0,-4.0,1.0,-2.0,0.0,4.0,-4.0
DE LA ARAUCANIA,CURARREHUE,COMPLEJO EDUCACIONAL MONSENOR FRANCISCO VALDES SUBERCASEAUX,3M,1,9,20,47,6,10,3,3,6,6,1,8,1,1,32,35,24,2,105,25,-1,-1,1,5,14,48,5,2,16,14,11,93,0.022562833455881903,0.13405487712944972,0.23931458416114904,0.3826044028647042,0.0361518422253543,0.00938349522303172,0.08081970148749779,0.0951082634529314,0.010945169868036666,0.040401183360450406,0.12195725899828865,0.4616338209757649,0.05013762641554562,0.021786378424694955,0.15827610746921014,0.1348624544880087,0.0,4.0,6.0,-1.0,1.0,4.0,-6.0,-8.0
DE LA ARAUCANIA,CURARREHUE,COMPLEJO EDUCACIONAL MONSENOR FRANCISCO VALDES SUBERCASEAUX,4M,1,5,13,48,5,15,0,0,7,0,1,6,1,2,43,29,8,4,94,25,-1,-1,1,5,13,43,4,2,14,12,10,84,0.022562833455881903,0.13405487712944972,0.23931458416114904,0.3826044028647042,0.0361518422253543,0.00938349522303172,0.08081970148749779,0.0951082634529314,0.010945169868036666,0.040401183360450406,0.12195725899828865,0.4616338209757649,0.05013762641554562,0.021786378424694955,0.15827610746921014,0.1348624544880087,0.0,0.0,0.0,5.0,1.0,-2.0,1.0,-5.0
DE LA ARAUCANIA,CURARREHUE,COMPLEJO EDUCACIONAL MONSENOR FRANCISCO VALDES SUBERCASEAUX,5M,1,7,17,45,4,17,0,0,18,0,1,7,0,29,37,26,4,4,109,25,-1,-1,2,8,18,47,5,2,14,13,37,71,0.022562833455881903,0.13405487712944972,0.23931458416114904,0.3826044028647042,0.0361518422253543,0.00938349522303172,0.08081970148749779,0.0951082634529314,0.010945169868036666,0.040401183360450406,0.12195725899828865,0.4616338209757649,0.05013762641554562,0.021786378424694955,0.15827610746921014,0.1348624544880087,-1.0,-1.0,-1.0,-2.0,-1.0,-2.0,3.0,5.0
DE LA ARAUCANIA,CURARREHUE,COMPLEJO EDUCACIONAL MONSENOR FRANCISCO VALDES SUBERCASEAUX,6M,0,7,17,63,8,24,1,0,20,1,2,4,1,70,30,28,5,0,140,25,-1,-1,2,13,26,59,6,2,16,16,77,63,0.022562833455881903,0.13405487712944972,0.23931458416114904,0.3826044028647042,0.0361518422253543,0.00938349522303172,0.08081970148749779,0.0951082634529314,0.010945169868036666,0.040401183360450406,0.12195725899828865,0.4616338209757649,0.05013762641554562,0.021786378424694955,0.15827610746921014,0.1348624544880087,-2.0,-6.0,-9.0,4.0,2.0,-1.0,8.0,4.0
