REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,HUALPIN,ESCUELA HORIZONTES,1M,1,15,7,64,5,29,2,3,22,5,2,8,23,11,37,34,25,8,148,16,-1,-1,2,15,19,53,7,6,21,25,148,0.010469432913336869,0.09909234436052643,0.12956189918865704,0.3613402093277009,0.04588568049790001,0.040472663655371256,0.14182957530981596,0.17134819474669152,-1.0,0.0,-12.0,11.0,-2.0,-1.0,8.0,-3.0
DE LA ARAUCANIA,HUALPIN,ESCUELA HORIZONTES,1V,2,17,15,55,7,15,0,5,25,5,2,14,12,11,35,36,24,7,141,16,-1,-1,2,14,18,51,6,6,20,24,141,0.010469432913336869,0.09909234436052643,0.12956189918865704,0.3613402093277009,0.04588568049790001,0.040472663655371256,0.14182957530981596,0.17134819474669152,0.0,3.0,-3.0,4.0,1.0,-1.0,-5.0,1.0
DE LA ARAUCANIA,HUALPIN,ESCUELA HORIZONTES,2M,0,20,19,58,5,29,2,1,27,3,2,10,16,18,48,41,23,3,161,16,-1,-1,2,16,21,58,7,6,23,28,161,0.010469432913336869,0.09909234436052643,0.12956189918865704,0.3613402093277009,0.04588568049790001,0.040472663655371256,0.14182957530981596,0.17134819474669152,-2.0,4.0,-2.0,0.0,-2.0,-3.0,6.0,-1.0
DE LA ARAUCANIA,HUALPIN,ESCUELA HORIZONTES,2V,4,14,22,43,9,17,3,1,23,4,8,5,8,10,33,32,33,7,136,16,-1,-1,1,14,18,49,6,6,19,23,136,0.010469432913336869,0.09909234436052643,0.12956189918865704,0.3613402093277009,0.04588568049790001,0.040472663655371256,0.14182957530981596,0.17134819474669152,3.0,0.0,4.0,-6.0,3.0,-2.0,-2.0,0.0
DE LA ARAUCANIA,HUALPIN,ESCUELA HORIZONTES,3M,1,12,12,52,4,13,1,0,25,1,0,9,3,6,29,41,26,6,120,16,-1,-1,1,12,16,43,5,5,17,21,120,0.010469432913336869,0.09909234436052643,0.12956189918865704,0.3613402093277009,0.04588568049790001,0.040472663655371256,0.14182957530981596,0.17134819474669152,0.0,0.0,-4.0,9.0,-1.0,-4.0,-4.0,4.0
DE LA ARAUCANIA,HUALPIN,ESCUELA HORIZONTES,3V,1,11,17,57,8,16,2,4,28,6,4,7,12,13,32,41,26,9,144,16,-1,-1,1,14,19,52,7,6,20,25,144,0.010469432913336869,0.09909234436052643,0.12956189918865704,0.3613402093277009,0.04588568049790001,0.040472663655371256,0.14182957530981596,0.17134819474669152,0.0,-3.0,-2.0,5.0,1.0,0.0,-4.0,3.0
DE LA ARAUCANIA,HUALPIN,ESCUELA HORIZONTES,4M,3,16,23,43,9,19,8,3,23,11,2,10,8,24,49,32,18,4,147,16,-1,-1,1,15,19,53,7,6,21,25,147,0.010469432913336869,0.09909234436052643,0.12956189918865704,0.3613402093277009,0.04588568049790001,0.040472663655371256,0.14182957530981596,0.17134819474669152,2.0,1.0,4.0,-10.0,2.0,5.0,-2.0,-2.0
DE LA ARAUCANIA,HUALPIN,ESCUELA HORIZONTES,4V,3,18,21,40,9,24,8,2,24,10,5,9,7,17,44,38,23,6,149,16,-1,-1,2,15,19,54,7,6,21,25,149,0.010469432913336869,0.09909234436052643,0.12956189918865704,0.3613402093277009,0.04588568049790001,0.040472663655371256,0.14182957530981596,0.17134819474669152,1.0,3.0,2.0,-14.0,2.0,4.0,3.0,-1.0
DE LA ARAUCANIA,HUALPIN,ESCUELA HORIZONTES,5M,0,11,22,45,7,27,1,5,29,6,3,9,6,47,35,25,16,6,147,16,-1,-1,1,15,19,53,7,6,21,25,147,0.010469432913336869,0.09909234436052643,0.12956189918865704,0.3613402093277009,0.04588568049790001,0.040472663655371256,0.14182957530981596,0.17134819474669152,-1.0,-4.0,3.0,-8.0,0.0,0.0,6.0,4.0
DE LA ARAUCANIA,HUALPIN,ESCUELA HORIZONTES,5V,4,15,22,50,3,23,4,5,23,9,4,7,11,30,48,30,15,6,149,16,-1,-1,2,15,19,54,7,6,21,25,151,0.010469432913336869,0.09909234436052643,0.12956189918865704,0.3613402093277009,0.04588568049790001,0.040472663655371256,0.14182957530981596,0.17134819474669152,2.0,0.0,3.0,-4.0,-4.0,3.0,2.0,-2.0
