REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,10,2,9,18,64,2,24,3,0,19,3,4,26,18,24,32,21,10,5,141,25,-1,-1,1,13,18,59,7,3,21,19,140,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,1.0,-4.0,0.0,5.0,-5.0,0.0,3.0,0.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,11,0,12,18,59,3,24,1,1,18,2,4,17,29,20,32,21,12,1,136,25,-1,-1,1,12,17,57,7,3,20,19,136,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,-1.0,0.0,1.0,2.0,-4.0,-1.0,4.0,-1.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,12,1,12,12,54,6,22,0,1,20,1,2,21,16,21,29,21,15,3,128,25,-1,-1,1,11,16,54,6,3,19,18,128,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,0.0,1.0,-4.0,0.0,0.0,-2.0,3.0,2.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,13,2,18,16,53,8,21,2,4,21,6,4,24,21,26,33,26,6,5,145,25,-1,-1,1,13,19,61,7,3,21,20,145,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,1.0,5.0,-3.0,-8.0,1.0,3.0,0.0,1.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,14,1,15,19,56,7,20,1,3,15,4,4,20,28,20,28,24,11,2,137,25,-1,-1,1,12,18,57,7,3,20,19,137,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,0.0,3.0,1.0,-1.0,0.0,1.0,0.0,-4.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,15,2,15,11,42,14,20,1,4,26,5,5,20,16,28,30,21,8,6,135,25,-1,-1,1,12,17,57,6,3,20,19,134,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,1.0,3.0,-6.0,-15.0,8.0,2.0,0.0,7.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,16,0,10,21,61,4,21,3,1,19,4,6,15,19,23,33,24,14,6,140,25,-1,-1,1,12,18,59,7,3,21,19,140,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,-1.0,-2.0,3.0,2.0,-3.0,1.0,0.0,0.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,17,0,6,12,55,6,29,0,1,16,1,6,13,25,19,28,13,16,5,125,25,-1,-1,1,11,16,52,6,3,19,17,125,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,-1.0,-5.0,-4.0,3.0,0.0,-2.0,10.0,-1.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,18,0,12,20,60,8,20,1,2,15,3,2,20,20,21,33,22,12,8,138,25,-1,-1,1,12,18,58,7,3,20,19,138,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,-1.0,0.0,2.0,2.0,1.0,0.0,0.0,-4.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,1M-2M-1V,0,11,22,65,9,17,3,3,25,6,1,22,32,25,29,24,17,5,155,25,-1,-1,1,14,20,65,7,4,23,21,155,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,-1.0,-3.0,2.0,0.0,2.0,2.0,-6.0,4.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,2V-3V,3,16,23,58,4,15,0,4,20,4,0,15,27,28,23,28,14,8,143,25,-1,-1,1,13,18,60,7,3,21,20,143,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,2.0,3.0,5.0,-2.0,-3.0,1.0,-6.0,0.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,3M-6,2,11,20,50,4,13,3,1,15,4,0,17,27,13,21,24,14,3,119,25,-1,-1,1,11,15,50,6,3,17,16,119,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,1.0,0.0,5.0,0.0,-2.0,1.0,-4.0,-1.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,4,0,12,13,58,7,18,0,1,15,1,3,19,27,19,19,22,14,1,124,25,-1,-1,1,11,16,52,6,3,18,17,124,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,-1.0,1.0,-3.0,6.0,1.0,-2.0,0.0,-2.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,5,2,16,20,44,8,20,2,2,17,4,2,21,20,17,22,29,15,5,131,25,-1,-1,1,12,17,55,6,3,19,18,131,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,1.0,4.0,3.0,-11.0,2.0,1.0,1.0,-1.0
DE LA ARAUCANIA,NUEVA TOLTEN,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,7-8-9,1,11,23,63,10,26,1,2,28,3,1,10,30,38,32,33,18,3,165,25,-1,-1,1,15,21,69,8,4,24,23,165,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,0.0,-4.0,2.0,-6.0,2.0,-1.0,2.0,5.0
DE LA ARAUCANIA,NUEVA TOLTEN,ESCUELA AGUAS Y GAVIOTAS,19,2,15,19,66,2,19,2,0,19,2,1,21,21,21,39,23,10,8,144,25,-1,-1,1,13,18,60,7,4,21,20,144,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,1.0,2.0,1.0,6.0,-5.0,-2.0,-2.0,-1.0
DE LA ARAUCANIA,NUEVA TOLTEN,ESCUELA AGUAS Y GAVIOTAS,20,0,6,17,66,12,14,3,2,20,5,3,17,20,23,36,22,16,3,140,25,-1,-1,1,12,18,59,7,3,21,19,140,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,-1.0,-6.0,-1.0,7.0,5.0,2.0,-7.0,1.0
DE LA ARAUCANIA,NUEVA TOLTEN,ESCUELA AGUAS Y GAVIOTAS,21,0,9,15,70,7,24,1,1,13,2,5,17,19,31,23,24,14,7,140,25,-1,-1,1,12,18,59,7,3,21,19,140,0.008662138956075743,0.08896678008718349,0.12797423668903193,0.41798699080337254,0.047364772225183,0.024260602996305863,0.14643978008262845,0.138344698160219,-1.0,-3.0,-3.0,11.0,0.0,-1.0,3.0,-6.0
