REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,PADRE LAS CASAS,COLEGIO BICENTENARIO ARAUCANIA,102,2,28,39,52,5,18,0,2,10,2,3,73,28,20,15,11,5,1,156,168,-1,-1,2,34,31,51,10,2,14,12,76,32,0.01211054115189603,0.2755081508256181,0.2314181594448885,0.2946477669349739,0.05779328734349013,0.010419242536672342,0.08221080432888561,0.035892047433575096,0.010209260275445484,0.2720401347846024,0.1825888382901548,0.34765964160955376,0.052694495889022586,0.001126559706197328,0.0754604225300937,0.05822064691492962,0.005737964864328148,0.1464003150657514,0.18771570783877015,0.3142197860709103,0.09131482686277423,0.014935270618881547,0.09731672311066761,0.1423594055679168,0.011120830584500141,0.0781433041887393,0.1282609691069678,0.40135409930487886,0.07534484360126227,0.028070829796239358,0.11256121788389328,0.16514390553351893,0.0,-6.0,8.0,1.0,-5.0,0.0,4.0,-2.0
DE LA ARAUCANIA,PADRE LAS CASAS,COLEGIO BICENTENARIO ARAUCANIA,103,1,26,24,48,10,13,2,1,6,3,0,68,17,15,18,10,3,0,131,168,-1,-1,1,28,26,43,8,2,12,11,68,31,0.01211054115189603,0.2755081508256181,0.2314181594448885,0.2946477669349739,0.05779328734349013,0.010419242536672342,0.08221080432888561,0.035892047433575096,0.010209260275445484,0.2720401347846024,0.1825888382901548,0.34765964160955376,0.052694495889022586,0.001126559706197328,0.0754604225300937,0.05822064691492962,0.005737964864328148,0.1464003150657514,0.18771570783877015,0.3142197860709103,0.09131482686277423,0.014935270618881547,0.09731672311066761,0.1423594055679168,0.011120830584500141,0.0781433041887393,0.1282609691069678,0.40135409930487886,0.07534484360126227,0.028070829796239358,0.11256121788389328,0.16514390553351893,0.0,-2.0,-2.0,5.0,2.0,1.0,1.0,-5.0
DE LA ARAUCANIA,PADRE LAS CASAS,COLEGIO BICENTENARIO ARAUCANIA,104,4,24,33,54,9,15,0,0,8,0,3,70,19,18,20,13,4,0,147,168,-1,-1,2,31,28,49,10,2,13,12,73,37,0.01211054115189603,0.2755081508256181,0.2314181594448885,0.2946477669349739,0.05779328734349013,0.010419242536672342,0.08221080432888561,0.035892047433575096,0.010209260275445484,0.2720401347846024,0.1825888382901548,0.34765964160955376,0.052694495889022586,0.001126559706197328,0.0754604225300937,0.05822064691492962,0.005737964864328148,0.1464003150657514,0.18771570783877015,0.3142197860709103,0.09131482686277423,0.014935270618881547,0.09731672311066761,0.1423594055679168,0.011120830584500141,0.0781433041887393,0.1282609691069678,0.40135409930487886,0.07534484360126227,0.028070829796239358,0.11256121788389328,0.16514390553351893,2.0,-7.0,5.0,5.0,-1.0,-2.0,2.0,-4.0
DE LA ARAUCANIA,PADRE LAS CASAS,COLEGIO BICENTENARIO ARAUCANIA,105,1,31,26,54,13,10,0,0,7,0,40,48,19,9,13,7,7,0,142,168,-1,-1,1,33,29,46,9,2,12,10,88,27,0.01211054115189603,0.2755081508256181,0.2314181594448885,0.2946477669349739,0.05779328734349013,0.010419242536672342,0.08221080432888561,0.035892047433575096,0.010209260275445484,0.2720401347846024,0.1825888382901548,0.34765964160955376,0.052694495889022586,0.001126559706197328,0.0754604225300937,0.05822064691492962,0.005737964864328148,0.1464003150657514,0.18771570783877015,0.3142197860709103,0.09131482686277423,0.014935270618881547,0.09731672311066761,0.1423594055679168,0.011120830584500141,0.0781433041887393,0.1282609691069678,0.40135409930487886,0.07534484360126227,0.028070829796239358,0.11256121788389328,0.16514390553351893,0.0,-2.0,-3.0,8.0,4.0,-2.0,-2.0,-3.0
DE LA ARAUCANIA,PADRE LAS CASAS,COLEGIO BICENTENARIO ARAUCANIA,106,2,24,28,52,10,20,0,1,11,1,99,14,16,8,7,1,3,0,148,168,-1,-1,2,37,32,46,9,2,12,8,113,11,0.01211054115189603,0.2755081508256181,0.2314181594448885,0.2946477669349739,0.05779328734349013,0.010419242536672342,0.08221080432888561,0.035892047433575096,0.010209260275445484,0.2720401347846024,0.1825888382901548,0.34765964160955376,0.052694495889022586,0.001126559706197328,0.0754604225300937,0.05822064691492962,0.005737964864328148,0.1464003150657514,0.18771570783877015,0.3142197860709103,0.09131482686277423,0.014935270618881547,0.09731672311066761,0.1423594055679168,0.011120830584500141,0.0781433041887393,0.1282609691069678,0.40135409930487886,0.07534484360126227,0.028070829796239358,0.11256121788389328,0.16514390553351893,0.0,-13.0,-4.0,6.0,1.0,-1.0,8.0,3.0
DE LA ARAUCANIA,PADRE LAS CASAS,COLEGIO BICENTENARIO ARAUCANIA,107,4,21,64,59,7,18,0,0,19,0,40,19,52,39,24,15,4,0,192,168,-1,-1,2,39,36,65,13,2,17,18,59,43,0.01211054115189603,0.2755081508256181,0.2314181594448885,0.2946477669349739,0.05779328734349013,0.010419242536672342,0.08221080432888561,0.035892047433575096,0.010209260275445484,0.2720401347846024,0.1825888382901548,0.34765964160955376,0.052694495889022586,0.001126559706197328,0.0754604225300937,0.05822064691492962,0.005737964864328148,0.1464003150657514,0.18771570783877015,0.3142197860709103,0.09131482686277423,0.014935270618881547,0.09731672311066761,0.1423594055679168,0.011120830584500141,0.0781433041887393,0.1282609691069678,0.40135409930487886,0.07534484360126227,0.028070829796239358,0.11256121788389328,0.16514390553351893,2.0,-18.0,28.0,-6.0,-6.0,-2.0,1.0,1.0
DE LA ARAUCANIA,PADRE LAS CASAS,COLEGIO BICENTENARIO ARAUCANIA,108,3,24,26,62,11,20,1,5,12,6,82,5,10,17,27,19,4,0,164,168,-1,-1,2,33,32,54,11,3,15,14,87,50,0.01211054115189603,0.2755081508256181,0.2314181594448885,0.2946477669349739,0.05779328734349013,0.010419242536672342,0.08221080432888561,0.035892047433575096,0.010209260275445484,0.2720401347846024,0.1825888382901548,0.34765964160955376,0.052694495889022586,0.001126559706197328,0.0754604225300937,0.05822064691492962,0.005737964864328148,0.1464003150657514,0.18771570783877015,0.3142197860709103,0.09131482686277423,0.014935270618881547,0.09731672311066761,0.1423594055679168,0.011120830584500141,0.0781433041887393,0.1282609691069678,0.40135409930487886,0.07534484360126227,0.028070829796239358,0.11256121788389328,0.16514390553351893,1.0,-9.0,-6.0,8.0,0.0,3.0,5.0,-2.0
DE LA ARAUCANIA,PADRE LAS CASAS,COLEGIO BICENTENARIO ARAUCANIA,109,4,50,49,65,14,10,0,1,16,1,3,76,115,14,0,1,0,0,209,168,-1,-1,2,55,42,68,12,1,17,12,79,1,0.01211054115189603,0.2755081508256181,0.2314181594448885,0.2946477669349739,0.05779328734349013,0.010419242536672342,0.08221080432888561,0.035892047433575096,0.010209260275445484,0.2720401347846024,0.1825888382901548,0.34765964160955376,0.052694495889022586,0.001126559706197328,0.0754604225300937,0.05822064691492962,0.005737964864328148,0.1464003150657514,0.18771570783877015,0.3142197860709103,0.09131482686277423,0.014935270618881547,0.09731672311066761,0.1423594055679168,0.011120830584500141,0.0781433041887393,0.1282609691069678,0.40135409930487886,0.07534484360126227,0.028070829796239358,0.11256121788389328,0.16514390553351893,2.0,-5.0,7.0,-3.0,2.0,0.0,-7.0,4.0
DE LA ARAUCANIA,PADRE LAS CASAS,COLEGIO BICENTENARIO ARAUCANIA,110,1,21,19,33,7,14,0,0,10,0,30,17,21,16,11,9,0,1,105,168,-1,-1,1,23,20,35,7,1,9,9,47,21,0.01211054115189603,0.2755081508256181,0.2314181594448885,0.2946477669349739,0.05779328734349013,0.010419242536672342,0.08221080432888561,0.035892047433575096,0.010209260275445484,0.2720401347846024,0.1825888382901548,0.34765964160955376,0.052694495889022586,0.001126559706197328,0.0754604225300937,0.05822064691492962,0.005737964864328148,0.1464003150657514,0.18771570783877015,0.3142197860709103,0.09131482686277423,0.014935270618881547,0.09731672311066761,0.1423594055679168,0.011120830584500141,0.0781433041887393,0.1282609691069678,0.40135409930487886,0.07534484360126227,0.028070829796239358,0.11256121788389328,0.16514390553351893,0.0,-2.0,-1.0,-2.0,0.0,-1.0,5.0,1.0
DE LA ARAUCANIA,PADRE LAS CASAS,COLEGIO BICENTENARIO ARAUCANIA,111,2,20,53,66,18,20,0,1,22,1,0,0,15,71,58,43,12,3,202,168,-1,-1,2,24,31,74,16,4,21,30,0,116,0.01211054115189603,0.2755081508256181,0.2314181594448885,0.2946477669349739,0.05779328734349013,0.010419242536672342,0.08221080432888561,0.035892047433575096,0.010209260275445484,0.2720401347846024,0.1825888382901548,0.34765964160955376,0.052694495889022586,0.001126559706197328,0.0754604225300937,0.05822064691492962,0.005737964864328148,0.1464003150657514,0.18771570783877015,0.3142197860709103,0.09131482686277423,0.014935270618881547,0.09731672311066761,0.1423594055679168,0.011120830584500141,0.0781433041887393,0.1282609691069678,0.40135409930487886,0.07534484360126227,0.028070829796239358,0.11256121788389328,0.16514390553351893,0.0,-4.0,22.0,-8.0,2.0,-3.0,-1.0,-8.0
