REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,PEDRO DE VALDIVIA (TEMUCO),ESCUELA CAMPOS DEPORTIVOS,38,2,35,41,42,6,15,0,0,18,0,4,101,5,11,20,12,4,2,159,58,-1,-1,3,34,36,46,11,1,16,12,105,38,0.026594848917170892,0.2708690957693611,0.25487139401733505,0.2573204243837239,0.0648469408908557,0.0018492546190634442,0.09344067940004751,0.030207362002442513,0.007567171285557467,0.30636124544117993,0.1353934072184241,0.34774498196096704,0.06996813062248053,0.010737791288489848,0.07226293610999343,0.04996433607290771,0.002825798949243354,0.17580151776760453,0.12542470224566263,0.4168829209318375,0.09559357062062158,0.011388269642944305,0.08122103002843196,0.09086218981365426,0.000690159630006333,0.05593979784703946,0.18551818141063442,0.3386422954938274,0.07846345606279695,0.02070853879755737,0.1360845288868484,0.18395304187128964,-1.0,1.0,5.0,-4.0,-5.0,-1.0,-1.0,6.0
DE LA ARAUCANIA,PEDRO DE VALDIVIA (TEMUCO),ESCUELA CAMPOS DEPORTIVOS,39,6,42,34,37,12,13,2,1,7,3,10,106,4,8,12,8,5,1,154,58,-1,-1,3,36,36,43,11,1,15,9,116,26,0.026594848917170892,0.2708690957693611,0.25487139401733505,0.2573204243837239,0.0648469408908557,0.0018492546190634442,0.09344067940004751,0.030207362002442513,0.007567171285557467,0.30636124544117993,0.1353934072184241,0.34774498196096704,0.06996813062248053,0.010737791288489848,0.07226293610999343,0.04996433607290771,0.002825798949243354,0.17580151776760453,0.12542470224566263,0.4168829209318375,0.09559357062062158,0.011388269642944305,0.08122103002843196,0.09086218981365426,0.000690159630006333,0.05593979784703946,0.18551818141063442,0.3386422954938274,0.07846345606279695,0.02070853879755737,0.1360845288868484,0.18395304187128964,3.0,6.0,-2.0,-6.0,1.0,2.0,-2.0,-2.0
DE LA ARAUCANIA,PEDRO DE VALDIVIA (TEMUCO),ESCUELA CAMPOS DEPORTIVOS,40,1,33,32,45,7,16,1,0,9,1,5,60,20,15,28,13,2,1,144,58,-1,-1,2,29,29,45,11,1,15,12,65,44,0.026594848917170892,0.2708690957693611,0.25487139401733505,0.2573204243837239,0.0648469408908557,0.0018492546190634442,0.09344067940004751,0.030207362002442513,0.007567171285557467,0.30636124544117993,0.1353934072184241,0.34774498196096704,0.06996813062248053,0.010737791288489848,0.07226293610999343,0.04996433607290771,0.002825798949243354,0.17580151776760453,0.12542470224566263,0.4168829209318375,0.09559357062062158,0.011388269642944305,0.08122103002843196,0.09086218981365426,0.000690159630006333,0.05593979784703946,0.18551818141063442,0.3386422954938274,0.07846345606279695,0.02070853879755737,0.1360845288868484,0.18395304187128964,-1.0,4.0,3.0,0.0,-4.0,0.0,1.0,-3.0
DE LA ARAUCANIA,PEDRO DE VALDIVIA (TEMUCO),ESCUELA CAMPOS DEPORTIVOS,41,5,29,33,60,5,16,0,1,6,1,8,80,9,23,25,6,4,0,155,58,-1,-1,2,33,33,47,11,1,16,12,88,35,0.026594848917170892,0.2708690957693611,0.25487139401733505,0.2573204243837239,0.0648469408908557,0.0018492546190634442,0.09344067940004751,0.030207362002442513,0.007567171285557467,0.30636124544117993,0.1353934072184241,0.34774498196096704,0.06996813062248053,0.010737791288489848,0.07226293610999343,0.04996433607290771,0.002825798949243354,0.17580151776760453,0.12542470224566263,0.4168829209318375,0.09559357062062158,0.011388269642944305,0.08122103002843196,0.09086218981365426,0.000690159630006333,0.05593979784703946,0.18551818141063442,0.3386422954938274,0.07846345606279695,0.02070853879755737,0.1360845288868484,0.18395304187128964,3.0,-4.0,0.0,13.0,-6.0,0.0,0.0,-6.0
DE LA ARAUCANIA,PEDRO DE VALDIVIA (TEMUCO),ESCUELA CAMPOS DEPORTIVOS,42,1,33,35,48,9,15,1,0,14,1,4,69,21,17,22,16,4,2,156,58,-1,-1,2,32,32,48,11,2,16,13,73,44,0.026594848917170892,0.2708690957693611,0.25487139401733505,0.2573204243837239,0.0648469408908557,0.0018492546190634442,0.09344067940004751,0.030207362002442513,0.007567171285557467,0.30636124544117993,0.1353934072184241,0.34774498196096704,0.06996813062248053,0.010737791288489848,0.07226293610999343,0.04996433607290771,0.002825798949243354,0.17580151776760453,0.12542470224566263,0.4168829209318375,0.09559357062062158,0.011388269642944305,0.08122103002843196,0.09086218981365426,0.000690159630006333,0.05593979784703946,0.18551818141063442,0.3386422954938274,0.07846345606279695,0.02070853879755737,0.1360845288868484,0.18395304187128964,-1.0,1.0,3.0,0.0,-2.0,-1.0,-1.0,1.0
DE LA ARAUCANIA,PEDRO DE VALDIVIA (TEMUCO),ESCUELA CAMPOS DEPORTIVOS,43,4,29,37,40,10,18,0,1,9,1,3,101,9,13,14,5,2,1,148,58,-1,-1,3,35,33,43,10,1,14,9,104,22,0.026594848917170892,0.2708690957693611,0.25487139401733505,0.2573204243837239,0.0648469408908557,0.0018492546190634442,0.09344067940004751,0.030207362002442513,0.007567171285557467,0.30636124544117993,0.1353934072184241,0.34774498196096704,0.06996813062248053,0.010737791288489848,0.07226293610999343,0.04996433607290771,0.002825798949243354,0.17580151776760453,0.12542470224566263,0.4168829209318375,0.09559357062062158,0.011388269642944305,0.08122103002843196,0.09086218981365426,0.000690159630006333,0.05593979784703946,0.18551818141063442,0.3386422954938274,0.07846345606279695,0.02070853879755737,0.1360845288868484,0.18395304187128964,1.0,-6.0,4.0,-3.0,0.0,0.0,4.0,0.0
DE LA ARAUCANIA,PEDRO DE VALDIVIA (TEMUCO),ESCUELA CAMPOS DEPORTIVOS,44,4,34,31,58,16,17,1,1,10,2,2,107,14,14,19,11,4,1,172,58,-1,-1,3,38,38,51,12,1,17,12,109,35,0.026594848917170892,0.2708690957693611,0.25487139401733505,0.2573204243837239,0.0648469408908557,0.0018492546190634442,0.09344067940004751,0.030207362002442513,0.007567171285557467,0.30636124544117993,0.1353934072184241,0.34774498196096704,0.06996813062248053,0.010737791288489848,0.07226293610999343,0.04996433607290771,0.002825798949243354,0.17580151776760453,0.12542470224566263,0.4168829209318375,0.09559357062062158,0.011388269642944305,0.08122103002843196,0.09086218981365426,0.000690159630006333,0.05593979784703946,0.18551818141063442,0.3386422954938274,0.07846345606279695,0.02070853879755737,0.1360845288868484,0.18395304187128964,1.0,-4.0,-7.0,7.0,4.0,1.0,0.0,-2.0
DE LA ARAUCANIA,PEDRO DE VALDIVIA (TEMUCO),ESCUELA CAMPOS DEPORTIVOS,45,5,36,34,49,10,17,0,0,8,0,2,89,14,8,27,13,3,1,159,58,-1,-1,3,33,35,47,11,1,16,13,91,44,0.026594848917170892,0.2708690957693611,0.25487139401733505,0.2573204243837239,0.0648469408908557,0.0018492546190634442,0.09344067940004751,0.030207362002442513,0.007567171285557467,0.30636124544117993,0.1353934072184241,0.34774498196096704,0.06996813062248053,0.010737791288489848,0.07226293610999343,0.04996433607290771,0.002825798949243354,0.17580151776760453,0.12542470224566263,0.4168829209318375,0.09559357062062158,0.011388269642944305,0.08122103002843196,0.09086218981365426,0.000690159630006333,0.05593979784703946,0.18551818141063442,0.3386422954938274,0.07846345606279695,0.02070853879755737,0.1360845288868484,0.18395304187128964,2.0,3.0,-1.0,2.0,-1.0,-1.0,1.0,-5.0
DE LA ARAUCANIA,PEDRO DE VALDIVIA (TEMUCO),ESCUELA CAMPOS DEPORTIVOS,46,2,16,38,53,14,12,0,0,12,0,23,71,9,12,14,12,4,2,147,58,-1,-1,3,32,33,43,10,1,15,10,94,32,0.026594848917170892,0.2708690957693611,0.25487139401733505,0.2573204243837239,0.0648469408908557,0.0018492546190634442,0.09344067940004751,0.030207362002442513,0.007567171285557467,0.30636124544117993,0.1353934072184241,0.34774498196096704,0.06996813062248053,0.010737791288489848,0.07226293610999343,0.04996433607290771,0.002825798949243354,0.17580151776760453,0.12542470224566263,0.4168829209318375,0.09559357062062158,0.011388269642944305,0.08122103002843196,0.09086218981365426,0.000690159630006333,0.05593979784703946,0.18551818141063442,0.3386422954938274,0.07846345606279695,0.02070853879755737,0.1360845288868484,0.18395304187128964,-1.0,-16.0,5.0,10.0,4.0,-1.0,-3.0,2.0
DE LA ARAUCANIA,PEDRO DE VALDIVIA (TEMUCO),ESCUELA CAMPOS DEPORTIVOS,47,7,27,32,39,10,24,1,0,12,1,75,15,11,9,19,17,4,2,152,58,-1,-1,2,32,33,45,11,1,16,12,90,42,0.026594848917170892,0.2708690957693611,0.25487139401733505,0.2573204243837239,0.0648469408908557,0.0018492546190634442,0.09344067940004751,0.030207362002442513,0.007567171285557467,0.30636124544117993,0.1353934072184241,0.34774498196096704,0.06996813062248053,0.010737791288489848,0.07226293610999343,0.04996433607290771,0.002825798949243354,0.17580151776760453,0.12542470224566263,0.4168829209318375,0.09559357062062158,0.011388269642944305,0.08122103002843196,0.09086218981365426,0.000690159630006333,0.05593979784703946,0.18551818141063442,0.3386422954938274,0.07846345606279695,0.02070853879755737,0.1360845288868484,0.18395304187128964,5.0,-5.0,-1.0,-6.0,-1.0,0.0,8.0,0.0
