REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,40+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40+,P_FRANCO ALDO PARISI_40+,P_GABRIEL BORIC_40+,P_JOSE ANTONIO KAST_40+,P_MARCO ENRIQUEZ-OMINAMI_40+,P_NULO BLANCO_40+,P_SEBASTIAN SICHEL_40+,P_YASNA PROVOSTE_40+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,10M,2,19,22,57,16,10,2,4,33,6,5,8,38,51,31,18,12,3,165,33,-1,-1,3,17,26,47,13,6,14,39,51,115,0.021150071206835198,0.23457105189752162,0.18598434265507727,0.30925135864131326,0.0693239960411429,0.004856843585105541,0.044652179108437696,0.13021015686456652,0.019925954776010193,0.043078156933095545,0.14629740845500824,0.2756684125936738,0.08591856060523757,0.04886271845683107,0.09973433529134247,0.28051445288880117,-1.0,2.0,-4.0,10.0,3.0,0.0,-4.0,-6.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,11M,3,17,22,42,12,19,2,4,48,6,2,8,60,21,28,26,20,4,169,33,-1,-1,3,21,28,49,13,5,13,37,70,99,0.021150071206835198,0.23457105189752162,0.18598434265507727,0.30925135864131326,0.0693239960411429,0.004856843585105541,0.044652179108437696,0.13021015686456652,0.019925954776010193,0.043078156933095545,0.14629740845500824,0.2756684125936738,0.08591856060523757,0.04886271845683107,0.09973433529134247,0.28051445288880117,0.0,-4.0,-6.0,-7.0,-1.0,1.0,6.0,11.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,12M,5,12,17,35,6,8,1,2,28,3,1,10,38,25,13,17,8,2,114,33,-1,-1,2,14,19,33,9,3,9,25,49,65,0.021150071206835198,0.23457105189752162,0.18598434265507727,0.30925135864131326,0.0693239960411429,0.004856843585105541,0.044652179108437696,0.13021015686456652,0.019925954776010193,0.043078156933095545,0.14629740845500824,0.2756684125936738,0.08591856060523757,0.04886271845683107,0.09973433529134247,0.28051445288880117,3.0,-2.0,-2.0,2.0,-3.0,0.0,-1.0,3.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,18,3,19,15,20,8,4,0,1,19,1,6,56,13,4,5,3,2,0,89,33,-1,-1,2,18,16,27,6,1,5,14,75,14,0.021150071206835198,0.23457105189752162,0.18598434265507727,0.30925135864131326,0.0693239960411429,0.004856843585105541,0.044652179108437696,0.13021015686456652,0.019925954776010193,0.043078156933095545,0.14629740845500824,0.2756684125936738,0.08591856060523757,0.04886271845683107,0.09973433529134247,0.28051445288880117,1.0,1.0,-1.0,-7.0,2.0,0.0,-1.0,5.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,19,2,18,23,38,9,6,2,0,25,2,7,39,18,18,22,13,6,0,123,33,-1,-1,2,18,21,36,9,3,9,25,64,59,0.021150071206835198,0.23457105189752162,0.18598434265507727,0.30925135864131326,0.0693239960411429,0.004856843585105541,0.044652179108437696,0.13021015686456652,0.019925954776010193,0.043078156933095545,0.14629740845500824,0.2756684125936738,0.08591856060523757,0.04886271845683107,0.09973433529134247,0.28051445288880117,0.0,0.0,2.0,2.0,0.0,-1.0,-3.0,0.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,1M,1,13,14,32,8,10,4,3,20,7,2,17,3,4,17,38,20,4,105,33,-1,-1,2,9,16,30,9,4,9,26,22,83,0.021150071206835198,0.23457105189752162,0.18598434265507727,0.30925135864131326,0.0693239960411429,0.004856843585105541,0.044652179108437696,0.13021015686456652,0.019925954776010193,0.043078156933095545,0.14629740845500824,0.2756684125936738,0.08591856060523757,0.04886271845683107,0.09973433529134247,0.28051445288880117,-1.0,4.0,-2.0,2.0,-1.0,3.0,1.0,-6.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,20,0,19,32,24,7,8,0,2,28,2,10,42,26,9,11,12,8,2,120,33,-1,-1,2,20,21,36,9,2,8,22,78,42,0.021150071206835198,0.23457105189752162,0.18598434265507727,0.30925135864131326,0.0693239960411429,0.004856843585105541,0.044652179108437696,0.13021015686456652,0.019925954776010193,0.043078156933095545,0.14629740845500824,0.2756684125936738,0.08591856060523757,0.04886271845683107,0.09973433529134247,0.28051445288880117,-2.0,-1.0,11.0,-12.0,-2.0,0.0,0.0,6.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,21,3,16,23,34,8,10,0,2,20,2,15,25,19,13,13,19,10,2,116,33,-1,-1,3,16,19,34,9,3,8,24,59,57,0.021150071206835198,0.23457105189752162,0.18598434265507727,0.30925135864131326,0.0693239960411429,0.004856843585105541,0.044652179108437696,0.13021015686456652,0.019925954776010193,0.043078156933095545,0.14629740845500824,0.2756684125936738,0.08591856060523757,0.04886271845683107,0.09973433529134247,0.28051445288880117,0.0,0.0,4.0,0.0,-1.0,-1.0,2.0,-4.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,2M,3,7,21,29,9,6,0,0,36,0,4,13,4,1,13,42,29,5,111,33,-1,-1,2,9,17,31,9,5,10,28,21,90,0.021150071206835198,0.23457105189752162,0.18598434265507727,0.30925135864131326,0.0693239960411429,0.004856843585105541,0.044652179108437696,0.13021015686456652,0.019925954776010193,0.043078156933095545,0.14629740845500824,0.2756684125936738,0.08591856060523757,0.04886271845683107,0.09973433529134247,0.28051445288880117,1.0,-2.0,4.0,-2.0,0.0,-5.0,-4.0,8.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,3M,3,7,16,46,10,15,1,1,38,2,3,10,1,8,31,47,26,11,137,33,-1,-1,3,9,21,38,11,6,13,36,14,123,0.021150071206835198,0.23457105189752162,0.18598434265507727,0.30925135864131326,0.0693239960411429,0.004856843585105541,0.044652179108437696,0.13021015686456652,0.019925954776010193,0.043078156933095545,0.14629740845500824,0.2756684125936738,0.08591856060523757,0.04886271845683107,0.09973433529134247,0.28051445288880117,0.0,-2.0,-5.0,8.0,-1.0,-4.0,2.0,2.0
