REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,40+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40+,P_FRANCO ALDO PARISI_40+,P_GABRIEL BORIC_40+,P_JOSE ANTONIO KAST_40+,P_MARCO ENRIQUEZ-OMINAMI_40+,P_NULO BLANCO_40+,P_SEBASTIAN SICHEL_40+,P_YASNA PROVOSTE_40+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,TEODORO SCHMIDT,COMPLEJO EDUCACIONAL NUEVA ALBORADA,10M,3,12,17,69,6,19,0,1,7,1,2,17,23,25,31,25,9,2,134,31,-1,-1,1,14,14,59,6,3,22,15,42,92,0.002165233130456911,0.1683421900362645,0.15723672036605824,0.40628170582219675,0.05088766283401515,0.003667850644414577,0.08070253218533453,0.1307161049812594,0.007416947702109856,0.07238556082891655,0.08394204339534518,0.4553463989531434,0.04434257255586491,0.037919251791784896,0.19872999519121298,0.09991722958162225,2.0,-2.0,3.0,10.0,0.0,-2.0,-3.0,-8.0
DE LA ARAUCANIA,TEODORO SCHMIDT,COMPLEJO EDUCACIONAL NUEVA ALBORADA,11M,0,16,9,76,10,32,5,2,19,7,6,5,6,49,55,33,11,4,169,31,-1,-1,1,14,15,76,8,6,32,17,17,152,0.002165233130456911,0.1683421900362645,0.15723672036605824,0.40628170582219675,0.05088766283401515,0.003667850644414577,0.08070253218533453,0.1307161049812594,0.007416947702109856,0.07238556082891655,0.08394204339534518,0.4553463989531434,0.04434257255586491,0.037919251791784896,0.19872999519121298,0.09991722958162225,-1.0,2.0,-6.0,0.0,2.0,1.0,0.0,2.0
DE LA ARAUCANIA,TEODORO SCHMIDT,COMPLEJO EDUCACIONAL NUEVA ALBORADA,12M,1,11,9,49,3,24,0,4,13,4,3,12,11,36,31,14,6,1,114,31,-1,-1,1,11,11,51,5,3,20,12,26,88,0.002165233130456911,0.1683421900362645,0.15723672036605824,0.40628170582219675,0.05088766283401515,0.003667850644414577,0.08070253218533453,0.1307161049812594,0.007416947702109856,0.07238556082891655,0.08394204339534518,0.4553463989531434,0.04434257255586491,0.037919251791784896,0.19872999519121298,0.09991722958162225,0.0,0.0,-2.0,-2.0,-2.0,1.0,4.0,1.0
DE LA ARAUCANIA,TEODORO SCHMIDT,COMPLEJO EDUCACIONAL NUEVA ALBORADA,13M,1,25,16,77,8,23,2,1,15,3,3,22,26,54,33,15,14,1,168,31,-1,-1,1,17,18,74,8,5,27,18,51,117,0.002165233130456911,0.1683421900362645,0.15723672036605824,0.40628170582219675,0.05088766283401515,0.003667850644414577,0.08070253218533453,0.1307161049812594,0.007416947702109856,0.07238556082891655,0.08394204339534518,0.4553463989531434,0.04434257255586491,0.037919251791784896,0.19872999519121298,0.09991722958162225,0.0,8.0,-2.0,3.0,0.0,-2.0,-4.0,-3.0
DE LA ARAUCANIA,TEODORO SCHMIDT,COMPLEJO EDUCACIONAL NUEVA ALBORADA,14M,1,12,19,69,8,26,0,1,21,1,2,14,52,34,26,10,18,1,157,31,-1,-1,1,18,18,68,7,4,23,18,68,89,0.002165233130456911,0.1683421900362645,0.15723672036605824,0.40628170582219675,0.05088766283401515,0.003667850644414577,0.08070253218533453,0.1307161049812594,0.007416947702109856,0.07238556082891655,0.08394204339534518,0.4553463989531434,0.04434257255586491,0.037919251791784896,0.19872999519121298,0.09991722958162225,0.0,-6.0,1.0,1.0,1.0,-3.0,3.0,3.0
DE LA ARAUCANIA,TEODORO SCHMIDT,COMPLEJO EDUCACIONAL NUEVA ALBORADA,15M-8V,1,14,20,46,7,18,0,1,19,1,6,47,15,6,22,19,7,4,126,31,-1,-1,1,16,15,54,6,2,17,15,68,58,0.002165233130456911,0.1683421900362645,0.15723672036605824,0.40628170582219675,0.05088766283401515,0.003667850644414577,0.08070253218533453,0.1307161049812594,0.007416947702109856,0.07238556082891655,0.08394204339534518,0.4553463989531434,0.04434257255586491,0.037919251791784896,0.19872999519121298,0.09991722958162225,0.0,-2.0,5.0,-8.0,1.0,-1.0,1.0,4.0
DE LA ARAUCANIA,TEODORO SCHMIDT,COMPLEJO EDUCACIONAL NUEVA ALBORADA,1M,0,8,13,38,1,22,2,3,10,5,0,6,1,2,13,41,23,11,97,31,-1,-1,1,8,9,44,4,3,18,10,7,90,0.002165233130456911,0.1683421900362645,0.15723672036605824,0.40628170582219675,0.05088766283401515,0.003667850644414577,0.08070253218533453,0.1307161049812594,0.007416947702109856,0.07238556082891655,0.08394204339534518,0.4553463989531434,0.04434257255586491,0.037919251791784896,0.19872999519121298,0.09991722958162225,-1.0,0.0,4.0,-6.0,-3.0,2.0,4.0,0.0
DE LA ARAUCANIA,TEODORO SCHMIDT,COMPLEJO EDUCACIONAL NUEVA ALBORADA,2M,3,6,8,43,1,15,2,1,10,3,0,8,2,15,25,29,8,2,89,31,-1,-1,1,7,8,40,4,3,17,9,10,79,0.002165233130456911,0.1683421900362645,0.15723672036605824,0.40628170582219675,0.05088766283401515,0.003667850644414577,0.08070253218533453,0.1307161049812594,0.007416947702109856,0.07238556082891655,0.08394204339534518,0.4553463989531434,0.04434257255586491,0.037919251791784896,0.19872999519121298,0.09991722958162225,2.0,-1.0,0.0,3.0,-3.0,0.0,-2.0,1.0
DE LA ARAUCANIA,TEODORO SCHMIDT,COMPLEJO EDUCACIONAL NUEVA ALBORADA,3M,0,11,8,49,9,23,2,3,13,5,1,7,1,37,20,29,18,5,118,31,-1,-1,1,10,11,53,5,4,22,12,9,109,0.002165233130456911,0.1683421900362645,0.15723672036605824,0.40628170582219675,0.05088766283401515,0.003667850644414577,0.08070253218533453,0.1307161049812594,0.007416947702109856,0.07238556082891655,0.08394204339534518,0.4553463989531434,0.04434257255586491,0.037919251791784896,0.19872999519121298,0.09991722958162225,-1.0,1.0,-3.0,-4.0,4.0,1.0,1.0,1.0
DE LA ARAUCANIA,TEODORO SCHMIDT,COMPLEJO EDUCACIONAL NUEVA ALBORADA,4M,2,10,6,50,4,18,1,2,14,3,1,6,28,21,18,21,6,6,107,31,-1,-1,1,11,11,47,5,3,17,12,35,72,0.002165233130456911,0.1683421900362645,0.15723672036605824,0.40628170582219675,0.05088766283401515,0.003667850644414577,0.08070253218533453,0.1307161049812594,0.007416947702109856,0.07238556082891655,0.08394204339534518,0.4553463989531434,0.04434257255586491,0.037919251791784896,0.19872999519121298,0.09991722958162225,1.0,-1.0,-5.0,3.0,-1.0,0.0,1.0,2.0
