REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,TRAIGUEN,COLEGIO BICENTENARIO LOUIS PASTEUR,14M,2,10,30,57,3,7,3,0,16,3,1,6,34,1,43,26,13,4,128,65,-1,-1,1,8,19,62,7,3,12,16,7,86,0.028589799414420563,0.12016834159995192,0.25531225335166635,0.3725207564963348,0.041558396887161016,0.010631522947865964,0.047937005720762926,0.12328192358183669,0.006784051772641055,0.10726051528751818,0.1458342898382914,0.5149714489371302,0.05077629743730258,0.02820749456342847,0.031672599798556626,0.11449330236513157,0.014215309424121234,0.04928677212837777,0.13648747763730487,0.4945332863130426,0.05645150426755873,0.015308919314391675,0.11747927620067035,0.11623745471453276,0.009631357291051648,0.03876317800576188,0.13724808583564024,0.4870368855228382,0.056760353116639184,0.025937524721616867,0.1178845811582333,0.12673803434821856,1.0,2.0,11.0,-5.0,-4.0,0.0,-5.0,0.0
DE LA ARAUCANIA,TRAIGUEN,COLEGIO BICENTENARIO LOUIS PASTEUR,15M,0,9,20,45,11,11,1,1,12,2,1,31,9,1,33,16,16,3,110,65,-1,-1,2,7,19,50,6,2,10,14,32,68,0.028589799414420563,0.12016834159995192,0.25531225335166635,0.3725207564963348,0.041558396887161016,0.010631522947865964,0.047937005720762926,0.12328192358183669,0.006784051772641055,0.10726051528751818,0.1458342898382914,0.5149714489371302,0.05077629743730258,0.02820749456342847,0.031672599798556626,0.11449330236513157,0.014215309424121234,0.04928677212837777,0.13648747763730487,0.4945332863130426,0.05645150426755873,0.015308919314391675,0.11747927620067035,0.11623745471453276,0.009631357291051648,0.03876317800576188,0.13724808583564024,0.4870368855228382,0.056760353116639184,0.025937524721616867,0.1178845811582333,0.12673803434821856,-2.0,2.0,1.0,-5.0,5.0,0.0,1.0,-2.0
DE LA ARAUCANIA,TRAIGUEN,COLEGIO BICENTENARIO LOUIS PASTEUR,16M,4,13,21,71,3,10,0,2,13,2,2,13,27,1,35,33,20,6,137,65,-1,-1,2,8,21,66,7,3,13,17,15,94,0.028589799414420563,0.12016834159995192,0.25531225335166635,0.3725207564963348,0.041558396887161016,0.010631522947865964,0.047937005720762926,0.12328192358183669,0.006784051772641055,0.10726051528751818,0.1458342898382914,0.5149714489371302,0.05077629743730258,0.02820749456342847,0.031672599798556626,0.11449330236513157,0.014215309424121234,0.04928677212837777,0.13648747763730487,0.4945332863130426,0.05645150426755873,0.015308919314391675,0.11747927620067035,0.11623745471453276,0.009631357291051648,0.03876317800576188,0.13724808583564024,0.4870368855228382,0.056760353116639184,0.025937524721616867,0.1178845811582333,0.12673803434821856,2.0,5.0,0.0,5.0,-4.0,-1.0,-3.0,-4.0
DE LA ARAUCANIA,TRAIGUEN,COLEGIO BICENTENARIO LOUIS PASTEUR,17M,1,5,26,61,11,14,2,1,12,3,3,30,3,0,46,32,15,3,133,65,-1,-1,2,8,22,61,7,3,13,17,33,96,0.028589799414420563,0.12016834159995192,0.25531225335166635,0.3725207564963348,0.041558396887161016,0.010631522947865964,0.047937005720762926,0.12328192358183669,0.006784051772641055,0.10726051528751818,0.1458342898382914,0.5149714489371302,0.05077629743730258,0.02820749456342847,0.031672599798556626,0.11449330236513157,0.014215309424121234,0.04928677212837777,0.13648747763730487,0.4945332863130426,0.05645150426755873,0.015308919314391675,0.11747927620067035,0.11623745471453276,0.009631357291051648,0.03876317800576188,0.13724808583564024,0.4870368855228382,0.056760353116639184,0.025937524721616867,0.1178845811582333,0.12673803434821856,-1.0,-3.0,4.0,0.0,4.0,0.0,1.0,-5.0
DE LA ARAUCANIA,TRAIGUEN,COLEGIO BICENTENARIO LOUIS PASTEUR,18M,2,9,26,60,9,12,1,0,11,1,0,35,5,2,39,32,12,5,130,65,-1,-1,2,8,22,60,7,3,12,16,35,88,0.028589799414420563,0.12016834159995192,0.25531225335166635,0.3725207564963348,0.041558396887161016,0.010631522947865964,0.047937005720762926,0.12328192358183669,0.006784051772641055,0.10726051528751818,0.1458342898382914,0.5149714489371302,0.05077629743730258,0.02820749456342847,0.031672599798556626,0.11449330236513157,0.014215309424121234,0.04928677212837777,0.13648747763730487,0.4945332863130426,0.05645150426755873,0.015308919314391675,0.11747927620067035,0.11623745471453276,0.009631357291051648,0.03876317800576188,0.13724808583564024,0.4870368855228382,0.056760353116639184,0.025937524721616867,0.1178845811582333,0.12673803434821856,0.0,1.0,4.0,0.0,2.0,-2.0,0.0,-5.0
DE LA ARAUCANIA,TRAIGUEN,COLEGIO BICENTENARIO LOUIS PASTEUR,19M,4,7,25,56,5,16,3,1,15,4,4,35,2,3,41,31,12,4,132,65,-1,-1,2,8,23,60,7,3,13,16,39,88,0.028589799414420563,0.12016834159995192,0.25531225335166635,0.3725207564963348,0.041558396887161016,0.010631522947865964,0.047937005720762926,0.12328192358183669,0.006784051772641055,0.10726051528751818,0.1458342898382914,0.5149714489371302,0.05077629743730258,0.02820749456342847,0.031672599798556626,0.11449330236513157,0.014215309424121234,0.04928677212837777,0.13648747763730487,0.4945332863130426,0.05645150426755873,0.015308919314391675,0.11747927620067035,0.11623745471453276,0.009631357291051648,0.03876317800576188,0.13724808583564024,0.4870368855228382,0.056760353116639184,0.025937524721616867,0.1178845811582333,0.12673803434821856,2.0,-1.0,2.0,-4.0,-2.0,1.0,3.0,-1.0
DE LA ARAUCANIA,TRAIGUEN,COLEGIO BICENTENARIO LOUIS PASTEUR,20M,3,10,17,72,7,18,0,3,21,3,3,21,12,33,53,17,11,1,151,65,-1,-1,2,9,24,71,8,3,15,19,24,82,0.028589799414420563,0.12016834159995192,0.25531225335166635,0.3725207564963348,0.041558396887161016,0.010631522947865964,0.047937005720762926,0.12328192358183669,0.006784051772641055,0.10726051528751818,0.1458342898382914,0.5149714489371302,0.05077629743730258,0.02820749456342847,0.031672599798556626,0.11449330236513157,0.014215309424121234,0.04928677212837777,0.13648747763730487,0.4945332863130426,0.05645150426755873,0.015308919314391675,0.11747927620067035,0.11623745471453276,0.009631357291051648,0.03876317800576188,0.13724808583564024,0.4870368855228382,0.056760353116639184,0.025937524721616867,0.1178845811582333,0.12673803434821856,1.0,1.0,-7.0,1.0,-1.0,0.0,3.0,2.0
DE LA ARAUCANIA,TRAIGUEN,COLEGIO BICENTENARIO LOUIS PASTEUR,21M,1,9,17,83,9,19,1,3,17,4,1,7,18,48,44,29,10,2,159,65,-1,-1,2,9,23,77,9,3,17,19,8,85,0.028589799414420563,0.12016834159995192,0.25531225335166635,0.3725207564963348,0.041558396887161016,0.010631522947865964,0.047937005720762926,0.12328192358183669,0.006784051772641055,0.10726051528751818,0.1458342898382914,0.5149714489371302,0.05077629743730258,0.02820749456342847,0.031672599798556626,0.11449330236513157,0.014215309424121234,0.04928677212837777,0.13648747763730487,0.4945332863130426,0.05645150426755873,0.015308919314391675,0.11747927620067035,0.11623745471453276,0.009631357291051648,0.03876317800576188,0.13724808583564024,0.4870368855228382,0.056760353116639184,0.025937524721616867,0.1178845811582333,0.12673803434821856,-1.0,0.0,-6.0,6.0,0.0,1.0,2.0,-2.0
DE LA ARAUCANIA,TRAIGUEN,COLEGIO BICENTENARIO LOUIS PASTEUR,22M,3,13,18,81,13,20,2,1,23,3,2,9,9,75,55,14,7,3,174,65,-1,-1,2,9,25,84,10,4,19,21,11,79,0.028589799414420563,0.12016834159995192,0.25531225335166635,0.3725207564963348,0.041558396887161016,0.010631522947865964,0.047937005720762926,0.12328192358183669,0.006784051772641055,0.10726051528751818,0.1458342898382914,0.5149714489371302,0.05077629743730258,0.02820749456342847,0.031672599798556626,0.11449330236513157,0.014215309424121234,0.04928677212837777,0.13648747763730487,0.4945332863130426,0.05645150426755873,0.015308919314391675,0.11747927620067035,0.11623745471453276,0.009631357291051648,0.03876317800576188,0.13724808583564024,0.4870368855228382,0.056760353116639184,0.025937524721616867,0.1178845811582333,0.12673803434821856,1.0,4.0,-7.0,-3.0,3.0,-1.0,1.0,2.0
DE LA ARAUCANIA,TRAIGUEN,COLEGIO BICENTENARIO LOUIS PASTEUR,23M,1,6,17,65,10,24,3,1,16,4,3,12,7,73,23,18,5,2,143,65,-1,-1,2,8,21,69,8,3,15,17,15,48,0.028589799414420563,0.12016834159995192,0.25531225335166635,0.3725207564963348,0.041558396887161016,0.010631522947865964,0.047937005720762926,0.12328192358183669,0.006784051772641055,0.10726051528751818,0.1458342898382914,0.5149714489371302,0.05077629743730258,0.02820749456342847,0.031672599798556626,0.11449330236513157,0.014215309424121234,0.04928677212837777,0.13648747763730487,0.4945332863130426,0.05645150426755873,0.015308919314391675,0.11747927620067035,0.11623745471453276,0.009631357291051648,0.03876317800576188,0.13724808583564024,0.4870368855228382,0.056760353116639184,0.025937524721616867,0.1178845811582333,0.12673803434821856,-1.0,-2.0,-4.0,-4.0,2.0,1.0,9.0,-1.0
