REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,VILCUN,COLEGIO AMERICA,10V,0,10,12,66,8,13,6,0,24,6,1,9,2,15,58,35,16,3,139,56,-1,-1,1,9,15,62,7,3,16,26,10,112,0.014379642182582844,0.2178925547070051,0.19230617902376979,0.3778321429459929,0.03152369558051371,0.008315157089177976,0.12386078182492928,0.033889846646028295,0.0046764863341816195,0.18923072530444524,0.1434911941842783,0.420334720196546,0.046045856165900866,0.014264234054206149,0.09417480063838839,0.0877819831220532,0.005776600754863669,0.1333758264069525,0.11810118134635501,0.3831339802058305,0.06308230131886845,0.006054999028686573,0.12687602637846254,0.16359908455998068,0.009510531149790625,0.03617387529948342,0.10138080344183686,0.4585612254818407,0.04766043068042442,0.02659327218644759,0.11219377649299911,0.20792608526717724,-1.0,1.0,-3.0,4.0,1.0,3.0,-3.0,-2.0
DE LA ARAUCANIA,VILCUN,COLEGIO AMERICA,11V,3,8,21,61,7,15,2,3,28,5,1,15,21,14,46,33,17,2,148,56,-1,-1,1,13,17,65,7,3,17,25,16,98,0.014379642182582844,0.2178925547070051,0.19230617902376979,0.3778321429459929,0.03152369558051371,0.008315157089177976,0.12386078182492928,0.033889846646028295,0.0046764863341816195,0.18923072530444524,0.1434911941842783,0.420334720196546,0.046045856165900866,0.014264234054206149,0.09417480063838839,0.0877819831220532,0.005776600754863669,0.1333758264069525,0.11810118134635501,0.3831339802058305,0.06308230131886845,0.006054999028686573,0.12687602637846254,0.16359908455998068,0.009510531149790625,0.03617387529948342,0.10138080344183686,0.4585612254818407,0.04766043068042442,0.02659327218644759,0.11219377649299911,0.20792608526717724,2.0,-5.0,4.0,-4.0,0.0,2.0,-2.0,3.0
DE LA ARAUCANIA,VILCUN,COLEGIO AMERICA,12V,2,11,19,59,5,16,1,0,26,1,1,12,42,3,47,24,10,0,139,56,-1,-1,1,14,17,61,6,3,15,22,13,81,0.014379642182582844,0.2178925547070051,0.19230617902376979,0.3778321429459929,0.03152369558051371,0.008315157089177976,0.12386078182492928,0.033889846646028295,0.0046764863341816195,0.18923072530444524,0.1434911941842783,0.420334720196546,0.046045856165900866,0.014264234054206149,0.09417480063838839,0.0877819831220532,0.005776600754863669,0.1333758264069525,0.11810118134635501,0.3831339802058305,0.06308230131886845,0.006054999028686573,0.12687602637846254,0.16359908455998068,0.009510531149790625,0.03617387529948342,0.10138080344183686,0.4585612254818407,0.04766043068042442,0.02659327218644759,0.11219377649299911,0.20792608526717724,1.0,-3.0,2.0,-2.0,-1.0,-2.0,1.0,4.0
DE LA ARAUCANIA,VILCUN,COLEGIO AMERICA,13V,1,10,15,59,10,17,0,1,22,1,1,9,28,37,37,11,9,3,135,56,-1,-1,1,15,17,57,7,2,15,21,10,60,0.014379642182582844,0.2178925547070051,0.19230617902376979,0.3778321429459929,0.03152369558051371,0.008315157089177976,0.12386078182492928,0.033889846646028295,0.0046764863341816195,0.18923072530444524,0.1434911941842783,0.420334720196546,0.046045856165900866,0.014264234054206149,0.09417480063838839,0.0877819831220532,0.005776600754863669,0.1333758264069525,0.11810118134635501,0.3831339802058305,0.06308230131886845,0.006054999028686573,0.12687602637846254,0.16359908455998068,0.009510531149790625,0.03617387529948342,0.10138080344183686,0.4585612254818407,0.04766043068042442,0.02659327218644759,0.11219377649299911,0.20792608526717724,0.0,-5.0,-2.0,2.0,3.0,-1.0,2.0,1.0
DE LA ARAUCANIA,VILCUN,COLEGIO AMERICA,14V,1,20,21,76,5,15,0,1,28,1,1,6,38,67,31,14,9,2,167,56,-1,-1,1,20,20,70,9,2,19,26,7,56,0.014379642182582844,0.2178925547070051,0.19230617902376979,0.3778321429459929,0.03152369558051371,0.008315157089177976,0.12386078182492928,0.033889846646028295,0.0046764863341816195,0.18923072530444524,0.1434911941842783,0.420334720196546,0.046045856165900866,0.014264234054206149,0.09417480063838839,0.0877819831220532,0.005776600754863669,0.1333758264069525,0.11810118134635501,0.3831339802058305,0.06308230131886845,0.006054999028686573,0.12687602637846254,0.16359908455998068,0.009510531149790625,0.03617387529948342,0.10138080344183686,0.4585612254818407,0.04766043068042442,0.02659327218644759,0.11219377649299911,0.20792608526717724,0.0,0.0,1.0,6.0,-4.0,-1.0,-4.0,2.0
DE LA ARAUCANIA,VILCUN,COLEGIO AMERICA,15V,2,18,26,70,7,13,1,0,18,1,1,11,30,62,24,16,9,2,155,56,-1,-1,1,19,19,64,8,2,18,24,12,51,0.014379642182582844,0.2178925547070051,0.19230617902376979,0.3778321429459929,0.03152369558051371,0.008315157089177976,0.12386078182492928,0.033889846646028295,0.0046764863341816195,0.18923072530444524,0.1434911941842783,0.420334720196546,0.046045856165900866,0.014264234054206149,0.09417480063838839,0.0877819831220532,0.005776600754863669,0.1333758264069525,0.11810118134635501,0.3831339802058305,0.06308230131886845,0.006054999028686573,0.12687602637846254,0.16359908455998068,0.009510531149790625,0.03617387529948342,0.10138080344183686,0.4585612254818407,0.04766043068042442,0.02659327218644759,0.11219377649299911,0.20792608526717724,1.0,-1.0,7.0,6.0,-1.0,-1.0,-5.0,-6.0
DE LA ARAUCANIA,VILCUN,COLEGIO AMERICA,16V,1,15,17,62,6,23,1,5,33,6,0,11,50,60,21,13,8,0,163,56,-1,-1,1,21,21,68,9,2,18,23,11,42,0.014379642182582844,0.2178925547070051,0.19230617902376979,0.3778321429459929,0.03152369558051371,0.008315157089177976,0.12386078182492928,0.033889846646028295,0.0046764863341816195,0.18923072530444524,0.1434911941842783,0.420334720196546,0.046045856165900866,0.014264234054206149,0.09417480063838839,0.0877819831220532,0.005776600754863669,0.1333758264069525,0.11810118134635501,0.3831339802058305,0.06308230131886845,0.006054999028686573,0.12687602637846254,0.16359908455998068,0.009510531149790625,0.03617387529948342,0.10138080344183686,0.4585612254818407,0.04766043068042442,0.02659327218644759,0.11219377649299911,0.20792608526717724,0.0,-6.0,-4.0,-6.0,-3.0,4.0,5.0,10.0
DE LA ARAUCANIA,VILCUN,COLEGIO AMERICA,17V,2,29,17,69,6,20,3,0,21,3,2,15,43,51,28,22,4,2,167,56,-1,-1,1,21,21,70,8,3,19,24,17,56,0.014379642182582844,0.2178925547070051,0.19230617902376979,0.3778321429459929,0.03152369558051371,0.008315157089177976,0.12386078182492928,0.033889846646028295,0.0046764863341816195,0.18923072530444524,0.1434911941842783,0.420334720196546,0.046045856165900866,0.014264234054206149,0.09417480063838839,0.0877819831220532,0.005776600754863669,0.1333758264069525,0.11810118134635501,0.3831339802058305,0.06308230131886845,0.006054999028686573,0.12687602637846254,0.16359908455998068,0.009510531149790625,0.03617387529948342,0.10138080344183686,0.4585612254818407,0.04766043068042442,0.02659327218644759,0.11219377649299911,0.20792608526717724,1.0,8.0,-4.0,-1.0,-2.0,0.0,1.0,-3.0
DE LA ARAUCANIA,VILCUN,COLEGIO AMERICA,1V,1,7,5,40,3,8,0,1,14,1,0,14,4,5,16,16,20,4,79,56,-1,-1,1,6,9,35,4,2,9,13,14,56,0.014379642182582844,0.2178925547070051,0.19230617902376979,0.3778321429459929,0.03152369558051371,0.008315157089177976,0.12386078182492928,0.033889846646028295,0.0046764863341816195,0.18923072530444524,0.1434911941842783,0.420334720196546,0.046045856165900866,0.014264234054206149,0.09417480063838839,0.0877819831220532,0.005776600754863669,0.1333758264069525,0.11810118134635501,0.3831339802058305,0.06308230131886845,0.006054999028686573,0.12687602637846254,0.16359908455998068,0.009510531149790625,0.03617387529948342,0.10138080344183686,0.4585612254818407,0.04766043068042442,0.02659327218644759,0.11219377649299911,0.20792608526717724,0.0,1.0,-4.0,5.0,-1.0,-1.0,-1.0,1.0
DE LA ARAUCANIA,VILCUN,COLEGIO AMERICA,20M,1,19,21,83,10,30,1,1,32,2,3,7,64,38,38,25,21,2,198,56,-1,-1,1,22,24,85,10,4,22,30,10,86,0.014379642182582844,0.2178925547070051,0.19230617902376979,0.3778321429459929,0.03152369558051371,0.008315157089177976,0.12386078182492928,0.033889846646028295,0.0046764863341816195,0.18923072530444524,0.1434911941842783,0.420334720196546,0.046045856165900866,0.014264234054206149,0.09417480063838839,0.0877819831220532,0.005776600754863669,0.1333758264069525,0.11810118134635501,0.3831339802058305,0.06308230131886845,0.006054999028686573,0.12687602637846254,0.16359908455998068,0.009510531149790625,0.03617387529948342,0.10138080344183686,0.4585612254818407,0.04766043068042442,0.02659327218644759,0.11219377649299911,0.20792608526717724,0.0,-3.0,-3.0,-2.0,0.0,-2.0,8.0,2.0
