REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,CHAITEN,GIMNASIO MUNICIPAL DE CHAITEN,10V-11V,1,6,21,22,2,4,2,1,6,3,5,13,14,17,8,8,0,0,65,12,-1,-1,0,6,13,23,3,2,6,12,65,0.0038910505836575876,0.08657587548638132,0.20719844357976655,0.3550583657587549,0.04182879377431906,0.030155642023346304,0.0914396887159533,0.18385214007782102,1.0,0.0,8.0,-1.0,-1.0,1.0,-2.0,-6.0
DE LOS LAGOS,CHAITEN,GIMNASIO MUNICIPAL DE CHAITEN,12V,0,5,9,13,2,4,1,0,7,1,0,7,14,11,3,5,1,0,41,12,-1,-1,0,4,8,15,2,1,4,7,41,0.0038910505836575876,0.08657587548638132,0.20719844357976655,0.3550583657587549,0.04182879377431906,0.030155642023346304,0.0914396887159533,0.18385214007782102,0.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0
DE LOS LAGOS,CHAITEN,GIMNASIO MUNICIPAL DE CHAITEN,1M-8M,0,6,15,41,7,14,1,0,19,1,2,4,14,12,19,30,16,6,103,12,-1,-1,0,9,21,37,4,3,10,19,103,0.0038910505836575876,0.08657587548638132,0.20719844357976655,0.3550583657587549,0.04182879377431906,0.030155642023346304,0.0914396887159533,0.18385214007782102,0.0,-3.0,-6.0,4.0,3.0,-2.0,4.0,0.0
DE LOS LAGOS,CHAITEN,GIMNASIO MUNICIPAL DE CHAITEN,1V,0,2,5,18,2,5,1,0,11,1,0,2,1,6,8,17,8,2,44,12,-1,-1,0,4,9,16,2,1,4,8,44,0.0038910505836575876,0.08657587548638132,0.20719844357976655,0.3550583657587549,0.04182879377431906,0.030155642023346304,0.0914396887159533,0.18385214007782102,0.0,-2.0,-4.0,2.0,0.0,0.0,1.0,3.0
DE LOS LAGOS,CHAITEN,GIMNASIO MUNICIPAL DE CHAITEN,2M-13V,0,11,16,35,1,5,1,0,17,1,0,8,14,17,18,21,5,3,86,12,-1,-1,0,7,18,30,4,3,8,16,86,0.0038910505836575876,0.08657587548638132,0.20719844357976655,0.3550583657587549,0.04182879377431906,0.030155642023346304,0.0914396887159533,0.18385214007782102,0.0,4.0,-2.0,5.0,-3.0,-2.0,-3.0,1.0
DE LOS LAGOS,CHAITEN,GIMNASIO MUNICIPAL DE CHAITEN,2V-5V,1,5,15,38,5,13,0,0,18,0,2,13,23,10,18,22,7,0,95,12,-1,-1,0,8,20,34,4,3,9,17,95,0.0038910505836575876,0.08657587548638132,0.20719844357976655,0.3550583657587549,0.04182879377431906,0.030155642023346304,0.0914396887159533,0.18385214007782102,1.0,-3.0,-5.0,4.0,1.0,-3.0,4.0,1.0
DE LOS LAGOS,CHAITEN,GIMNASIO MUNICIPAL DE CHAITEN,3M-14,1,5,17,33,3,7,2,1,24,3,1,6,22,14,28,15,4,3,93,12,-1,-1,0,8,19,33,4,3,9,17,93,0.0038910505836575876,0.08657587548638132,0.20719844357976655,0.3550583657587549,0.04182879377431906,0.030155642023346304,0.0914396887159533,0.18385214007782102,1.0,-3.0,-2.0,0.0,-1.0,0.0,-2.0,7.0
DE LOS LAGOS,CHAITEN,GIMNASIO MUNICIPAL DE CHAITEN,3V-7V,0,7,20,38,4,9,5,2,12,7,1,11,22,11,21,22,6,3,97,12,-1,-1,0,8,20,35,4,3,9,18,97,0.0038910505836575876,0.08657587548638132,0.20719844357976655,0.3550583657587549,0.04182879377431906,0.030155642023346304,0.0914396887159533,0.18385214007782102,0.0,-1.0,0.0,3.0,0.0,4.0,0.0,-6.0
DE LOS LAGOS,CHAITEN,GIMNASIO MUNICIPAL DE CHAITEN,4M-6M,0,11,21,34,2,7,1,2,24,3,1,9,19,28,25,12,7,1,102,12,-1,-1,1,9,21,36,4,3,9,19,102,0.0038910505836575876,0.08657587548638132,0.20719844357976655,0.3550583657587549,0.04182879377431906,0.030155642023346304,0.0914396887159533,0.18385214007782102,-1.0,2.0,0.0,-2.0,-2.0,0.0,-2.0,5.0
DE LOS LAGOS,CHAITEN,GIMNASIO MUNICIPAL DE CHAITEN,5M-6V,0,11,33,38,6,12,1,1,18,2,1,19,34,24,25,13,4,0,120,12,-1,-1,0,10,25,43,5,4,11,22,120,0.0038910505836575876,0.08657587548638132,0.20719844357976655,0.3550583657587549,0.04182879377431906,0.030155642023346304,0.0914396887159533,0.18385214007782102,0.0,1.0,8.0,-5.0,1.0,-2.0,1.0,-4.0
