REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,40+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40+,P_FRANCO ALDO PARISI_40+,P_GABRIEL BORIC_40+,P_JOSE ANTONIO KAST_40+,P_MARCO ENRIQUEZ-OMINAMI_40+,P_NULO BLANCO_40+,P_SEBASTIAN SICHEL_40+,P_YASNA PROVOSTE_40+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,DALCAHUE,ESCUELA BASICA DALCAHUE,10M,0,20,30,45,18,23,1,4,26,5,1,12,33,48,34,25,11,4,167,35,-1,-1,2,26,31,44,10,4,20,30,13,122,0.03514739539517424,0.3100704008001656,0.349050071038172,0.11345533373778077,0.04129629206616475,0.004899547175495497,0.0867700743477225,0.059310885439324564,0.005763745072922873,0.3153056874694535,0.173972035616183,0.3142642800108808,0.0703257533189263,0.009941340414514424,0.053875533799636666,0.056551624297482374,0.011956022943032163,0.09895714293790181,0.1728335116224133,0.26378029990262586,0.06199596506892744,0.026611162161750065,0.13645026977397975,0.22741562558936967,-2.0,-6.0,-1.0,1.0,8.0,1.0,3.0,-4.0
DE LOS LAGOS,DALCAHUE,ESCUELA BASICA DALCAHUE,11M,0,25,19,45,18,19,1,3,26,4,2,10,54,40,29,21,10,0,156,35,-1,-1,2,29,29,42,10,3,16,25,12,100,0.03514739539517424,0.3100704008001656,0.349050071038172,0.11345533373778077,0.04129629206616475,0.004899547175495497,0.0867700743477225,0.059310885439324564,0.005763745072922873,0.3153056874694535,0.173972035616183,0.3142642800108808,0.0703257533189263,0.009941340414514424,0.053875533799636666,0.056551624297482374,0.011956022943032163,0.09895714293790181,0.1728335116224133,0.26378029990262586,0.06199596506892744,0.026611162161750065,0.13645026977397975,0.22741562558936967,-2.0,-4.0,-10.0,3.0,8.0,1.0,3.0,1.0
DE LOS LAGOS,DALCAHUE,ESCUELA BASICA DALCAHUE,13,1,29,21,26,2,3,1,1,12,2,1,11,71,10,2,0,1,0,96,35,-1,-1,1,27,19,27,6,1,7,8,12,13,0.03514739539517424,0.3100704008001656,0.349050071038172,0.11345533373778077,0.04129629206616475,0.004899547175495497,0.0867700743477225,0.059310885439324564,0.005763745072922873,0.3153056874694535,0.173972035616183,0.3142642800108808,0.0703257533189263,0.009941340414514424,0.053875533799636666,0.056551624297482374,0.011956022943032163,0.09895714293790181,0.1728335116224133,0.26378029990262586,0.06199596506892744,0.026611162161750065,0.13645026977397975,0.22741562558936967,0.0,2.0,2.0,-1.0,-4.0,1.0,-4.0,4.0
DE LOS LAGOS,DALCAHUE,ESCUELA BASICA DALCAHUE,14,2,32,19,25,2,9,1,1,5,2,1,7,71,7,5,5,0,0,96,35,-1,-1,1,27,18,28,6,1,7,8,8,17,0.03514739539517424,0.3100704008001656,0.349050071038172,0.11345533373778077,0.04129629206616475,0.004899547175495497,0.0867700743477225,0.059310885439324564,0.005763745072922873,0.3153056874694535,0.173972035616183,0.3142642800108808,0.0703257533189263,0.009941340414514424,0.053875533799636666,0.056551624297482374,0.011956022943032163,0.09895714293790181,0.1728335116224133,0.26378029990262586,0.06199596506892744,0.026611162161750065,0.13645026977397975,0.22741562558936967,1.0,5.0,1.0,-3.0,-4.0,1.0,2.0,-3.0
DE LOS LAGOS,DALCAHUE,ESCUELA BASICA DALCAHUE,15,1,47,19,28,7,15,0,0,7,0,4,33,80,4,2,1,0,0,124,35,-1,-1,2,37,28,31,8,1,9,8,37,7,0.03514739539517424,0.3100704008001656,0.349050071038172,0.11345533373778077,0.04129629206616475,0.004899547175495497,0.0867700743477225,0.059310885439324564,0.005763745072922873,0.3153056874694535,0.173972035616183,0.3142642800108808,0.0703257533189263,0.009941340414514424,0.053875533799636666,0.056551624297482374,0.011956022943032163,0.09895714293790181,0.1728335116224133,0.26378029990262586,0.06199596506892744,0.026611162161750065,0.13645026977397975,0.22741562558936967,-1.0,10.0,-9.0,-3.0,-1.0,-1.0,6.0,-1.0
DE LOS LAGOS,DALCAHUE,ESCUELA BASICA DALCAHUE,16,1,31,29,18,7,10,1,0,15,1,3,82,17,3,2,3,2,0,112,35,-1,-1,3,33,34,18,5,1,10,8,85,10,0.03514739539517424,0.3100704008001656,0.349050071038172,0.11345533373778077,0.04129629206616475,0.004899547175495497,0.0867700743477225,0.059310885439324564,0.005763745072922873,0.3153056874694535,0.173972035616183,0.3142642800108808,0.0703257533189263,0.009941340414514424,0.053875533799636666,0.056551624297482374,0.011956022943032163,0.09895714293790181,0.1728335116224133,0.26378029990262586,0.06199596506892744,0.026611162161750065,0.13645026977397975,0.22741562558936967,-2.0,-2.0,-5.0,0.0,2.0,0.0,0.0,7.0
DE LOS LAGOS,DALCAHUE,ESCUELA BASICA DALCAHUE,17,2,34,25,17,3,4,0,0,4,0,5,65,8,5,3,3,0,0,89,35,-1,-1,3,25,28,13,4,1,8,7,70,11,0.03514739539517424,0.3100704008001656,0.349050071038172,0.11345533373778077,0.04129629206616475,0.004899547175495497,0.0867700743477225,0.059310885439324564,0.005763745072922873,0.3153056874694535,0.173972035616183,0.3142642800108808,0.0703257533189263,0.009941340414514424,0.053875533799636666,0.056551624297482374,0.011956022943032163,0.09895714293790181,0.1728335116224133,0.26378029990262586,0.06199596506892744,0.026611162161750065,0.13645026977397975,0.22741562558936967,-1.0,9.0,-3.0,4.0,-1.0,-1.0,-4.0,-3.0
DE LOS LAGOS,DALCAHUE,ESCUELA BASICA DALCAHUE,18,0,27,29,29,9,10,0,1,6,1,1,40,19,22,18,7,2,2,111,35,-1,-1,2,24,26,24,6,2,12,15,41,51,0.03514739539517424,0.3100704008001656,0.349050071038172,0.11345533373778077,0.04129629206616475,0.004899547175495497,0.0867700743477225,0.059310885439324564,0.005763745072922873,0.3153056874694535,0.173972035616183,0.3142642800108808,0.0703257533189263,0.009941340414514424,0.053875533799636666,0.056551624297482374,0.011956022943032163,0.09895714293790181,0.1728335116224133,0.26378029990262586,0.06199596506892744,0.026611162161750065,0.13645026977397975,0.22741562558936967,-2.0,3.0,3.0,5.0,3.0,-1.0,-2.0,-9.0
DE LOS LAGOS,DALCAHUE,ESCUELA BASICA DALCAHUE,1M,3,11,17,19,9,23,0,0,22,0,1,14,3,6,28,33,13,6,104,35,-1,-1,2,14,21,25,6,2,13,21,15,86,0.03514739539517424,0.3100704008001656,0.349050071038172,0.11345533373778077,0.04129629206616475,0.004899547175495497,0.0867700743477225,0.059310885439324564,0.005763745072922873,0.3153056874694535,0.173972035616183,0.3142642800108808,0.0703257533189263,0.009941340414514424,0.053875533799636666,0.056551624297482374,0.011956022943032163,0.09895714293790181,0.1728335116224133,0.26378029990262586,0.06199596506892744,0.026611162161750065,0.13645026977397975,0.22741562558936967,1.0,-3.0,-4.0,-6.0,3.0,-2.0,10.0,1.0
DE LOS LAGOS,DALCAHUE,ESCUELA BASICA DALCAHUE,2M,0,8,14,19,7,8,3,2,14,5,3,7,1,3,25,24,12,0,75,35,-1,-1,1,10,15,18,4,2,10,15,10,64,0.03514739539517424,0.3100704008001656,0.349050071038172,0.11345533373778077,0.04129629206616475,0.004899547175495497,0.0867700743477225,0.059310885439324564,0.005763745072922873,0.3153056874694535,0.173972035616183,0.3142642800108808,0.0703257533189263,0.009941340414514424,0.053875533799636666,0.056551624297482374,0.011956022943032163,0.09895714293790181,0.1728335116224133,0.26378029990262586,0.06199596506892744,0.026611162161750065,0.13645026977397975,0.22741562558936967,-1.0,-2.0,-1.0,1.0,3.0,3.0,-2.0,-1.0
