REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,30-49,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-49,P_FRANCO ALDO PARISI_30-49,P_GABRIEL BORIC_30-49,P_JOSE ANTONIO KAST_30-49,P_MARCO ENRIQUEZ-OMINAMI_30-49,P_NULO BLANCO_30-49,P_SEBASTIAN SICHEL_30-49,P_YASNA PROVOSTE_30-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,PUERTO MONTT CENTRO E ISLA TENGLO,COLEGIO DARIO SALAS,162,0,22,32,55,7,18,1,2,18,3,1,15,34,38,29,24,10,4,155,223,-1,-1,1,23,30,55,9,2,18,17,16,72,67,0.030321573228241316,0.15795266878983652,0.35899801612900045,0.21854177972559527,0.08406686856406027,0.020381153039960975,0.09191306469855402,0.037824875824751504,0.0001962349133853276,0.14116248015108368,0.24302381095623887,0.41541248970277206,0.020551727150635097,0.010636023311331233,0.11164933655256877,0.05736789726198447,0.016120662130200462,0.14976799530872664,0.10638180581151829,0.32417744057092956,0.08761277752264389,0.009531997144821969,0.12374568619232428,0.1826616353188348,-1.0,-1.0,2.0,0.0,-2.0,1.0,0.0,1.0
DE LOS LAGOS,PUERTO MONTT CENTRO E ISLA TENGLO,COLEGIO DARIO SALAS,163,1,11,34,43,11,21,0,1,14,1,0,19,26,25,25,17,19,5,136,223,-1,-1,2,20,26,47,8,1,16,16,19,51,66,0.030321573228241316,0.15795266878983652,0.35899801612900045,0.21854177972559527,0.08406686856406027,0.020381153039960975,0.09191306469855402,0.037824875824751504,0.0001962349133853276,0.14116248015108368,0.24302381095623887,0.41541248970277206,0.020551727150635097,0.010636023311331233,0.11164933655256877,0.05736789726198447,0.016120662130200462,0.14976799530872664,0.10638180581151829,0.32417744057092956,0.08761277752264389,0.009531997144821969,0.12374568619232428,0.1826616353188348,-1.0,-9.0,8.0,-4.0,3.0,0.0,5.0,-2.0
DE LOS LAGOS,PUERTO MONTT CENTRO E ISLA TENGLO,COLEGIO DARIO SALAS,164,1,24,27,49,6,18,0,1,15,1,1,13,35,34,22,22,9,5,141,223,-1,-1,1,21,28,50,8,2,16,15,14,69,58,0.030321573228241316,0.15795266878983652,0.35899801612900045,0.21854177972559527,0.08406686856406027,0.020381153039960975,0.09191306469855402,0.037824875824751504,0.0001962349133853276,0.14116248015108368,0.24302381095623887,0.41541248970277206,0.020551727150635097,0.010636023311331233,0.11164933655256877,0.05736789726198447,0.016120662130200462,0.14976799530872664,0.10638180581151829,0.32417744057092956,0.08761277752264389,0.009531997144821969,0.12374568619232428,0.1826616353188348,0.0,3.0,-1.0,-1.0,-2.0,-1.0,2.0,0.0
DE LOS LAGOS,PUERTO MONTT CENTRO E ISLA TENGLO,COLEGIO DARIO SALAS,165,1,22,29,47,7,19,1,1,16,2,2,17,27,24,30,32,7,4,143,223,-1,-1,2,21,27,49,9,2,16,17,19,51,73,0.030321573228241316,0.15795266878983652,0.35899801612900045,0.21854177972559527,0.08406686856406027,0.020381153039960975,0.09191306469855402,0.037824875824751504,0.0001962349133853276,0.14116248015108368,0.24302381095623887,0.41541248970277206,0.020551727150635097,0.010636023311331233,0.11164933655256877,0.05736789726198447,0.016120662130200462,0.14976799530872664,0.10638180581151829,0.32417744057092956,0.08761277752264389,0.009531997144821969,0.12374568619232428,0.1826616353188348,-1.0,1.0,2.0,-2.0,-2.0,0.0,3.0,-1.0
DE LOS LAGOS,PUERTO MONTT CENTRO E ISLA TENGLO,COLEGIO DARIO SALAS,166,1,21,18,50,13,17,2,2,14,4,0,18,25,32,29,23,8,4,138,223,-1,-1,2,20,27,48,8,2,16,15,18,57,64,0.030321573228241316,0.15795266878983652,0.35899801612900045,0.21854177972559527,0.08406686856406027,0.020381153039960975,0.09191306469855402,0.037824875824751504,0.0001962349133853276,0.14116248015108368,0.24302381095623887,0.41541248970277206,0.020551727150635097,0.010636023311331233,0.11164933655256877,0.05736789726198447,0.016120662130200462,0.14976799530872664,0.10638180581151829,0.32417744057092956,0.08761277752264389,0.009531997144821969,0.12374568619232428,0.1826616353188348,-1.0,1.0,-9.0,2.0,5.0,2.0,1.0,-1.0
DE LOS LAGOS,PUERTO MONTT CENTRO E ISLA TENGLO,COLEGIO DARIO SALAS,167,4,23,27,50,8,13,1,0,15,1,3,25,22,30,29,21,9,2,141,223,-1,-1,2,21,29,47,9,2,16,15,28,52,61,0.030321573228241316,0.15795266878983652,0.35899801612900045,0.21854177972559527,0.08406686856406027,0.020381153039960975,0.09191306469855402,0.037824875824751504,0.0001962349133853276,0.14116248015108368,0.24302381095623887,0.41541248970277206,0.020551727150635097,0.010636023311331233,0.11164933655256877,0.05736789726198447,0.016120662130200462,0.14976799530872664,0.10638180581151829,0.32417744057092956,0.08761277752264389,0.009531997144821969,0.12374568619232428,0.1826616353188348,2.0,2.0,-2.0,3.0,-1.0,-1.0,-3.0,0.0
DE LOS LAGOS,PUERTO MONTT CENTRO E ISLA TENGLO,COLEGIO DARIO SALAS,168,1,27,27,45,5,14,1,0,16,1,0,19,25,29,27,26,7,2,136,223,-1,-1,2,20,27,47,8,2,15,15,19,54,62,0.030321573228241316,0.15795266878983652,0.35899801612900045,0.21854177972559527,0.08406686856406027,0.020381153039960975,0.09191306469855402,0.037824875824751504,0.0001962349133853276,0.14116248015108368,0.24302381095623887,0.41541248970277206,0.020551727150635097,0.010636023311331233,0.11164933655256877,0.05736789726198447,0.016120662130200462,0.14976799530872664,0.10638180581151829,0.32417744057092956,0.08761277752264389,0.009531997144821969,0.12374568619232428,0.1826616353188348,-1.0,7.0,0.0,-2.0,-3.0,-1.0,-1.0,1.0
DE LOS LAGOS,PUERTO MONTT CENTRO E ISLA TENGLO,COLEGIO DARIO SALAS,169,0,25,33,46,10,15,0,0,10,0,0,19,29,32,24,25,8,2,139,223,-1,-1,1,20,28,49,8,2,16,15,19,61,59,0.030321573228241316,0.15795266878983652,0.35899801612900045,0.21854177972559527,0.08406686856406027,0.020381153039960975,0.09191306469855402,0.037824875824751504,0.0001962349133853276,0.14116248015108368,0.24302381095623887,0.41541248970277206,0.020551727150635097,0.010636023311331233,0.11164933655256877,0.05736789726198447,0.016120662130200462,0.14976799530872664,0.10638180581151829,0.32417744057092956,0.08761277752264389,0.009531997144821969,0.12374568619232428,0.1826616353188348,-1.0,5.0,5.0,-3.0,2.0,-2.0,-1.0,-5.0
DE LOS LAGOS,PUERTO MONTT CENTRO E ISLA TENGLO,COLEGIO DARIO SALAS,170,3,17,29,48,9,29,0,3,13,3,1,20,29,30,33,21,13,4,151,223,-1,-1,2,22,30,52,9,2,17,17,21,59,71,0.030321573228241316,0.15795266878983652,0.35899801612900045,0.21854177972559527,0.08406686856406027,0.020381153039960975,0.09191306469855402,0.037824875824751504,0.0001962349133853276,0.14116248015108368,0.24302381095623887,0.41541248970277206,0.020551727150635097,0.010636023311331233,0.11164933655256877,0.05736789726198447,0.016120662130200462,0.14976799530872664,0.10638180581151829,0.32417744057092956,0.08761277752264389,0.009531997144821969,0.12374568619232428,0.1826616353188348,1.0,-5.0,-1.0,-4.0,0.0,1.0,12.0,-4.0
DE LOS LAGOS,PUERTO MONTT CENTRO E ISLA TENGLO,COLEGIO DARIO SALAS,171,3,19,16,60,12,16,1,0,15,1,2,18,20,29,29,30,11,3,142,223,-1,-1,2,21,27,48,9,2,16,17,20,49,73,0.030321573228241316,0.15795266878983652,0.35899801612900045,0.21854177972559527,0.08406686856406027,0.020381153039960975,0.09191306469855402,0.037824875824751504,0.0001962349133853276,0.14116248015108368,0.24302381095623887,0.41541248970277206,0.020551727150635097,0.010636023311331233,0.11164933655256877,0.05736789726198447,0.016120662130200462,0.14976799530872664,0.10638180581151829,0.32417744057092956,0.08761277752264389,0.009531997144821969,0.12374568619232428,0.1826616353188348,1.0,-2.0,-11.0,12.0,3.0,-1.0,0.0,-2.0
