REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,16V,0,22,20,45,7,5,1,2,23,3,2,56,6,4,21,19,14,3,125,58,-1,-1,2,15,22,46,7,3,10,20,58,57,0.01836400618418629,0.151885606739485,0.24914705018919464,0.35024198793782235,0.07543403164024219,0.024299756217752797,0.05585995181232183,0.0747676092789948,0.007625084833542623,0.2202925570527646,0.18003497816802227,0.3681521428563798,0.048358478592556466,0.007164185607372375,0.07921823177383053,0.08915434111553144,0.00107780792360678,0.15372693424017425,0.14757887336275594,0.4229689696346305,0.012878492193640257,0.008543980672816549,0.09490679848685579,0.15831814348552,0.00903919761366922,0.067075534268979,0.10680689448853374,0.3785081302199187,0.047948748647878826,0.02843103603567515,0.11314850164338273,0.24904195708196264,-2.0,7.0,-2.0,-1.0,0.0,0.0,-5.0,3.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,17V,3,15,20,43,10,12,2,2,19,4,2,63,1,3,22,16,15,4,126,58,-1,-1,2,14,23,46,8,3,10,20,65,57,0.01836400618418629,0.151885606739485,0.24914705018919464,0.35024198793782235,0.07543403164024219,0.024299756217752797,0.05585995181232183,0.0747676092789948,0.007625084833542623,0.2202925570527646,0.18003497816802227,0.3681521428563798,0.048358478592556466,0.007164185607372375,0.07921823177383053,0.08915434111553144,0.00107780792360678,0.15372693424017425,0.14757887336275594,0.4229689696346305,0.012878492193640257,0.008543980672816549,0.09490679848685579,0.15831814348552,0.00903919761366922,0.067075534268979,0.10680689448853374,0.3785081302199187,0.047948748647878826,0.02843103603567515,0.11314850164338273,0.24904195708196264,1.0,1.0,-3.0,-3.0,2.0,1.0,2.0,-1.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,18V,4,13,21,49,8,15,0,0,16,0,6,52,6,2,22,23,13,2,126,58,-1,-1,2,14,22,46,8,3,11,20,58,60,0.01836400618418629,0.151885606739485,0.24914705018919464,0.35024198793782235,0.07543403164024219,0.024299756217752797,0.05585995181232183,0.0747676092789948,0.007625084833542623,0.2202925570527646,0.18003497816802227,0.3681521428563798,0.048358478592556466,0.007164185607372375,0.07921823177383053,0.08915434111553144,0.00107780792360678,0.15372693424017425,0.14757887336275594,0.4229689696346305,0.012878492193640257,0.008543980672816549,0.09490679848685579,0.15831814348552,0.00903919761366922,0.067075534268979,0.10680689448853374,0.3785081302199187,0.047948748647878826,0.02843103603567515,0.11314850164338273,0.24904195708196264,2.0,-1.0,-1.0,3.0,0.0,-3.0,4.0,-4.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,19V,0,16,14,41,3,10,3,0,16,3,5,27,10,6,27,13,10,5,103,58,-1,-1,1,12,17,38,6,2,9,18,32,55,0.01836400618418629,0.151885606739485,0.24914705018919464,0.35024198793782235,0.07543403164024219,0.024299756217752797,0.05585995181232183,0.0747676092789948,0.007625084833542623,0.2202925570527646,0.18003497816802227,0.3681521428563798,0.048358478592556466,0.007164185607372375,0.07921823177383053,0.08915434111553144,0.00107780792360678,0.15372693424017425,0.14757887336275594,0.4229689696346305,0.012878492193640257,0.008543980672816549,0.09490679848685579,0.15831814348552,0.00903919761366922,0.067075534268979,0.10680689448853374,0.3785081302199187,0.047948748647878826,0.02843103603567515,0.11314850164338273,0.24904195708196264,-1.0,4.0,-3.0,3.0,-3.0,1.0,1.0,-2.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,20V,1,17,23,40,5,18,1,2,21,3,3,27,5,49,24,11,7,2,128,58,-1,-1,1,16,20,50,5,3,12,21,30,44,0.01836400618418629,0.151885606739485,0.24914705018919464,0.35024198793782235,0.07543403164024219,0.024299756217752797,0.05585995181232183,0.0747676092789948,0.007625084833542623,0.2202925570527646,0.18003497816802227,0.3681521428563798,0.048358478592556466,0.007164185607372375,0.07921823177383053,0.08915434111553144,0.00107780792360678,0.15372693424017425,0.14757887336275594,0.4229689696346305,0.012878492193640257,0.008543980672816549,0.09490679848685579,0.15831814348552,0.00903919761366922,0.067075534268979,0.10680689448853374,0.3785081302199187,0.047948748647878826,0.02843103603567515,0.11314850164338273,0.24904195708196264,0.0,1.0,3.0,-10.0,0.0,0.0,6.0,0.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,21M,0,15,21,47,5,14,0,4,34,4,4,26,2,59,22,20,2,5,140,58,-1,-1,1,17,22,55,5,3,13,24,30,49,0.01836400618418629,0.151885606739485,0.24914705018919464,0.35024198793782235,0.07543403164024219,0.024299756217752797,0.05585995181232183,0.0747676092789948,0.007625084833542623,0.2202925570527646,0.18003497816802227,0.3681521428563798,0.048358478592556466,0.007164185607372375,0.07921823177383053,0.08915434111553144,0.00107780792360678,0.15372693424017425,0.14757887336275594,0.4229689696346305,0.012878492193640257,0.008543980672816549,0.09490679848685579,0.15831814348552,0.00903919761366922,0.067075534268979,0.10680689448853374,0.3785081302199187,0.047948748647878826,0.02843103603567515,0.11314850164338273,0.24904195708196264,-1.0,-2.0,-1.0,-8.0,0.0,1.0,1.0,10.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,21V,1,8,14,49,3,10,0,1,15,1,5,21,8,18,28,10,7,4,101,58,-1,-1,1,12,16,38,5,2,9,18,26,49,0.01836400618418629,0.151885606739485,0.24914705018919464,0.35024198793782235,0.07543403164024219,0.024299756217752797,0.05585995181232183,0.0747676092789948,0.007625084833542623,0.2202925570527646,0.18003497816802227,0.3681521428563798,0.048358478592556466,0.007164185607372375,0.07921823177383053,0.08915434111553144,0.00107780792360678,0.15372693424017425,0.14757887336275594,0.4229689696346305,0.012878492193640257,0.008543980672816549,0.09490679848685579,0.15831814348552,0.00903919761366922,0.067075534268979,0.10680689448853374,0.3785081302199187,0.047948748647878826,0.02843103603567515,0.11314850164338273,0.24904195708196264,0.0,-4.0,-2.0,11.0,-2.0,-1.0,1.0,-3.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,22M,0,20,19,49,6,16,3,1,22,4,2,26,1,69,16,17,5,0,136,58,-1,-1,1,18,21,54,5,2,12,23,28,38,0.01836400618418629,0.151885606739485,0.24914705018919464,0.35024198793782235,0.07543403164024219,0.024299756217752797,0.05585995181232183,0.0747676092789948,0.007625084833542623,0.2202925570527646,0.18003497816802227,0.3681521428563798,0.048358478592556466,0.007164185607372375,0.07921823177383053,0.08915434111553144,0.00107780792360678,0.15372693424017425,0.14757887336275594,0.4229689696346305,0.012878492193640257,0.008543980672816549,0.09490679848685579,0.15831814348552,0.00903919761366922,0.067075534268979,0.10680689448853374,0.3785081302199187,0.047948748647878826,0.02843103603567515,0.11314850164338273,0.24904195708196264,-1.0,2.0,-2.0,-5.0,1.0,2.0,4.0,-1.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,23M,2,25,25,58,6,19,0,1,21,1,1,32,2,71,32,11,8,0,157,58,-1,-1,1,20,24,62,6,3,14,27,33,51,0.01836400618418629,0.151885606739485,0.24914705018919464,0.35024198793782235,0.07543403164024219,0.024299756217752797,0.05585995181232183,0.0747676092789948,0.007625084833542623,0.2202925570527646,0.18003497816802227,0.3681521428563798,0.048358478592556466,0.007164185607372375,0.07921823177383053,0.08915434111553144,0.00107780792360678,0.15372693424017425,0.14757887336275594,0.4229689696346305,0.012878492193640257,0.008543980672816549,0.09490679848685579,0.15831814348552,0.00903919761366922,0.067075534268979,0.10680689448853374,0.3785081302199187,0.047948748647878826,0.02843103603567515,0.11314850164338273,0.24904195708196264,1.0,5.0,1.0,-4.0,0.0,-2.0,5.0,-6.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,24M,0,12,17,54,10,21,2,1,18,3,0,24,20,51,20,13,4,2,135,58,-1,-1,1,19,21,53,5,2,12,22,24,39,0.01836400618418629,0.151885606739485,0.24914705018919464,0.35024198793782235,0.07543403164024219,0.024299756217752797,0.05585995181232183,0.0747676092789948,0.007625084833542623,0.2202925570527646,0.18003497816802227,0.3681521428563798,0.048358478592556466,0.007164185607372375,0.07921823177383053,0.08915434111553144,0.00107780792360678,0.15372693424017425,0.14757887336275594,0.4229689696346305,0.012878492193640257,0.008543980672816549,0.09490679848685579,0.15831814348552,0.00903919761366922,0.067075534268979,0.10680689448853374,0.3785081302199187,0.047948748647878826,0.02843103603567515,0.11314850164338273,0.24904195708196264,-1.0,-7.0,-4.0,1.0,5.0,1.0,9.0,-4.0
