REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,20+,P_EDUARDO ARTES_18-19,P_FRANCO ALDO PARISI_18-19,P_GABRIEL BORIC_18-19,P_JOSE ANTONIO KAST_18-19,P_MARCO ENRIQUEZ-OMINAMI_18-19,P_NULO BLANCO_18-19,P_SEBASTIAN SICHEL_18-19,P_YASNA PROVOSTE_18-19,P_EDUARDO ARTES_20+,P_FRANCO ALDO PARISI_20+,P_GABRIEL BORIC_20+,P_JOSE ANTONIO KAST_20+,P_MARCO ENRIQUEZ-OMINAMI_20+,P_NULO BLANCO_20+,P_SEBASTIAN SICHEL_20+,P_YASNA PROVOSTE_20+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,1,2,24,36,34,10,17,1,0,29,1,3,25,31,34,33,16,10,1,153,30,-1,-1,2,31,33,41,9,2,13,22,150,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,0.0,-7.0,3.0,-7.0,1.0,-1.0,4.0,7.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,10,2,27,32,40,7,10,2,2,17,4,2,30,34,24,21,20,6,2,139,30,-1,-1,2,28,30,37,8,2,12,20,137,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,0.0,-1.0,2.0,3.0,-1.0,2.0,-2.0,-3.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,11,1,40,25,41,9,12,0,1,22,1,1,35,34,30,25,19,5,2,151,30,-1,-1,2,30,32,41,9,2,13,22,150,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,-1.0,10.0,-7.0,0.0,0.0,-1.0,-1.0,0.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,12,6,30,27,36,16,17,0,2,22,2,4,28,47,29,28,11,6,3,156,30,-1,-1,2,31,34,42,10,2,13,22,152,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,4.0,-1.0,-7.0,-6.0,6.0,0.0,4.0,0.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,13,1,33,34,39,8,11,0,2,24,2,5,29,35,26,35,11,7,3,152,30,-1,-1,2,31,33,41,9,2,13,21,146,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,-1.0,2.0,1.0,-2.0,-1.0,0.0,-2.0,3.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,14,1,32,37,44,15,8,2,3,22,5,0,28,34,34,31,23,11,1,164,30,-1,-1,2,33,35,44,10,2,14,24,162,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,-1.0,-1.0,2.0,0.0,5.0,3.0,-6.0,-2.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,15,1,27,30,40,6,10,1,1,27,2,1,27,33,26,24,21,8,3,143,30,-1,-1,2,28,31,39,9,2,12,20,142,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,-1.0,-1.0,-1.0,1.0,-3.0,0.0,-2.0,7.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,16,2,31,38,44,4,11,0,0,26,0,2,32,37,32,19,25,7,2,156,30,-1,-1,2,31,34,42,10,2,13,22,154,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,0.0,0.0,4.0,2.0,-6.0,-2.0,-2.0,4.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,17,2,31,27,37,6,16,0,2,16,2,5,26,31,25,24,18,6,2,137,30,-1,-1,2,27,30,37,8,2,12,19,132,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,0.0,4.0,-3.0,0.0,-2.0,0.0,4.0,-3.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,18,4,30,42,45,11,23,0,1,24,1,2,46,29,33,30,27,11,2,180,30,-1,-1,3,36,39,48,11,2,15,26,178,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,1.0,-6.0,3.0,-3.0,0.0,-1.0,8.0,-2.0
