REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS RIOS,MALALHUE,LICEO REPUBLICA DEL BRASIL,1M,0,31,23,51,4,14,5,4,37,9,2,13,16,24,42,39,22,11,169,10,-1,-1,1,26,33,52,10,4,13,30,169,0.006173983458929228,0.1546919085429505,0.1929967440534303,0.3067030559637499,0.05999613923916227,0.02594290601776805,0.07537375308872028,0.17812150963528947,-1.0,5.0,-10.0,-1.0,-6.0,5.0,1.0,7.0
DE LOS RIOS,MALALHUE,LICEO REPUBLICA DEL BRASIL,1V,1,22,32,50,6,9,1,3,36,4,8,31,11,17,33,36,15,9,160,10,-1,-1,1,25,31,49,10,4,12,28,160,0.006173983458929228,0.1546919085429505,0.1929967440534303,0.3067030559637499,0.05999613923916227,0.02594290601776805,0.07537375308872028,0.17812150963528947,0.0,-3.0,1.0,1.0,-4.0,0.0,-3.0,8.0
DE LOS RIOS,MALALHUE,LICEO REPUBLICA DEL BRASIL,2M,1,15,26,48,7,16,3,3,31,6,3,10,6,9,47,48,16,10,150,10,-1,-1,1,23,29,46,9,4,11,27,149,0.006173983458929228,0.1546919085429505,0.1929967440534303,0.3067030559637499,0.05999613923916227,0.02594290601776805,0.07537375308872028,0.17812150963528947,0.0,-8.0,-3.0,2.0,-2.0,2.0,5.0,4.0
DE LOS RIOS,MALALHUE,LICEO REPUBLICA DEL BRASIL,2V,0,25,42,55,14,11,3,0,37,3,5,37,18,16,39,37,23,12,187,10,-1,-1,1,29,36,58,11,5,14,33,187,0.006173983458929228,0.1546919085429505,0.1929967440534303,0.3067030559637499,0.05999613923916227,0.02594290601776805,0.07537375308872028,0.17812150963528947,-1.0,-4.0,6.0,-3.0,3.0,-2.0,-3.0,4.0
DE LOS RIOS,MALALHUE,LICEO REPUBLICA DEL BRASIL,3M,0,17,20,51,9,11,1,1,37,2,2,8,3,43,44,33,9,5,147,10,-1,-1,1,23,28,45,9,4,11,26,147,0.006173983458929228,0.1546919085429505,0.1929967440534303,0.3067030559637499,0.05999613923916227,0.02594290601776805,0.07537375308872028,0.17812150963528947,-1.0,-6.0,-8.0,6.0,0.0,-2.0,0.0,11.0
DE LOS RIOS,MALALHUE,LICEO REPUBLICA DEL BRASIL,3V,2,17,29,48,9,19,2,2,26,4,9,24,19,30,28,28,13,3,154,10,-1,-1,1,24,30,47,9,4,12,27,154,0.006173983458929228,0.1546919085429505,0.1929967440534303,0.3067030559637499,0.05999613923916227,0.02594290601776805,0.07537375308872028,0.17812150963528947,1.0,-7.0,-1.0,1.0,0.0,0.0,7.0,-1.0
DE LOS RIOS,MALALHUE,LICEO REPUBLICA DEL BRASIL,4M,2,29,47,58,14,14,2,0,29,2,1,7,47,49,31,29,22,10,195,10,-1,-1,1,30,37,60,12,5,15,35,196,0.006173983458929228,0.1546919085429505,0.1929967440534303,0.3067030559637499,0.05999613923916227,0.02594290601776805,0.07537375308872028,0.17812150963528947,1.0,-1.0,10.0,-2.0,2.0,-3.0,-1.0,-6.0
DE LOS RIOS,MALALHUE,LICEO REPUBLICA DEL BRASIL,4V,0,34,37,45,10,8,3,1,30,4,2,16,25,41,37,29,15,5,168,10,-1,-1,1,26,32,52,10,4,13,30,170,0.006173983458929228,0.1546919085429505,0.1929967440534303,0.3067030559637499,0.05999613923916227,0.02594290601776805,0.07537375308872028,0.17812150963528947,-1.0,8.0,5.0,-7.0,0.0,0.0,-5.0,0.0
DE LOS RIOS,MALALHUE,LICEO REPUBLICA DEL BRASIL,5M,2,37,22,52,14,5,2,0,11,2,2,23,90,11,6,5,7,1,145,10,-1,-1,1,22,28,44,9,4,11,26,145,0.006173983458929228,0.1546919085429505,0.1929967440534303,0.3067030559637499,0.05999613923916227,0.02594290601776805,0.07537375308872028,0.17812150963528947,1.0,15.0,-6.0,8.0,5.0,-2.0,-6.0,-15.0
DE LOS RIOS,MALALHUE,LICEO REPUBLICA DEL BRASIL,5V,2,23,34,38,10,15,3,3,14,6,14,21,22,23,24,16,17,4,142,10,-1,-1,1,22,27,44,8,4,11,25,141,0.006173983458929228,0.1546919085429505,0.1929967440534303,0.3067030559637499,0.05999613923916227,0.02594290601776805,0.07537375308872028,0.17812150963528947,1.0,1.0,7.0,-6.0,2.0,2.0,4.0,-11.0
