REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE MAGALLANES Y DE LA ANTARTICA CHILENA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V,0,4,4,34,2,2,0,0,1,0,0,5,20,16,6,0,1,0,47,1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,10V-11V,4,16,29,59,6,10,1,1,9,2,4,15,37,37,20,16,6,0,135,6,0.45,-0.3467874862246563,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M,0,15,38,47,5,15,2,1,9,3,0,20,39,25,21,19,5,3,132,6,0.04,-1.3979400086720375,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V,0,12,35,63,2,9,1,1,18,2,2,24,33,34,19,20,7,2,141,6,0.32,-0.494850021680094,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,5V-6V-7V,0,10,26,86,7,6,1,2,14,3,3,17,57,43,19,10,3,0,152,6,0.17,-0.769551078621726,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V,5,17,31,72,4,13,0,0,15,0,1,26,54,33,27,12,4,0,157,6,0.35,-0.4559319556497244,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,8V-9V,1,12,30,94,4,10,0,1,9,1,3,32,59,37,22,8,0,1,161,6,0.49,-0.3098039199714863,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,1M-2M-4V,0,15,27,41,10,11,0,1,17,1,0,3,30,29,28,21,8,3,122,3,0.28,-0.5528419686577808,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,1V-2V-3V,3,6,22,45,12,9,0,0,13,0,1,10,12,16,30,23,10,8,110,3,0.34,-0.46852108295774486,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,5-6,0,4,8,48,4,4,2,1,3,3,1,10,20,12,16,10,5,0,74,3,0.004,-2.3979400086720375,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V,0,17,49,27,14,6,2,1,18,3,1,50,11,9,24,21,16,2,134,68,0.5,-0.3010299956639812,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V,1,13,38,38,8,10,1,5,21,6,1,61,13,11,22,17,7,3,135,68,0.34,-0.46852108295774486,-1,-1,-1,-1,-1,-1,-1,-1
