REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE NUBLE,BUSTAMANTE,ESCUELA HEROES DE IQUIQUE,1M,0,10,13,60,3,12,2,1,13,3,4,18,14,9,22,30,11,6,114,15,-1,-1,2,12,12,50,6,2,13,17,114,0.01365546218487395,0.10130323315766986,0.10552716849451646,0.4414613302948298,0.05459069220908703,0.021520260646631536,0.11393052983905426,0.14801132317333712,-2.0,-2.0,1.0,10.0,-3.0,1.0,-1.0,-4.0
DE NUBLE,BUSTAMANTE,ESCUELA HEROES DE IQUIQUE,1V,0,13,13,57,6,15,5,1,20,6,5,19,25,11,19,31,19,1,130,15,-1,-1,2,13,14,57,7,3,15,19,130,0.01365546218487395,0.10130323315766986,0.10552716849451646,0.4414613302948298,0.05459069220908703,0.021520260646631536,0.11393052983905426,0.14801132317333712,-2.0,0.0,-1.0,0.0,-1.0,3.0,0.0,1.0
DE NUBLE,BUSTAMANTE,ESCUELA HEROES DE IQUIQUE,2M,0,14,9,54,7,9,2,1,22,3,1,14,17,9,26,34,12,4,118,15,-1,-1,2,12,12,52,6,3,13,18,117,0.01365546218487395,0.10130323315766986,0.10552716849451646,0.4414613302948298,0.05459069220908703,0.021520260646631536,0.11393052983905426,0.14801132317333712,-2.0,2.0,-3.0,2.0,1.0,0.0,-4.0,4.0
DE NUBLE,BUSTAMANTE,ESCUELA HEROES DE IQUIQUE,2V,1,13,10,51,10,8,2,1,24,3,7,18,12,10,36,20,17,0,120,15,-1,-1,2,12,13,53,6,2,14,18,120,0.01365546218487395,0.10130323315766986,0.10552716849451646,0.4414613302948298,0.05459069220908703,0.021520260646631536,0.11393052983905426,0.14801132317333712,-1.0,1.0,-3.0,-2.0,4.0,1.0,-6.0,6.0
DE NUBLE,BUSTAMANTE,ESCUELA HEROES DE IQUIQUE,3M,3,15,18,58,11,14,1,2,19,3,4,15,15,11,46,36,12,2,141,15,-1,-1,2,14,15,62,8,3,16,21,141,0.01365546218487395,0.10130323315766986,0.10552716849451646,0.4414613302948298,0.05459069220908703,0.021520260646631536,0.11393052983905426,0.14801132317333712,1.0,1.0,3.0,-4.0,3.0,0.0,-2.0,-2.0
DE NUBLE,BUSTAMANTE,ESCUELA HEROES DE IQUIQUE,3V,1,9,10,60,6,7,2,0,11,2,2,16,11,7,25,30,10,5,106,15,-1,-1,1,11,11,47,6,2,12,16,106,0.01365546218487395,0.10130323315766986,0.10552716849451646,0.4414613302948298,0.05459069220908703,0.021520260646631536,0.11393052983905426,0.14801132317333712,0.0,-2.0,-1.0,13.0,0.0,0.0,-5.0,-5.0
DE NUBLE,BUSTAMANTE,ESCUELA HEROES DE IQUIQUE,4M,2,13,14,50,9,15,0,2,24,2,3,12,14,16,54,22,5,3,129,15,-1,-1,2,13,13,57,7,3,15,19,129,0.01365546218487395,0.10130323315766986,0.10552716849451646,0.4414613302948298,0.05459069220908703,0.021520260646631536,0.11393052983905426,0.14801132317333712,0.0,0.0,1.0,-7.0,2.0,-1.0,0.0,5.0
DE NUBLE,BUSTAMANTE,ESCUELA HEROES DE IQUIQUE,4V,0,15,13,58,6,11,4,1,18,5,4,16,17,11,33,23,17,5,126,15,-1,-1,2,13,13,55,7,3,14,19,126,0.01365546218487395,0.10130323315766986,0.10552716849451646,0.4414613302948298,0.05459069220908703,0.021520260646631536,0.11393052983905426,0.14801132317333712,-2.0,2.0,0.0,3.0,-1.0,2.0,-3.0,-1.0
DE NUBLE,BUSTAMANTE,ESCUELA HEROES DE IQUIQUE,5M,2,16,11,70,5,27,0,2,20,2,1,10,9,77,35,13,5,3,153,15,-1,-1,2,16,16,68,8,3,17,23,153,0.01365546218487395,0.10130323315766986,0.10552716849451646,0.4414613302948298,0.05459069220908703,0.021520260646631536,0.11393052983905426,0.14801132317333712,0.0,0.0,-5.0,2.0,-3.0,-1.0,10.0,-3.0
DE NUBLE,BUSTAMANTE,ESCUELA HEROES DE IQUIQUE,5V,1,11,19,50,6,11,1,4,21,5,1,16,21,9,36,28,11,2,124,15,-1,-1,2,12,13,55,7,3,14,18,124,0.01365546218487395,0.10130323315766986,0.10552716849451646,0.4414613302948298,0.05459069220908703,0.021520260646631536,0.11393052983905426,0.14801132317333712,-1.0,-1.0,6.0,-5.0,-1.0,2.0,-3.0,3.0
