REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,50+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE NUBLE,NIQUEN,LICEO POLIVALENTE SAN GREGORIO,10M,1,13,13,63,9,19,2,1,20,3,0,32,14,34,39,11,6,5,141,34,-1,-1,1,16,17,59,9,3,18,18,46,61,0.02502816284307778,0.1858306420483876,0.14363123547067053,0.37603643536530984,0.04748376117809168,0.01906360643554115,0.10808233033155983,0.09484382632736171,0.003721687638843083,0.08939236560443145,0.1390112957967118,0.4133859427154554,0.06321281351982705,0.025007869216972328,0.12031046617371563,0.14595755933404334,0.0001985440410205355,0.0792669671736978,0.0901604184462749,0.4471307689523245,0.07130472355833842,0.02253963910120324,0.14103761268721218,0.14836132603992858,0.0,-3.0,-4.0,4.0,0.0,0.0,1.0,2.0
DE NUBLE,NIQUEN,LICEO POLIVALENTE SAN GREGORIO,10V,1,13,16,42,13,12,3,0,17,3,3,21,7,5,39,28,11,3,117,34,-1,-1,1,13,12,50,8,2,15,16,31,81,0.02502816284307778,0.1858306420483876,0.14363123547067053,0.37603643536530984,0.04748376117809168,0.01906360643554115,0.10808233033155983,0.09484382632736171,0.003721687638843083,0.08939236560443145,0.1390112957967118,0.4133859427154554,0.06321281351982705,0.025007869216972328,0.12031046617371563,0.14595755933404334,0.0001985440410205355,0.0792669671736978,0.0901604184462749,0.4471307689523245,0.07130472355833842,0.02253963910120324,0.14103761268721218,0.14836132603992858,0.0,0.0,4.0,-8.0,5.0,1.0,-3.0,1.0
DE NUBLE,NIQUEN,LICEO POLIVALENTE SAN GREGORIO,11M,0,17,16,61,11,16,1,2,18,3,5,25,5,59,35,10,1,2,142,34,-1,-1,1,16,17,59,9,3,18,19,35,48,0.02502816284307778,0.1858306420483876,0.14363123547067053,0.37603643536530984,0.04748376117809168,0.01906360643554115,0.10808233033155983,0.09484382632736171,0.003721687638843083,0.08939236560443145,0.1390112957967118,0.4133859427154554,0.06321281351982705,0.025007869216972328,0.12031046617371563,0.14595755933404334,0.0001985440410205355,0.0792669671736978,0.0901604184462749,0.4471307689523245,0.07130472355833842,0.02253963910120324,0.14103761268721218,0.14836132603992858,-1.0,1.0,-1.0,2.0,2.0,0.0,-2.0,-1.0
DE NUBLE,NIQUEN,LICEO POLIVALENTE SAN GREGORIO,11V,3,23,19,63,11,24,2,3,19,5,6,49,12,39,27,19,10,5,167,34,-1,-1,2,21,20,69,10,4,20,21,67,61,0.02502816284307778,0.1858306420483876,0.14363123547067053,0.37603643536530984,0.04748376117809168,0.01906360643554115,0.10808233033155983,0.09484382632736171,0.003721687638843083,0.08939236560443145,0.1390112957967118,0.4133859427154554,0.06321281351982705,0.025007869216972328,0.12031046617371563,0.14595755933404334,0.0001985440410205355,0.0792669671736978,0.0901604184462749,0.4471307689523245,0.07130472355833842,0.02253963910120324,0.14103761268721218,0.14836132603992858,1.0,2.0,-1.0,-6.0,1.0,1.0,4.0,-2.0
DE NUBLE,NIQUEN,LICEO POLIVALENTE SAN GREGORIO,12M,0,24,19,63,9,33,1,3,18,4,1,15,9,69,35,24,15,2,170,34,-1,-1,1,17,20,72,11,4,22,23,25,76,0.02502816284307778,0.1858306420483876,0.14363123547067053,0.37603643536530984,0.04748376117809168,0.01906360643554115,0.10808233033155983,0.09484382632736171,0.003721687638843083,0.08939236560443145,0.1390112957967118,0.4133859427154554,0.06321281351982705,0.025007869216972328,0.12031046617371563,0.14595755933404334,0.0001985440410205355,0.0792669671736978,0.0901604184462749,0.4471307689523245,0.07130472355833842,0.02253963910120324,0.14103761268721218,0.14836132603992858,-1.0,7.0,-1.0,-9.0,-2.0,0.0,11.0,-5.0
DE NUBLE,NIQUEN,LICEO POLIVALENTE SAN GREGORIO,12V,2,16,15,67,10,18,3,0,23,3,2,17,22,40,30,31,11,1,154,34,-1,-1,1,17,18,65,10,3,19,21,41,73,0.02502816284307778,0.1858306420483876,0.14363123547067053,0.37603643536530984,0.04748376117809168,0.01906360643554115,0.10808233033155983,0.09484382632736171,0.003721687638843083,0.08939236560443145,0.1390112957967118,0.4133859427154554,0.06321281351982705,0.025007869216972328,0.12031046617371563,0.14595755933404334,0.0001985440410205355,0.0792669671736978,0.0901604184462749,0.4471307689523245,0.07130472355833842,0.02253963910120324,0.14103761268721218,0.14836132603992858,1.0,-1.0,-3.0,2.0,0.0,0.0,-1.0,2.0
DE NUBLE,NIQUEN,LICEO POLIVALENTE SAN GREGORIO,13M,0,20,21,73,12,15,2,3,23,5,3,12,33,35,40,31,13,3,169,34,-1,-1,1,19,19,71,11,4,22,22,48,87,0.02502816284307778,0.1858306420483876,0.14363123547067053,0.37603643536530984,0.04748376117809168,0.01906360643554115,0.10808233033155983,0.09484382632736171,0.003721687638843083,0.08939236560443145,0.1390112957967118,0.4133859427154554,0.06321281351982705,0.025007869216972328,0.12031046617371563,0.14595755933404334,0.0001985440410205355,0.0792669671736978,0.0901604184462749,0.4471307689523245,0.07130472355833842,0.02253963910120324,0.14103761268721218,0.14836132603992858,-1.0,1.0,2.0,2.0,1.0,1.0,-7.0,1.0
DE NUBLE,NIQUEN,LICEO POLIVALENTE SAN GREGORIO,13V,1,13,21,49,10,16,1,0,18,1,6,20,4,47,29,18,3,2,129,34,-1,-1,1,14,16,54,8,3,16,17,30,52,0.02502816284307778,0.1858306420483876,0.14363123547067053,0.37603643536530984,0.04748376117809168,0.01906360643554115,0.10808233033155983,0.09484382632736171,0.003721687638843083,0.08939236560443145,0.1390112957967118,0.4133859427154554,0.06321281351982705,0.025007869216972328,0.12031046617371563,0.14595755933404334,0.0001985440410205355,0.0792669671736978,0.0901604184462749,0.4471307689523245,0.07130472355833842,0.02253963910120324,0.14103761268721218,0.14836132603992858,0.0,-1.0,5.0,-5.0,2.0,-2.0,0.0,1.0
DE NUBLE,NIQUEN,LICEO POLIVALENTE SAN GREGORIO,14M,2,10,17,66,7,26,3,2,28,5,4,7,29,28,38,34,16,5,161,34,-1,-1,1,17,18,68,10,4,21,22,40,93,0.02502816284307778,0.1858306420483876,0.14363123547067053,0.37603643536530984,0.04748376117809168,0.01906360643554115,0.10808233033155983,0.09484382632736171,0.003721687638843083,0.08939236560443145,0.1390112957967118,0.4133859427154554,0.06321281351982705,0.025007869216972328,0.12031046617371563,0.14595755933404334,0.0001985440410205355,0.0792669671736978,0.0901604184462749,0.4471307689523245,0.07130472355833842,0.02253963910120324,0.14103761268721218,0.14836132603992858,1.0,-7.0,-1.0,-2.0,-3.0,1.0,5.0,6.0
DE NUBLE,NIQUEN,LICEO POLIVALENTE SAN GREGORIO,14V,3,16,12,61,10,13,1,3,16,4,1,21,9,49,21,15,14,5,135,34,-1,-1,1,15,16,57,8,3,17,18,31,55,0.02502816284307778,0.1858306420483876,0.14363123547067053,0.37603643536530984,0.04748376117809168,0.01906360643554115,0.10808233033155983,0.09484382632736171,0.003721687638843083,0.08939236560443145,0.1390112957967118,0.4133859427154554,0.06321281351982705,0.025007869216972328,0.12031046617371563,0.14595755933404334,0.0001985440410205355,0.0792669671736978,0.0901604184462749,0.4471307689523245,0.07130472355833842,0.02253963910120324,0.14103761268721218,0.14836132603992858,2.0,1.0,-4.0,4.0,2.0,1.0,-4.0,-2.0
