REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,30-49,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-49,P_FRANCO ALDO PARISI_30-49,P_GABRIEL BORIC_30-49,P_JOSE ANTONIO KAST_30-49,P_MARCO ENRIQUEZ-OMINAMI_30-49,P_NULO BLANCO_30-49,P_SEBASTIAN SICHEL_30-49,P_YASNA PROVOSTE_30-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE NUBLE,QUILLON,ESCUELA BASICA AMANDA CHAVEZ NAVARRETE,14V,2,34,25,58,9,14,0,3,19,3,3,39,24,35,17,24,13,9,164,38,-1,-1,2,30,24,57,10,2,18,21,42,59,63,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,0.0,4.0,1.0,1.0,-1.0,1.0,-4.0,-2.0
DE NUBLE,QUILLON,ESCUELA BASICA AMANDA CHAVEZ NAVARRETE,15V,4,20,21,48,7,20,2,2,25,4,2,28,23,15,31,25,19,6,149,38,-1,-1,2,23,20,54,9,2,18,21,30,38,81,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,2.0,-3.0,1.0,-6.0,-2.0,2.0,2.0,4.0
DE NUBLE,QUILLON,ESCUELA BASICA AMANDA CHAVEZ NAVARRETE,16V,4,25,26,61,9,15,1,1,17,2,4,20,42,18,24,23,18,10,159,38,-1,-1,2,25,20,59,10,2,19,22,24,60,75,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,2.0,0.0,6.0,2.0,-1.0,0.0,-4.0,-5.0
DE NUBLE,QUILLON,ESCUELA BASICA AMANDA CHAVEZ NAVARRETE,17V,4,29,37,81,11,14,1,2,14,3,2,17,51,23,37,34,20,9,193,38,-1,-1,2,29,23,73,12,2,24,28,19,74,100,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,2.0,0.0,14.0,8.0,-1.0,1.0,-10.0,-14.0
DE NUBLE,QUILLON,ESCUELA BASICA AMANDA CHAVEZ NAVARRETE,18V,2,23,26,52,11,16,2,1,14,3,9,33,16,16,23,26,18,6,147,38,-1,-1,2,25,22,50,9,2,17,20,42,32,73,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,0.0,-2.0,4.0,2.0,2.0,1.0,-1.0,-6.0
DE NUBLE,QUILLON,ESCUELA BASICA AMANDA CHAVEZ NAVARRETE,19,3,51,27,34,8,13,0,0,7,0,7,94,15,16,6,2,1,2,143,38,-1,-1,2,40,30,37,11,3,10,10,101,31,11,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,1.0,11.0,-3.0,-3.0,-3.0,-3.0,3.0,-3.0
DE NUBLE,QUILLON,ESCUELA BASICA AMANDA CHAVEZ NAVARRETE,1M,0,11,15,40,7,27,0,0,16,0,2,18,3,7,20,33,20,13,116,38,-1,-1,1,14,15,42,7,2,16,19,20,10,86,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,-1.0,-3.0,0.0,-2.0,0.0,-2.0,11.0,-3.0
DE NUBLE,QUILLON,ESCUELA BASICA AMANDA CHAVEZ NAVARRETE,20,1,35,28,35,15,10,1,8,16,9,6,68,15,7,10,30,10,3,149,38,-1,-1,2,32,27,45,10,3,14,16,74,22,53,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,-1.0,3.0,1.0,-10.0,5.0,6.0,-4.0,0.0
DE NUBLE,QUILLON,ESCUELA BASICA AMANDA CHAVEZ NAVARRETE,21,0,11,15,39,2,8,0,1,10,1,2,14,16,10,16,17,8,3,86,38,-1,-1,1,14,12,31,5,1,10,12,16,26,44,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,-1.0,-3.0,3.0,8.0,-3.0,0.0,-2.0,-2.0
DE NUBLE,QUILLON,ESCUELA BASICA AMANDA CHAVEZ NAVARRETE,2M,1,20,20,64,10,15,1,0,21,1,4,14,4,4,36,45,32,13,152,38,-1,-1,2,15,18,57,9,3,22,26,18,8,126,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,-1.0,5.0,2.0,7.0,1.0,-2.0,-7.0,-5.0
