REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,60+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50-59,P_FRANCO ALDO PARISI_50-59,P_GABRIEL BORIC_50-59,P_JOSE ANTONIO KAST_50-59,P_MARCO ENRIQUEZ-OMINAMI_50-59,P_NULO BLANCO_50-59,P_SEBASTIAN SICHEL_50-59,P_YASNA PROVOSTE_50-59,P_EDUARDO ARTES_60+,P_FRANCO ALDO PARISI_60+,P_GABRIEL BORIC_60+,P_JOSE ANTONIO KAST_60+,P_MARCO ENRIQUEZ-OMINAMI_60+,P_NULO BLANCO_60+,P_SEBASTIAN SICHEL_60+,P_YASNA PROVOSTE_60+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE NUBLE,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,31M,0,17,15,61,9,18,0,0,16,0,2,9,30,3,44,33,10,5,136,133,-1,-1,1,14,20,55,7,2,18,19,11,48,0.012205864987592886,0.22787062570941535,0.29521547571063117,0.32157854494143095,0.014819075225502796,0.011325519542939706,0.06134023484323211,0.055644659039255126,0.005701916083055618,0.16652619503095287,0.18985961813502852,0.3570233413166457,0.05241049598981127,0.005842626263523934,0.12981650337469539,0.09281930380628678,0.009296112242333053,0.11623287231346532,0.12813657900265163,0.44211331202110254,0.05077222453223299,0.01793298023629917,0.1209397316466212,0.11457618800529407,0.015076751098851586,0.10941934735944192,0.13320696892873785,0.3881979207144729,0.03855581390226919,0.020300605589906623,0.11668297285825946,0.17855961954806032,0.0006753717787291984,0.02949807370636213,0.09216703353927105,0.4664349071094386,0.06835251915841144,0.019572544788691484,0.15810619959350639,0.16519335032558966,-1.0,3.0,-5.0,6.0,2.0,-2.0,0.0,-3.0
DE NUBLE,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,32M,3,18,27,52,7,18,2,2,18,4,2,10,21,7,43,38,21,1,147,133,-1,-1,1,14,20,61,8,2,19,22,12,60,0.012205864987592886,0.22787062570941535,0.29521547571063117,0.32157854494143095,0.014819075225502796,0.011325519542939706,0.06134023484323211,0.055644659039255126,0.005701916083055618,0.16652619503095287,0.18985961813502852,0.3570233413166457,0.05241049598981127,0.005842626263523934,0.12981650337469539,0.09281930380628678,0.009296112242333053,0.11623287231346532,0.12813657900265163,0.44211331202110254,0.05077222453223299,0.01793298023629917,0.1209397316466212,0.11457618800529407,0.015076751098851586,0.10941934735944192,0.13320696892873785,0.3881979207144729,0.03855581390226919,0.020300605589906623,0.11668297285825946,0.17855961954806032,0.0006753717787291984,0.02949807370636213,0.09216703353927105,0.4664349071094386,0.06835251915841144,0.019572544788691484,0.15810619959350639,0.16519335032558966,2.0,4.0,7.0,-9.0,-1.0,2.0,-1.0,-4.0
DE NUBLE,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,33M,1,9,12,49,8,26,3,1,18,4,4,5,21,0,36,41,17,3,127,133,-1,-1,1,11,17,53,7,2,17,19,9,61,0.012205864987592886,0.22787062570941535,0.29521547571063117,0.32157854494143095,0.014819075225502796,0.011325519542939706,0.06134023484323211,0.055644659039255126,0.005701916083055618,0.16652619503095287,0.18985961813502852,0.3570233413166457,0.05241049598981127,0.005842626263523934,0.12981650337469539,0.09281930380628678,0.009296112242333053,0.11623287231346532,0.12813657900265163,0.44211331202110254,0.05077222453223299,0.01793298023629917,0.1209397316466212,0.11457618800529407,0.015076751098851586,0.10941934735944192,0.13320696892873785,0.3881979207144729,0.03855581390226919,0.020300605589906623,0.11668297285825946,0.17855961954806032,0.0006753717787291984,0.02949807370636213,0.09216703353927105,0.4664349071094386,0.06835251915841144,0.019572544788691484,0.15810619959350639,0.16519335032558966,0.0,-2.0,-5.0,-4.0,1.0,2.0,9.0,-1.0
DE NUBLE,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,34M,0,10,22,63,3,22,0,1,19,1,1,7,33,2,46,37,11,3,140,133,-1,-1,1,14,20,57,7,2,19,20,8,51,0.012205864987592886,0.22787062570941535,0.29521547571063117,0.32157854494143095,0.014819075225502796,0.011325519542939706,0.06134023484323211,0.055644659039255126,0.005701916083055618,0.16652619503095287,0.18985961813502852,0.3570233413166457,0.05241049598981127,0.005842626263523934,0.12981650337469539,0.09281930380628678,0.009296112242333053,0.11623287231346532,0.12813657900265163,0.44211331202110254,0.05077222453223299,0.01793298023629917,0.1209397316466212,0.11457618800529407,0.015076751098851586,0.10941934735944192,0.13320696892873785,0.3881979207144729,0.03855581390226919,0.020300605589906623,0.11668297285825946,0.17855961954806032,0.0006753717787291984,0.02949807370636213,0.09216703353927105,0.4664349071094386,0.06835251915841144,0.019572544788691484,0.15810619959350639,0.16519335032558966,-1.0,-4.0,2.0,6.0,-4.0,-1.0,3.0,-1.0
DE NUBLE,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,35M,2,14,22,62,9,20,1,0,19,1,4,14,23,4,53,37,9,5,149,133,-1,-1,1,16,22,60,7,3,19,21,18,51,0.012205864987592886,0.22787062570941535,0.29521547571063117,0.32157854494143095,0.014819075225502796,0.011325519542939706,0.06134023484323211,0.055644659039255126,0.005701916083055618,0.16652619503095287,0.18985961813502852,0.3570233413166457,0.05241049598981127,0.005842626263523934,0.12981650337469539,0.09281930380628678,0.009296112242333053,0.11623287231346532,0.12813657900265163,0.44211331202110254,0.05077222453223299,0.01793298023629917,0.1209397316466212,0.11457618800529407,0.015076751098851586,0.10941934735944192,0.13320696892873785,0.3881979207144729,0.03855581390226919,0.020300605589906623,0.11668297285825946,0.17855961954806032,0.0006753717787291984,0.02949807370636213,0.09216703353927105,0.4664349071094386,0.06835251915841144,0.019572544788691484,0.15810619959350639,0.16519335032558966,1.0,-2.0,0.0,2.0,2.0,-2.0,1.0,-2.0
DE NUBLE,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,36M,0,14,14,57,10,21,2,2,17,4,2,9,35,2,34,33,18,4,137,133,-1,-1,1,14,20,56,7,2,18,19,11,55,0.012205864987592886,0.22787062570941535,0.29521547571063117,0.32157854494143095,0.014819075225502796,0.011325519542939706,0.06134023484323211,0.055644659039255126,0.005701916083055618,0.16652619503095287,0.18985961813502852,0.3570233413166457,0.05241049598981127,0.005842626263523934,0.12981650337469539,0.09281930380628678,0.009296112242333053,0.11623287231346532,0.12813657900265163,0.44211331202110254,0.05077222453223299,0.01793298023629917,0.1209397316466212,0.11457618800529407,0.015076751098851586,0.10941934735944192,0.13320696892873785,0.3881979207144729,0.03855581390226919,0.020300605589906623,0.11668297285825946,0.17855961954806032,0.0006753717787291984,0.02949807370636213,0.09216703353927105,0.4664349071094386,0.06835251915841144,0.019572544788691484,0.15810619959350639,0.16519335032558966,-1.0,0.0,-6.0,1.0,3.0,2.0,3.0,-2.0
DE NUBLE,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,37M,4,17,28,38,4,15,0,4,23,4,4,14,32,2,43,25,12,1,133,133,-1,-1,1,15,21,53,6,2,17,18,18,38,0.012205864987592886,0.22787062570941535,0.29521547571063117,0.32157854494143095,0.014819075225502796,0.011325519542939706,0.06134023484323211,0.055644659039255126,0.005701916083055618,0.16652619503095287,0.18985961813502852,0.3570233413166457,0.05241049598981127,0.005842626263523934,0.12981650337469539,0.09281930380628678,0.009296112242333053,0.11623287231346532,0.12813657900265163,0.44211331202110254,0.05077222453223299,0.01793298023629917,0.1209397316466212,0.11457618800529407,0.015076751098851586,0.10941934735944192,0.13320696892873785,0.3881979207144729,0.03855581390226919,0.020300605589906623,0.11668297285825946,0.17855961954806032,0.0006753717787291984,0.02949807370636213,0.09216703353927105,0.4664349071094386,0.06835251915841144,0.019572544788691484,0.15810619959350639,0.16519335032558966,3.0,2.0,7.0,-15.0,-2.0,2.0,-2.0,5.0
DE NUBLE,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,38M,3,17,21,59,6,21,0,1,21,1,3,6,29,3,42,46,16,4,149,133,-1,-1,1,14,20,62,8,2,20,22,9,66,0.012205864987592886,0.22787062570941535,0.29521547571063117,0.32157854494143095,0.014819075225502796,0.011325519542939706,0.06134023484323211,0.055644659039255126,0.005701916083055618,0.16652619503095287,0.18985961813502852,0.3570233413166457,0.05241049598981127,0.005842626263523934,0.12981650337469539,0.09281930380628678,0.009296112242333053,0.11623287231346532,0.12813657900265163,0.44211331202110254,0.05077222453223299,0.01793298023629917,0.1209397316466212,0.11457618800529407,0.015076751098851586,0.10941934735944192,0.13320696892873785,0.3881979207144729,0.03855581390226919,0.020300605589906623,0.11668297285825946,0.17855961954806032,0.0006753717787291984,0.02949807370636213,0.09216703353927105,0.4664349071094386,0.06835251915841144,0.019572544788691484,0.15810619959350639,0.16519335032558966,2.0,3.0,1.0,-3.0,-2.0,-1.0,1.0,-1.0
DE NUBLE,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,39M,0,25,17,58,9,17,1,0,15,1,3,14,36,1,40,32,13,3,142,133,-1,-1,1,16,22,57,7,2,18,19,17,48,0.012205864987592886,0.22787062570941535,0.29521547571063117,0.32157854494143095,0.014819075225502796,0.011325519542939706,0.06134023484323211,0.055644659039255126,0.005701916083055618,0.16652619503095287,0.18985961813502852,0.3570233413166457,0.05241049598981127,0.005842626263523934,0.12981650337469539,0.09281930380628678,0.009296112242333053,0.11623287231346532,0.12813657900265163,0.44211331202110254,0.05077222453223299,0.01793298023629917,0.1209397316466212,0.11457618800529407,0.015076751098851586,0.10941934735944192,0.13320696892873785,0.3881979207144729,0.03855581390226919,0.020300605589906623,0.11668297285825946,0.17855961954806032,0.0006753717787291984,0.02949807370636213,0.09216703353927105,0.4664349071094386,0.06835251915841144,0.019572544788691484,0.15810619959350639,0.16519335032558966,-1.0,9.0,-5.0,1.0,2.0,-1.0,-1.0,-4.0
DE NUBLE,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,40M,0,21,22,58,8,14,1,1,24,2,4,9,25,1,57,36,12,5,149,133,-1,-1,1,15,21,61,7,3,19,22,13,53,0.012205864987592886,0.22787062570941535,0.29521547571063117,0.32157854494143095,0.014819075225502796,0.011325519542939706,0.06134023484323211,0.055644659039255126,0.005701916083055618,0.16652619503095287,0.18985961813502852,0.3570233413166457,0.05241049598981127,0.005842626263523934,0.12981650337469539,0.09281930380628678,0.009296112242333053,0.11623287231346532,0.12813657900265163,0.44211331202110254,0.05077222453223299,0.01793298023629917,0.1209397316466212,0.11457618800529407,0.015076751098851586,0.10941934735944192,0.13320696892873785,0.3881979207144729,0.03855581390226919,0.020300605589906623,0.11668297285825946,0.17855961954806032,0.0006753717787291984,0.02949807370636213,0.09216703353927105,0.4664349071094386,0.06835251915841144,0.019572544788691484,0.15810619959350639,0.16519335032558966,-1.0,6.0,1.0,-3.0,1.0,-1.0,-5.0,2.0
