REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE TARAPACA,HUARA,GIMNASIO MUNICIPAL TECHADO DE HUARA,10V,0,11,6,5,1,1,0,0,3,0,0,2,9,6,3,3,0,4,27,30,-1,-1,0,11,4,7,1,1,1,2,27,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,0.0,2.0,-2.0,0.0,-1.0,0.0,1.0
DE TARAPACA,HUARA,GIMNASIO MUNICIPAL TECHADO DE HUARA,11V,0,16,11,10,2,2,0,0,4,0,1,4,20,8,6,5,0,1,45,30,-1,-1,0,19,6,12,2,1,2,3,45,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-3.0,5.0,-2.0,0.0,-1.0,0.0,1.0
DE TARAPACA,HUARA,GIMNASIO MUNICIPAL TECHADO DE HUARA,12V,1,30,9,11,2,0,0,1,5,1,1,22,15,9,6,6,0,0,59,30,-1,-1,1,25,8,15,2,1,3,4,59,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,5.0,1.0,-4.0,0.0,0.0,-3.0,1.0
DE TARAPACA,HUARA,GIMNASIO MUNICIPAL TECHADO DE HUARA,13V,1,23,6,23,3,3,0,0,4,0,1,6,15,12,11,11,4,3,63,30,-1,-1,0,27,9,16,3,1,3,4,63,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,1.0,-4.0,-3.0,7.0,0.0,-1.0,0.0,0.0
DE TARAPACA,HUARA,GIMNASIO MUNICIPAL TECHADO DE HUARA,14,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,30,-1,-1,0,1,0,1,0,0,0,0,2,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
DE TARAPACA,HUARA,GIMNASIO MUNICIPAL TECHADO DE HUARA,15,0,18,0,7,0,0,0,0,1,0,0,11,12,1,0,2,0,0,26,30,-1,-1,0,11,4,7,1,0,1,2,26,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,7.0,-4.0,0.0,-1.0,0.0,-1.0,-1.0
DE TARAPACA,HUARA,GIMNASIO MUNICIPAL TECHADO DE HUARA,16,1,36,12,7,1,3,0,1,3,1,2,12,12,9,11,13,1,4,64,30,-1,-1,0,27,9,16,3,1,3,5,64,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,1.0,9.0,3.0,-9.0,-2.0,0.0,0.0,-2.0
DE TARAPACA,HUARA,GIMNASIO MUNICIPAL TECHADO DE HUARA,17,0,20,7,12,1,2,1,1,2,2,2,5,8,11,13,7,0,0,46,30,-1,-1,0,19,7,12,2,1,2,3,46,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0
DE TARAPACA,HUARA,GIMNASIO MUNICIPAL TECHADO DE HUARA,18,1,33,6,19,2,1,0,0,2,0,2,11,12,22,7,7,3,0,64,30,-1,-1,0,27,9,16,3,1,3,5,64,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,1.0,6.0,-3.0,3.0,-1.0,-1.0,-2.0,-3.0
DE TARAPACA,HUARA,GIMNASIO MUNICIPAL TECHADO DE HUARA,19,0,25,8,21,3,4,1,0,1,1,0,12,12,22,5,5,7,0,63,30,-1,-1,0,27,9,16,3,1,3,4,63,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-2.0,-1.0,5.0,0.0,0.0,1.0,-3.0
DE TARAPACA,HUARA,LICEO DE HUARA,10M,0,17,4,14,2,3,0,0,3,0,0,2,20,9,7,4,1,0,43,30,-1,-1,0,18,6,11,2,1,2,3,43,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-1.0,-2.0,3.0,0.0,-1.0,1.0,0.0
DE TARAPACA,HUARA,LICEO DE HUARA,11M,0,12,5,7,1,2,0,0,2,0,0,4,7,6,3,3,4,2,29,30,-1,-1,0,12,4,8,1,1,1,2,29,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,0.0,1.0,-1.0,0.0,-1.0,1.0,0.0
DE TARAPACA,HUARA,LICEO DE HUARA,1M,0,21,6,15,2,5,0,2,3,2,0,2,6,3,18,15,7,3,54,30,-1,-1,0,23,7,14,2,1,3,4,54,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-2.0,-1.0,1.0,0.0,1.0,2.0,-1.0
DE TARAPACA,HUARA,LICEO DE HUARA,1V,0,12,3,10,2,1,3,0,3,3,0,2,2,2,9,11,6,2,34,30,-1,-1,0,14,5,9,1,1,2,2,34,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-2.0,-2.0,1.0,1.0,2.0,-1.0,1.0
DE TARAPACA,HUARA,LICEO DE HUARA,2M,0,7,4,11,5,2,1,1,3,2,0,5,6,7,6,9,0,1,34,30,-1,-1,0,14,5,9,1,1,2,2,34,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-7.0,-1.0,2.0,4.0,1.0,0.0,1.0
DE TARAPACA,HUARA,LICEO DE HUARA,2V,1,5,3,7,0,2,0,0,3,0,1,3,0,2,8,5,1,1,21,30,-1,-1,0,9,3,5,1,0,1,2,21,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,1.0,-4.0,0.0,2.0,-1.0,0.0,1.0,1.0
DE TARAPACA,HUARA,LICEO DE HUARA,3M,1,22,3,12,2,4,2,1,4,3,1,5,6,20,11,6,2,0,51,30,-1,-1,0,21,7,13,2,1,3,4,51,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,1.0,1.0,-4.0,-1.0,0.0,2.0,1.0,0.0
DE TARAPACA,HUARA,LICEO DE HUARA,3V,0,8,4,7,0,2,0,0,1,0,0,2,2,8,1,6,2,1,22,30,-1,-1,0,9,3,6,1,0,1,2,22,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0
DE TARAPACA,HUARA,LICEO DE HUARA,4M,0,7,0,2,1,1,0,0,2,0,1,2,1,3,5,0,1,0,13,30,-1,-1,0,5,2,3,1,0,1,1,13,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,2.0,-2.0,-1.0,0.0,0.0,0.0,1.0
DE TARAPACA,HUARA,LICEO DE HUARA,4V,0,13,8,6,0,2,1,0,3,1,1,2,5,8,9,3,4,1,33,30,-1,-1,0,14,5,8,1,1,2,2,33,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-1.0,3.0,-2.0,-1.0,0.0,0.0,1.0
DE TARAPACA,HUARA,LICEO DE HUARA,5M,0,8,4,6,2,1,0,0,3,0,0,2,2,7,8,4,0,1,24,30,-1,-1,0,10,3,6,1,1,1,2,24,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-2.0,1.0,0.0,1.0,-1.0,0.0,1.0
DE TARAPACA,HUARA,LICEO DE HUARA,5V,0,8,4,6,1,0,0,0,2,0,1,7,3,3,2,3,1,1,21,30,-1,-1,0,9,3,5,1,0,1,2,21,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0
DE TARAPACA,HUARA,LICEO DE HUARA,6M,0,10,1,4,0,1,1,0,1,1,0,4,2,5,3,1,1,2,18,30,-1,-1,0,8,2,5,1,0,1,1,18,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,2.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
DE TARAPACA,HUARA,LICEO DE HUARA,6V,0,8,3,0,0,1,0,0,1,0,0,1,2,1,2,4,3,0,13,30,-1,-1,0,5,2,3,1,0,1,1,13,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,3.0,1.0,-3.0,-1.0,0.0,0.0,0.0
DE TARAPACA,HUARA,LICEO DE HUARA,7M,0,17,3,5,1,2,0,0,1,0,0,0,12,4,6,2,3,2,29,30,-1,-1,0,12,4,8,1,1,1,2,29,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,5.0,-1.0,-3.0,0.0,-1.0,1.0,-1.0
DE TARAPACA,HUARA,LICEO DE HUARA,7V,0,8,2,8,2,0,0,0,4,0,0,5,1,7,5,4,2,0,24,30,-1,-1,0,10,3,6,1,1,1,2,24,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-2.0,-1.0,2.0,1.0,-1.0,-1.0,2.0
DE TARAPACA,HUARA,LICEO DE HUARA,8M,0,9,5,2,0,3,0,1,1,1,2,1,4,2,4,7,0,1,21,30,-1,-1,0,9,3,5,1,0,1,2,21,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,0.0,2.0,-3.0,-1.0,1.0,2.0,-1.0
DE TARAPACA,HUARA,LICEO DE HUARA,8V,0,5,2,6,1,2,0,2,2,2,0,3,3,3,5,3,2,1,20,30,-1,-1,0,9,3,5,1,0,1,1,20,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-4.0,-1.0,1.0,0.0,2.0,1.0,1.0
DE TARAPACA,HUARA,LICEO DE HUARA,9M,1,24,6,13,1,1,0,0,2,0,4,2,13,13,9,6,0,1,48,30,-1,-1,0,20,7,12,2,1,2,4,48,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,1.0,4.0,-1.0,1.0,-1.0,-1.0,-1.0,-2.0
DE TARAPACA,HUARA,LICEO DE HUARA,9V,0,12,12,15,3,0,1,0,5,1,1,7,14,8,6,6,5,1,48,30,-1,-1,0,20,7,12,2,1,2,4,48,0.0066100094428706326,0.4202077431539188,0.1388101983002833,0.25684608120868746,0.039660056657223795,0.019830028328611898,0.04815864022662889,0.06987724268177525,0.0,-8.0,5.0,3.0,1.0,0.0,-2.0,1.0
