REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE TARAPACA,PICA,ESCUELA SAN ANDRES DE PICA,10M,4,24,22,23,1,11,0,0,9,0,3,11,17,16,9,17,18,2,94,21,-1,-1,1,27,15,28,4,1,7,11,93,0.010596491077817419,0.29027818325804866,0.15719863339664233,0.2935692429337036,0.039781976417442355,0.010191515745990929,0.07969091167236274,0.11869304549799195,3.0,-3.0,7.0,-5.0,-3.0,-1.0,4.0,-2.0
DE TARAPACA,PICA,ESCUELA SAN ANDRES DE PICA,1M,0,31,18,36,6,13,1,2,18,3,1,5,4,9,21,38,31,16,125,21,-1,-1,1,36,20,37,5,1,10,15,125,0.010596491077817419,0.29027818325804866,0.15719863339664233,0.2935692429337036,0.039781976417442355,0.010191515745990929,0.07969091167236274,0.11869304549799195,-1.0,-5.0,-2.0,-1.0,1.0,2.0,3.0,3.0
DE TARAPACA,PICA,ESCUELA SAN ANDRES DE PICA,2M,2,47,22,40,1,11,2,1,27,3,0,7,30,13,39,35,16,13,153,21,-1,-1,2,44,24,45,6,2,12,18,153,0.010596491077817419,0.29027818325804866,0.15719863339664233,0.2935692429337036,0.039781976417442355,0.010191515745990929,0.07969091167236274,0.11869304549799195,0.0,3.0,-2.0,-5.0,-5.0,1.0,-1.0,9.0
DE TARAPACA,PICA,ESCUELA SAN ANDRES DE PICA,3M,0,36,18,42,7,7,0,1,8,1,2,24,21,21,25,13,12,1,119,21,-1,-1,1,35,19,35,5,1,9,14,119,0.010596491077817419,0.29027818325804866,0.15719863339664233,0.2935692429337036,0.039781976417442355,0.010191515745990929,0.07969091167236274,0.11869304549799195,-1.0,1.0,-1.0,7.0,2.0,0.0,-2.0,-6.0
DE TARAPACA,PICA,ESCUELA SAN ANDRES DE PICA,4M,0,50,12,40,6,7,0,1,21,1,5,4,14,40,31,17,15,11,137,21,-1,-1,2,40,22,40,5,1,11,16,137,0.010596491077817419,0.29027818325804866,0.15719863339664233,0.2935692429337036,0.039781976417442355,0.010191515745990929,0.07969091167236274,0.11869304549799195,-2.0,10.0,-10.0,0.0,1.0,0.0,-4.0,5.0
DE TARAPACA,PICA,ESCUELA SAN ANDRES DE PICA,5M,3,37,20,40,8,6,1,1,18,2,3,7,22,36,18,27,17,3,134,21,-1,-1,2,39,21,39,5,1,11,16,133,0.010596491077817419,0.29027818325804866,0.15719863339664233,0.2935692429337036,0.039781976417442355,0.010191515745990929,0.07969091167236274,0.11869304549799195,1.0,-2.0,-1.0,1.0,3.0,1.0,-5.0,2.0
DE TARAPACA,PICA,ESCUELA SAN ANDRES DE PICA,6M,1,46,30,39,9,9,5,0,15,5,2,21,26,30,30,26,13,7,154,21,-1,-1,2,45,24,45,6,2,12,18,155,0.010596491077817419,0.29027818325804866,0.15719863339664233,0.2935692429337036,0.039781976417442355,0.010191515745990929,0.07969091167236274,0.11869304549799195,-1.0,1.0,6.0,-6.0,3.0,3.0,-3.0,-3.0
DE TARAPACA,PICA,ESCUELA SAN ANDRES DE PICA,7M,1,18,14,40,2,7,0,0,14,0,5,10,22,21,13,11,10,4,96,21,-1,-1,1,28,15,28,4,1,8,11,96,0.010596491077817419,0.29027818325804866,0.15719863339664233,0.2935692429337036,0.039781976417442355,0.010191515745990929,0.07969091167236274,0.11869304549799195,0.0,-10.0,-1.0,12.0,-2.0,-1.0,-1.0,3.0
DE TARAPACA,PICA,ESCUELA SAN ANDRES DE PICA,8M,2,31,15,21,5,9,0,0,8,0,4,15,21,13,18,10,7,3,91,21,-1,-1,1,26,14,27,4,1,7,11,91,0.010596491077817419,0.29027818325804866,0.15719863339664233,0.2935692429337036,0.039781976417442355,0.010191515745990929,0.07969091167236274,0.11869304549799195,1.0,5.0,1.0,-6.0,1.0,-1.0,2.0,-3.0
DE TARAPACA,PICA,ESCUELA SAN ANDRES DE PICA,9M,1,36,19,39,3,20,0,1,19,1,2,11,45,22,22,23,12,1,138,21,-1,-1,1,40,22,41,6,1,11,16,138,0.010596491077817419,0.29027818325804866,0.15719863339664233,0.2935692429337036,0.039781976417442355,0.010191515745990929,0.07969091167236274,0.11869304549799195,0.0,-4.0,-3.0,-2.0,-3.0,0.0,9.0,3.0
