REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,CALERA,COLEGIO BECARB II,16V,1,36,46,25,21,13,1,0,22,1,2,13,7,42,45,33,16,7,165,132,-1,-1,2,32,39,33,21,2,17,19,15,101,0.02090997353852208,0.31915910173053164,0.352207918177483,0.13577884926137834,0.07050145034041957,0.00979678783845078,0.060808988634018235,0.030836930479196206,0.01672959834512496,0.3455046172206544,0.29321615003860546,0.16746048404821795,0.05530083800477127,0.0057636821756084505,0.08546415884709492,0.030560471319922518,0.011282448875656662,0.22550293812990002,0.22493354423966963,0.22941302515255543,0.1290865143464743,0.008465155705238158,0.08594262584963194,0.0853737477008742,0.008438335678973376,0.15193548523725336,0.2192208361043524,0.19714946948473644,0.1451336061463435,0.01782377617965633,0.11609202842523843,0.14420646274344626,-1.0,4.0,7.0,-8.0,0.0,-1.0,-4.0,3.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,17V,3,32,46,32,14,20,0,4,15,4,3,5,7,52,31,39,17,12,166,132,-1,-1,2,32,38,34,22,2,17,19,8,99,0.02090997353852208,0.31915910173053164,0.352207918177483,0.13577884926137834,0.07050145034041957,0.00979678783845078,0.060808988634018235,0.030836930479196206,0.01672959834512496,0.3455046172206544,0.29321615003860546,0.16746048404821795,0.05530083800477127,0.0057636821756084505,0.08546415884709492,0.030560471319922518,0.011282448875656662,0.22550293812990002,0.22493354423966963,0.22941302515255543,0.1290865143464743,0.008465155705238158,0.08594262584963194,0.0853737477008742,0.008438335678973376,0.15193548523725336,0.2192208361043524,0.19714946948473644,0.1451336061463435,0.01782377617965633,0.11609202842523843,0.14420646274344626,1.0,0.0,8.0,-2.0,-8.0,2.0,3.0,-4.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,18V,0,39,35,41,20,13,2,2,15,4,1,15,6,58,30,35,17,5,167,132,-1,-1,2,33,39,34,22,2,17,18,16,87,0.02090997353852208,0.31915910173053164,0.352207918177483,0.13577884926137834,0.07050145034041957,0.00979678783845078,0.060808988634018235,0.030836930479196206,0.01672959834512496,0.3455046172206544,0.29321615003860546,0.16746048404821795,0.05530083800477127,0.0057636821756084505,0.08546415884709492,0.030560471319922518,0.011282448875656662,0.22550293812990002,0.22493354423966963,0.22941302515255543,0.1290865143464743,0.008465155705238158,0.08594262584963194,0.0853737477008742,0.008438335678973376,0.15193548523725336,0.2192208361043524,0.19714946948473644,0.1451336061463435,0.01782377617965633,0.11609202842523843,0.14420646274344626,-2.0,6.0,-4.0,7.0,-2.0,2.0,-4.0,-3.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,19V,1,34,36,34,19,17,0,2,22,2,3,7,5,46,38,40,22,3,165,132,-1,-1,2,31,38,33,22,3,17,19,10,103,0.02090997353852208,0.31915910173053164,0.352207918177483,0.13577884926137834,0.07050145034041957,0.00979678783845078,0.060808988634018235,0.030836930479196206,0.01672959834512496,0.3455046172206544,0.29321615003860546,0.16746048404821795,0.05530083800477127,0.0057636821756084505,0.08546415884709492,0.030560471319922518,0.011282448875656662,0.22550293812990002,0.22493354423966963,0.22941302515255543,0.1290865143464743,0.008465155705238158,0.08594262584963194,0.0853737477008742,0.008438335678973376,0.15193548523725336,0.2192208361043524,0.19714946948473644,0.1451336061463435,0.01782377617965633,0.11609202842523843,0.14420646274344626,-1.0,3.0,-2.0,1.0,-3.0,-1.0,0.0,3.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,20V,1,43,40,29,16,17,1,0,13,1,2,22,37,13,33,32,15,6,160,132,-1,-1,2,37,41,29,18,2,16,15,24,86,0.02090997353852208,0.31915910173053164,0.352207918177483,0.13577884926137834,0.07050145034041957,0.00979678783845078,0.060808988634018235,0.030836930479196206,0.01672959834512496,0.3455046172206544,0.29321615003860546,0.16746048404821795,0.05530083800477127,0.0057636821756084505,0.08546415884709492,0.030560471319922518,0.011282448875656662,0.22550293812990002,0.22493354423966963,0.22941302515255543,0.1290865143464743,0.008465155705238158,0.08594262584963194,0.0853737477008742,0.008438335678973376,0.15193548523725336,0.2192208361043524,0.19714946948473644,0.1451336061463435,0.01782377617965633,0.11609202842523843,0.14420646274344626,-1.0,6.0,-1.0,0.0,-2.0,-1.0,1.0,-2.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,21V,2,34,37,39,19,15,0,4,16,4,3,24,41,8,31,33,26,0,166,132,-1,-1,2,38,43,30,18,2,17,16,27,90,0.02090997353852208,0.31915910173053164,0.352207918177483,0.13577884926137834,0.07050145034041957,0.00979678783845078,0.060808988634018235,0.030836930479196206,0.01672959834512496,0.3455046172206544,0.29321615003860546,0.16746048404821795,0.05530083800477127,0.0057636821756084505,0.08546415884709492,0.030560471319922518,0.011282448875656662,0.22550293812990002,0.22493354423966963,0.22941302515255543,0.1290865143464743,0.008465155705238158,0.08594262584963194,0.0853737477008742,0.008438335678973376,0.15193548523725336,0.2192208361043524,0.19714946948473644,0.1451336061463435,0.01782377617965633,0.11609202842523843,0.14420646274344626,0.0,-4.0,-6.0,9.0,1.0,2.0,-2.0,0.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,22V,1,37,47,19,25,16,0,1,26,1,3,20,54,4,38,34,17,3,172,132,-1,-1,2,41,45,31,18,2,17,16,23,92,0.02090997353852208,0.31915910173053164,0.352207918177483,0.13577884926137834,0.07050145034041957,0.00979678783845078,0.060808988634018235,0.030836930479196206,0.01672959834512496,0.3455046172206544,0.29321615003860546,0.16746048404821795,0.05530083800477127,0.0057636821756084505,0.08546415884709492,0.030560471319922518,0.011282448875656662,0.22550293812990002,0.22493354423966963,0.22941302515255543,0.1290865143464743,0.008465155705238158,0.08594262584963194,0.0853737477008742,0.008438335678973376,0.15193548523725336,0.2192208361043524,0.19714946948473644,0.1451336061463435,0.01782377617965633,0.11609202842523843,0.14420646274344626,-1.0,-4.0,2.0,-12.0,7.0,-1.0,-1.0,10.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,23V,2,35,34,32,16,16,1,3,20,4,1,19,34,12,41,35,14,4,159,132,-1,-1,2,35,40,30,18,2,16,16,20,94,0.02090997353852208,0.31915910173053164,0.352207918177483,0.13577884926137834,0.07050145034041957,0.00979678783845078,0.060808988634018235,0.030836930479196206,0.01672959834512496,0.3455046172206544,0.29321615003860546,0.16746048404821795,0.05530083800477127,0.0057636821756084505,0.08546415884709492,0.030560471319922518,0.011282448875656662,0.22550293812990002,0.22493354423966963,0.22941302515255543,0.1290865143464743,0.008465155705238158,0.08594262584963194,0.0853737477008742,0.008438335678973376,0.15193548523725336,0.2192208361043524,0.19714946948473644,0.1451336061463435,0.01782377617965633,0.11609202842523843,0.14420646274344626,0.0,0.0,-6.0,2.0,-2.0,2.0,0.0,4.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,24V,0,25,44,30,12,19,2,2,28,4,4,11,50,7,28,31,26,5,162,132,-1,-1,2,37,41,30,18,2,16,16,15,90,0.02090997353852208,0.31915910173053164,0.352207918177483,0.13577884926137834,0.07050145034041957,0.00979678783845078,0.060808988634018235,0.030836930479196206,0.01672959834512496,0.3455046172206544,0.29321615003860546,0.16746048404821795,0.05530083800477127,0.0057636821756084505,0.08546415884709492,0.030560471319922518,0.011282448875656662,0.22550293812990002,0.22493354423966963,0.22941302515255543,0.1290865143464743,0.008465155705238158,0.08594262584963194,0.0853737477008742,0.008438335678973376,0.15193548523725336,0.2192208361043524,0.19714946948473644,0.1451336061463435,0.01782377617965633,0.11609202842523843,0.14420646274344626,-2.0,-12.0,3.0,0.0,-6.0,2.0,3.0,12.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,25V,1,41,39,27,23,17,1,0,25,1,3,14,57,1,37,34,24,4,174,132,-1,-1,2,40,45,32,19,2,17,17,17,99,0.02090997353852208,0.31915910173053164,0.352207918177483,0.13577884926137834,0.07050145034041957,0.00979678783845078,0.060808988634018235,0.030836930479196206,0.01672959834512496,0.3455046172206544,0.29321615003860546,0.16746048404821795,0.05530083800477127,0.0057636821756084505,0.08546415884709492,0.030560471319922518,0.011282448875656662,0.22550293812990002,0.22493354423966963,0.22941302515255543,0.1290865143464743,0.008465155705238158,0.08594262584963194,0.0853737477008742,0.008438335678973376,0.15193548523725336,0.2192208361043524,0.19714946948473644,0.1451336061463435,0.01782377617965633,0.11609202842523843,0.14420646274344626,-1.0,1.0,-6.0,-5.0,4.0,-1.0,0.0,8.0
