REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,EL TABO,COLEGIO EL TABO,10M,2,11,42,50,27,22,1,0,26,1,3,9,20,26,49,31,30,13,181,37,-1,-1,4,13,56,46,19,2,20,21,181,0.019758793010431465,0.07390132029432349,0.31148845263690994,0.25097257706158504,0.10647117713180343,0.007726204279188283,0.11182528453263778,0.11785619105312059,-2.0,-2.0,-14.0,4.0,8.0,-1.0,2.0,5.0
DE VALPARAISO,EL TABO,COLEGIO EL TABO,11M,3,16,62,36,27,33,0,0,18,0,5,36,34,24,21,22,36,17,195,37,-1,-1,4,14,61,49,21,1,22,23,195,0.019758793010431465,0.07390132029432349,0.31148845263690994,0.25097257706158504,0.10647117713180343,0.007726204279188283,0.11182528453263778,0.11785619105312059,-1.0,2.0,1.0,-13.0,6.0,-1.0,11.0,-5.0
DE VALPARAISO,EL TABO,COLEGIO EL TABO,12M,6,22,62,44,22,23,1,1,19,2,6,18,60,21,26,30,35,4,200,37,-1,-1,4,15,62,50,21,2,22,24,200,0.019758793010431465,0.07390132029432349,0.31148845263690994,0.25097257706158504,0.10647117713180343,0.007726204279188283,0.11182528453263778,0.11785619105312059,2.0,7.0,0.0,-6.0,1.0,0.0,1.0,-5.0
DE VALPARAISO,EL TABO,COLEGIO EL TABO,13M,2,10,75,42,24,25,0,2,19,2,3,16,39,33,39,37,24,9,199,37,-1,-1,4,15,62,50,21,2,22,23,200,0.019758793010431465,0.07390132029432349,0.31148845263690994,0.25097257706158504,0.10647117713180343,0.007726204279188283,0.11182528453263778,0.11785619105312059,-2.0,-5.0,13.0,-8.0,3.0,0.0,3.0,-4.0
DE VALPARAISO,EL TABO,COLEGIO EL TABO,14M,2,11,63,46,20,19,0,0,15,0,2,9,16,17,30,39,53,9,176,37,-1,-1,3,13,55,44,19,1,20,21,175,0.019758793010431465,0.07390132029432349,0.31148845263690994,0.25097257706158504,0.10647117713180343,0.007726204279188283,0.11182528453263778,0.11785619105312059,-1.0,-2.0,8.0,2.0,1.0,-1.0,-1.0,-6.0
DE VALPARAISO,EL TABO,COLEGIO EL TABO,15M,6,10,64,44,14,19,1,2,25,3,3,16,21,24,44,43,25,8,185,37,-1,-1,4,14,57,46,20,1,21,22,184,0.019758793010431465,0.07390132029432349,0.31148845263690994,0.25097257706158504,0.10647117713180343,0.007726204279188283,0.11182528453263778,0.11785619105312059,2.0,-4.0,7.0,-2.0,-6.0,2.0,-2.0,3.0
DE VALPARAISO,EL TABO,COLEGIO EL TABO,16M,3,14,58,52,32,25,0,0,19,0,5,7,27,28,31,45,51,9,203,37,-1,-1,4,15,63,51,22,1,23,24,203,0.019758793010431465,0.07390132029432349,0.31148845263690994,0.25097257706158504,0.10647117713180343,0.007726204279188283,0.11182528453263778,0.11785619105312059,-1.0,-1.0,-5.0,1.0,10.0,-1.0,2.0,-5.0
DE VALPARAISO,EL TABO,COLEGIO EL TABO,1M,3,10,38,49,18,22,0,1,20,1,1,6,6,18,58,31,29,11,161,37,-1,-1,3,12,50,41,17,1,18,19,160,0.019758793010431465,0.07390132029432349,0.31148845263690994,0.25097257706158504,0.10647117713180343,0.007726204279188283,0.11182528453263778,0.11785619105312059,0.0,-2.0,-12.0,8.0,1.0,0.0,4.0,1.0
DE VALPARAISO,EL TABO,COLEGIO EL TABO,1V,2,13,40,41,16,28,1,0,23,1,4,12,18,40,24,31,23,12,164,37,-1,-1,3,12,51,41,18,1,19,19,164,0.019758793010431465,0.07390132029432349,0.31148845263690994,0.25097257706158504,0.10647117713180343,0.007726204279188283,0.11182528453263778,0.11785619105312059,-1.0,1.0,-11.0,0.0,-2.0,0.0,9.0,4.0
DE VALPARAISO,EL TABO,COLEGIO EL TABO,2M,4,10,37,47,12,25,0,1,27,1,0,8,23,19,27,53,28,5,163,37,-1,-1,3,12,51,41,18,1,18,19,163,0.019758793010431465,0.07390132029432349,0.31148845263690994,0.25097257706158504,0.10647117713180343,0.007726204279188283,0.11182528453263778,0.11785619105312059,1.0,-2.0,-14.0,6.0,-6.0,0.0,7.0,8.0
