REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,ISLA DE PASCUA,LICEO LORENZO BAEZA VEGA,10,6,12,49,32,14,21,4,0,10,4,2,25,54,43,13,10,1,0,148,19,-1,-1,3,18,55,27,14,4,15,12,124,24,0.01978496032483379,0.1347771332531944,0.41349691161908236,0.17601908478050804,0.08414566701703335,0.018883960662913077,0.0951169284695398,0.05777535387289512,0.002884435703127834,0.04729920690170397,0.16187091118561886,0.2198571603524235,0.14535095782263907,0.08711251535842383,0.11859334793632655,0.21703146473973628,3.0,-6.0,-6.0,5.0,0.0,0.0,6.0,-2.0
DE VALPARAISO,ISLA DE PASCUA,LICEO LORENZO BAEZA VEGA,11,2,20,74,30,12,14,4,1,13,5,10,16,74,44,17,7,2,0,170,19,-1,-1,3,20,64,31,16,5,17,14,144,26,0.01978496032483379,0.1347771332531944,0.41349691161908236,0.17601908478050804,0.08414566701703335,0.018883960662913077,0.0951169284695398,0.05777535387289512,0.002884435703127834,0.04729920690170397,0.16187091118561886,0.2198571603524235,0.14535095782263907,0.08711251535842383,0.11859334793632655,0.21703146473973628,-1.0,0.0,10.0,-1.0,-4.0,0.0,-3.0,-1.0
DE VALPARAISO,ISLA DE PASCUA,LICEO LORENZO BAEZA VEGA,12,2,17,93,52,12,11,0,1,14,1,16,30,87,48,17,3,2,0,202,19,-1,-1,4,25,78,37,18,5,20,15,181,22,0.01978496032483379,0.1347771332531944,0.41349691161908236,0.17601908478050804,0.08414566701703335,0.018883960662913077,0.0951169284695398,0.05777535387289512,0.002884435703127834,0.04729920690170397,0.16187091118561886,0.2198571603524235,0.14535095782263907,0.08711251535842383,0.11859334793632655,0.21703146473973628,-2.0,-8.0,15.0,15.0,-6.0,-4.0,-9.0,-1.0
DE VALPARAISO,ISLA DE PASCUA,LICEO LORENZO BAEZA VEGA,13,4,32,78,26,17,15,0,2,15,2,4,45,85,34,14,5,2,0,189,19,-1,-1,3,24,73,34,17,5,19,14,168,21,0.01978496032483379,0.1347771332531944,0.41349691161908236,0.17601908478050804,0.08414566701703335,0.018883960662913077,0.0951169284695398,0.05777535387289512,0.002884435703127834,0.04729920690170397,0.16187091118561886,0.2198571603524235,0.14535095782263907,0.08711251535842383,0.11859334793632655,0.21703146473973628,1.0,8.0,5.0,-8.0,0.0,-3.0,-4.0,1.0
DE VALPARAISO,ISLA DE PASCUA,LICEO LORENZO BAEZA VEGA,1M,1,4,33,43,14,15,3,0,32,3,0,7,8,7,40,48,25,11,145,19,-1,-1,1,9,29,31,20,11,16,28,22,124,0.01978496032483379,0.1347771332531944,0.41349691161908236,0.17601908478050804,0.08414566701703335,0.018883960662913077,0.0951169284695398,0.05777535387289512,0.002884435703127834,0.04729920690170397,0.16187091118561886,0.2198571603524235,0.14535095782263907,0.08711251535842383,0.11859334793632655,0.21703146473973628,0.0,-5.0,4.0,12.0,-6.0,-8.0,-1.0,4.0
DE VALPARAISO,ISLA DE PASCUA,LICEO LORENZO BAEZA VEGA,1V,0,9,39,30,15,8,7,8,23,15,1,12,7,22,22,45,22,8,139,19,-1,-1,1,10,33,29,18,9,16,23,42,97,0.01978496032483379,0.1347771332531944,0.41349691161908236,0.17601908478050804,0.08414566701703335,0.018883960662913077,0.0951169284695398,0.05777535387289512,0.002884435703127834,0.04729920690170397,0.16187091118561886,0.2198571603524235,0.14535095782263907,0.08711251535842383,0.11859334793632655,0.21703146473973628,-1.0,-1.0,6.0,1.0,-3.0,6.0,-8.0,0.0
DE VALPARAISO,ISLA DE PASCUA,LICEO LORENZO BAEZA VEGA,2M,2,19,42,21,19,18,7,6,21,13,1,9,5,32,42,41,17,8,155,19,-1,-1,1,12,37,32,20,10,17,26,47,108,0.01978496032483379,0.1347771332531944,0.41349691161908236,0.17601908478050804,0.08414566701703335,0.018883960662913077,0.0951169284695398,0.05777535387289512,0.002884435703127834,0.04729920690170397,0.16187091118561886,0.2198571603524235,0.14535095782263907,0.08711251535842383,0.11859334793632655,0.21703146473973628,1.0,7.0,5.0,-11.0,-1.0,3.0,1.0,-5.0
DE VALPARAISO,ISLA DE PASCUA,LICEO LORENZO BAEZA VEGA,2V,2,10,41,24,22,19,9,2,28,11,1,10,11,41,34,37,22,0,157,19,-1,-1,2,13,41,32,19,9,17,24,63,93,0.01978496032483379,0.1347771332531944,0.41349691161908236,0.17601908478050804,0.08414566701703335,0.018883960662913077,0.0951169284695398,0.05777535387289512,0.002884435703127834,0.04729920690170397,0.16187091118561886,0.2198571603524235,0.14535095782263907,0.08711251535842383,0.11859334793632655,0.21703146473973628,0.0,-3.0,0.0,-8.0,3.0,2.0,2.0,4.0
DE VALPARAISO,ISLA DE PASCUA,LICEO LORENZO BAEZA VEGA,3M,2,13,27,26,26,17,3,3,21,6,2,7,7,47,41,27,7,0,138,19,-1,-1,1,12,38,28,16,8,15,20,63,75,0.01978496032483379,0.1347771332531944,0.41349691161908236,0.17601908478050804,0.08414566701703335,0.018883960662913077,0.0951169284695398,0.05777535387289512,0.002884435703127834,0.04729920690170397,0.16187091118561886,0.2198571603524235,0.14535095782263907,0.08711251535842383,0.11859334793632655,0.21703146473973628,1.0,1.0,-11.0,-2.0,10.0,-2.0,2.0,1.0
DE VALPARAISO,ISLA DE PASCUA,LICEO LORENZO BAEZA VEGA,3V,0,17,53,34,17,20,3,2,18,5,1,12,58,26,27,23,12,4,164,19,-1,-1,2,16,51,32,18,8,17,20,97,66,0.01978496032483379,0.1347771332531944,0.41349691161908236,0.17601908478050804,0.08414566701703335,0.018883960662913077,0.0951169284695398,0.05777535387289512,0.002884435703127834,0.04729920690170397,0.16187091118561886,0.2198571603524235,0.14535095782263907,0.08711251535842383,0.11859334793632655,0.21703146473973628,-2.0,1.0,2.0,2.0,-1.0,-3.0,3.0,-2.0
