REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,LIMACHE,COLEGIO NACIONAL,50,8,29,48,27,7,10,0,0,3,0,0,101,20,5,3,2,1,1,132,117,-1,-1,3,25,48,31,7,2,12,4,101,7,0.027868641678625853,0.1980898833514087,0.3843921576252557,0.21990289765009577,0.05146352632317168,0.011302208809934116,0.0847285096871215,0.02225217487438674,0.020198283858301278,0.22257961471258622,0.3333414746914496,0.2630305012503051,0.02995837226756616,0.01065218817072412,0.08711719083222046,0.0331223742168471,0.012206666062885792,0.1271148500385855,0.2390903315748819,0.35141321225896655,0.051937413638004866,0.006232441717854196,0.1447237264951393,0.06728135821368177,0.007622222523608442,0.07240621563854568,0.20932798013739368,0.31125264267347846,0.0901498864460378,0.01641667913710994,0.1441329783473062,0.14869139509651957,5.0,4.0,0.0,-4.0,0.0,-2.0,-2.0,-1.0
DE VALPARAISO,LIMACHE,COLEGIO NACIONAL,51,2,32,46,29,8,10,1,1,5,2,5,119,1,5,3,1,1,0,134,117,-1,-1,3,26,50,31,7,1,12,4,124,5,0.027868641678625853,0.1980898833514087,0.3843921576252557,0.21990289765009577,0.05146352632317168,0.011302208809934116,0.0847285096871215,0.02225217487438674,0.020198283858301278,0.22257961471258622,0.3333414746914496,0.2630305012503051,0.02995837226756616,0.01065218817072412,0.08711719083222046,0.0331223742168471,0.012206666062885792,0.1271148500385855,0.2390903315748819,0.35141321225896655,0.051937413638004866,0.006232441717854196,0.1447237264951393,0.06728135821368177,0.007622222523608442,0.07240621563854568,0.20932798013739368,0.31125264267347846,0.0901498864460378,0.01641667913710994,0.1441329783473062,0.14869139509651957,-1.0,6.0,-4.0,-2.0,1.0,1.0,-2.0,1.0
DE VALPARAISO,LIMACHE,COLEGIO NACIONAL,52,3,29,62,25,8,17,1,1,3,2,2,132,7,1,5,0,1,0,149,117,-1,-1,4,29,56,34,8,1,13,4,134,6,0.027868641678625853,0.1980898833514087,0.3843921576252557,0.21990289765009577,0.05146352632317168,0.011302208809934116,0.0847285096871215,0.02225217487438674,0.020198283858301278,0.22257961471258622,0.3333414746914496,0.2630305012503051,0.02995837226756616,0.01065218817072412,0.08711719083222046,0.0331223742168471,0.012206666062885792,0.1271148500385855,0.2390903315748819,0.35141321225896655,0.051937413638004866,0.006232441717854196,0.1447237264951393,0.06728135821368177,0.007622222523608442,0.07240621563854568,0.20932798013739368,0.31125264267347846,0.0901498864460378,0.01641667913710994,0.1441329783473062,0.14869139509651957,-1.0,0.0,6.0,-9.0,0.0,1.0,4.0,-1.0
DE VALPARAISO,LIMACHE,COLEGIO NACIONAL,53,4,35,53,31,12,15,0,1,4,1,3,139,7,1,1,3,1,0,155,117,-1,-1,4,30,58,35,8,2,14,4,142,5,0.027868641678625853,0.1980898833514087,0.3843921576252557,0.21990289765009577,0.05146352632317168,0.011302208809934116,0.0847285096871215,0.02225217487438674,0.020198283858301278,0.22257961471258622,0.3333414746914496,0.2630305012503051,0.02995837226756616,0.01065218817072412,0.08711719083222046,0.0331223742168471,0.012206666062885792,0.1271148500385855,0.2390903315748819,0.35141321225896655,0.051937413638004866,0.006232441717854196,0.1447237264951393,0.06728135821368177,0.007622222523608442,0.07240621563854568,0.20932798013739368,0.31125264267347846,0.0901498864460378,0.01641667913710994,0.1441329783473062,0.14869139509651957,0.0,5.0,-5.0,-4.0,4.0,-1.0,1.0,0.0
DE VALPARAISO,LIMACHE,COLEGIO NACIONAL,54,5,27,50,31,9,14,0,1,2,1,1,100,13,13,5,2,2,3,139,117,-1,-1,3,26,49,34,7,2,13,5,101,12,0.027868641678625853,0.1980898833514087,0.3843921576252557,0.21990289765009577,0.05146352632317168,0.011302208809934116,0.0847285096871215,0.02225217487438674,0.020198283858301278,0.22257961471258622,0.3333414746914496,0.2630305012503051,0.02995837226756616,0.01065218817072412,0.08711719083222046,0.0331223742168471,0.012206666062885792,0.1271148500385855,0.2390903315748819,0.35141321225896655,0.051937413638004866,0.006232441717854196,0.1447237264951393,0.06728135821368177,0.007622222523608442,0.07240621563854568,0.20932798013739368,0.31125264267347846,0.0901498864460378,0.01641667913710994,0.1441329783473062,0.14869139509651957,2.0,1.0,1.0,-3.0,2.0,-1.0,1.0,-3.0
DE VALPARAISO,LIMACHE,COLEGIO NACIONAL,55,1,24,38,50,9,23,0,0,19,0,3,27,32,11,31,39,19,2,164,117,-1,-1,3,21,44,47,11,2,20,16,30,91,0.027868641678625853,0.1980898833514087,0.3843921576252557,0.21990289765009577,0.05146352632317168,0.011302208809934116,0.0847285096871215,0.02225217487438674,0.020198283858301278,0.22257961471258622,0.3333414746914496,0.2630305012503051,0.02995837226756616,0.01065218817072412,0.08711719083222046,0.0331223742168471,0.012206666062885792,0.1271148500385855,0.2390903315748819,0.35141321225896655,0.051937413638004866,0.006232441717854196,0.1447237264951393,0.06728135821368177,0.007622222523608442,0.07240621563854568,0.20932798013739368,0.31125264267347846,0.0901498864460378,0.01641667913710994,0.1441329783473062,0.14869139509651957,-2.0,3.0,-6.0,3.0,-2.0,-2.0,3.0,3.0
DE VALPARAISO,LIMACHE,COLEGIO NACIONAL,56,4,24,47,56,6,20,0,1,8,1,2,72,20,30,29,5,7,1,166,117,-1,-1,3,26,51,45,10,2,18,11,74,42,0.027868641678625853,0.1980898833514087,0.3843921576252557,0.21990289765009577,0.05146352632317168,0.011302208809934116,0.0847285096871215,0.02225217487438674,0.020198283858301278,0.22257961471258622,0.3333414746914496,0.2630305012503051,0.02995837226756616,0.01065218817072412,0.08711719083222046,0.0331223742168471,0.012206666062885792,0.1271148500385855,0.2390903315748819,0.35141321225896655,0.051937413638004866,0.006232441717854196,0.1447237264951393,0.06728135821368177,0.007622222523608442,0.07240621563854568,0.20932798013739368,0.31125264267347846,0.0901498864460378,0.01641667913710994,0.1441329783473062,0.14869139509651957,1.0,-2.0,-4.0,11.0,-4.0,-1.0,2.0,-3.0
DE VALPARAISO,LIMACHE,COLEGIO NACIONAL,57,2,35,55,36,13,7,0,2,9,2,3,110,10,10,13,10,3,0,159,117,-1,-1,4,28,54,39,9,2,16,7,113,26,0.027868641678625853,0.1980898833514087,0.3843921576252557,0.21990289765009577,0.05146352632317168,0.011302208809934116,0.0847285096871215,0.02225217487438674,0.020198283858301278,0.22257961471258622,0.3333414746914496,0.2630305012503051,0.02995837226756616,0.01065218817072412,0.08711719083222046,0.0331223742168471,0.012206666062885792,0.1271148500385855,0.2390903315748819,0.35141321225896655,0.051937413638004866,0.006232441717854196,0.1447237264951393,0.06728135821368177,0.007622222523608442,0.07240621563854568,0.20932798013739368,0.31125264267347846,0.0901498864460378,0.01641667913710994,0.1441329783473062,0.14869139509651957,-2.0,7.0,1.0,-3.0,4.0,0.0,-9.0,2.0
DE VALPARAISO,LIMACHE,COLEGIO NACIONAL,58,5,26,64,57,11,25,0,2,16,2,9,64,24,37,16,29,16,11,206,117,-1,-1,3,30,60,58,13,2,24,16,73,72,0.027868641678625853,0.1980898833514087,0.3843921576252557,0.21990289765009577,0.05146352632317168,0.011302208809934116,0.0847285096871215,0.02225217487438674,0.020198283858301278,0.22257961471258622,0.3333414746914496,0.2630305012503051,0.02995837226756616,0.01065218817072412,0.08711719083222046,0.0331223742168471,0.012206666062885792,0.1271148500385855,0.2390903315748819,0.35141321225896655,0.051937413638004866,0.006232441717854196,0.1447237264951393,0.06728135821368177,0.007622222523608442,0.07240621563854568,0.20932798013739368,0.31125264267347846,0.0901498864460378,0.01641667913710994,0.1441329783473062,0.14869139509651957,2.0,-4.0,4.0,-1.0,-2.0,0.0,1.0,0.0
DE VALPARAISO,LIMACHE,COLEGIO NACIONAL,59,2,27,65,41,8,13,0,1,6,1,1,120,10,7,6,10,5,3,163,117,-1,-1,4,29,57,39,9,2,16,7,121,24,0.027868641678625853,0.1980898833514087,0.3843921576252557,0.21990289765009577,0.05146352632317168,0.011302208809934116,0.0847285096871215,0.02225217487438674,0.020198283858301278,0.22257961471258622,0.3333414746914496,0.2630305012503051,0.02995837226756616,0.01065218817072412,0.08711719083222046,0.0331223742168471,0.012206666062885792,0.1271148500385855,0.2390903315748819,0.35141321225896655,0.051937413638004866,0.006232441717854196,0.1447237264951393,0.06728135821368177,0.007622222523608442,0.07240621563854568,0.20932798013739368,0.31125264267347846,0.0901498864460378,0.01641667913710994,0.1441329783473062,0.14869139509651957,-2.0,-2.0,8.0,2.0,-1.0,-1.0,-3.0,-1.0
