REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,40+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40+,P_FRANCO ALDO PARISI_40+,P_GABRIEL BORIC_40+,P_JOSE ANTONIO KAST_40+,P_MARCO ENRIQUEZ-OMINAMI_40+,P_NULO BLANCO_40+,P_SEBASTIAN SICHEL_40+,P_YASNA PROVOSTE_40+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,PETORCA,LICEO JOSE MANUEL BORGONO NUNEZ,10M,2,34,52,18,14,16,0,0,25,0,6,20,66,26,16,18,8,1,161,22,-1,-1,3,36,49,22,13,3,13,22,92,69,0.021811540389320157,0.29442986882996763,0.3434772863998745,0.09949228820479461,0.0708308593509207,0.026363264831726366,0.07467629444399111,0.06891859754940494,0.00906200805005215,0.1355916474107823,0.25124539349753466,0.18205336257171617,0.09716592652531386,0.010553105797245457,0.08173701411925283,0.23259154202810253,-1.0,-2.0,3.0,-4.0,1.0,-3.0,3.0,3.0
DE VALPARAISO,PETORCA,LICEO JOSE MANUEL BORGONO NUNEZ,10V,3,34,43,36,6,14,1,2,21,3,9,37,30,34,20,15,12,3,160,22,-1,-1,2,34,47,23,14,3,12,25,76,84,0.021811540389320157,0.29442986882996763,0.3434772863998745,0.09949228820479461,0.0708308593509207,0.026363264831726366,0.07467629444399111,0.06891859754940494,0.00906200805005215,0.1355916474107823,0.25124539349753466,0.18205336257171617,0.09716592652531386,0.010553105797245457,0.08173701411925283,0.23259154202810253,1.0,0.0,-4.0,13.0,-8.0,0.0,2.0,-4.0
DE VALPARAISO,PETORCA,LICEO JOSE MANUEL BORGONO NUNEZ,11V,0,31,45,26,11,10,0,5,19,5,2,39,39,17,18,16,10,6,147,22,-1,-1,2,33,44,20,12,3,12,21,80,67,0.021811540389320157,0.29442986882996763,0.3434772863998745,0.09949228820479461,0.0708308593509207,0.026363264831726366,0.07467629444399111,0.06891859754940494,0.00906200805005215,0.1355916474107823,0.25124539349753466,0.18205336257171617,0.09716592652531386,0.010553105797245457,0.08173701411925283,0.23259154202810253,-2.0,-2.0,1.0,6.0,-1.0,2.0,-2.0,-2.0
DE VALPARAISO,PETORCA,LICEO JOSE MANUEL BORGONO NUNEZ,12,6,37,39,14,8,5,0,2,10,2,1,94,10,5,3,7,1,0,121,22,-1,-1,3,33,40,13,9,3,9,11,105,16,0.021811540389320157,0.29442986882996763,0.3434772863998745,0.09949228820479461,0.0708308593509207,0.026363264831726366,0.07467629444399111,0.06891859754940494,0.00906200805005215,0.1355916474107823,0.25124539349753466,0.18205336257171617,0.09716592652531386,0.010553105797245457,0.08173701411925283,0.23259154202810253,3.0,4.0,-1.0,1.0,-1.0,-1.0,-4.0,-1.0
DE VALPARAISO,PETORCA,LICEO JOSE MANUEL BORGONO NUNEZ,1M,0,12,24,23,9,4,1,1,17,2,2,23,2,0,12,29,18,5,91,22,-1,-1,1,17,25,14,8,2,7,17,27,64,0.021811540389320157,0.29442986882996763,0.3434772863998745,0.09949228820479461,0.0708308593509207,0.026363264831726366,0.07467629444399111,0.06891859754940494,0.00906200805005215,0.1355916474107823,0.25124539349753466,0.18205336257171617,0.09716592652531386,0.010553105797245457,0.08173701411925283,0.23259154202810253,-1.0,-5.0,-1.0,9.0,1.0,0.0,-3.0,0.0
DE VALPARAISO,PETORCA,LICEO JOSE MANUEL BORGONO NUNEZ,1V,4,16,33,15,11,7,1,1,28,2,1,20,5,2,19,41,24,4,116,22,-1,-1,1,20,31,19,11,2,9,23,26,90,0.021811540389320157,0.29442986882996763,0.3434772863998745,0.09949228820479461,0.0708308593509207,0.026363264831726366,0.07467629444399111,0.06891859754940494,0.00906200805005215,0.1355916474107823,0.25124539349753466,0.18205336257171617,0.09716592652531386,0.010553105797245457,0.08173701411925283,0.23259154202810253,3.0,-4.0,2.0,-4.0,0.0,0.0,-2.0,5.0
DE VALPARAISO,PETORCA,LICEO JOSE MANUEL BORGONO NUNEZ,2M,1,16,29,27,16,10,0,1,20,1,2,11,1,14,43,26,17,6,120,22,-1,-1,1,19,31,21,11,1,10,26,14,106,0.021811540389320157,0.29442986882996763,0.3434772863998745,0.09949228820479461,0.0708308593509207,0.026363264831726366,0.07467629444399111,0.06891859754940494,0.00906200805005215,0.1355916474107823,0.25124539349753466,0.18205336257171617,0.09716592652531386,0.010553105797245457,0.08173701411925283,0.23259154202810253,0.0,-3.0,-2.0,6.0,5.0,0.0,0.0,-6.0
DE VALPARAISO,PETORCA,LICEO JOSE MANUEL BORGONO NUNEZ,2V,3,20,36,15,9,10,0,0,30,0,1,9,4,51,20,23,12,3,123,22,-1,-1,1,19,32,21,12,2,10,26,14,109,0.021811540389320157,0.29442986882996763,0.3434772863998745,0.09949228820479461,0.0708308593509207,0.026363264831726366,0.07467629444399111,0.06891859754940494,0.00906200805005215,0.1355916474107823,0.25124539349753466,0.18205336257171617,0.09716592652531386,0.010553105797245457,0.08173701411925283,0.23259154202810253,2.0,1.0,4.0,-6.0,-3.0,-2.0,0.0,4.0
DE VALPARAISO,PETORCA,LICEO JOSE MANUEL BORGONO NUNEZ,3M,1,22,32,26,8,8,1,0,34,1,2,12,4,36,24,38,14,2,132,22,-1,-1,1,21,35,22,12,2,11,28,18,114,0.021811540389320157,0.29442986882996763,0.3434772863998745,0.09949228820479461,0.0708308593509207,0.026363264831726366,0.07467629444399111,0.06891859754940494,0.00906200805005215,0.1355916474107823,0.25124539349753466,0.18205336257171617,0.09716592652531386,0.010553105797245457,0.08173701411925283,0.23259154202810253,0.0,1.0,-3.0,4.0,-4.0,-1.0,-3.0,6.0
DE VALPARAISO,PETORCA,LICEO JOSE MANUEL BORGONO NUNEZ,3V,0,19,31,22,15,11,3,0,26,3,0,11,32,26,23,21,10,4,127,22,-1,-1,2,24,36,20,11,2,10,22,43,84,0.021811540389320157,0.29442986882996763,0.3434772863998745,0.09949228820479461,0.0708308593509207,0.026363264831726366,0.07467629444399111,0.06891859754940494,0.00906200805005215,0.1355916474107823,0.25124539349753466,0.18205336257171617,0.09716592652531386,0.010553105797245457,0.08173701411925283,0.23259154202810253,-2.0,-5.0,-5.0,2.0,4.0,1.0,1.0,4.0
