REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VILLAR,10M,1,32,41,64,13,32,1,0,30,1,3,15,81,36,30,29,15,5,214,28,-1,-1,2,38,46,60,14,2,28,24,135,79,0.011183498266267036,0.2139574201391498,0.22761178313435523,0.30738091233139775,0.04169259745434301,0.0047333199711502875,0.15025270247832992,0.043187766225006884,0.013075753385026796,0.1119068320355453,0.19122269501840067,0.23105100101249793,0.10525118619228173,0.01539709467940125,0.09365847483139943,0.23843696284544694,-1.0,-6.0,-5.0,4.0,-1.0,-1.0,4.0,6.0
DE VALPARAISO,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VILLAR,11M,3,47,37,30,14,19,1,0,14,1,1,69,54,11,10,14,5,1,165,28,-1,-1,2,32,37,48,9,1,23,13,135,30,0.011183498266267036,0.2139574201391498,0.22761178313435523,0.30738091233139775,0.04169259745434301,0.0047333199711502875,0.15025270247832992,0.043187766225006884,0.013075753385026796,0.1119068320355453,0.19122269501840067,0.23105100101249793,0.10525118619228173,0.01539709467940125,0.09365847483139943,0.23843696284544694,1.0,15.0,0.0,-18.0,5.0,0.0,-4.0,1.0
DE VALPARAISO,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VILLAR,1M,3,25,42,49,17,26,2,1,22,3,1,24,3,7,39,47,48,18,187,28,-1,-1,2,25,37,46,17,3,19,38,35,152,0.011183498266267036,0.2139574201391498,0.22761178313435523,0.30738091233139775,0.04169259745434301,0.0047333199711502875,0.15025270247832992,0.043187766225006884,0.013075753385026796,0.1119068320355453,0.19122269501840067,0.23105100101249793,0.10525118619228173,0.01539709467940125,0.09365847483139943,0.23843696284544694,1.0,0.0,5.0,3.0,0.0,0.0,7.0,-16.0
DE VALPARAISO,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VILLAR,2M,1,23,33,45,20,10,2,2,34,4,1,6,3,17,64,42,27,10,170,28,-1,-1,2,22,34,41,16,2,18,35,27,143,0.011183498266267036,0.2139574201391498,0.22761178313435523,0.30738091233139775,0.04169259745434301,0.0047333199711502875,0.15025270247832992,0.043187766225006884,0.013075753385026796,0.1119068320355453,0.19122269501840067,0.23105100101249793,0.10525118619228173,0.01539709467940125,0.09365847483139943,0.23843696284544694,-1.0,1.0,-1.0,4.0,4.0,2.0,-8.0,-1.0
DE VALPARAISO,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VILLAR,3M,1,30,40,35,20,13,1,0,37,1,1,7,2,30,57,53,20,7,177,28,-1,-1,2,24,35,44,16,2,19,35,40,137,0.011183498266267036,0.2139574201391498,0.22761178313435523,0.30738091233139775,0.04169259745434301,0.0047333199711502875,0.15025270247832992,0.043187766225006884,0.013075753385026796,0.1119068320355453,0.19122269501840067,0.23105100101249793,0.10525118619228173,0.01539709467940125,0.09365847483139943,0.23843696284544694,-1.0,6.0,5.0,-9.0,4.0,-1.0,-6.0,2.0
DE VALPARAISO,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VILLAR,4M,2,21,32,39,20,17,0,1,29,1,0,9,6,29,43,45,21,9,161,28,-1,-1,2,22,32,41,14,2,18,30,44,118,0.011183498266267036,0.2139574201391498,0.22761178313435523,0.30738091233139775,0.04169259745434301,0.0047333199711502875,0.15025270247832992,0.043187766225006884,0.013075753385026796,0.1119068320355453,0.19122269501840067,0.23105100101249793,0.10525118619228173,0.01539709467940125,0.09365847483139943,0.23843696284544694,0.0,-1.0,0.0,-2.0,6.0,-1.0,-1.0,-1.0
DE VALPARAISO,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VILLAR,5M,2,20,35,45,9,20,0,1,26,1,1,10,15,25,48,28,26,5,158,28,-1,-1,2,23,32,40,13,2,18,28,51,107,0.011183498266267036,0.2139574201391498,0.22761178313435523,0.30738091233139775,0.04169259745434301,0.0047333199711502875,0.15025270247832992,0.043187766225006884,0.013075753385026796,0.1119068320355453,0.19122269501840067,0.23105100101249793,0.10525118619228173,0.01539709467940125,0.09365847483139943,0.23843696284544694,0.0,-3.0,3.0,5.0,-4.0,-1.0,2.0,-2.0
DE VALPARAISO,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VILLAR,6M,1,29,31,39,7,14,1,1,37,2,3,8,24,28,64,20,12,1,160,28,-1,-1,2,24,33,42,13,2,18,26,63,97,0.011183498266267036,0.2139574201391498,0.22761178313435523,0.30738091233139775,0.04169259745434301,0.0047333199711502875,0.15025270247832992,0.043187766225006884,0.013075753385026796,0.1119068320355453,0.19122269501840067,0.23105100101249793,0.10525118619228173,0.01539709467940125,0.09365847483139943,0.23843696284544694,-1.0,5.0,-2.0,-3.0,-6.0,0.0,-4.0,11.0
DE VALPARAISO,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VILLAR,7M,1,32,29,53,14,27,2,0,31,2,3,13,33,77,36,22,3,2,189,28,-1,-1,2,34,41,53,12,2,25,20,126,63,0.011183498266267036,0.2139574201391498,0.22761178313435523,0.30738091233139775,0.04169259745434301,0.0047333199711502875,0.15025270247832992,0.043187766225006884,0.013075753385026796,0.1119068320355453,0.19122269501840067,0.23105100101249793,0.10525118619228173,0.01539709467940125,0.09365847483139943,0.23843696284544694,-1.0,-2.0,-12.0,0.0,2.0,0.0,2.0,11.0
DE VALPARAISO,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VILLAR,8M,1,33,38,49,25,22,0,0,13,0,2,7,33,74,35,21,7,2,181,28,-1,-1,2,32,39,51,12,2,23,20,116,65,0.011183498266267036,0.2139574201391498,0.22761178313435523,0.30738091233139775,0.04169259745434301,0.0047333199711502875,0.15025270247832992,0.043187766225006884,0.013075753385026796,0.1119068320355453,0.19122269501840067,0.23105100101249793,0.10525118619228173,0.01539709467940125,0.09365847483139943,0.23843696284544694,-1.0,1.0,-1.0,-2.0,13.0,-2.0,-1.0,-7.0
