REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,SAN FELIPE,COLEGIO PORTALIANO,26M,4,23,51,43,11,20,2,1,21,3,6,17,2,30,52,36,28,5,176,178,-1,-1,2,23,41,48,15,3,20,24,23,121,0.023137015937108783,0.2608315822824847,0.34406688653400247,0.17093207752171027,0.04844320472732038,0.011623007771323947,0.09047597380443317,0.05049025142161658,0.017833122288769813,0.2707104646148285,0.2970770083479637,0.215503504021218,0.051276174923043566,0.0030266175124831294,0.09317822611640252,0.05139488217529056,0.01251536741938348,0.15019362364633324,0.2569977472253079,0.2687662517230879,0.08189088090256108,0.007275337073536384,0.11302167746784662,0.10933911454194328,0.009292682636184426,0.09647959972654753,0.20164967036975545,0.2990544284934714,0.0914141736459413,0.018579974174706974,0.12228624280164732,0.16124322815174574,2.0,0.0,10.0,-5.0,-4.0,0.0,0.0,-3.0
DE VALPARAISO,SAN FELIPE,COLEGIO PORTALIANO,27M,4,28,50,38,8,28,1,1,27,2,2,18,2,40,47,40,29,6,185,178,-1,-1,2,24,43,51,16,3,21,25,20,122,0.023137015937108783,0.2608315822824847,0.34406688653400247,0.17093207752171027,0.04844320472732038,0.011623007771323947,0.09047597380443317,0.05049025142161658,0.017833122288769813,0.2707104646148285,0.2970770083479637,0.215503504021218,0.051276174923043566,0.0030266175124831294,0.09317822611640252,0.05139488217529056,0.01251536741938348,0.15019362364633324,0.2569977472253079,0.2687662517230879,0.08189088090256108,0.007275337073536384,0.11302167746784662,0.10933911454194328,0.009292682636184426,0.09647959972654753,0.20164967036975545,0.2990544284934714,0.0914141736459413,0.018579974174706974,0.12228624280164732,0.16124322815174574,2.0,4.0,7.0,-13.0,-8.0,-1.0,7.0,2.0
DE VALPARAISO,SAN FELIPE,COLEGIO PORTALIANO,28M,2,28,39,51,19,22,0,0,20,0,7,16,3,34,47,47,19,8,181,178,-1,-1,2,24,42,50,15,3,21,24,23,121,0.023137015937108783,0.2608315822824847,0.34406688653400247,0.17093207752171027,0.04844320472732038,0.011623007771323947,0.09047597380443317,0.05049025142161658,0.017833122288769813,0.2707104646148285,0.2970770083479637,0.215503504021218,0.051276174923043566,0.0030266175124831294,0.09317822611640252,0.05139488217529056,0.01251536741938348,0.15019362364633324,0.2569977472253079,0.2687662517230879,0.08189088090256108,0.007275337073536384,0.11302167746784662,0.10933911454194328,0.009292682636184426,0.09647959972654753,0.20164967036975545,0.2990544284934714,0.0914141736459413,0.018579974174706974,0.12228624280164732,0.16124322815174574,0.0,4.0,-3.0,1.0,4.0,-3.0,1.0,-4.0
DE VALPARAISO,SAN FELIPE,COLEGIO PORTALIANO,29M,2,26,36,50,20,10,1,1,13,2,4,13,2,25,44,44,20,7,159,178,-1,-1,2,20,36,44,13,3,19,22,17,115,0.023137015937108783,0.2608315822824847,0.34406688653400247,0.17093207752171027,0.04844320472732038,0.011623007771323947,0.09047597380443317,0.05049025142161658,0.017833122288769813,0.2707104646148285,0.2970770083479637,0.215503504021218,0.051276174923043566,0.0030266175124831294,0.09317822611640252,0.05139488217529056,0.01251536741938348,0.15019362364633324,0.2569977472253079,0.2687662517230879,0.08189088090256108,0.007275337073536384,0.11302167746784662,0.10933911454194328,0.009292682636184426,0.09647959972654753,0.20164967036975545,0.2990544284934714,0.0914141736459413,0.018579974174706974,0.12228624280164732,0.16124322815174574,0.0,6.0,0.0,6.0,7.0,-1.0,-9.0,-9.0
DE VALPARAISO,SAN FELIPE,COLEGIO PORTALIANO,30M,3,18,41,56,13,10,0,3,24,3,3,13,5,29,39,49,22,8,168,178,-1,-1,2,21,38,47,14,3,20,23,16,118,0.023137015937108783,0.2608315822824847,0.34406688653400247,0.17093207752171027,0.04844320472732038,0.011623007771323947,0.09047597380443317,0.05049025142161658,0.017833122288769813,0.2707104646148285,0.2970770083479637,0.215503504021218,0.051276174923043566,0.0030266175124831294,0.09317822611640252,0.05139488217529056,0.01251536741938348,0.15019362364633324,0.2569977472253079,0.2687662517230879,0.08189088090256108,0.007275337073536384,0.11302167746784662,0.10933911454194328,0.009292682636184426,0.09647959972654753,0.20164967036975545,0.2990544284934714,0.0914141736459413,0.018579974174706974,0.12228624280164732,0.16124322815174574,1.0,-3.0,3.0,9.0,-1.0,0.0,-10.0,1.0
DE VALPARAISO,SAN FELIPE,COLEGIO PORTALIANO,31M,2,25,36,45,21,17,1,2,18,3,2,16,4,31,49,37,23,5,167,178,-1,-1,2,21,38,46,14,3,20,23,18,114,0.023137015937108783,0.2608315822824847,0.34406688653400247,0.17093207752171027,0.04844320472732038,0.011623007771323947,0.09047597380443317,0.05049025142161658,0.017833122288769813,0.2707104646148285,0.2970770083479637,0.215503504021218,0.051276174923043566,0.0030266175124831294,0.09317822611640252,0.05139488217529056,0.01251536741938348,0.15019362364633324,0.2569977472253079,0.2687662517230879,0.08189088090256108,0.007275337073536384,0.11302167746784662,0.10933911454194328,0.009292682636184426,0.09647959972654753,0.20164967036975545,0.2990544284934714,0.0914141736459413,0.018579974174706974,0.12228624280164732,0.16124322815174574,0.0,4.0,-2.0,-1.0,7.0,0.0,-3.0,-5.0
DE VALPARAISO,SAN FELIPE,COLEGIO PORTALIANO,32M,1,26,46,51,12,18,0,0,21,0,5,10,2,33,38,56,23,8,175,178,-1,-1,2,21,39,49,15,3,21,25,15,125,0.023137015937108783,0.2608315822824847,0.34406688653400247,0.17093207752171027,0.04844320472732038,0.011623007771323947,0.09047597380443317,0.05049025142161658,0.017833122288769813,0.2707104646148285,0.2970770083479637,0.215503504021218,0.051276174923043566,0.0030266175124831294,0.09317822611640252,0.05139488217529056,0.01251536741938348,0.15019362364633324,0.2569977472253079,0.2687662517230879,0.08189088090256108,0.007275337073536384,0.11302167746784662,0.10933911454194328,0.009292682636184426,0.09647959972654753,0.20164967036975545,0.2990544284934714,0.0914141736459413,0.018579974174706974,0.12228624280164732,0.16124322815174574,-1.0,5.0,7.0,2.0,-3.0,-3.0,-3.0,-4.0
DE VALPARAISO,SAN FELIPE,COLEGIO PORTALIANO,33M,2,26,50,41,9,16,0,0,18,0,3,13,4,27,47,40,18,9,162,178,-1,-1,2,20,37,45,14,3,19,22,16,114,0.023137015937108783,0.2608315822824847,0.34406688653400247,0.17093207752171027,0.04844320472732038,0.011623007771323947,0.09047597380443317,0.05049025142161658,0.017833122288769813,0.2707104646148285,0.2970770083479637,0.215503504021218,0.051276174923043566,0.0030266175124831294,0.09317822611640252,0.05139488217529056,0.01251536741938348,0.15019362364633324,0.2569977472253079,0.2687662517230879,0.08189088090256108,0.007275337073536384,0.11302167746784662,0.10933911454194328,0.009292682636184426,0.09647959972654753,0.20164967036975545,0.2990544284934714,0.0914141736459413,0.018579974174706974,0.12228624280164732,0.16124322815174574,0.0,6.0,13.0,-4.0,-5.0,-3.0,-3.0,-4.0
DE VALPARAISO,SAN FELIPE,COLEGIO PORTALIANO,34M,1,30,34,44,18,21,0,0,20,0,2,10,3,31,45,50,20,7,168,178,-1,-1,2,20,38,47,14,3,20,24,12,122,0.023137015937108783,0.2608315822824847,0.34406688653400247,0.17093207752171027,0.04844320472732038,0.011623007771323947,0.09047597380443317,0.05049025142161658,0.017833122288769813,0.2707104646148285,0.2970770083479637,0.215503504021218,0.051276174923043566,0.0030266175124831294,0.09317822611640252,0.05139488217529056,0.01251536741938348,0.15019362364633324,0.2569977472253079,0.2687662517230879,0.08189088090256108,0.007275337073536384,0.11302167746784662,0.10933911454194328,0.009292682636184426,0.09647959972654753,0.20164967036975545,0.2990544284934714,0.0914141736459413,0.018579974174706974,0.12228624280164732,0.16124322815174574,-1.0,10.0,-4.0,-3.0,4.0,-3.0,1.0,-4.0
DE VALPARAISO,SAN FELIPE,COLEGIO PORTALIANO,35M,0,39,42,30,15,21,0,2,31,2,2,6,3,33,47,58,29,2,180,178,-1,-1,2,21,39,52,16,3,21,26,8,136,0.023137015937108783,0.2608315822824847,0.34406688653400247,0.17093207752171027,0.04844320472732038,0.011623007771323947,0.09047597380443317,0.05049025142161658,0.017833122288769813,0.2707104646148285,0.2970770083479637,0.215503504021218,0.051276174923043566,0.0030266175124831294,0.09317822611640252,0.05139488217529056,0.01251536741938348,0.15019362364633324,0.2569977472253079,0.2687662517230879,0.08189088090256108,0.007275337073536384,0.11302167746784662,0.10933911454194328,0.009292682636184426,0.09647959972654753,0.20164967036975545,0.2990544284934714,0.0914141736459413,0.018579974174706974,0.12228624280164732,0.16124322815174574,-2.0,18.0,3.0,-22.0,-1.0,-1.0,0.0,5.0
