REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,SANTO DOMINGO,COLEGIO PEOPLE HELP PEOPLE,10M,1,16,30,91,19,49,0,1,26,1,2,32,28,69,33,29,27,13,233,35,-1,-1,2,16,39,99,12,2,42,21,131,102,0.011152546698640887,0.0728727136374424,0.1535877855030115,0.533246123770052,0.03776688019112105,0.003767361375893464,0.1855347069845581,0.002071881839280559,0.00475731872529305,0.0627274273476166,0.18807847740037031,0.2853458744774406,0.0662681331256362,0.013860294542432094,0.17277323014552146,0.20618924423568963,-1.0,0.0,-9.0,-8.0,7.0,-1.0,7.0,5.0
DE VALPARAISO,SANTO DOMINGO,COLEGIO PEOPLE HELP PEOPLE,10V,3,15,40,100,9,31,0,1,9,1,5,36,21,44,36,33,23,10,208,35,-1,-1,2,14,35,86,11,2,37,21,106,102,0.011152546698640887,0.0728727136374424,0.1535877855030115,0.533246123770052,0.03776688019112105,0.003767361375893464,0.1855347069845581,0.002071881839280559,0.00475731872529305,0.0627274273476166,0.18807847740037031,0.2853458744774406,0.0662681331256362,0.013860294542432094,0.17277323014552146,0.20618924423568963,1.0,1.0,5.0,14.0,-2.0,-1.0,-6.0,-12.0
DE VALPARAISO,SANTO DOMINGO,COLEGIO PEOPLE HELP PEOPLE,11M,0,10,30,99,11,51,0,3,24,3,4,11,14,70,49,45,22,13,228,35,-1,-1,2,15,39,90,12,2,41,27,99,129,0.011152546698640887,0.0728727136374424,0.1535877855030115,0.533246123770052,0.03776688019112105,0.003767361375893464,0.1855347069845581,0.002071881839280559,0.00475731872529305,0.0627274273476166,0.18807847740037031,0.2853458744774406,0.0662681331256362,0.013860294542432094,0.17277323014552146,0.20618924423568963,-2.0,-5.0,-9.0,9.0,-1.0,1.0,10.0,-3.0
DE VALPARAISO,SANTO DOMINGO,COLEGIO PEOPLE HELP PEOPLE,11V,4,16,40,98,8,45,1,1,16,2,8,47,21,47,34,34,30,8,229,35,-1,-1,2,15,39,96,12,2,41,22,123,106,0.011152546698640887,0.0728727136374424,0.1535877855030115,0.533246123770052,0.03776688019112105,0.003767361375893464,0.1855347069845581,0.002071881839280559,0.00475731872529305,0.0627274273476166,0.18807847740037031,0.2853458744774406,0.0662681331256362,0.013860294542432094,0.17277323014552146,0.20618924423568963,2.0,1.0,1.0,2.0,-4.0,0.0,4.0,-6.0
DE VALPARAISO,SANTO DOMINGO,COLEGIO PEOPLE HELP PEOPLE,12M,4,15,34,96,16,40,0,0,22,0,1,16,47,73,28,29,24,9,227,35,-1,-1,2,15,38,99,11,2,41,19,137,90,0.011152546698640887,0.0728727136374424,0.1535877855030115,0.533246123770052,0.03776688019112105,0.003767361375893464,0.1855347069845581,0.002071881839280559,0.00475731872529305,0.0627274273476166,0.18807847740037031,0.2853458744774406,0.0662681331256362,0.013860294542432094,0.17277323014552146,0.20618924423568963,2.0,0.0,-4.0,-3.0,5.0,-2.0,-1.0,3.0
DE VALPARAISO,SANTO DOMINGO,COLEGIO PEOPLE HELP PEOPLE,12V,0,15,44,94,8,35,0,1,28,1,7,28,28,54,34,40,22,12,225,35,-1,-1,2,15,38,93,12,2,40,23,117,108,0.011152546698640887,0.0728727136374424,0.1535877855030115,0.533246123770052,0.03776688019112105,0.003767361375893464,0.1855347069845581,0.002071881839280559,0.00475731872529305,0.0627274273476166,0.18807847740037031,0.2853458744774406,0.0662681331256362,0.013860294542432094,0.17277323014552146,0.20618924423568963,-2.0,0.0,6.0,1.0,-4.0,-1.0,-5.0,5.0
DE VALPARAISO,SANTO DOMINGO,COLEGIO PEOPLE HELP PEOPLE,13M,1,10,40,100,5,40,1,2,23,3,3,34,31,40,38,32,36,8,222,35,-1,-1,2,15,38,90,11,2,40,24,108,114,0.011152546698640887,0.0728727136374424,0.1535877855030115,0.533246123770052,0.03776688019112105,0.003767361375893464,0.1855347069845581,0.002071881839280559,0.00475731872529305,0.0627274273476166,0.18807847740037031,0.2853458744774406,0.0662681331256362,0.013860294542432094,0.17277323014552146,0.20618924423568963,-1.0,-5.0,2.0,10.0,-6.0,1.0,0.0,-1.0
DE VALPARAISO,SANTO DOMINGO,COLEGIO PEOPLE HELP PEOPLE,13V,2,15,40,97,8,29,1,2,26,3,4,24,38,45,39,35,24,11,220,35,-1,-1,2,15,38,90,11,2,39,23,111,109,0.011152546698640887,0.0728727136374424,0.1535877855030115,0.533246123770052,0.03776688019112105,0.003767361375893464,0.1855347069845581,0.002071881839280559,0.00475731872529305,0.0627274273476166,0.18807847740037031,0.2853458744774406,0.0662681331256362,0.013860294542432094,0.17277323014552146,0.20618924423568963,0.0,0.0,2.0,7.0,-3.0,1.0,-10.0,3.0
DE VALPARAISO,SANTO DOMINGO,COLEGIO PEOPLE HELP PEOPLE,14M,3,18,39,96,16,55,0,1,19,1,5,31,68,43,33,36,24,7,247,35,-1,-1,2,17,41,107,12,2,45,21,147,100,0.011152546698640887,0.0728727136374424,0.1535877855030115,0.533246123770052,0.03776688019112105,0.003767361375893464,0.1855347069845581,0.002071881839280559,0.00475731872529305,0.0627274273476166,0.18807847740037031,0.2853458744774406,0.0662681331256362,0.013860294542432094,0.17277323014552146,0.20618924423568963,1.0,1.0,-2.0,-11.0,4.0,-1.0,10.0,-2.0
DE VALPARAISO,SANTO DOMINGO,COLEGIO PEOPLE HELP PEOPLE,14V,2,19,41,98,8,43,0,1,20,1,4,31,41,41,41,33,30,11,232,35,-1,-1,2,16,40,95,12,2,41,24,117,115,0.011152546698640887,0.0728727136374424,0.1535877855030115,0.533246123770052,0.03776688019112105,0.003767361375893464,0.1855347069845581,0.002071881839280559,0.00475731872529305,0.0627274273476166,0.18807847740037031,0.2853458744774406,0.0662681331256362,0.013860294542432094,0.17277323014552146,0.20618924423568963,0.0,3.0,1.0,3.0,-4.0,-1.0,2.0,-4.0
