REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,VENTANAS,COMPLEJO EDUCACIONAL SARGENTO ALDEA,1,3,21,42,34,22,23,0,1,30,1,0,1,6,4,57,31,44,33,176,23,-1,-1,3,16,49,36,19,2,24,27,11,165,0.015420348348942901,0.2412289393044619,0.3302188069175261,0.15264214567954437,0.09600474998579847,0.007524826208589061,0.10656005222743,0.05040013132770722,0.019104068098340685,0.08278441165934758,0.2772063193526847,0.20522658416783457,0.11029143109593248,0.011134503246207109,0.1354306388455643,0.15882204353408852,0.0,5.0,-7.0,-2.0,3.0,-1.0,-1.0,3.0
DE VALPARAISO,VENTANAS,COMPLEJO EDUCACIONAL SARGENTO ALDEA,10,8,37,41,27,18,15,0,0,8,0,6,48,38,53,3,4,2,0,154,23,-1,-1,2,36,50,24,15,1,17,9,145,9,0.015420348348942901,0.2412289393044619,0.3302188069175261,0.15264214567954437,0.09600474998579847,0.007524826208589061,0.10656005222743,0.05040013132770722,0.019104068098340685,0.08278441165934758,0.2772063193526847,0.20522658416783457,0.11029143109593248,0.011134503246207109,0.1354306388455643,0.15882204353408852,6.0,1.0,-9.0,3.0,3.0,-1.0,-2.0,-1.0
DE VALPARAISO,VENTANAS,COMPLEJO EDUCACIONAL SARGENTO ALDEA,2,2,19,53,39,21,27,2,0,26,2,1,0,3,6,47,59,70,3,189,23,-1,-1,4,17,53,38,21,2,25,29,10,179,0.015420348348942901,0.2412289393044619,0.3302188069175261,0.15264214567954437,0.09600474998579847,0.007524826208589061,0.10656005222743,0.05040013132770722,0.019104068098340685,0.08278441165934758,0.2772063193526847,0.20522658416783457,0.11029143109593248,0.011134503246207109,0.1354306388455643,0.15882204353408852,-2.0,2.0,0.0,1.0,0.0,0.0,2.0,-3.0
DE VALPARAISO,VENTANAS,COMPLEJO EDUCACIONAL SARGENTO ALDEA,3,2,16,47,43,18,24,0,2,34,2,4,1,0,3,55,45,70,8,186,23,-1,-1,3,17,52,38,20,2,25,29,8,178,0.015420348348942901,0.2412289393044619,0.3302188069175261,0.15264214567954437,0.09600474998579847,0.007524826208589061,0.10656005222743,0.05040013132770722,0.019104068098340685,0.08278441165934758,0.2772063193526847,0.20522658416783457,0.11029143109593248,0.011134503246207109,0.1354306388455643,0.15882204353408852,-1.0,-1.0,-5.0,5.0,-2.0,0.0,-1.0,5.0
DE VALPARAISO,VENTANAS,COMPLEJO EDUCACIONAL SARGENTO ALDEA,4,4,10,40,39,25,27,2,1,33,3,0,2,3,4,43,73,54,2,181,23,-1,-1,3,16,51,37,20,2,24,28,9,172,0.015420348348942901,0.2412289393044619,0.3302188069175261,0.15264214567954437,0.09600474998579847,0.007524826208589061,0.10656005222743,0.05040013132770722,0.019104068098340685,0.08278441165934758,0.2772063193526847,0.20522658416783457,0.11029143109593248,0.011134503246207109,0.1354306388455643,0.15882204353408852,1.0,-6.0,-11.0,2.0,5.0,1.0,3.0,5.0
DE VALPARAISO,VENTANAS,COMPLEJO EDUCACIONAL SARGENTO ALDEA,5,0,14,51,33,18,23,0,1,18,1,1,1,0,7,21,85,15,28,158,23,-1,-1,3,15,44,32,17,2,21,24,9,149,0.015420348348942901,0.2412289393044619,0.3302188069175261,0.15264214567954437,0.09600474998579847,0.007524826208589061,0.10656005222743,0.05040013132770722,0.019104068098340685,0.08278441165934758,0.2772063193526847,0.20522658416783457,0.11029143109593248,0.011134503246207109,0.1354306388455643,0.15882204353408852,-3.0,-1.0,7.0,1.0,1.0,-1.0,2.0,-6.0
DE VALPARAISO,VENTANAS,COMPLEJO EDUCACIONAL SARGENTO ALDEA,6,3,24,58,35,16,26,0,0,32,0,2,1,1,9,81,90,9,1,194,23,-1,-1,4,18,55,39,21,2,26,29,13,181,0.015420348348942901,0.2412289393044619,0.3302188069175261,0.15264214567954437,0.09600474998579847,0.007524826208589061,0.10656005222743,0.05040013132770722,0.019104068098340685,0.08278441165934758,0.2772063193526847,0.20522658416783457,0.11029143109593248,0.011134503246207109,0.1354306388455643,0.15882204353408852,-1.0,6.0,3.0,-4.0,-5.0,-2.0,0.0,3.0
DE VALPARAISO,VENTANAS,COMPLEJO EDUCACIONAL SARGENTO ALDEA,7,5,13,43,27,13,33,0,1,28,1,3,3,31,5,49,6,36,30,163,23,-1,-1,3,20,48,31,17,2,21,21,42,121,0.015420348348942901,0.2412289393044619,0.3302188069175261,0.15264214567954437,0.09600474998579847,0.007524826208589061,0.10656005222743,0.05040013132770722,0.019104068098340685,0.08278441165934758,0.2772063193526847,0.20522658416783457,0.11029143109593248,0.011134503246207109,0.1354306388455643,0.15882204353408852,2.0,-7.0,-5.0,-4.0,-4.0,-1.0,12.0,7.0
DE VALPARAISO,VENTANAS,COMPLEJO EDUCACIONAL SARGENTO ALDEA,8,8,18,39,33,18,22,1,3,16,4,3,2,2,3,42,70,8,28,158,23,-1,-1,3,15,44,32,17,2,21,24,10,148,0.015420348348942901,0.2412289393044619,0.3302188069175261,0.15264214567954437,0.09600474998579847,0.007524826208589061,0.10656005222743,0.05040013132770722,0.019104068098340685,0.08278441165934758,0.2772063193526847,0.20522658416783457,0.11029143109593248,0.011134503246207109,0.1354306388455643,0.15882204353408852,5.0,3.0,-5.0,1.0,1.0,2.0,1.0,-8.0
DE VALPARAISO,VENTANAS,COMPLEJO EDUCACIONAL SARGENTO ALDEA,9,1,37,56,17,24,21,0,0,12,0,9,64,46,24,18,7,0,0,168,23,-1,-1,3,37,54,27,16,1,19,11,143,25,0.015420348348942901,0.2412289393044619,0.3302188069175261,0.15264214567954437,0.09600474998579847,0.007524826208589061,0.10656005222743,0.05040013132770722,0.019104068098340685,0.08278441165934758,0.2772063193526847,0.20522658416783457,0.11029143109593248,0.011134503246207109,0.1354306388455643,0.15882204353408852,-2.0,0.0,2.0,-10.0,8.0,-1.0,2.0,1.0
