REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,1M,0,14,15,30,8,12,0,1,22,1,1,15,1,3,19,31,21,11,102,15,-1,-1,1,17,13,29,6,3,11,22,20,82,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,-1.0,-3.0,2.0,1.0,2.0,-2.0,1.0,0.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,1V,1,15,17,22,3,10,0,3,22,3,1,14,3,12,17,30,11,5,93,15,-1,-1,1,18,12,27,5,2,10,18,30,63,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,0.0,-3.0,5.0,-5.0,-2.0,1.0,0.0,4.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,2M,1,17,13,31,5,8,1,4,14,5,2,8,2,3,27,36,12,4,94,15,-1,-1,1,16,11,27,5,3,10,21,15,79,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,0.0,1.0,2.0,4.0,0.0,2.0,-2.0,-7.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,2V,0,29,20,37,5,13,1,4,18,5,0,10,23,20,33,26,10,5,127,15,-1,-1,1,26,16,37,6,3,14,24,53,74,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,-1.0,3.0,4.0,0.0,-1.0,2.0,-1.0,-6.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,3M,1,28,7,28,4,13,1,1,25,2,2,6,10,13,25,29,18,5,108,15,-1,-1,1,20,13,31,6,3,12,22,31,77,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,0.0,8.0,-6.0,-3.0,-2.0,-1.0,1.0,3.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,3V,1,22,12,42,9,12,1,4,32,5,0,6,33,3,31,31,25,6,135,15,-1,-1,1,25,17,39,7,4,15,27,42,93,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,0.0,-3.0,-5.0,3.0,2.0,1.0,-3.0,5.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,4M,2,25,8,42,5,11,1,0,17,1,3,11,34,5,26,18,12,2,111,15,-1,-1,1,24,15,32,5,2,12,20,53,58,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,1.0,1.0,-7.0,10.0,0.0,-1.0,-1.0,-3.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,4V,1,24,21,31,7,18,1,1,29,2,4,49,5,3,36,28,5,3,133,15,-1,-1,1,28,17,39,6,3,15,24,61,72,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,0.0,-4.0,4.0,-8.0,1.0,-1.0,3.0,5.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,5M,2,35,21,40,5,17,0,2,25,2,2,32,7,55,32,14,1,4,147,15,-1,-1,1,35,20,43,7,2,17,22,96,51,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,1.0,0.0,1.0,-3.0,-2.0,0.0,0.0,3.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,5V,2,32,12,34,5,12,0,1,22,1,2,37,8,18,27,15,10,3,120,15,-1,-1,1,27,16,35,6,2,13,20,65,55,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,1.0,5.0,-4.0,-1.0,-1.0,-1.0,-1.0,2.0
