REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,ARAUCO,COLEGIO EL BOSQUE,37,1,37,17,38,3,2,0,0,3,0,5,15,76,2,2,0,1,0,101,81,-1,-1,1,34,19,34,5,0,5,3,20,3,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,3.0,-2.0,4.0,-2.0,0.0,-3.0,0.0
DEL BIOBIO,ARAUCO,COLEGIO EL BOSQUE,38,1,41,19,25,6,4,0,0,1,0,4,23,63,2,2,1,2,0,97,81,-1,-1,1,33,18,31,5,1,5,3,27,5,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,8.0,1.0,-6.0,1.0,-1.0,-1.0,-2.0
DEL BIOBIO,ARAUCO,COLEGIO EL BOSQUE,39,0,39,24,29,7,1,0,0,1,0,3,20,72,3,1,2,0,0,101,81,-1,-1,1,34,19,33,5,1,5,3,23,3,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,-1.0,5.0,5.0,-4.0,2.0,-1.0,-4.0,-2.0
DEL BIOBIO,ARAUCO,COLEGIO EL BOSQUE,40,2,34,17,32,5,6,1,0,0,1,5,23,61,4,2,2,0,0,97,81,-1,-1,1,33,18,31,5,1,5,3,28,4,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,-3.0
DEL BIOBIO,ARAUCO,COLEGIO EL BOSQUE,41,1,38,18,35,8,7,1,1,3,2,3,81,20,6,1,0,1,0,112,81,-1,-1,1,39,24,31,6,2,7,2,84,2,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,-1.0,-6.0,4.0,2.0,0.0,0.0,1.0
DEL BIOBIO,ARAUCO,COLEGIO EL BOSQUE,42,1,34,16,28,6,8,1,1,1,2,3,87,1,0,2,2,1,0,96,81,-1,-1,1,34,21,25,5,2,6,2,90,5,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,0.0,-5.0,3.0,1.0,0.0,2.0,-1.0
DEL BIOBIO,ARAUCO,COLEGIO EL BOSQUE,43,1,40,29,20,6,7,0,0,3,0,3,89,6,3,3,1,1,0,106,81,-1,-1,1,37,23,28,6,2,6,3,92,5,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,3.0,6.0,-8.0,0.0,-2.0,1.0,0.0
DEL BIOBIO,ARAUCO,COLEGIO EL BOSQUE,44,1,48,31,22,4,9,1,1,1,2,4,103,2,5,3,0,1,0,118,81,-1,-1,1,42,26,31,6,2,7,3,107,4,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,6.0,5.0,-9.0,-2.0,0.0,2.0,-2.0
DEL BIOBIO,ARAUCO,COLEGIO EL BOSQUE,45,3,27,15,28,6,5,1,1,4,2,2,77,5,4,0,1,0,1,90,81,-1,-1,1,32,20,24,5,1,5,2,79,2,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,2.0,-5.0,-5.0,4.0,1.0,1.0,0.0,2.0
DEL BIOBIO,ARAUCO,COLEGIO EL BOSQUE,46-47,1,28,19,39,4,4,1,1,12,2,10,42,15,18,14,8,1,1,109,81,-1,-1,1,31,20,33,6,2,8,8,52,24,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,-3.0,-1.0,6.0,-2.0,0.0,-4.0,4.0
DEL BIOBIO,ARAUCO,ESCUELA BASICA MARE NOSTRUM,10M,0,15,21,30,6,6,2,2,12,4,2,21,3,14,28,15,9,3,94,81,-1,-1,1,20,16,30,5,2,8,12,23,55,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,-1.0,-5.0,5.0,0.0,1.0,2.0,-2.0,0.0
DEL BIOBIO,ARAUCO,ESCUELA BASICA MARE NOSTRUM,11M,1,21,17,32,12,7,0,1,10,1,5,20,6,9,25,18,10,8,101,81,-1,-1,1,22,17,32,5,2,9,13,25,61,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,-1.0,0.0,0.0,7.0,-1.0,-2.0,-3.0
DEL BIOBIO,ARAUCO,ESCUELA BASICA MARE NOSTRUM,12M,1,20,24,26,7,8,1,2,14,3,4,19,2,15,29,23,10,1,103,81,-1,-1,1,21,17,33,6,2,9,14,23,63,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,-1.0,7.0,-7.0,1.0,1.0,-1.0,0.0
DEL BIOBIO,ARAUCO,ESCUELA BASICA MARE NOSTRUM,13M,1,22,18,38,4,15,0,0,17,0,2,14,2,25,24,29,17,2,115,81,-1,-1,1,22,18,38,7,2,11,16,16,72,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,0.0,0.0,0.0,-3.0,-2.0,4.0,1.0
DEL BIOBIO,ARAUCO,ESCUELA BASICA MARE NOSTRUM,1M,1,16,15,36,3,12,1,1,16,2,2,9,1,1,20,35,26,6,101,81,-1,-1,1,17,16,33,5,2,10,17,11,87,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,-1.0,-1.0,3.0,-2.0,0.0,2.0,-1.0
DEL BIOBIO,ARAUCO,ESCUELA BASICA MARE NOSTRUM,2M,0,14,11,40,5,10,0,1,12,1,2,9,3,2,20,33,19,4,93,81,-1,-1,1,16,15,30,5,2,9,15,11,76,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,-1.0,-2.0,-4.0,10.0,0.0,-1.0,1.0,-3.0
DEL BIOBIO,ARAUCO,ESCUELA BASICA MARE NOSTRUM,3M,0,24,11,36,10,10,0,3,16,3,4,22,2,3,26,18,27,8,110,81,-1,-1,1,22,18,35,6,3,10,15,26,79,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,-1.0,2.0,-7.0,1.0,4.0,0.0,0.0,1.0
DEL BIOBIO,ARAUCO,ESCUELA BASICA MARE NOSTRUM,4M,1,16,21,37,8,16,0,4,13,4,6,8,5,1,29,32,28,7,116,81,-1,-1,1,21,18,38,6,3,11,18,14,96,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,0.0,-5.0,3.0,-1.0,2.0,1.0,5.0,-5.0
DEL BIOBIO,ARAUCO,ESCUELA BASICA MARE NOSTRUM,5M,0,19,9,30,8,11,2,0,14,2,0,10,2,5,28,32,14,2,93,81,-1,-1,1,16,14,31,5,2,9,15,10,76,0.012375163564514912,0.3683696028342635,0.22758209727006487,0.24944010086554458,0.05377440773081158,0.018622502904476573,0.0570818728172744,0.012754252013049175,0.010484464361374958,0.3423802465736529,0.17464917305830488,0.35332172152235103,0.052169118307748376,0.0001920509833687282,0.048125322451524774,0.018677902741674454,0.004527543026824362,0.19665113509913257,0.13079078906217112,0.35887669531741956,0.08015186120396126,9.071738435959923e-05,0.103831634097529,0.12507962480860252,0.007452928367376545,0.14371835295556054,0.14674148060258976,0.3384571112341907,0.05203844671502994,0.02389065014084034,0.10287769098622021,0.184823338998192,-1.0,3.0,-5.0,-1.0,3.0,0.0,2.0,-1.0
