REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,CHACAYAL,ESCUELA BASICA CHACAYAL SUR,1,0,21,15,49,7,11,1,0,10,1,1,37,3,12,35,2,21,3,114,17,-1,-1,1,17,11,51,7,2,13,12,53,61,0.012014815154099797,0.2237486100768698,0.11517975107936454,0.47208217307240175,0.04655404535627599,0.011554785166535188,0.07066492194365673,0.04820089815079621,0.01319715249379778,0.0862543409556835,0.08561858998945601,0.43067351553125915,0.06741631862534297,0.01963732830859103,0.14319252696859397,0.1540102271272755,-1.0,4.0,4.0,-2.0,0.0,-1.0,-2.0,-2.0
DEL BIOBIO,CHACAYAL,ESCUELA BASICA CHACAYAL SUR,10,4,19,8,58,7,10,0,0,12,0,0,8,23,37,24,13,13,0,118,17,-1,-1,1,19,12,54,7,2,12,11,68,50,0.012014815154099797,0.2237486100768698,0.11517975107936454,0.47208217307240175,0.04655404535627599,0.011554785166535188,0.07066492194365673,0.04820089815079621,0.01319715249379778,0.0862543409556835,0.08561858998945601,0.43067351553125915,0.06741631862534297,0.01963732830859103,0.14319252696859397,0.1540102271272755,3.0,0.0,-4.0,4.0,0.0,-2.0,-2.0,1.0
DEL BIOBIO,CHACAYAL,ESCUELA BASICA CHACAYAL SUR,11,4,17,12,52,8,20,0,3,15,3,1,1,20,5,41,32,24,7,131,17,-1,-1,2,15,12,58,8,2,17,17,27,104,0.012014815154099797,0.2237486100768698,0.11517975107936454,0.47208217307240175,0.04655404535627599,0.011554785166535188,0.07066492194365673,0.04820089815079621,0.01319715249379778,0.0862543409556835,0.08561858998945601,0.43067351553125915,0.06741631862534297,0.01963732830859103,0.14319252696859397,0.1540102271272755,2.0,2.0,0.0,-6.0,0.0,1.0,3.0,-2.0
DEL BIOBIO,CHACAYAL,ESCUELA BASICA CHACAYAL SUR,12,1,18,9,60,6,13,2,1,14,3,4,10,0,38,28,32,6,6,124,17,-1,-1,2,18,12,55,7,2,14,14,52,72,0.012014815154099797,0.2237486100768698,0.11517975107936454,0.47208217307240175,0.04655404535627599,0.011554785166535188,0.07066492194365673,0.04820089815079621,0.01319715249379778,0.0862543409556835,0.08561858998945601,0.43067351553125915,0.06741631862534297,0.01963732830859103,0.14319252696859397,0.1540102271272755,-1.0,0.0,-3.0,5.0,-1.0,1.0,-1.0,0.0
DEL BIOBIO,CHACAYAL,ESCUELA BASICA CHACAYAL SUR,13,2,18,12,47,7,10,0,1,17,1,1,18,24,17,18,27,9,0,114,17,-1,-1,1,18,12,52,6,2,12,11,60,54,0.012014815154099797,0.2237486100768698,0.11517975107936454,0.47208217307240175,0.04655404535627599,0.011554785166535188,0.07066492194365673,0.04820089815079621,0.01319715249379778,0.0862543409556835,0.08561858998945601,0.43067351553125915,0.06741631862534297,0.01963732830859103,0.14319252696859397,0.1540102271272755,1.0,0.0,0.0,-5.0,1.0,-1.0,-2.0,6.0
DEL BIOBIO,CHACAYAL,ESCUELA BASICA CHACAYAL SUR,14,2,25,14,54,5,16,0,0,4,0,2,18,53,11,23,12,1,0,120,17,-1,-1,1,22,13,55,6,2,11,10,84,36,0.012014815154099797,0.2237486100768698,0.11517975107936454,0.47208217307240175,0.04655404535627599,0.011554785166535188,0.07066492194365673,0.04820089815079621,0.01319715249379778,0.0862543409556835,0.08561858998945601,0.43067351553125915,0.06741631862534297,0.01963732830859103,0.14319252696859397,0.1540102271272755,1.0,3.0,1.0,-1.0,-1.0,-2.0,5.0,-6.0
DEL BIOBIO,CHACAYAL,ESCUELA BASICA CHACAYAL SUR,15,1,14,10,57,7,12,0,2,9,2,1,27,10,20,10,23,19,2,112,17,-1,-1,1,18,11,51,6,2,12,11,58,54,0.012014815154099797,0.2237486100768698,0.11517975107936454,0.47208217307240175,0.04655404535627599,0.011554785166535188,0.07066492194365673,0.04820089815079621,0.01319715249379778,0.0862543409556835,0.08561858998945601,0.43067351553125915,0.06741631862534297,0.01963732830859103,0.14319252696859397,0.1540102271272755,0.0,-4.0,-1.0,6.0,1.0,0.0,0.0,-2.0
DEL BIOBIO,CHACAYAL,ESCUELA BASICA CHACAYAL SUR,16,0,22,27,60,14,22,1,1,22,2,22,8,12,24,25,23,49,6,169,17,-1,-1,2,24,16,76,10,3,19,19,66,103,0.012014815154099797,0.2237486100768698,0.11517975107936454,0.47208217307240175,0.04655404535627599,0.011554785166535188,0.07066492194365673,0.04820089815079621,0.01319715249379778,0.0862543409556835,0.08561858998945601,0.43067351553125915,0.06741631862534297,0.01963732830859103,0.14319252696859397,0.1540102271272755,-2.0,-2.0,11.0,-16.0,4.0,-1.0,3.0,3.0
DEL BIOBIO,CHACAYAL,ESCUELA BASICA CHACAYAL SUR,17,1,16,14,43,5,7,1,3,11,4,3,18,21,34,6,11,7,1,101,17,-1,-1,1,19,11,47,5,1,9,8,76,25,0.012014815154099797,0.2237486100768698,0.11517975107936454,0.47208217307240175,0.04655404535627599,0.011554785166535188,0.07066492194365673,0.04820089815079621,0.01319715249379778,0.0862543409556835,0.08561858998945601,0.43067351553125915,0.06741631862534297,0.01963732830859103,0.14319252696859397,0.1540102271272755,0.0,-3.0,3.0,-4.0,0.0,3.0,-2.0,3.0
DEL BIOBIO,CHACAYAL,ESCUELA BASICA CHACAYAL SUR,2,0,17,11,55,6,13,1,0,10,1,3,28,19,21,36,5,0,0,113,17,-1,-1,1,19,12,52,6,2,11,10,71,41,0.012014815154099797,0.2237486100768698,0.11517975107936454,0.47208217307240175,0.04655404535627599,0.011554785166535188,0.07066492194365673,0.04820089815079621,0.01319715249379778,0.0862543409556835,0.08561858998945601,0.43067351553125915,0.06741631862534297,0.01963732830859103,0.14319252696859397,0.1540102271272755,-1.0,-2.0,-1.0,3.0,0.0,-1.0,2.0,0.0
