REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,1M,2,8,11,22,5,5,2,9,17,11,2,2,1,0,23,39,12,2,81,11,0.34,-0.46852108295774486,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,1V-10,11,16,21,38,7,10,5,10,21,15,1,19,22,8,20,33,20,7,139,11,0.006,-2.221848749616356,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,2M-3V,2,13,32,23,4,14,4,4,24,8,0,19,26,22,23,15,12,3,120,11,0.035,-1.4559319556497243,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,2V-7V,2,18,15,39,5,6,7,8,26,15,9,19,26,28,16,17,9,2,126,11,0.14,-0.8538719643217619,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,3M-6M,2,12,15,23,9,7,2,1,18,3,4,11,35,11,15,10,3,0,89,11,0.64,-0.1938200260161128,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,4M,1,8,27,43,12,6,6,0,21,6,0,6,11,58,33,12,2,2,124,11,0.13,-0.8860566476931632,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,5M-4V,1,23,29,44,10,11,5,3,26,8,1,14,64,28,25,11,8,1,152,11,0.93,-0.03151705144606486,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,5V,2,10,15,34,5,6,3,1,18,4,1,9,21,36,16,5,4,2,94,11,0.91,-0.040958607678906384,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,6V,1,14,28,38,8,9,4,4,24,8,3,16,27,40,19,15,5,3,130,11,0.97,-0.01322826573375516,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,8-11,0,16,14,36,8,4,3,0,12,3,4,34,27,14,7,3,3,1,93,11,0.16,-0.7958800173440752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,9,1,11,12,16,1,4,0,0,9,0,0,32,13,4,1,4,0,0,54,11,0.2,-0.6989700043360187,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,64M,2,23,46,41,23,18,1,0,13,1,8,49,9,5,36,38,22,0,167,174,0.02,-1.6989700043360187,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,65M,1,13,28,31,11,19,0,1,17,1,1,8,5,9,59,24,11,4,121,174,0.9,-0.045757490560675115,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,66M,3,16,38,31,10,9,0,1,12,1,3,10,5,15,56,18,11,2,120,174,0.15,-0.8239087409443188,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,67M,0,23,28,40,9,22,1,0,12,1,6,13,8,59,23,16,4,6,135,174,0.61,-0.21467016498923297,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,68M,0,17,23,43,18,23,0,1,19,1,5,14,3,58,38,15,10,1,144,174,0.08,-1.0969100130080565,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,69M,0,15,29,41,13,20,0,0,15,0,3,11,6,58,34,14,5,2,133,174,0.72,-0.14266750356873156,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,70M,0,22,29,34,15,22,0,2,17,2,2,12,7,76,29,9,5,1,141,174,0.09,-1.0457574905606752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,71M,1,24,26,37,9,17,0,3,18,3,7,15,3,49,30,21,5,5,135,174,0.38,-0.42021640338318983,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,72M,0,14,23,39,13,18,0,3,17,3,6,6,6,58,26,16,8,1,127,174,0.14,-0.8538719643217619,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,73M,1,15,29,52,8,22,1,0,18,1,4,10,4,73,30,14,8,3,146,174,0.94,-0.026872146400301365,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,23M,3,29,37,38,13,18,1,1,16,2,4,57,7,3,29,35,15,6,156,174,0.6,-0.2218487496163564,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,24M,4,27,41,44,7,15,1,1,18,2,6,56,5,8,29,34,11,9,158,174,0.83,-0.08092190762392612,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,25M,2,23,41,46,8,25,0,3,16,3,3,58,0,3,40,36,20,4,164,174,0.6,-0.2218487496163564,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,26M,4,22,38,43,13,13,0,1,22,1,2,35,10,4,33,44,21,7,156,174,0.72,-0.14266750356873156,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,27M,1,18,51,34,13,18,1,1,19,2,7,44,3,3,30,38,26,5,156,174,0.43,-0.36653154442041347,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,28M,3,20,46,43,5,19,0,1,26,1,8,24,9,5,58,33,22,4,163,174,0.31,-0.5086383061657274,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,29M,0,18,34,52,7,25,0,3,19,3,3,11,20,38,38,31,13,4,158,174,0.62,-0.20760831050174613,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,30M,3,20,20,39,13,27,1,4,25,5,6,15,22,8,34,42,19,6,152,174,0.04,-1.3979400086720375,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,31M,2,10,33,47,18,24,0,0,20,0,5,7,11,15,46,47,15,7,154,174,0.12,-0.9208187539523752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,32M,2,16,40,53,8,17,0,2,22,2,8,10,13,39,37,27,14,12,160,174,0.75,-0.12493873660829995,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,33M,3,21,26,40,9,19,0,1,23,1,3,17,28,5,27,34,21,7,142,174,0.85,-0.07058107428570728,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,34M,5,23,34,51,12,22,0,1,24,1,9,22,7,2,38,54,36,4,172,174,0.81,-0.09151498112135022,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,35M,1,19,45,65,10,32,0,1,22,1,4,11,5,12,89,45,17,11,195,174,0.47,-0.3279021420642826,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,36M,4,24,52,58,20,33,0,0,18,0,3,35,20,40,42,45,17,7,209,174,0.07,-1.154901959985743,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,37M,3,17,31,37,9,21,0,5,29,5,4,28,27,5,26,36,21,5,152,174,0.18,-0.744727494896694,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,38M,2,26,25,41,13,17,0,1,18,1,5,19,11,10,45,28,17,8,143,174,0.49,-0.3098039199714863,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,39M,0,13,30,50,14,24,0,1,18,1,8,27,10,9,40,28,21,7,150,174,0.19,-0.721246399047171,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,17V,3,26,45,32,16,14,1,0,20,1,3,20,52,7,23,31,14,6,157,174,0.17,-0.769551078621726,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,18V,4,26,44,37,15,16,1,3,23,4,6,60,8,9,28,25,30,3,169,174,0.51,-0.2924298239020636,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,19V,4,22,43,38,8,23,2,0,24,2,1,75,10,3,25,29,11,10,164,174,0.78,-0.10790539730951958,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,20V,1,24,47,33,14,19,2,1,28,3,2,80,9,3,24,30,16,5,169,174,0.37,-0.431798275933005,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,21V,5,18,36,35,12,23,1,2,32,3,7,64,8,5,25,21,28,6,164,174,0.07,-1.154901959985743,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,22V,4,19,41,25,8,17,3,1,10,4,5,37,16,2,23,30,13,2,128,174,0.12,-0.9208187539523752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,23V,3,21,38,46,10,14,1,1,25,2,10,32,12,8,42,33,15,7,159,174,0.93,-0.03151705144606486,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,24V,1,21,46,45,13,19,1,2,15,3,6,37,15,7,38,39,15,6,163,174,0.78,-0.10790539730951958,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,25V,3,10,40,31,8,19,2,3,23,5,7,22,18,12,19,31,27,3,139,174,0.03,-1.5228787452803376,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,26V,2,11,29,47,10,17,2,1,29,3,9,28,11,9,32,38,15,7,148,174,0.16,-0.7958800173440752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,27V,0,18,35,29,6,14,1,3,27,4,7,30,11,11,34,24,15,1,133,174,0.06,-1.2218487496163564,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,28V,2,16,28,32,8,13,0,1,19,1,1,16,11,3,31,30,19,8,119,174,0.96,-0.017728766960431602,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,29V,1,21,42,40,13,17,0,1,21,1,9,25,17,10,34,35,20,6,156,174,0.92,-0.036212172654444715,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,30V,5,20,34,45,14,16,2,2,17,4,5,27,14,13,37,38,15,6,155,174,0.37,-0.431798275933005,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,31V,5,18,37,38,8,18,1,1,24,2,7,19,11,13,46,35,15,4,150,174,0.47,-0.3279021420642826,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,32V,1,23,35,36,6,13,0,6,14,6,8,28,10,3,38,27,15,6,134,174,0.18,-0.744727494896694,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,33V,3,21,34,58,8,21,0,0,18,0,9,31,17,7,42,37,16,4,163,174,0.32,-0.494850021680094,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,34V,1,11,44,43,8,22,0,0,23,0,11,29,13,11,40,28,11,9,152,174,0.31,-0.5086383061657274,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,35V,1,20,40,48,5,15,0,1,17,1,11,31,14,10,35,26,17,4,147,174,0.62,-0.20760831050174613,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,36V,3,27,61,39,7,20,1,1,21,2,7,45,31,9,33,28,26,1,180,174,0.31,-0.5086383061657274,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,37V,1,16,29,47,9,17,2,0,20,2,6,29,10,10,33,30,22,1,141,174,0.85,-0.07058107428570728,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,38V,0,24,37,38,8,12,2,2,26,4,6,21,10,13,33,42,16,8,149,174,0.17,-0.769551078621726,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,39V,1,15,43,48,8,15,0,0,18,0,12,23,14,16,31,33,15,4,148,174,0.53,-0.27572413039921095,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,10M,1,25,27,46,22,17,0,0,21,0,8,10,36,15,24,38,19,9,159,174,0.09,-1.0457574905606752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,11M,0,22,30,55,9,19,1,2,16,3,3,13,46,12,25,33,15,7,154,174,0.4,-0.3979400086720376,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,12M,3,22,24,41,17,12,1,3,16,4,6,11,37,5,35,31,7,7,139,174,0.02,-1.6989700043360187,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,13M,1,15,32,40,10,23,0,3,23,3,3,9,39,5,29,33,22,7,147,174,0.86,-0.06550154875643228,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,14M,0,20,32,43,15,18,0,2,18,2,4,8,38,7,26,32,20,13,148,174,0.82,-0.08618614761628333,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,15M,2,26,25,31,18,13,0,0,20,0,4,15,38,3,17,31,19,8,135,174,0.062,-1.207608310501746,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,16M,2,22,19,40,10,25,0,3,16,3,3,10,39,7,38,21,17,2,137,174,0.08,-1.0969100130080565,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,17M,1,18,30,56,5,20,1,3,12,4,1,7,44,5,33,33,20,3,146,174,0.06,-1.2218487496163564,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,18M,3,30,30,41,10,24,1,0,21,1,7,10,39,6,27,31,32,8,160,174,0.59,-0.22914798835785583,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,19M,1,35,20,43,16,21,0,1,17,1,6,12,49,6,25,32,20,3,154,174,0.009,-2.0457574905606752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,1M,2,9,21,49,12,18,2,1,21,3,3,15,12,4,13,41,38,9,135,174,0.34,-0.46852108295774486,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,20M,1,22,37,32,17,25,1,2,14,3,5,7,46,3,27,35,21,7,151,174,0.15,-0.8239087409443188,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,21M,3,13,28,47,21,22,0,1,18,1,4,12,39,5,38,32,15,8,153,174,0.08,-1.0969100130080565,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,22M,2,19,40,36,10,14,0,1,24,1,3,19,30,2,30,39,16,7,146,174,0.78,-0.10790539730951958,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,2M,0,14,28,45,17,15,0,0,15,0,6,12,5,14,43,32,16,7,134,174,0.31,-0.5086383061657274,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,3M,0,15,24,40,11,13,1,0,16,1,3,14,8,20,30,27,13,5,120,174,0.95,-0.022276394711152253,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,4M,3,27,28,42,9,13,0,0,17,0,4,7,12,36,25,22,23,10,139,174,0.21,-0.6777807052660807,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,5M,3,20,30,41,7,16,0,3,18,3,8,12,3,32,26,27,21,9,138,174,0.81,-0.09151498112135022,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,6M,1,24,16,37,14,20,0,0,27,0,2,5,5,45,22,17,31,12,139,174,0.09,-1.0457574905606752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,7M,3,28,17,60,11,25,1,1,23,2,4,8,3,58,30,36,20,11,169,174,0.09,-1.0457574905606752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,8M,0,20,28,51,8,14,0,3,21,3,3,9,6,49,20,16,26,16,145,174,0.66,-0.1804560644581313,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,9M,2,25,36,47,6,23,2,0,16,2,5,14,27,25,31,20,26,9,157,174,0.66,-0.1804560644581313,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,50V,1,16,35,49,13,15,2,1,14,3,12,33,7,6,44,31,11,2,146,174,0.4,-0.3979400086720376,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,51V,5,21,39,49,6,21,1,0,14,1,11,25,11,7,47,35,16,4,156,174,0.32,-0.494850021680094,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,52V,4,27,27,45,12,25,1,0,17,1,5,25,12,13,47,36,18,2,158,174,0.19,-0.721246399047171,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,53V,5,12,48,62,9,26,0,2,26,2,10,27,19,27,55,26,17,9,190,174,0.08,-1.0969100130080565,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,54V,0,13,34,43,10,13,0,0,16,0,8,20,13,9,41,26,11,1,129,174,0.73,-0.1366771398795441,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,55V,1,23,37,36,10,14,3,1,20,4,10,19,10,10,41,36,18,1,145,174,0.67,-0.17392519729917355,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,56V,4,26,42,41,10,13,1,3,17,4,9,25,13,12,41,37,12,8,157,174,0.26,-0.585026652029182,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,57V,3,16,46,41,8,18,1,1,20,2,10,30,7,8,33,43,18,5,154,174,0.63,-0.2006594505464183,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,58V,1,18,31,53,5,21,1,1,15,2,8,29,12,14,23,36,17,7,146,174,0.28,-0.5528419686577808,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,59V,4,22,39,45,7,9,0,0,26,0,10,33,14,10,36,35,11,3,152,174,0.16,-0.7958800173440752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,60V,7,24,55,64,12,16,0,2,23,2,6,23,12,21,84,41,16,0,203,174,0.08,-1.0969100130080565,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,61V,1,23,37,46,11,18,0,2,17,2,7,27,9,22,61,16,10,3,155,174,0.91,-0.040958607678906384,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,62V,5,26,31,52,6,18,0,0,18,0,6,27,16,61,23,15,6,2,156,174,0.2,-0.6989700043360187,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,63V,3,12,31,53,11,18,0,0,24,0,10,24,18,33,40,15,8,4,152,174,0.15,-0.8239087409443188,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,64V,1,18,37,51,10,14,0,1,14,1,6,23,15,52,35,7,8,0,146,174,0.84,-0.07572071393811836,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,65V,0,21,42,44,15,16,0,1,19,1,8,24,12,46,43,17,8,1,158,174,0.62,-0.20760831050174613,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,66V,1,29,39,47,12,20,0,0,16,0,9,34,5,64,38,11,3,0,164,174,0.65,-0.18708664335714442,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,67V,1,20,36,35,6,11,1,0,19,1,2,9,11,61,30,9,5,2,129,174,0.26,-0.585026652029182,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,68V,1,13,28,42,7,10,0,0,20,0,4,18,4,57,23,12,2,1,121,174,0.61,-0.21467016498923297,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,69V,1,17,37,38,6,14,0,1,18,1,5,7,6,65,34,8,7,0,132,174,0.69,-0.16115090926274472,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,ESCUELA DIEGO PORTALES PALAZUELOS,10V,3,22,35,35,9,26,2,0,16,2,4,5,70,7,25,17,12,8,148,174,0.54,-0.26760624017703144,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,ESCUELA DIEGO PORTALES PALAZUELOS,11V,4,34,35,43,9,18,0,1,32,1,9,19,57,3,29,32,18,9,176,174,0.09,-1.0457574905606752,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,ESCUELA DIEGO PORTALES PALAZUELOS,12V,3,28,24,47,8,12,1,1,21,2,4,11,53,7,23,24,15,8,145,174,0.06,-1.2218487496163564,-1,-1,-1,-1,-1,-1,-1,-1
