REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,HUALQUI,ESCUELA BASICA LOS LIBERTADORES,13M,1,39,20,30,15,17,0,2,32,2,1,6,23,57,39,21,7,2,156,54,-1,-1,2,28,23,46,16,3,15,23,7,69,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-1.0,11.0,-3.0,-16.0,-1.0,-1.0,2.0,9.0
DEL BIOBIO,HUALQUI,ESCUELA BASICA LOS LIBERTADORES,14M,0,23,26,41,14,14,0,4,22,4,2,6,22,66,26,15,7,0,144,54,-1,-1,2,27,21,42,15,3,13,21,8,48,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-2.0,-4.0,5.0,-1.0,-1.0,1.0,1.0,1.0
DEL BIOBIO,HUALQUI,ESCUELA BASICA LOS LIBERTADORES,15M,4,34,21,45,16,16,0,4,24,4,3,8,24,68,23,24,8,5,164,54,-1,-1,2,31,24,48,17,3,15,24,11,60,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,2.0,3.0,-3.0,-3.0,-1.0,1.0,1.0,0.0
DEL BIOBIO,HUALQUI,ESCUELA BASICA LOS LIBERTADORES,16M,1,34,24,44,10,17,1,3,22,4,5,15,30,54,28,15,8,1,156,54,-1,-1,2,33,25,44,15,3,14,20,20,52,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-1.0,1.0,-1.0,0.0,-5.0,1.0,3.0,2.0
DEL BIOBIO,HUALQUI,ESCUELA BASICA LOS LIBERTADORES,17M,3,30,28,45,14,11,2,1,18,3,4,14,28,45,33,19,5,3,152,54,-1,-1,2,32,24,42,15,3,14,20,18,60,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,1.0,-2.0,4.0,3.0,-1.0,0.0,-3.0,-2.0
DEL BIOBIO,HUALQUI,ESCUELA BASICA LOS LIBERTADORES,18M,0,32,29,42,20,19,1,3,18,4,1,7,61,29,34,24,3,5,164,54,-1,-1,1,39,26,45,17,3,15,18,8,66,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-1.0,-7.0,3.0,-3.0,3.0,1.0,4.0,0.0
DEL BIOBIO,HUALQUI,ESCUELA BASICA LOS LIBERTADORES,19M,0,34,28,53,18,22,0,1,20,1,5,8,51,36,40,25,7,4,176,54,-1,-1,2,40,28,48,18,3,16,21,13,76,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-2.0,-6.0,0.0,5.0,0.0,-2.0,6.0,-1.0
DEL BIOBIO,HUALQUI,ESCUELA BASICA LOS LIBERTADORES,20M,0,29,32,50,25,16,0,0,21,0,0,9,40,32,53,24,12,2,173,54,-1,-1,2,35,27,48,18,3,18,22,9,91,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-2.0,-6.0,5.0,2.0,7.0,-3.0,-2.0,-1.0
DEL BIOBIO,HUALQUI,ESCUELA BASICA LOS LIBERTADORES,21M,1,40,25,48,24,9,0,2,25,2,3,12,52,33,37,15,17,5,174,54,-1,-1,2,40,28,47,18,3,16,20,15,74,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-1.0,0.0,-3.0,1.0,6.0,-1.0,-7.0,5.0
DEL BIOBIO,HUALQUI,ESCUELA BASICA LOS LIBERTADORES,22M,0,29,34,42,25,14,1,0,23,1,3,12,53,35,27,28,9,1,168,54,-1,-1,2,39,27,46,17,3,15,19,15,65,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-2.0,-10.0,7.0,-4.0,8.0,-2.0,-1.0,4.0
