REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,12,2,39,23,34,8,15,0,1,9,1,4,9,96,10,4,6,2,0,131,42,-1,-1,1,37,30,35,6,1,12,9,13,12,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,1.0,2.0,-7.0,-1.0,2.0,0.0,3.0,0.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,13,1,43,34,33,5,9,1,0,10,1,4,12,101,7,4,4,4,0,136,42,-1,-1,1,39,32,36,5,1,13,9,16,12,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,0.0,4.0,2.0,-3.0,0.0,0.0,-4.0,1.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,14,0,38,38,33,6,14,1,1,12,2,6,15,102,8,6,3,3,0,143,42,-1,-1,1,41,34,38,6,1,13,9,21,12,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,-1.0,-3.0,4.0,-5.0,0.0,1.0,1.0,3.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,15,0,58,37,40,4,7,0,0,4,0,4,32,100,6,4,4,0,0,150,42,-1,-1,1,43,38,39,6,1,14,8,36,8,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,-1.0,15.0,-1.0,1.0,-2.0,-1.0,-7.0,-4.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,16,3,41,44,30,10,5,1,1,6,2,2,110,8,11,5,3,2,0,141,42,-1,-1,2,31,45,35,8,1,13,6,112,10,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,1.0,10.0,-1.0,-5.0,2.0,1.0,-8.0,0.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,17,3,38,37,35,5,12,0,0,8,0,4,109,8,8,3,3,4,0,138,42,-1,-1,2,30,45,34,8,1,12,6,113,10,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,1.0,8.0,-8.0,1.0,-3.0,-1.0,0.0,2.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,18,1,33,37,54,8,18,0,1,13,1,3,34,30,44,34,14,6,0,165,42,-1,-1,2,30,40,50,10,1,17,15,37,54,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,-1.0,3.0,-3.0,4.0,-2.0,0.0,1.0,-2.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,19,1,34,28,42,4,14,1,0,14,1,5,28,54,23,17,6,3,2,138,42,-1,-1,1,31,34,39,7,1,14,11,33,28,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,0.0,3.0,-6.0,3.0,-3.0,0.0,0.0,3.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,20,3,27,50,67,18,26,1,2,20,3,5,18,8,54,46,51,25,7,214,42,-1,-1,2,26,50,68,14,2,23,29,23,129,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,1.0,1.0,0.0,-1.0,4.0,1.0,3.0,-9.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,21,2,49,49,44,10,20,3,1,10,4,5,108,42,23,7,1,1,1,188,42,-1,-1,3,44,55,49,10,2,17,8,113,10,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,-1.0,5.0,-6.0,-5.0,0.0,2.0,3.0,2.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,22,3,32,45,33,18,20,0,1,16,1,4,55,30,39,26,13,3,0,168,42,-1,-1,2,33,43,49,10,1,17,13,59,42,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,1.0,-1.0,2.0,-16.0,8.0,0.0,3.0,3.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,23,2,33,68,48,12,22,0,0,11,0,1,66,14,42,37,22,12,1,196,42,-1,-1,2,32,51,58,12,2,20,19,67,72,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,0.0,1.0,17.0,-10.0,0.0,-2.0,2.0,-8.0
DEL BIOBIO,LOMAS COLORADAS,COLEGIO FRATERNIDAD,24,2,28,42,77,9,26,0,0,19,0,5,31,37,67,32,22,7,2,203,42,-1,-1,2,36,46,64,13,2,21,19,36,63,0.01974197154860118,0.2277843993968285,0.35005994860207545,0.23200747839030172,0.05217773124779223,0.007996367451955914,0.08523459246943776,0.024997510893007252,0.0033274646923113775,0.33151596608169626,0.2235288714489837,0.25502224956548947,0.03393140549958668,0.005701130538441393,0.09211166080008983,0.05486125137340141,0.007392595227935361,0.1702835688008198,0.1413327071296505,0.40965963329569977,0.09927693930512572,0.002357950353876,0.11620846978662334,0.05348813610026947,0.009498254815627405,0.06961686910061138,0.25308734079709383,0.2952335267454965,0.054591526348820744,0.01595263867852489,0.1054971617304289,0.19652268178339635,0.0,-8.0,-4.0,13.0,-4.0,-2.0,5.0,0.0
