REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,50+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,LOS ALAMOS,ESCUELA FELIX EYHERAMENDY,10V,1,16,29,68,10,11,2,0,20,2,6,16,52,1,42,28,10,2,157,49,-1,-1,1,26,24,67,7,3,9,20,74,82,0.011617724872030359,0.28050592800510843,0.17680092384979984,0.3838872579279298,0.03526668415225237,0.012680239091254191,0.03530597586836453,0.06393526623326051,0.017415169829694897,0.17299153821102065,0.08400961628758805,0.4102388836004908,0.0662892095229133,0.017886067218096647,0.07433322661191476,0.1568362887182809,0.0055474496592467365,0.06389182298715905,0.1343648344598121,0.46241996924632917,0.05132282919053311,0.023226703869909753,0.071928663058465,0.18729772752854512,0.0,-10.0,5.0,1.0,3.0,-1.0,2.0,0.0
DEL BIOBIO,LOS ALAMOS,ESCUELA FELIX EYHERAMENDY,11V,3,19,20,59,4,8,1,4,26,5,5,12,53,4,30,22,11,7,144,49,-1,-1,1,25,22,61,6,3,8,18,70,70,0.011617724872030359,0.28050592800510843,0.17680092384979984,0.3838872579279298,0.03526668415225237,0.012680239091254191,0.03530597586836453,0.06393526623326051,0.017415169829694897,0.17299153821102065,0.08400961628758805,0.4102388836004908,0.0662892095229133,0.017886067218096647,0.07433322661191476,0.1568362887182809,0.0055474496592467365,0.06389182298715905,0.1343648344598121,0.46241996924632917,0.05132282919053311,0.023226703869909753,0.071928663058465,0.18729772752854512,2.0,-6.0,-2.0,-2.0,-2.0,2.0,0.0,8.0
DEL BIOBIO,LOS ALAMOS,ESCUELA FELIX EYHERAMENDY,12V,2,20,22,61,6,9,1,0,22,1,2,19,41,4,21,31,18,7,143,49,-1,-1,1,23,22,61,6,3,8,19,62,77,0.011617724872030359,0.28050592800510843,0.17680092384979984,0.3838872579279298,0.03526668415225237,0.012680239091254191,0.03530597586836453,0.06393526623326051,0.017415169829694897,0.17299153821102065,0.08400961628758805,0.4102388836004908,0.0662892095229133,0.017886067218096647,0.07433322661191476,0.1568362887182809,0.0055474496592467365,0.06389182298715905,0.1343648344598121,0.46241996924632917,0.05132282919053311,0.023226703869909753,0.071928663058465,0.18729772752854512,1.0,-3.0,0.0,0.0,0.0,-2.0,1.0,3.0
DEL BIOBIO,LOS ALAMOS,ESCUELA FELIX EYHERAMENDY,13V,1,15,17,60,6,8,3,1,18,4,4,36,10,8,34,19,14,4,129,49,-1,-1,1,20,19,55,6,2,8,18,50,71,0.011617724872030359,0.28050592800510843,0.17680092384979984,0.3838872579279298,0.03526668415225237,0.012680239091254191,0.03530597586836453,0.06393526623326051,0.017415169829694897,0.17299153821102065,0.08400961628758805,0.4102388836004908,0.0662892095229133,0.017886067218096647,0.07433322661191476,0.1568362887182809,0.0055474496592467365,0.06389182298715905,0.1343648344598121,0.46241996924632917,0.05132282919053311,0.023226703869909753,0.071928663058465,0.18729772752854512,0.0,-5.0,-2.0,5.0,0.0,2.0,0.0,0.0
DEL BIOBIO,LOS ALAMOS,ESCUELA FELIX EYHERAMENDY,14V,3,19,30,55,9,13,1,0,16,1,8,40,7,37,27,18,7,2,146,49,-1,-1,2,25,20,61,7,3,9,19,55,54,0.011617724872030359,0.28050592800510843,0.17680092384979984,0.3838872579279298,0.03526668415225237,0.012680239091254191,0.03530597586836453,0.06393526623326051,0.017415169829694897,0.17299153821102065,0.08400961628758805,0.4102388836004908,0.0662892095229133,0.017886067218096647,0.07433322661191476,0.1568362887182809,0.0055474496592467365,0.06389182298715905,0.1343648344598121,0.46241996924632917,0.05132282919053311,0.023226703869909753,0.071928663058465,0.18729772752854512,1.0,-6.0,10.0,-6.0,2.0,-2.0,4.0,-3.0
DEL BIOBIO,LOS ALAMOS,ESCUELA FELIX EYHERAMENDY,15V,1,25,15,66,6,8,3,1,26,4,5,45,10,56,18,2,13,2,151,49,-1,-1,2,29,20,62,8,2,9,19,60,35,0.011617724872030359,0.28050592800510843,0.17680092384979984,0.3838872579279298,0.03526668415225237,0.012680239091254191,0.03530597586836453,0.06393526623326051,0.017415169829694897,0.17299153821102065,0.08400961628758805,0.4102388836004908,0.0662892095229133,0.017886067218096647,0.07433322661191476,0.1568362887182809,0.0055474496592467365,0.06389182298715905,0.1343648344598121,0.46241996924632917,0.05132282919053311,0.023226703869909753,0.071928663058465,0.18729772752854512,-1.0,-4.0,-5.0,4.0,-2.0,2.0,-1.0,7.0
DEL BIOBIO,LOS ALAMOS,ESCUELA FELIX EYHERAMENDY,16V,1,32,18,59,10,8,1,0,19,1,1,62,6,47,17,13,1,1,148,49,-1,-1,2,30,20,61,7,2,8,18,69,32,0.011617724872030359,0.28050592800510843,0.17680092384979984,0.3838872579279298,0.03526668415225237,0.012680239091254191,0.03530597586836453,0.06393526623326051,0.017415169829694897,0.17299153821102065,0.08400961628758805,0.4102388836004908,0.0662892095229133,0.017886067218096647,0.07433322661191476,0.1568362887182809,0.0055474496592467365,0.06389182298715905,0.1343648344598121,0.46241996924632917,0.05132282919053311,0.023226703869909753,0.071928663058465,0.18729772752854512,-1.0,2.0,-2.0,-2.0,3.0,-1.0,0.0,1.0
DEL BIOBIO,LOS ALAMOS,ESCUELA FELIX EYHERAMENDY,17V,4,19,18,58,3,9,1,3,21,4,6,20,3,51,25,22,7,2,136,49,-1,-1,2,20,17,58,7,3,9,20,29,56,0.011617724872030359,0.28050592800510843,0.17680092384979984,0.3838872579279298,0.03526668415225237,0.012680239091254191,0.03530597586836453,0.06393526623326051,0.017415169829694897,0.17299153821102065,0.08400961628758805,0.4102388836004908,0.0662892095229133,0.017886067218096647,0.07433322661191476,0.1568362887182809,0.0055474496592467365,0.06389182298715905,0.1343648344598121,0.46241996924632917,0.05132282919053311,0.023226703869909753,0.071928663058465,0.18729772752854512,2.0,-1.0,1.0,0.0,-4.0,1.0,0.0,1.0
DEL BIOBIO,LOS ALAMOS,ESCUELA FELIX EYHERAMENDY,1V,0,12,18,45,2,7,1,2,14,3,1,16,4,8,22,27,18,5,101,49,-1,-1,1,12,14,45,5,2,6,16,21,72,0.011617724872030359,0.28050592800510843,0.17680092384979984,0.3838872579279298,0.03526668415225237,0.012680239091254191,0.03530597586836453,0.06393526623326051,0.017415169829694897,0.17299153821102065,0.08400961628758805,0.4102388836004908,0.0662892095229133,0.017886067218096647,0.07433322661191476,0.1568362887182809,0.0055474496592467365,0.06389182298715905,0.1343648344598121,0.46241996924632917,0.05132282919053311,0.023226703869909753,0.071928663058465,0.18729772752854512,-1.0,0.0,4.0,0.0,-3.0,1.0,1.0,-2.0
DEL BIOBIO,LOS ALAMOS,ESCUELA FELIX EYHERAMENDY,2V,0,10,11,51,4,6,3,2,20,5,2,12,6,17,21,29,15,5,107,49,-1,-1,1,13,14,47,6,2,7,17,20,70,0.011617724872030359,0.28050592800510843,0.17680092384979984,0.3838872579279298,0.03526668415225237,0.012680239091254191,0.03530597586836453,0.06393526623326051,0.017415169829694897,0.17299153821102065,0.08400961628758805,0.4102388836004908,0.0662892095229133,0.017886067218096647,0.07433322661191476,0.1568362887182809,0.0055474496592467365,0.06389182298715905,0.1343648344598121,0.46241996924632917,0.05132282919053311,0.023226703869909753,0.071928663058465,0.18729772752854512,-1.0,-3.0,-3.0,4.0,-2.0,3.0,-1.0,3.0
