REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,MONTE AGUILA,LICEO POLITECNICO GENERAL OSCAR BONILLA BRADANOV,15M,0,27,20,59,9,12,0,4,19,4,3,8,4,41,49,27,13,5,150,17,-1,-1,1,30,16,54,13,4,13,19,56,94,1.3738954126538175e-05,0.28336894232405924,0.16967073167224575,0.35536410188263573,0.048388546958698965,0.005301966236486648,0.06326905268665711,0.07462291928509009,0.011053163094207315,0.15486608413268807,0.06800430827997907,0.36315192417060466,0.10483463834953176,0.03912725785539447,0.10072561868553571,0.15823700543205893,-1.0,-3.0,4.0,5.0,-4.0,0.0,-1.0,0.0
DEL BIOBIO,MONTE AGUILA,LICEO POLITECNICO GENERAL OSCAR BONILLA BRADANOV,17V,2,33,21,62,12,9,0,3,17,3,2,38,12,14,42,34,17,0,159,17,-1,-1,1,33,17,57,13,4,14,20,66,93,1.3738954126538175e-05,0.28336894232405924,0.16967073167224575,0.35536410188263573,0.048388546958698965,0.005301966236486648,0.06326905268665711,0.07462291928509009,0.011053163094207315,0.15486608413268807,0.06800430827997907,0.36315192417060466,0.10483463834953176,0.03912725785539447,0.10072561868553571,0.15823700543205893,1.0,0.0,4.0,5.0,-1.0,-1.0,-5.0,-3.0
DEL BIOBIO,MONTE AGUILA,LICEO POLITECNICO GENERAL OSCAR BONILLA BRADANOV,18-19,1,54,38,82,12,13,0,2,14,2,41,56,44,27,21,20,6,1,216,17,-1,-1,1,55,32,77,13,3,15,20,168,48,1.3738954126538175e-05,0.28336894232405924,0.16967073167224575,0.35536410188263573,0.048388546958698965,0.005301966236486648,0.06326905268665711,0.07462291928509009,0.011053163094207315,0.15486608413268807,0.06800430827997907,0.36315192417060466,0.10483463834953176,0.03912725785539447,0.10072561868553571,0.15823700543205893,0.0,-1.0,6.0,5.0,-1.0,-1.0,-2.0,-6.0
DEL BIOBIO,MONTE AGUILA,LICEO POLITECNICO GENERAL OSCAR BONILLA BRADANOV,1M,1,28,16,54,15,17,3,2,16,5,3,10,3,26,38,29,31,12,152,17,-1,-1,1,29,15,55,14,4,14,20,42,110,1.3738954126538175e-05,0.28336894232405924,0.16967073167224575,0.35536410188263573,0.048388546958698965,0.005301966236486648,0.06326905268665711,0.07462291928509009,0.011053163094207315,0.15486608413268807,0.06800430827997907,0.36315192417060466,0.10483463834953176,0.03912725785539447,0.10072561868553571,0.15823700543205893,0.0,-1.0,1.0,-1.0,1.0,1.0,3.0,-4.0
DEL BIOBIO,MONTE AGUILA,LICEO POLITECNICO GENERAL OSCAR BONILLA BRADANOV,1V,1,31,24,55,14,14,2,1,18,3,1,17,16,45,26,32,16,7,160,17,-1,-1,1,35,19,57,12,4,13,19,79,81,1.3738954126538175e-05,0.28336894232405924,0.16967073167224575,0.35536410188263573,0.048388546958698965,0.005301966236486648,0.06326905268665711,0.07462291928509009,0.011053163094207315,0.15486608413268807,0.06800430827997907,0.36315192417060466,0.10483463834953176,0.03912725785539447,0.10072561868553571,0.15823700543205893,0.0,-4.0,5.0,-2.0,2.0,-1.0,1.0,-1.0
DEL BIOBIO,MONTE AGUILA,LICEO POLITECNICO GENERAL OSCAR BONILLA BRADANOV,2M,1,37,13,47,11,15,3,2,19,5,3,15,14,22,34,32,18,10,148,17,-1,-1,1,30,16,53,12,4,13,19,54,94,1.3738954126538175e-05,0.28336894232405924,0.16967073167224575,0.35536410188263573,0.048388546958698965,0.005301966236486648,0.06326905268665711,0.07462291928509009,0.011053163094207315,0.15486608413268807,0.06800430827997907,0.36315192417060466,0.10483463834953176,0.03912725785539447,0.10072561868553571,0.15823700543205893,0.0,7.0,-3.0,-6.0,-1.0,1.0,2.0,0.0
DEL BIOBIO,MONTE AGUILA,LICEO POLITECNICO GENERAL OSCAR BONILLA BRADANOV,2V,0,34,18,50,18,17,3,1,24,4,5,10,53,14,30,30,20,3,165,17,-1,-1,1,36,20,59,13,4,13,19,82,83,1.3738954126538175e-05,0.28336894232405924,0.16967073167224575,0.35536410188263573,0.048388546958698965,0.005301966236486648,0.06326905268665711,0.07462291928509009,0.011053163094207315,0.15486608413268807,0.06800430827997907,0.36315192417060466,0.10483463834953176,0.03912725785539447,0.10072561868553571,0.15823700543205893,-1.0,-2.0,-2.0,-9.0,5.0,0.0,4.0,5.0
DEL BIOBIO,MONTE AGUILA,LICEO POLITECNICO GENERAL OSCAR BONILLA BRADANOV,3M,5,33,11,63,17,10,1,1,25,2,1,8,28,13,55,40,17,4,166,17,-1,-1,1,32,16,60,15,5,15,22,50,116,1.3738954126538175e-05,0.28336894232405924,0.16967073167224575,0.35536410188263573,0.048388546958698965,0.005301966236486648,0.06326905268665711,0.07462291928509009,0.011053163094207315,0.15486608413268807,0.06800430827997907,0.36315192417060466,0.10483463834953176,0.03912725785539447,0.10072561868553571,0.15823700543205893,4.0,1.0,-5.0,3.0,2.0,-3.0,-5.0,3.0
DEL BIOBIO,MONTE AGUILA,LICEO POLITECNICO GENERAL OSCAR BONILLA BRADANOV,3V,1,30,21,70,13,12,5,2,21,7,3,12,41,22,55,21,15,6,175,17,-1,-1,1,37,20,63,14,4,15,21,78,97,1.3738954126538175e-05,0.28336894232405924,0.16967073167224575,0.35536410188263573,0.048388546958698965,0.005301966236486648,0.06326905268665711,0.07462291928509009,0.011053163094207315,0.15486608413268807,0.06800430827997907,0.36315192417060466,0.10483463834953176,0.03912725785539447,0.10072561868553571,0.15823700543205893,0.0,-7.0,1.0,7.0,-1.0,3.0,-3.0,0.0
DEL BIOBIO,MONTE AGUILA,LICEO POLITECNICO GENERAL OSCAR BONILLA BRADANOV,4M,0,36,17,59,11,15,4,1,19,5,2,11,18,28,56,27,14,6,162,17,-1,-1,1,33,17,58,14,4,14,21,59,103,1.3738954126538175e-05,0.28336894232405924,0.16967073167224575,0.35536410188263573,0.048388546958698965,0.005301966236486648,0.06326905268665711,0.07462291928509009,0.011053163094207315,0.15486608413268807,0.06800430827997907,0.36315192417060466,0.10483463834953176,0.03912725785539447,0.10072561868553571,0.15823700543205893,-1.0,3.0,0.0,1.0,-3.0,1.0,1.0,-2.0
