REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,10M,0,19,12,63,5,20,1,0,23,1,4,19,32,33,20,23,10,2,143,26,-1,-1,1,25,14,60,7,3,16,17,88,55,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,-6.0,-2.0,3.0,-2.0,-2.0,4.0,6.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,10V,1,24,8,37,4,16,1,1,14,2,5,34,4,31,11,15,4,2,106,26,-1,-1,0,19,11,46,5,2,12,11,74,32,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,1.0,5.0,-3.0,-9.0,-1.0,0.0,4.0,3.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,11M,0,16,14,64,8,12,0,0,15,0,4,17,30,29,24,16,6,4,129,26,-1,-1,1,22,12,55,7,3,14,15,80,50,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,-6.0,2.0,9.0,1.0,-3.0,-2.0,0.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,11V,0,16,9,62,8,7,1,0,20,1,4,17,13,34,21,16,11,6,123,26,-1,-1,1,21,11,51,7,3,14,15,68,54,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,-5.0,-2.0,11.0,1.0,-2.0,-7.0,5.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,12M,0,29,10,54,10,14,5,2,7,7,3,24,26,27,25,18,6,1,131,26,-1,-1,1,23,12,55,7,3,15,15,80,50,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,6.0,-2.0,-1.0,3.0,4.0,-1.0,-8.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,12V,0,22,17,58,3,16,1,0,25,1,2,24,36,22,23,20,12,4,142,26,-1,-1,1,24,13,60,8,3,16,17,84,59,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,-2.0,4.0,-2.0,-5.0,-2.0,0.0,8.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,13V,0,37,13,50,4,10,0,2,13,2,3,26,32,21,19,22,6,1,129,26,-1,-1,1,22,12,55,7,3,14,15,82,48,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,15.0,1.0,-5.0,-3.0,-1.0,-4.0,-2.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,14,0,18,13,48,4,11,0,1,8,1,3,28,18,7,21,16,9,1,103,26,-1,-1,1,17,10,43,6,2,11,13,56,47,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,1.0,3.0,5.0,-2.0,-1.0,0.0,-5.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,1M,2,13,10,34,11,11,0,0,21,0,2,18,0,5,18,33,20,6,102,26,-1,-1,1,15,8,40,6,3,12,17,25,77,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,1.0,-2.0,2.0,-6.0,5.0,-3.0,-1.0,4.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,1V,2,20,9,35,4,10,2,3,18,5,3,12,8,2,21,27,28,2,103,26,-1,-1,1,15,9,40,6,3,12,17,25,78,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,1.0,5.0,0.0,-5.0,-2.0,2.0,-2.0,1.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,2M,0,10,4,45,5,14,1,3,22,4,4,10,5,3,37,28,11,5,104,26,-1,-1,1,15,8,40,6,4,12,18,22,81,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,-5.0,-4.0,5.0,-1.0,0.0,2.0,4.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,2V,2,20,12,38,11,15,5,7,23,12,1,11,7,41,22,28,11,7,133,26,-1,-1,1,21,12,55,8,3,15,18,60,68,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,1.0,-1.0,0.0,-17.0,3.0,9.0,0.0,5.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,3M,0,17,10,52,11,11,0,0,23,0,0,15,8,23,29,31,12,5,124,26,-1,-1,1,19,11,50,7,3,14,19,46,77,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,-2.0,-1.0,2.0,4.0,-3.0,-3.0,4.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,3V,1,11,10,46,7,14,4,1,19,5,4,7,35,6,22,22,13,4,113,26,-1,-1,1,18,10,46,6,3,13,16,52,61,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,0.0,-7.0,0.0,0.0,1.0,2.0,1.0,3.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,4M,1,15,13,49,4,11,0,2,17,2,2,9,10,9,28,29,20,5,112,26,-1,-1,1,16,9,44,7,4,13,18,30,82,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,0.0,-1.0,4.0,5.0,-3.0,-2.0,-2.0,-1.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,4V,0,13,7,45,5,17,0,8,19,8,3,2,33,0,26,30,16,3,114,26,-1,-1,1,17,10,45,7,3,13,18,38,75,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,-4.0,-3.0,0.0,-2.0,5.0,4.0,1.0
DEL BIOBIO,NEGRETE,LICEO POLIVALENTE LA FRONTERA,5M,0,20,9,54,8,15,1,2,11,3,1,2,23,0,41,38,13,2,120,26,-1,-1,1,17,10,47,7,4,13,21,26,94,0.0015499547522695985,0.20543415243532134,0.10953780049359053,0.4577680261762953,0.044181803945706685,0.0072472466589241225,0.11026287551778778,0.0640181400201047,0.010076792679093676,0.12144684016356436,0.07363842853975043,0.3692916881795926,0.06655735549475235,0.042106258764537156,0.11426837924713434,0.20261425693157495,-1.0,3.0,-1.0,7.0,1.0,-1.0,2.0,-10.0
