REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,60+,P_EDUARDO ARTES_18-19,P_FRANCO ALDO PARISI_18-19,P_GABRIEL BORIC_18-19,P_JOSE ANTONIO KAST_18-19,P_MARCO ENRIQUEZ-OMINAMI_18-19,P_NULO BLANCO_18-19,P_SEBASTIAN SICHEL_18-19,P_YASNA PROVOSTE_18-19,P_EDUARDO ARTES_20-29,P_FRANCO ALDO PARISI_20-29,P_GABRIEL BORIC_20-29,P_JOSE ANTONIO KAST_20-29,P_MARCO ENRIQUEZ-OMINAMI_20-29,P_NULO BLANCO_20-29,P_SEBASTIAN SICHEL_20-29,P_YASNA PROVOSTE_20-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50-59,P_FRANCO ALDO PARISI_50-59,P_GABRIEL BORIC_50-59,P_JOSE ANTONIO KAST_50-59,P_MARCO ENRIQUEZ-OMINAMI_50-59,P_NULO BLANCO_50-59,P_SEBASTIAN SICHEL_50-59,P_YASNA PROVOSTE_50-59,P_EDUARDO ARTES_60+,P_FRANCO ALDO PARISI_60+,P_GABRIEL BORIC_60+,P_JOSE ANTONIO KAST_60+,P_MARCO ENRIQUEZ-OMINAMI_60+,P_NULO BLANCO_60+,P_SEBASTIAN SICHEL_60+,P_YASNA PROVOSTE_60+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,130,1,23,33,79,14,33,0,0,17,0,3,19,28,52,60,28,9,1,200,227,-1,-1,2,25,39,66,13,1,31,23,38,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,-1.0,-2.0,-6.0,13.0,1.0,-1.0,2.0,-6.0
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,131,4,27,42,45,12,26,1,1,9,2,3,91,17,23,15,14,4,0,167,227,-1,-1,2,32,40,45,9,2,25,12,18,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,2.0,-5.0,2.0,0.0,3.0,0.0,1.0,-3.0
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,132,1,24,37,61,14,36,0,1,11,1,1,77,30,35,29,8,3,2,185,227,-1,-1,2,32,43,54,10,1,29,14,13,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,-1.0,-8.0,-6.0,7.0,4.0,0.0,7.0,-3.0
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,133,2,30,35,28,9,12,0,1,5,1,2,119,0,1,0,0,0,0,122,227,-1,-1,2,29,34,27,5,1,19,5,0,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,0.0,1.0,1.0,1.0,4.0,0.0,-7.0,0.0
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,134,1,23,40,55,8,24,1,2,19,3,0,83,30,25,22,7,6,0,173,227,-1,-1,2,32,41,48,9,1,27,13,13,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,-1.0,-9.0,-1.0,7.0,-1.0,2.0,-3.0,6.0
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,135,0,28,36,49,5,32,0,0,8,0,0,50,27,33,27,17,3,1,158,227,-1,-1,2,26,34,48,9,1,24,14,21,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,-2.0,2.0,2.0,1.0,-4.0,-1.0,8.0,-6.0
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,136,2,36,31,58,6,30,0,0,10,0,4,97,22,18,20,6,4,2,173,227,-1,-1,3,33,42,46,9,1,27,12,12,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,-1.0,3.0,-11.0,12.0,-3.0,-1.0,3.0,-2.0
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,137,2,25,43,46,5,24,1,3,10,4,6,94,10,25,14,9,1,0,159,227,-1,-1,2,30,39,43,8,1,25,11,10,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,0.0,-5.0,4.0,3.0,-3.0,3.0,-1.0,-1.0
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,138,5,21,46,36,9,30,0,1,10,1,92,7,16,17,16,8,2,1,158,227,-1,-1,4,21,41,44,7,2,28,11,11,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,1.0,0.0,5.0,-8.0,2.0,-1.0,2.0,-1.0
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,139,3,19,49,43,4,26,0,0,8,0,93,10,17,18,7,4,2,1,152,227,-1,-1,4,21,41,42,7,2,26,9,7,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,-1.0,-2.0,8.0,1.0,-3.0,-2.0,0.0,-1.0
DEL BIOBIO,SAN PEDRO DE LA PAZ,COLEGIO CONCEPCION LOS HUERTOS,140,5,23,49,56,10,37,2,2,11,4,118,12,31,22,3,3,2,1,195,227,-1,-1,5,28,53,53,9,2,34,11,6,0.03350420803180986,0.12806629637834444,0.3054739932833289,0.24879124584423046,0.03596879615184585,0.015032840174675982,0.18986845493094548,0.04329416520481911,0.01982113100804587,0.23849233813127055,0.2757828026587316,0.21947044334118282,0.042975908929084025,0.011299913595920228,0.1530709679904506,0.039086494345314256,0.012019153239947436,0.22650328764133723,0.2546841427530869,0.2873347130192367,0.04371250115897815,0.005324508743366913,0.12947118859151574,0.040950504852531044,0.003322764207094671,0.09638579046969642,0.17319856229257113,0.39007824954845355,0.07583023996639983,0.0002980506266317008,0.1650620483168028,0.09582429457235014,0.006273497581085546,0.04787344169794527,0.19609094304977734,0.34108972157250134,0.058914267133248543,0.0014290171803074923,0.1952650333460663,0.15306407843906816,0.008007267589400997,0.14314961437328028,0.13264736995917875,0.3178996823813569,0.08870473152862667,0.020863382157306102,0.10970666621547051,0.17902128579537957,0.0,-5.0,-4.0,3.0,1.0,2.0,3.0,0.0
