REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,SAN ROSENDO,LICEO ISIDORA AGUIRRE TUPPER,1M,0,18,17,22,13,8,2,2,15,4,2,3,3,3,32,32,15,7,97,15,-1,-1,0,17,16,26,13,3,8,14,11,86,0.00918197511157435,0.2886628196391876,0.1626430688760446,0.2604693646605515,0.06801128838801027,0.016670605321931826,0.04681247278997393,0.1475484052127259,0.004413521430740314,0.1619144910088764,0.16130011500022526,0.26696379042241,0.14038839288175897,0.030359312906580338,0.09030274104591497,0.14435763530349371,0.0,1.0,1.0,-4.0,0.0,1.0,0.0,1.0
DEL BIOBIO,SAN ROSENDO,LICEO ISIDORA AGUIRRE TUPPER,1V,1,20,14,20,12,16,0,2,19,2,2,11,9,16,19,22,20,5,104,15,-1,-1,1,22,17,27,12,2,8,15,38,66,0.00918197511157435,0.2886628196391876,0.1626430688760446,0.2604693646605515,0.06801128838801027,0.016670605321931826,0.04681247278997393,0.1475484052127259,0.004413521430740314,0.1619144910088764,0.16130011500022526,0.26696379042241,0.14038839288175897,0.030359312906580338,0.09030274104591497,0.14435763530349371,0.0,-2.0,-3.0,-7.0,0.0,0.0,8.0,4.0
DEL BIOBIO,SAN ROSENDO,LICEO ISIDORA AGUIRRE TUPPER,2M,1,24,14,31,16,13,2,0,15,2,0,6,12,3,29,30,24,12,116,15,-1,-1,1,21,19,31,15,3,9,17,21,95,0.00918197511157435,0.2886628196391876,0.1626430688760446,0.2604693646605515,0.06801128838801027,0.016670605321931826,0.04681247278997393,0.1475484052127259,0.004413521430740314,0.1619144910088764,0.16130011500022526,0.26696379042241,0.14038839288175897,0.030359312906580338,0.09030274104591497,0.14435763530349371,0.0,3.0,-5.0,0.0,1.0,-1.0,4.0,-2.0
DEL BIOBIO,SAN ROSENDO,LICEO ISIDORA AGUIRRE TUPPER,2V,3,39,12,26,16,9,2,1,24,3,0,32,27,1,21,31,11,9,132,15,-1,-1,1,29,22,35,14,3,9,19,60,72,0.00918197511157435,0.2886628196391876,0.1626430688760446,0.2604693646605515,0.06801128838801027,0.016670605321931826,0.04681247278997393,0.1475484052127259,0.004413521430740314,0.1619144910088764,0.16130011500022526,0.26696379042241,0.14038839288175897,0.030359312906580338,0.09030274104591497,0.14435763530349371,2.0,10.0,-10.0,-9.0,2.0,0.0,0.0,5.0
DEL BIOBIO,SAN ROSENDO,LICEO ISIDORA AGUIRRE TUPPER,3M,1,28,28,42,13,8,1,1,18,2,1,18,19,0,36,36,20,10,140,15,-1,-1,1,27,23,37,17,4,11,20,38,102,0.00918197511157435,0.2886628196391876,0.1626430688760446,0.2604693646605515,0.06801128838801027,0.016670605321931826,0.04681247278997393,0.1475484052127259,0.004413521430740314,0.1619144910088764,0.16130011500022526,0.26696379042241,0.14038839288175897,0.030359312906580338,0.09030274104591497,0.14435763530349371,0.0,1.0,5.0,5.0,-4.0,-2.0,-3.0,-2.0
DEL BIOBIO,SAN ROSENDO,LICEO ISIDORA AGUIRRE TUPPER,4M,0,28,17,44,19,8,0,3,16,3,0,23,3,15,46,30,13,5,135,15,-1,-1,1,27,22,36,16,3,10,20,41,94,0.00918197511157435,0.2886628196391876,0.1626430688760446,0.2604693646605515,0.06801128838801027,0.016670605321931826,0.04681247278997393,0.1475484052127259,0.004413521430740314,0.1619144910088764,0.16130011500022526,0.26696379042241,0.14038839288175897,0.030359312906580338,0.09030274104591497,0.14435763530349371,-1.0,1.0,-5.0,8.0,3.0,0.0,-2.0,-4.0
DEL BIOBIO,SAN ROSENDO,LICEO ISIDORA AGUIRRE TUPPER,4V-10,0,31,36,46,21,9,2,7,25,9,6,31,22,15,37,30,28,8,177,15,-1,-1,1,38,29,47,19,4,13,26,74,103,0.00918197511157435,0.2886628196391876,0.1626430688760446,0.2604693646605515,0.06801128838801027,0.016670605321931826,0.04681247278997393,0.1475484052127259,0.004413521430740314,0.1619144910088764,0.16130011500022526,0.26696379042241,0.14038839288175897,0.030359312906580338,0.09030274104591497,0.14435763530349371,-1.0,-7.0,7.0,-1.0,2.0,5.0,-4.0,-1.0
DEL BIOBIO,SAN ROSENDO,LICEO ISIDORA AGUIRRE TUPPER,5M,1,22,25,34,17,4,0,4,23,4,3,18,8,48,32,13,6,1,130,15,-1,-1,1,31,21,34,13,3,8,19,77,52,0.00918197511157435,0.2886628196391876,0.1626430688760446,0.2604693646605515,0.06801128838801027,0.016670605321931826,0.04681247278997393,0.1475484052127259,0.004413521430740314,0.1619144910088764,0.16130011500022526,0.26696379042241,0.14038839288175897,0.030359312906580338,0.09030274104591497,0.14435763530349371,0.0,-9.0,4.0,0.0,4.0,1.0,-4.0,4.0
DEL BIOBIO,SAN ROSENDO,LICEO ISIDORA AGUIRRE TUPPER,5V-11,4,35,29,29,9,6,0,2,17,2,9,27,12,32,26,16,6,4,131,15,-1,-1,1,31,21,35,13,3,8,19,80,52,0.00918197511157435,0.2886628196391876,0.1626430688760446,0.2604693646605515,0.06801128838801027,0.016670605321931826,0.04681247278997393,0.1475484052127259,0.004413521430740314,0.1619144910088764,0.16130011500022526,0.26696379042241,0.14038839288175897,0.030359312906580338,0.09030274104591497,0.14435763530349371,3.0,4.0,8.0,-6.0,-4.0,-1.0,-2.0,-2.0
DEL BIOBIO,SAN ROSENDO,LICEO ISIDORA AGUIRRE TUPPER,6M,0,27,18,33,18,7,2,0,23,2,1,2,21,59,24,16,5,1,128,15,-1,-1,1,31,21,33,12,3,8,19,83,46,0.00918197511157435,0.2886628196391876,0.1626430688760446,0.2604693646605515,0.06801128838801027,0.016670605321931826,0.04681247278997393,0.1475484052127259,0.004413521430740314,0.1619144910088764,0.16130011500022526,0.26696379042241,0.14038839288175897,0.030359312906580338,0.09030274104591497,0.14435763530349371,-1.0,-4.0,-3.0,0.0,6.0,-1.0,-1.0,4.0
