REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,SANTA BARBARA,ESCUELA BASICA CACIQUE LEVIAN,10M,2,25,17,48,4,13,2,0,11,2,0,10,21,4,47,25,11,3,122,39,-1,-1,1,16,14,50,5,2,15,19,35,86,0.007931096454430006,0.2515824239698011,0.15340364591101974,0.37142596485763485,0.04496528062414304,0.013931414939294567,0.08185125118634427,0.07490892205733242,0.010117940201689712,0.0835709537472213,0.0957022258104715,0.42857158197770234,0.04164267895902698,0.018280808658292694,0.14136858521723608,0.18074522542835933,1.0,9.0,3.0,-2.0,-1.0,0.0,-2.0,-8.0
DEL BIOBIO,SANTA BARBARA,ESCUELA BASICA CACIQUE LEVIAN,11M,1,22,19,55,3,25,0,1,16,1,1,10,21,30,51,21,5,3,142,39,-1,-1,1,22,17,57,6,3,17,19,62,80,0.007931096454430006,0.2515824239698011,0.15340364591101974,0.37142596485763485,0.04496528062414304,0.013931414939294567,0.08185125118634427,0.07490892205733242,0.010117940201689712,0.0835709537472213,0.0957022258104715,0.42857158197770234,0.04164267895902698,0.018280808658292694,0.14136858521723608,0.18074522542835933,0.0,0.0,2.0,-2.0,-3.0,-2.0,8.0,-3.0
DEL BIOBIO,SANTA BARBARA,ESCUELA BASICA CACIQUE LEVIAN,12M,3,27,13,69,9,8,1,0,21,1,0,8,23,59,45,9,7,0,151,39,-1,-1,1,28,20,59,7,2,16,18,90,61,0.007931096454430006,0.2515824239698011,0.15340364591101974,0.37142596485763485,0.04496528062414304,0.013931414939294567,0.08185125118634427,0.07490892205733242,0.010117940201689712,0.0835709537472213,0.0957022258104715,0.42857158197770234,0.04164267895902698,0.018280808658292694,0.14136858521723608,0.18074522542835933,2.0,-1.0,-7.0,10.0,2.0,-1.0,-8.0,3.0
DEL BIOBIO,SANTA BARBARA,ESCUELA BASICA CACIQUE LEVIAN,13M,1,23,18,56,7,22,0,1,24,1,1,13,17,79,22,13,8,2,152,39,-1,-1,1,31,21,59,7,2,15,16,110,45,0.007931096454430006,0.2515824239698011,0.15340364591101974,0.37142596485763485,0.04496528062414304,0.013931414939294567,0.08185125118634427,0.07490892205733242,0.010117940201689712,0.0835709537472213,0.0957022258104715,0.42857158197770234,0.04164267895902698,0.018280808658292694,0.14136858521723608,0.18074522542835933,0.0,-8.0,-3.0,-3.0,0.0,-1.0,7.0,8.0
DEL BIOBIO,SANTA BARBARA,ESCUELA BASICA CACIQUE LEVIAN,1M,1,11,16,48,7,18,0,0,18,0,3,18,3,5,22,31,31,5,119,39,-1,-1,1,15,13,49,5,2,15,19,29,89,0.007931096454430006,0.2515824239698011,0.15340364591101974,0.37142596485763485,0.04496528062414304,0.013931414939294567,0.08185125118634427,0.07490892205733242,0.010117940201689712,0.0835709537472213,0.0957022258104715,0.42857158197770234,0.04164267895902698,0.018280808658292694,0.14136858521723608,0.18074522542835933,0.0,-4.0,3.0,-1.0,2.0,-2.0,3.0,-1.0
DEL BIOBIO,SANTA BARBARA,ESCUELA BASICA CACIQUE LEVIAN,2M,1,5,13,42,8,11,0,2,15,2,2,10,3,3,25,25,23,6,97,39,-1,-1,1,11,10,40,4,2,13,16,18,79,0.007931096454430006,0.2515824239698011,0.15340364591101974,0.37142596485763485,0.04496528062414304,0.013931414939294567,0.08185125118634427,0.07490892205733242,0.010117940201689712,0.0835709537472213,0.0957022258104715,0.42857158197770234,0.04164267895902698,0.018280808658292694,0.14136858521723608,0.18074522542835933,0.0,-6.0,3.0,2.0,4.0,0.0,-2.0,-1.0
DEL BIOBIO,SANTA BARBARA,ESCUELA BASICA CACIQUE LEVIAN,3M,2,11,13,41,6,17,0,0,18,0,0,13,2,2,29,32,25,4,108,39,-1,-1,1,12,11,45,5,2,14,18,17,90,0.007931096454430006,0.2515824239698011,0.15340364591101974,0.37142596485763485,0.04496528062414304,0.013931414939294567,0.08185125118634427,0.07490892205733242,0.010117940201689712,0.0835709537472213,0.0957022258104715,0.42857158197770234,0.04164267895902698,0.018280808658292694,0.14136858521723608,0.18074522542835933,1.0,-1.0,2.0,-4.0,1.0,-2.0,3.0,0.0
DEL BIOBIO,SANTA BARBARA,ESCUELA BASICA CACIQUE LEVIAN,4M,0,18,11,52,5,14,1,1,17,2,2,12,5,5,31,42,19,4,119,39,-1,-1,1,14,13,50,5,2,15,19,24,96,0.007931096454430006,0.2515824239698011,0.15340364591101974,0.37142596485763485,0.04496528062414304,0.013931414939294567,0.08185125118634427,0.07490892205733242,0.010117940201689712,0.0835709537472213,0.0957022258104715,0.42857158197770234,0.04164267895902698,0.018280808658292694,0.14136858521723608,0.18074522542835933,-1.0,4.0,-2.0,2.0,0.0,0.0,-1.0,-2.0
DEL BIOBIO,SANTA BARBARA,ESCUELA BASICA CACIQUE LEVIAN,5M,2,23,10,44,7,14,0,1,25,1,0,16,3,8,40,32,20,7,126,39,-1,-1,1,15,14,53,5,2,16,20,27,99,0.007931096454430006,0.2515824239698011,0.15340364591101974,0.37142596485763485,0.04496528062414304,0.013931414939294567,0.08185125118634427,0.07490892205733242,0.010117940201689712,0.0835709537472213,0.0957022258104715,0.42857158197770234,0.04164267895902698,0.018280808658292694,0.14136858521723608,0.18074522542835933,1.0,8.0,-4.0,-9.0,2.0,-1.0,-2.0,5.0
DEL BIOBIO,SANTA BARBARA,ESCUELA BASICA CACIQUE LEVIAN,6M,1,20,12,47,5,21,0,1,17,1,3,6,2,16,35,34,20,8,124,39,-1,-1,1,15,13,52,5,2,16,20,27,97,0.007931096454430006,0.2515824239698011,0.15340364591101974,0.37142596485763485,0.04496528062414304,0.013931414939294567,0.08185125118634427,0.07490892205733242,0.010117940201689712,0.0835709537472213,0.0957022258104715,0.42857158197770234,0.04164267895902698,0.018280808658292694,0.14136858521723608,0.18074522542835933,0.0,5.0,-1.0,-5.0,0.0,-1.0,5.0,-3.0
