REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,40+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40+,P_FRANCO ALDO PARISI_40+,P_GABRIEL BORIC_40+,P_JOSE ANTONIO KAST_40+,P_MARCO ENRIQUEZ-OMINAMI_40+,P_NULO BLANCO_40+,P_SEBASTIAN SICHEL_40+,P_YASNA PROVOSTE_40+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,10M,1,36,42,35,13,13,1,1,17,2,1,14,28,56,23,25,10,2,159,35,-1,-1,2,27,37,36,17,3,17,20,43,116,0.01131158482599822,0.28020011246328114,0.33255931617829465,0.16195582082459686,0.04306727320305014,0.004622413081687,0.09264021670630035,0.07364326271679171,0.01038411301070615,0.13313628197969096,0.19580438373559728,0.24862776478792029,0.12687798485613627,0.02602462517268248,0.11491914894543963,0.14422569751182698,-1.0,9.0,5.0,-1.0,-4.0,-1.0,-4.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,11M,2,26,47,39,21,21,1,0,21,1,6,12,48,45,30,19,14,4,178,35,-1,-1,2,33,44,39,17,3,19,21,66,112,0.01131158482599822,0.28020011246328114,0.33255931617829465,0.16195582082459686,0.04306727320305014,0.004622413081687,0.09264021670630035,0.07364326271679171,0.01038411301070615,0.13313628197969096,0.19580438373559728,0.24862776478792029,0.12687798485613627,0.02602462517268248,0.11491914894543963,0.14422569751182698,0.0,-7.0,3.0,0.0,4.0,-2.0,2.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,12M,4,26,54,36,15,18,2,2,21,4,3,18,64,33,25,22,10,4,178,35,-1,-1,2,36,46,37,15,3,19,20,85,94,0.01131158482599822,0.28020011246328114,0.33255931617829465,0.16195582082459686,0.04306727320305014,0.004622413081687,0.09264021670630035,0.07364326271679171,0.01038411301070615,0.13313628197969096,0.19580438373559728,0.24862776478792029,0.12687798485613627,0.02602462517268248,0.11491914894543963,0.14422569751182698,2.0,-10.0,8.0,-1.0,0.0,1.0,-1.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,13M,1,42,48,29,14,25,1,1,17,2,7,25,63,27,26,18,10,2,178,35,-1,-1,2,38,48,36,15,2,18,19,95,83,0.01131158482599822,0.28020011246328114,0.33255931617829465,0.16195582082459686,0.04306727320305014,0.004622413081687,0.09264021670630035,0.07364326271679171,0.01038411301070615,0.13313628197969096,0.19580438373559728,0.24862776478792029,0.12687798485613627,0.02602462517268248,0.11491914894543963,0.14422569751182698,-1.0,4.0,0.0,-7.0,-1.0,0.0,7.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,14M,1,38,35,29,6,14,0,0,6,0,1,37,56,14,9,3,7,2,129,35,-1,-1,1,31,38,24,9,1,13,12,94,35,0.01131158482599822,0.28020011246328114,0.33255931617829465,0.16195582082459686,0.04306727320305014,0.004622413081687,0.09264021670630035,0.07364326271679171,0.01038411301070615,0.13313628197969096,0.19580438373559728,0.24862776478792029,0.12687798485613627,0.02602462517268248,0.11491914894543963,0.14422569751182698,0.0,7.0,-3.0,5.0,-3.0,-1.0,1.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,16,2,41,41,24,9,12,1,0,14,1,2,110,10,6,6,6,3,1,144,35,-1,-1,2,37,45,25,8,1,14,12,122,22,0.01131158482599822,0.28020011246328114,0.33255931617829465,0.16195582082459686,0.04306727320305014,0.004622413081687,0.09264021670630035,0.07364326271679171,0.01038411301070615,0.13313628197969096,0.19580438373559728,0.24862776478792029,0.12687798485613627,0.02602462517268248,0.11491914894543963,0.14422569751182698,0.0,4.0,-4.0,-1.0,1.0,0.0,-2.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,17,1,31,50,25,12,15,0,1,14,1,8,88,16,14,14,6,3,1,149,35,-1,-1,2,36,44,27,10,1,15,14,112,38,0.01131158482599822,0.28020011246328114,0.33255931617829465,0.16195582082459686,0.04306727320305014,0.004622413081687,0.09264021670630035,0.07364326271679171,0.01038411301070615,0.13313628197969096,0.19580438373559728,0.24862776478792029,0.12687798485613627,0.02602462517268248,0.11491914894543963,0.14422569751182698,-1.0,-5.0,6.0,-2.0,2.0,0.0,0.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,18,4,27,42,47,13,10,0,1,10,1,6,33,20,32,27,27,8,1,154,35,-1,-1,2,29,38,33,15,3,16,18,59,95,0.01131158482599822,0.28020011246328114,0.33255931617829465,0.16195582082459686,0.04306727320305014,0.004622413081687,0.09264021670630035,0.07364326271679171,0.01038411301070615,0.13313628197969096,0.19580438373559728,0.24862776478792029,0.12687798485613627,0.02602462517268248,0.11491914894543963,0.14422569751182698,2.0,-2.0,4.0,14.0,-2.0,-2.0,-6.0,-8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,19,2,31,50,32,14,12,2,2,11,4,36,20,44,23,14,14,4,1,156,35,-1,-1,2,36,44,30,11,2,16,15,100,56,0.01131158482599822,0.28020011246328114,0.33255931617829465,0.16195582082459686,0.04306727320305014,0.004622413081687,0.09264021670630035,0.07364326271679171,0.01038411301070615,0.13313628197969096,0.19580438373559728,0.24862776478792029,0.12687798485613627,0.02602462517268248,0.11491914894543963,0.14422569751182698,0.0,-5.0,6.0,2.0,3.0,2.0,-4.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,1M,1,27,34,35,18,12,0,1,30,1,4,23,7,2,31,44,37,10,158,35,-1,-1,2,26,36,36,17,3,18,20,34,124,0.01131158482599822,0.28020011246328114,0.33255931617829465,0.16195582082459686,0.04306727320305014,0.004622413081687,0.09264021670630035,0.07364326271679171,0.01038411301070615,0.13313628197969096,0.19580438373559728,0.24862776478792029,0.12687798485613627,0.02602462517268248,0.11491914894543963,0.14422569751182698,-1.0,1.0,-2.0,-1.0,1.0,-2.0,-6.0,10.0
