REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CASINO PARQUE LOS TACOS,20,1,30,26,23,10,12,0,0,6,0,1,5,98,0,0,3,1,1,108,48,-1,-1,1,23,26,29,10,1,11,7,6,5,0.018173335832352738,0.2762312981061781,0.30853824503272465,0.20766096450961652,0.0481410491198266,0.01381299950716096,0.08447465593666267,0.04296745195547788,0.012823941337286768,0.21311818405771538,0.243394224242651,0.2768499576851477,0.09142696902681169,0.005416857182389722,0.10094387893033928,0.0560259875376586,0.014434195660787451,0.14867238708531078,0.21211253009791114,0.2604726476193202,0.11449197160309937,0.007289321749474014,0.1655702038377337,0.07695674234636343,0.0044701633081843445,0.08908659238373934,0.15709796559521136,0.27770136063052686,0.07865903765846169,0.0187440414328544,0.14927064931391232,0.22497018967710963,0.0,7.0,0.0,-6.0,0.0,-1.0,1.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CASINO PARQUE LOS TACOS,21,2,41,28,25,9,11,0,1,4,1,4,34,80,0,1,1,1,0,121,48,-1,-1,2,28,31,31,9,1,12,7,38,3,0.018173335832352738,0.2762312981061781,0.30853824503272465,0.20766096450961652,0.0481410491198266,0.01381299950716096,0.08447465593666267,0.04296745195547788,0.012823941337286768,0.21311818405771538,0.243394224242651,0.2768499576851477,0.09142696902681169,0.005416857182389722,0.10094387893033928,0.0560259875376586,0.014434195660787451,0.14867238708531078,0.21211253009791114,0.2604726476193202,0.11449197160309937,0.007289321749474014,0.1655702038377337,0.07695674234636343,0.0044701633081843445,0.08908659238373934,0.15709796559521136,0.27770136063052686,0.07865903765846169,0.0187440414328544,0.14927064931391232,0.22497018967710963,0.0,13.0,-3.0,-6.0,0.0,0.0,-1.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CASINO PARQUE LOS TACOS,22,1,42,45,27,5,11,0,0,4,0,2,126,3,1,1,2,0,0,135,48,-1,-1,2,36,41,29,7,2,12,6,128,3,0.018173335832352738,0.2762312981061781,0.30853824503272465,0.20766096450961652,0.0481410491198266,0.01381299950716096,0.08447465593666267,0.04296745195547788,0.012823941337286768,0.21311818405771538,0.243394224242651,0.2768499576851477,0.09142696902681169,0.005416857182389722,0.10094387893033928,0.0560259875376586,0.014434195660787451,0.14867238708531078,0.21211253009791114,0.2604726476193202,0.11449197160309937,0.007289321749474014,0.1655702038377337,0.07695674234636343,0.0044701633081843445,0.08908659238373934,0.15709796559521136,0.27770136063052686,0.07865903765846169,0.0187440414328544,0.14927064931391232,0.22497018967710963,-1.0,6.0,4.0,-2.0,-2.0,-2.0,-1.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CASINO PARQUE LOS TACOS,23,1,28,30,52,10,13,3,1,10,4,2,48,17,22,23,30,5,1,148,48,-1,-1,2,26,34,37,11,2,18,18,50,59,0.018173335832352738,0.2762312981061781,0.30853824503272465,0.20766096450961652,0.0481410491198266,0.01381299950716096,0.08447465593666267,0.04296745195547788,0.012823941337286768,0.21311818405771538,0.243394224242651,0.2768499576851477,0.09142696902681169,0.005416857182389722,0.10094387893033928,0.0560259875376586,0.014434195660787451,0.14867238708531078,0.21211253009791114,0.2604726476193202,0.11449197160309937,0.007289321749474014,0.1655702038377337,0.07695674234636343,0.0044701633081843445,0.08908659238373934,0.15709796559521136,0.27770136063052686,0.07865903765846169,0.0187440414328544,0.14927064931391232,0.22497018967710963,-1.0,2.0,-4.0,15.0,-1.0,2.0,-5.0,-8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CASINO PARQUE LOS TACOS,24,2,35,32,24,10,15,0,5,10,5,3,98,7,10,10,2,3,0,133,48,-1,-1,2,32,37,30,8,2,13,9,101,15,0.018173335832352738,0.2762312981061781,0.30853824503272465,0.20766096450961652,0.0481410491198266,0.01381299950716096,0.08447465593666267,0.04296745195547788,0.012823941337286768,0.21311818405771538,0.243394224242651,0.2768499576851477,0.09142696902681169,0.005416857182389722,0.10094387893033928,0.0560259875376586,0.014434195660787451,0.14867238708531078,0.21211253009791114,0.2604726476193202,0.11449197160309937,0.007289321749474014,0.1655702038377337,0.07695674234636343,0.0044701633081843445,0.08908659238373934,0.15709796559521136,0.27770136063052686,0.07865903765846169,0.0187440414328544,0.14927064931391232,0.22497018967710963,0.0,3.0,-5.0,-6.0,2.0,3.0,2.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CASINO PARQUE LOS TACOS,25,1,37,32,23,7,12,1,3,11,4,4,98,1,4,6,10,3,1,127,48,-1,-1,2,31,36,28,7,2,12,9,102,20,0.018173335832352738,0.2762312981061781,0.30853824503272465,0.20766096450961652,0.0481410491198266,0.01381299950716096,0.08447465593666267,0.04296745195547788,0.012823941337286768,0.21311818405771538,0.243394224242651,0.2768499576851477,0.09142696902681169,0.005416857182389722,0.10094387893033928,0.0560259875376586,0.014434195660787451,0.14867238708531078,0.21211253009791114,0.2604726476193202,0.11449197160309937,0.007289321749474014,0.1655702038377337,0.07695674234636343,0.0044701633081843445,0.08908659238373934,0.15709796559521136,0.27770136063052686,0.07865903765846169,0.0187440414328544,0.14927064931391232,0.22497018967710963,-1.0,6.0,-4.0,-5.0,0.0,2.0,0.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CASINO PARQUE LOS TACOS,26,0,25,31,34,15,19,0,1,18,1,3,24,14,23,40,26,11,2,143,48,-1,-1,1,21,29,37,12,2,19,22,27,79,0.018173335832352738,0.2762312981061781,0.30853824503272465,0.20766096450961652,0.0481410491198266,0.01381299950716096,0.08447465593666267,0.04296745195547788,0.012823941337286768,0.21311818405771538,0.243394224242651,0.2768499576851477,0.09142696902681169,0.005416857182389722,0.10094387893033928,0.0560259875376586,0.014434195660787451,0.14867238708531078,0.21211253009791114,0.2604726476193202,0.11449197160309937,0.007289321749474014,0.1655702038377337,0.07695674234636343,0.0044701633081843445,0.08908659238373934,0.15709796559521136,0.27770136063052686,0.07865903765846169,0.0187440414328544,0.14927064931391232,0.22497018967710963,-1.0,4.0,2.0,-3.0,3.0,-1.0,0.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CASINO PARQUE LOS TACOS,27,3,23,36,38,16,11,0,1,22,1,2,69,22,19,17,13,8,0,150,48,-1,-1,2,31,37,36,11,2,17,14,71,38,0.018173335832352738,0.2762312981061781,0.30853824503272465,0.20766096450961652,0.0481410491198266,0.01381299950716096,0.08447465593666267,0.04296745195547788,0.012823941337286768,0.21311818405771538,0.243394224242651,0.2768499576851477,0.09142696902681169,0.005416857182389722,0.10094387893033928,0.0560259875376586,0.014434195660787451,0.14867238708531078,0.21211253009791114,0.2604726476193202,0.11449197160309937,0.007289321749474014,0.1655702038377337,0.07695674234636343,0.0044701633081843445,0.08908659238373934,0.15709796559521136,0.27770136063052686,0.07865903765846169,0.0187440414328544,0.14927064931391232,0.22497018967710963,1.0,-8.0,-1.0,2.0,5.0,-1.0,-6.0,8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CASINO PARQUE LOS TACOS,28,2,33,43,41,9,11,0,2,11,2,57,31,24,12,13,7,4,4,152,48,-1,-1,2,34,40,36,10,2,16,12,88,28,0.018173335832352738,0.2762312981061781,0.30853824503272465,0.20766096450961652,0.0481410491198266,0.01381299950716096,0.08447465593666267,0.04296745195547788,0.012823941337286768,0.21311818405771538,0.243394224242651,0.2768499576851477,0.09142696902681169,0.005416857182389722,0.10094387893033928,0.0560259875376586,0.014434195660787451,0.14867238708531078,0.21211253009791114,0.2604726476193202,0.11449197160309937,0.007289321749474014,0.1655702038377337,0.07695674234636343,0.0044701633081843445,0.08908659238373934,0.15709796559521136,0.27770136063052686,0.07865903765846169,0.0187440414328544,0.14927064931391232,0.22497018967710963,0.0,-1.0,3.0,5.0,-1.0,0.0,-5.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CASINO PARQUE LOS TACOS,29,3,33,56,49,12,26,1,0,13,1,50,33,48,35,11,8,7,1,193,48,-1,-1,3,41,49,47,14,2,22,15,83,27,0.018173335832352738,0.2762312981061781,0.30853824503272465,0.20766096450961652,0.0481410491198266,0.01381299950716096,0.08447465593666267,0.04296745195547788,0.012823941337286768,0.21311818405771538,0.243394224242651,0.2768499576851477,0.09142696902681169,0.005416857182389722,0.10094387893033928,0.0560259875376586,0.014434195660787451,0.14867238708531078,0.21211253009791114,0.2604726476193202,0.11449197160309937,0.007289321749474014,0.1655702038377337,0.07695674234636343,0.0044701633081843445,0.08908659238373934,0.15709796559521136,0.27770136063052686,0.07865903765846169,0.0187440414328544,0.14927064931391232,0.22497018967710963,0.0,-8.0,7.0,2.0,-2.0,-1.0,4.0,-2.0
