REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,1M,2,5,11,35,8,23,1,1,27,2,6,7,4,5,37,39,10,5,113,17,-1,-1,2,8,19,37,9,2,17,19,113,0.014146050829684237,0.0739683023213813,0.16525341958457448,0.32928812512126343,0.07941267853554568,0.01827006026105067,0.15114737554855742,0.1685139877979428,0.0,-3.0,-8.0,-2.0,-1.0,0.0,6.0,8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,1V,4,7,16,29,2,23,2,3,29,5,5,11,6,7,30,29,19,8,115,17,-1,-1,2,9,19,38,9,2,17,19,115,0.014146050829684237,0.0739683023213813,0.16525341958457448,0.32928812512126343,0.07941267853554568,0.01827006026105067,0.15114737554855742,0.1685139877979428,2.0,-2.0,-3.0,-9.0,-7.0,3.0,6.0,10.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,2M,1,5,19,50,9,28,0,1,26,1,0,13,7,5,39,49,17,9,139,17,-1,-1,2,10,23,46,11,3,21,23,139,0.014146050829684237,0.0739683023213813,0.16525341958457448,0.32928812512126343,0.07941267853554568,0.01827006026105067,0.15114737554855742,0.1685139877979428,-1.0,-5.0,-4.0,4.0,-2.0,-2.0,7.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,2V,3,5,12,46,8,7,2,0,23,2,5,5,6,7,28,34,17,4,106,17,-1,-1,1,8,18,35,8,2,16,18,106,0.014146050829684237,0.0739683023213813,0.16525341958457448,0.32928812512126343,0.07941267853554568,0.01827006026105067,0.15114737554855742,0.1685139877979428,2.0,-3.0,-6.0,11.0,0.0,0.0,-9.0,5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,3M,2,9,26,39,22,20,1,0,19,1,3,12,15,15,34,33,18,7,138,17,-1,-1,2,10,23,45,11,3,21,23,137,0.014146050829684237,0.0739683023213813,0.16525341958457448,0.32928812512126343,0.07941267853554568,0.01827006026105067,0.15114737554855742,0.1685139877979428,0.0,-1.0,3.0,-6.0,11.0,-2.0,-1.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,3V,0,10,21,35,9,19,7,2,18,9,4,9,9,4,32,36,21,6,121,17,-1,-1,2,9,20,40,10,2,18,20,121,0.014146050829684237,0.0739683023213813,0.16525341958457448,0.32928812512126343,0.07941267853554568,0.01827006026105067,0.15114737554855742,0.1685139877979428,-2.0,1.0,1.0,-5.0,-1.0,7.0,1.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,4M,0,9,24,38,13,18,0,0,22,0,5,3,5,5,53,32,17,4,124,17,-1,-1,2,9,20,41,10,2,19,21,124,0.014146050829684237,0.0739683023213813,0.16525341958457448,0.32928812512126343,0.07941267853554568,0.01827006026105067,0.15114737554855742,0.1685139877979428,-2.0,0.0,4.0,-3.0,3.0,-2.0,-1.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,4V,5,11,26,58,13,20,3,2,24,5,4,25,23,12,36,38,21,3,162,17,-1,-1,2,12,27,53,13,3,25,27,162,0.014146050829684237,0.0739683023213813,0.16525341958457448,0.32928812512126343,0.07941267853554568,0.01827006026105067,0.15114737554855742,0.1685139877979428,3.0,-1.0,-1.0,5.0,0.0,2.0,-5.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,5M,1,12,20,36,14,20,0,2,29,2,5,6,8,33,41,28,12,1,134,17,-1,-1,2,10,22,44,11,2,20,23,134,0.014146050829684237,0.0739683023213813,0.16525341958457448,0.32928812512126343,0.07941267853554568,0.01827006026105067,0.15114737554855742,0.1685139877979428,-1.0,2.0,-2.0,-8.0,3.0,0.0,0.0,6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,5V,3,6,16,33,8,13,2,1,14,3,2,5,5,6,38,24,12,4,96,17,-1,-1,1,7,16,32,8,2,14,16,96,0.014146050829684237,0.0739683023213813,0.16525341958457448,0.32928812512126343,0.07941267853554568,0.01827006026105067,0.15114737554855742,0.1685139877979428,2.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-2.0
