REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,10M,0,11,24,43,17,23,2,1,47,3,1,10,29,80,27,12,8,1,168,31,-1,-1,2,20,33,43,9,2,23,36,120,48,0.010008916165017648,0.15103527084513815,0.22317706905951706,0.27135937529960036,0.05125419417858705,0.00600392818737506,0.13349161010360128,0.1536696361611635,0.006536170320537805,0.04670839887055871,0.12367084186573805,0.20727817676150317,0.06595637915958821,0.024783473781715755,0.1523058693392416,0.3727606899011166,-2.0,-9.0,-9.0,0.0,8.0,1.0,0.0,11.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,11M,0,21,24,59,5,30,2,0,42,2,5,10,50,45,35,22,12,4,183,31,-1,-1,2,20,34,45,10,2,26,44,110,73,0.010008916165017648,0.15103527084513815,0.22317706905951706,0.27135937529960036,0.05125419417858705,0.00600392818737506,0.13349161010360128,0.1536696361611635,0.006536170320537805,0.04670839887055871,0.12367084186573805,0.20727817676150317,0.06595637915958821,0.024783473781715755,0.1523058693392416,0.3727606899011166,-2.0,1.0,-10.0,14.0,-5.0,0.0,4.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,12M,2,20,34,44,17,32,0,0,39,0,1,4,74,41,37,22,7,3,188,31,-1,-1,2,21,35,47,11,2,26,44,120,69,0.010008916165017648,0.15103527084513815,0.22317706905951706,0.27135937529960036,0.05125419417858705,0.00600392818737506,0.13349161010360128,0.1536696361611635,0.006536170320537805,0.04670839887055871,0.12367084186573805,0.20727817676150317,0.06595637915958821,0.024783473781715755,0.1523058693392416,0.3727606899011166,0.0,-1.0,-1.0,-3.0,6.0,-2.0,6.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,13M,0,17,34,51,6,32,0,1,30,1,2,13,81,32,22,15,4,1,171,31,-1,-1,2,21,34,44,9,2,24,35,128,42,0.010008916165017648,0.15103527084513815,0.22317706905951706,0.27135937529960036,0.05125419417858705,0.00600392818737506,0.13349161010360128,0.1536696361611635,0.006536170320537805,0.04670839887055871,0.12367084186573805,0.20727817676150317,0.06595637915958821,0.024783473781715755,0.1523058693392416,0.3727606899011166,-2.0,-4.0,0.0,7.0,-3.0,-1.0,8.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,16,1,34,26,26,6,11,0,2,12,2,1,82,28,5,0,1,1,0,118,31,-1,-1,1,18,26,32,6,1,16,18,116,2,0.010008916165017648,0.15103527084513815,0.22317706905951706,0.27135937529960036,0.05125419417858705,0.00600392818737506,0.13349161010360128,0.1536696361611635,0.006536170320537805,0.04670839887055871,0.12367084186573805,0.20727817676150317,0.06595637915958821,0.024783473781715755,0.1523058693392416,0.3727606899011166,0.0,16.0,0.0,-6.0,0.0,1.0,-5.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,17,1,25,42,35,5,10,0,0,29,0,5,85,17,18,5,14,2,1,147,31,-1,-1,1,20,31,39,8,1,20,27,125,22,0.010008916165017648,0.15103527084513815,0.22317706905951706,0.27135937529960036,0.05125419417858705,0.00600392818737506,0.13349161010360128,0.1536696361611635,0.006536170320537805,0.04670839887055871,0.12367084186573805,0.20727817676150317,0.06595637915958821,0.024783473781715755,0.1523058693392416,0.3727606899011166,0.0,5.0,11.0,-4.0,-3.0,-1.0,-10.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,18,2,16,37,36,8,23,1,0,23,1,10,28,26,35,24,15,8,0,146,31,-1,-1,1,17,28,37,8,2,20,33,99,47,0.010008916165017648,0.15103527084513815,0.22317706905951706,0.27135937529960036,0.05125419417858705,0.00600392818737506,0.13349161010360128,0.1536696361611635,0.006536170320537805,0.04670839887055871,0.12367084186573805,0.20727817676150317,0.06595637915958821,0.024783473781715755,0.1523058693392416,0.3727606899011166,1.0,-1.0,9.0,-1.0,0.0,-1.0,3.0,-10.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,1M,3,9,17,33,13,19,1,1,26,2,3,15,1,5,20,42,27,9,122,31,-1,-1,1,8,17,27,8,3,18,40,24,98,0.010008916165017648,0.15103527084513815,0.22317706905951706,0.27135937529960036,0.05125419417858705,0.00600392818737506,0.13349161010360128,0.1536696361611635,0.006536170320537805,0.04670839887055871,0.12367084186573805,0.20727817676150317,0.06595637915958821,0.024783473781715755,0.1523058693392416,0.3727606899011166,2.0,1.0,0.0,6.0,5.0,-1.0,1.0,-14.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,2M,0,9,18,32,9,28,0,0,34,0,1,11,2,2,36,42,28,8,130,31,-1,-1,1,8,18,28,8,3,19,45,16,114,0.010008916165017648,0.15103527084513815,0.22317706905951706,0.27135937529960036,0.05125419417858705,0.00600392818737506,0.13349161010360128,0.1536696361611635,0.006536170320537805,0.04670839887055871,0.12367084186573805,0.20727817676150317,0.06595637915958821,0.024783473781715755,0.1523058693392416,0.3727606899011166,-1.0,1.0,0.0,4.0,1.0,-3.0,9.0,-11.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,3M,0,7,25,22,13,11,1,0,50,1,4,15,1,10,38,41,17,3,129,31,-1,-1,1,9,19,29,8,3,19,41,30,99,0.010008916165017648,0.15103527084513815,0.22317706905951706,0.27135937529960036,0.05125419417858705,0.00600392818737506,0.13349161010360128,0.1536696361611635,0.006536170320537805,0.04670839887055871,0.12367084186573805,0.20727817676150317,0.06595637915958821,0.024783473781715755,0.1523058693392416,0.3727606899011166,-1.0,-2.0,6.0,-7.0,5.0,-2.0,-8.0,9.0
