REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,CENTRO EDUCATIVO SIGLO XXI,23,1,23,31,26,4,12,0,0,9,0,0,7,99,0,0,0,0,0,106,50,-1,-1,1,17,31,26,6,1,12,12,7,0,0.019913453359905124,0.2002275560598676,0.36975990237041784,0.2254757039362885,0.03720501624507664,0.006957736381205426,0.08921308635426951,0.051247545292969585,0.012421812244102222,0.1618620685923633,0.2826269953800912,0.246269311303621,0.05335077955599572,0.004469009373282614,0.11977931505207036,0.1192207084984734,0.0005166469610393382,0.06774613768826789,0.16812000008552952,0.2771208954466861,0.12327446167915787,0.01379841637515863,0.21801854642290433,0.13140489534125638,0.012783047127087294,0.07156977056739272,0.17058951910560335,0.2156655412158226,0.06294208830625865,0.030852909090947133,0.18492003351192887,0.2506770910749593,0.0,6.0,0.0,0.0,-2.0,-1.0,0.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,CENTRO EDUCATIVO SIGLO XXI,24,2,24,35,29,8,12,0,1,8,1,2,51,57,5,0,2,2,0,119,50,-1,-1,2,21,37,28,6,1,13,11,53,4,0.019913453359905124,0.2002275560598676,0.36975990237041784,0.2254757039362885,0.03720501624507664,0.006957736381205426,0.08921308635426951,0.051247545292969585,0.012421812244102222,0.1618620685923633,0.2826269953800912,0.246269311303621,0.05335077955599572,0.004469009373282614,0.11977931505207036,0.1192207084984734,0.0005166469610393382,0.06774613768826789,0.16812000008552952,0.2771208954466861,0.12327446167915787,0.01379841637515863,0.21801854642290433,0.13140489534125638,0.012783047127087294,0.07156977056739272,0.17058951910560335,0.2156655412158226,0.06294208830625865,0.030852909090947133,0.18492003351192887,0.2506770910749593,0.0,3.0,-2.0,1.0,2.0,0.0,-1.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,CENTRO EDUCATIVO SIGLO XXI,25,2,24,29,24,4,7,1,0,9,1,3,89,3,1,1,2,1,0,100,50,-1,-1,2,19,36,23,4,1,9,6,92,4,0.019913453359905124,0.2002275560598676,0.36975990237041784,0.2254757039362885,0.03720501624507664,0.006957736381205426,0.08921308635426951,0.051247545292969585,0.012421812244102222,0.1618620685923633,0.2826269953800912,0.246269311303621,0.05335077955599572,0.004469009373282614,0.11977931505207036,0.1192207084984734,0.0005166469610393382,0.06774613768826789,0.16812000008552952,0.2771208954466861,0.12327446167915787,0.01379841637515863,0.21801854642290433,0.13140489534125638,0.012783047127087294,0.07156977056739272,0.17058951910560335,0.2156655412158226,0.06294208830625865,0.030852909090947133,0.18492003351192887,0.2506770910749593,0.0,5.0,-7.0,1.0,0.0,0.0,-2.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,CENTRO EDUCATIVO SIGLO XXI,26,3,24,36,34,5,14,1,0,9,1,7,73,12,10,10,5,7,2,126,50,-1,-1,2,20,39,29,6,2,15,13,80,24,0.019913453359905124,0.2002275560598676,0.36975990237041784,0.2254757039362885,0.03720501624507664,0.006957736381205426,0.08921308635426951,0.051247545292969585,0.012421812244102222,0.1618620685923633,0.2826269953800912,0.246269311303621,0.05335077955599572,0.004469009373282614,0.11977931505207036,0.1192207084984734,0.0005166469610393382,0.06774613768826789,0.16812000008552952,0.2771208954466861,0.12327446167915787,0.01379841637515863,0.21801854642290433,0.13140489534125638,0.012783047127087294,0.07156977056739272,0.17058951910560335,0.2156655412158226,0.06294208830625865,0.030852909090947133,0.18492003351192887,0.2506770910749593,1.0,4.0,-3.0,5.0,-1.0,-1.0,-1.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,CENTRO EDUCATIVO SIGLO XXI,27,0,15,42,22,5,17,0,1,8,1,6,84,10,4,2,3,0,0,110,50,-1,-1,2,20,38,25,5,1,11,8,90,5,0.019913453359905124,0.2002275560598676,0.36975990237041784,0.2254757039362885,0.03720501624507664,0.006957736381205426,0.08921308635426951,0.051247545292969585,0.012421812244102222,0.1618620685923633,0.2826269953800912,0.246269311303621,0.05335077955599572,0.004469009373282614,0.11977931505207036,0.1192207084984734,0.0005166469610393382,0.06774613768826789,0.16812000008552952,0.2771208954466861,0.12327446167915787,0.01379841637515863,0.21801854642290433,0.13140489534125638,0.012783047127087294,0.07156977056739272,0.17058951910560335,0.2156655412158226,0.06294208830625865,0.030852909090947133,0.18492003351192887,0.2506770910749593,-2.0,-5.0,4.0,-3.0,0.0,0.0,6.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,CENTRO EDUCATIVO SIGLO XXI,28,4,17,33,33,9,18,2,0,18,2,9,59,21,11,11,9,13,1,134,50,-1,-1,2,20,39,31,7,2,17,16,68,34,0.019913453359905124,0.2002275560598676,0.36975990237041784,0.2254757039362885,0.03720501624507664,0.006957736381205426,0.08921308635426951,0.051247545292969585,0.012421812244102222,0.1618620685923633,0.2826269953800912,0.246269311303621,0.05335077955599572,0.004469009373282614,0.11977931505207036,0.1192207084984734,0.0005166469610393382,0.06774613768826789,0.16812000008552952,0.2771208954466861,0.12327446167915787,0.01379841637515863,0.21801854642290433,0.13140489534125638,0.012783047127087294,0.07156977056739272,0.17058951910560335,0.2156655412158226,0.06294208830625865,0.030852909090947133,0.18492003351192887,0.2506770910749593,2.0,-3.0,-6.0,2.0,2.0,0.0,1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,CENTRO EDUCATIVO SIGLO XXI,29,3,28,52,28,12,25,1,0,16,1,23,32,49,24,16,16,3,2,165,50,-1,-1,2,23,45,39,10,2,23,21,55,37,0.019913453359905124,0.2002275560598676,0.36975990237041784,0.2254757039362885,0.03720501624507664,0.006957736381205426,0.08921308635426951,0.051247545292969585,0.012421812244102222,0.1618620685923633,0.2826269953800912,0.246269311303621,0.05335077955599572,0.004469009373282614,0.11977931505207036,0.1192207084984734,0.0005166469610393382,0.06774613768826789,0.16812000008552952,0.2771208954466861,0.12327446167915787,0.01379841637515863,0.21801854642290433,0.13140489534125638,0.012783047127087294,0.07156977056739272,0.17058951910560335,0.2156655412158226,0.06294208830625865,0.030852909090947133,0.18492003351192887,0.2506770910749593,1.0,5.0,7.0,-11.0,2.0,-1.0,2.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,CENTRO EDUCATIVO SIGLO XXI,30,3,22,27,32,7,29,0,0,11,0,3,19,34,26,30,14,4,1,131,50,-1,-1,2,15,30,31,9,2,21,21,22,49,0.019913453359905124,0.2002275560598676,0.36975990237041784,0.2254757039362885,0.03720501624507664,0.006957736381205426,0.08921308635426951,0.051247545292969585,0.012421812244102222,0.1618620685923633,0.2826269953800912,0.246269311303621,0.05335077955599572,0.004469009373282614,0.11977931505207036,0.1192207084984734,0.0005166469610393382,0.06774613768826789,0.16812000008552952,0.2771208954466861,0.12327446167915787,0.01379841637515863,0.21801854642290433,0.13140489534125638,0.012783047127087294,0.07156977056739272,0.17058951910560335,0.2156655412158226,0.06294208830625865,0.030852909090947133,0.18492003351192887,0.2506770910749593,1.0,7.0,-3.0,1.0,-2.0,-2.0,8.0,-10.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,ESCUELA ENRIQUE SERRANO,10V,2,12,31,31,8,23,4,2,25,6,0,10,31,6,40,35,12,4,138,50,-1,-1,2,14,29,31,8,3,23,28,10,91,0.019913453359905124,0.2002275560598676,0.36975990237041784,0.2254757039362885,0.03720501624507664,0.006957736381205426,0.08921308635426951,0.051247545292969585,0.012421812244102222,0.1618620685923633,0.2826269953800912,0.246269311303621,0.05335077955599572,0.004469009373282614,0.11977931505207036,0.1192207084984734,0.0005166469610393382,0.06774613768826789,0.16812000008552952,0.2771208954466861,0.12327446167915787,0.01379841637515863,0.21801854642290433,0.13140489534125638,0.012783047127087294,0.07156977056739272,0.17058951910560335,0.2156655412158226,0.06294208830625865,0.030852909090947133,0.18492003351192887,0.2506770910749593,0.0,-2.0,2.0,0.0,0.0,3.0,0.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,ESCUELA ENRIQUE SERRANO,11V,2,19,34,32,9,19,1,1,18,2,5,11,40,0,35,28,12,4,135,50,-1,-1,2,15,31,30,8,3,21,25,16,79,0.019913453359905124,0.2002275560598676,0.36975990237041784,0.2254757039362885,0.03720501624507664,0.006957736381205426,0.08921308635426951,0.051247545292969585,0.012421812244102222,0.1618620685923633,0.2826269953800912,0.246269311303621,0.05335077955599572,0.004469009373282614,0.11977931505207036,0.1192207084984734,0.0005166469610393382,0.06774613768826789,0.16812000008552952,0.2771208954466861,0.12327446167915787,0.01379841637515863,0.21801854642290433,0.13140489534125638,0.012783047127087294,0.07156977056739272,0.17058951910560335,0.2156655412158226,0.06294208830625865,0.030852909090947133,0.18492003351192887,0.2506770910749593,0.0,4.0,3.0,2.0,1.0,-1.0,-2.0,-7.0
