REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,10V,4,7,48,61,13,33,4,2,31,6,5,18,24,38,52,46,14,6,203,48,-1,-1,2,17,46,49,13,4,39,33,85,118,0.02034381251754636,0.10365113939805444,0.3636081791329699,0.2039630986869575,0.06955093683088151,0.008303717480311505,0.17633117608779225,0.05424793986548663,0.004435706050245145,0.066838581084638,0.12562863893716808,0.27335120119006456,0.059309722925709,0.024814953304151684,0.20525641262040684,0.24036478388761667,2.0,-10.0,2.0,12.0,0.0,2.0,-6.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,11V,5,22,35,30,14,25,0,4,21,4,2,67,6,12,40,22,4,3,156,48,-1,-1,2,14,40,37,10,2,30,21,87,69,0.02034381251754636,0.10365113939805444,0.3636081791329699,0.2039630986869575,0.06955093683088151,0.008303717480311505,0.17633117608779225,0.05424793986548663,0.004435706050245145,0.066838581084638,0.12562863893716808,0.27335120119006456,0.059309722925709,0.024814953304151684,0.20525641262040684,0.24036478388761667,3.0,8.0,-5.0,-7.0,4.0,2.0,-5.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,12V,6,13,50,36,10,28,0,4,23,4,0,42,18,58,27,13,10,2,170,48,-1,-1,3,16,49,38,11,2,32,19,118,52,0.02034381251754636,0.10365113939805444,0.3636081791329699,0.2039630986869575,0.06955093683088151,0.008303717480311505,0.17633117608779225,0.05424793986548663,0.004435706050245145,0.066838581084638,0.12562863893716808,0.27335120119006456,0.059309722925709,0.024814953304151684,0.20525641262040684,0.24036478388761667,3.0,-3.0,1.0,-2.0,-1.0,2.0,-4.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,13V,7,22,44,43,7,26,2,1,20,3,3,31,20,58,27,22,8,3,172,48,-1,-1,3,16,48,39,11,2,32,21,112,60,0.02034381251754636,0.10365113939805444,0.3636081791329699,0.2039630986869575,0.06955093683088151,0.008303717480311505,0.17633117608779225,0.05424793986548663,0.004435706050245145,0.066838581084638,0.12562863893716808,0.27335120119006456,0.059309722925709,0.024814953304151684,0.20525641262040684,0.24036478388761667,4.0,6.0,-4.0,4.0,-4.0,1.0,-6.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,14V,1,12,51,42,12,25,2,1,18,3,2,26,15,57,24,22,13,5,164,48,-1,-1,2,15,44,38,11,2,31,21,100,64,0.02034381251754636,0.10365113939805444,0.3636081791329699,0.2039630986869575,0.06955093683088151,0.008303717480311505,0.17633117608779225,0.05424793986548663,0.004435706050245145,0.066838581084638,0.12562863893716808,0.27335120119006456,0.059309722925709,0.024814953304151684,0.20525641262040684,0.24036478388761667,-1.0,-3.0,7.0,4.0,1.0,1.0,-6.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,15V,1,14,53,47,12,33,0,3,37,3,1,35,24,64,34,25,13,4,200,48,-1,-1,3,18,55,46,13,3,37,25,124,76,0.02034381251754636,0.10365113939805444,0.3636081791329699,0.2039630986869575,0.06955093683088151,0.008303717480311505,0.17633117608779225,0.05424793986548663,0.004435706050245145,0.066838581084638,0.12562863893716808,0.27335120119006456,0.059309722925709,0.024814953304151684,0.20525641262040684,0.24036478388761667,-2.0,-4.0,-2.0,1.0,-1.0,0.0,-4.0,12.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,16V,2,11,61,40,8,31,1,0,24,1,1,27,29,41,40,19,17,4,178,48,-1,-1,2,15,46,42,12,3,34,24,98,80,0.02034381251754636,0.10365113939805444,0.3636081791329699,0.2039630986869575,0.06955093683088151,0.008303717480311505,0.17633117608779225,0.05424793986548663,0.004435706050245145,0.066838581084638,0.12562863893716808,0.27335120119006456,0.059309722925709,0.024814953304151684,0.20525641262040684,0.24036478388761667,0.0,-4.0,15.0,-2.0,-4.0,-2.0,-3.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,1V,3,5,38,44,2,22,4,2,33,6,4,23,9,13,40,36,17,11,153,48,-1,-1,1,12,31,38,10,3,30,28,49,104,0.02034381251754636,0.10365113939805444,0.3636081791329699,0.2039630986869575,0.06955093683088151,0.008303717480311505,0.17633117608779225,0.05424793986548663,0.004435706050245145,0.066838581084638,0.12562863893716808,0.27335120119006456,0.059309722925709,0.024814953304151684,0.20525641262040684,0.24036478388761667,2.0,-7.0,7.0,6.0,-8.0,3.0,-8.0,5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,2V,1,11,25,34,6,31,5,0,30,5,1,8,2,55,33,21,15,8,143,48,-1,-1,2,12,34,35,9,2,27,22,66,77,0.02034381251754636,0.10365113939805444,0.3636081791329699,0.2039630986869575,0.06955093683088151,0.008303717480311505,0.17633117608779225,0.05424793986548663,0.004435706050245145,0.066838581084638,0.12562863893716808,0.27335120119006456,0.059309722925709,0.024814953304151684,0.20525641262040684,0.24036478388761667,-1.0,-1.0,-9.0,-1.0,-3.0,3.0,4.0,8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,3V,0,4,26,36,11,40,2,2,38,4,0,12,23,27,31,32,30,4,159,48,-1,-1,2,13,35,39,10,3,31,26,62,97,0.02034381251754636,0.10365113939805444,0.3636081791329699,0.2039630986869575,0.06955093683088151,0.008303717480311505,0.17633117608779225,0.05424793986548663,0.004435706050245145,0.066838581084638,0.12562863893716808,0.27335120119006456,0.059309722925709,0.024814953304151684,0.20525641262040684,0.24036478388761667,-2.0,-9.0,-9.0,-3.0,1.0,1.0,9.0,12.0
