REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,1M,4,8,26,29,7,26,1,0,22,1,1,15,1,10,24,46,19,7,123,13,-1,-1,2,8,23,34,8,2,22,24,123,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,2.0,0.0,3.0,-5.0,-1.0,-1.0,4.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,1V,1,4,29,32,7,27,1,1,30,2,0,13,35,11,17,30,20,5,132,13,-1,-1,2,9,24,36,9,2,24,26,131,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,-1.0,-5.0,5.0,-4.0,-2.0,0.0,3.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,2M,3,1,31,28,13,24,2,0,30,2,3,16,19,5,24,27,29,9,132,13,-1,-1,2,9,24,36,9,2,24,26,132,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,1.0,-8.0,7.0,-8.0,4.0,0.0,0.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,2V,1,8,25,36,10,27,0,0,36,0,3,54,20,3,25,18,16,5,143,13,-1,-1,2,9,26,40,10,2,26,28,144,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,-1.0,-1.0,-1.0,-4.0,0.0,-2.0,1.0,8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,3M,2,9,19,45,10,37,2,0,31,2,2,32,29,4,31,34,18,5,155,13,-1,-1,2,10,28,43,11,2,28,31,155,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,0.0,-1.0,-9.0,2.0,-1.0,0.0,9.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,3V,4,6,31,36,12,23,4,2,28,6,3,23,19,12,33,35,20,2,146,13,-1,-1,2,10,27,40,10,2,26,29,147,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,2.0,-4.0,4.0,-4.0,2.0,4.0,-3.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,4M,3,11,20,52,13,33,1,0,45,1,1,14,15,58,41,30,12,7,178,13,-1,-1,3,12,33,49,12,2,32,35,178,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,0.0,-1.0,-13.0,3.0,1.0,-1.0,1.0,10.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,4V,1,9,16,50,9,22,3,1,33,4,0,20,15,27,38,25,14,4,144,13,-1,-1,2,9,26,40,10,2,26,29,143,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,-1.0,0.0,-10.0,10.0,-1.0,2.0,-4.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,5M,2,13,46,45,9,33,1,0,29,1,1,4,49,53,29,19,16,7,178,13,-1,-1,3,12,33,49,12,2,32,35,178,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,-1.0,1.0,13.0,-4.0,-3.0,-1.0,1.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,5V,3,11,20,39,11,18,1,2,31,3,6,15,16,47,14,21,15,2,136,13,-1,-1,2,9,25,38,9,2,24,27,136,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,1.0,2.0,-5.0,1.0,2.0,1.0,-6.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,6M,0,13,27,45,16,35,0,1,21,1,5,14,55,36,20,15,11,2,158,13,-1,-1,2,10,29,44,11,2,28,32,158,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,-2.0,3.0,-2.0,1.0,5.0,-1.0,7.0,-11.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,6V,2,15,27,45,9,26,0,1,26,1,1,10,35,42,27,21,13,2,151,13,-1,-1,2,10,28,42,10,2,27,30,151,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,0.0,5.0,-1.0,3.0,-1.0,-1.0,-1.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,ESCUELA MUNICIPAL DE PUMANQUE,7V,1,17,39,52,7,15,1,0,21,1,5,22,41,28,17,26,11,4,153,13,-1,-1,2,10,28,42,11,2,28,30,154,0.014003319177699067,0.06482660519542129,0.18461722685073817,0.276812718347468,0.06895458195943452,0.012955804427561703,0.17931972094235732,0.19851002309931992,-1.0,7.0,11.0,10.0,-4.0,-1.0,-13.0,-9.0
