REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,10V,2,23,43,39,13,17,3,4,17,7,1,67,7,2,60,13,10,1,161,37,-1,-1,2,22,48,38,10,4,19,18,68,84,0.006741179589307181,0.21535963005266187,0.4225922787049015,0.2329429123517398,0.032400178739715284,0.01007070629942368,0.06272826203794593,0.017164852224304798,0.0065372925518205095,0.2655163322771087,0.23237697876300928,0.2329527071636066,0.0572613510706917,0.00014746320464132157,0.12376562938915125,0.08144224557997083,0.020156645083989358,0.10064887351452104,0.20536914462165953,0.27412475103970335,0.07265113062328962,0.00317674328747295,0.15249491111022068,0.1713778007191434,0.013813445483423725,0.06761577790366151,0.2040718121636448,0.24322648144479078,0.09146601134089923,0.038406723968634655,0.15692990109765814,0.1844698465972872,0.0,1.0,-5.0,1.0,3.0,3.0,-2.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,11V,3,15,47,51,18,19,0,0,15,0,1,54,3,45,33,19,12,1,168,37,-1,-1,2,22,46,42,11,3,21,21,55,65,0.006741179589307181,0.21535963005266187,0.4225922787049015,0.2329429123517398,0.032400178739715284,0.01007070629942368,0.06272826203794593,0.017164852224304798,0.0065372925518205095,0.2655163322771087,0.23237697876300928,0.2329527071636066,0.0572613510706917,0.00014746320464132157,0.12376562938915125,0.08144224557997083,0.020156645083989358,0.10064887351452104,0.20536914462165953,0.27412475103970335,0.07265113062328962,0.00317674328747295,0.15249491111022068,0.1713778007191434,0.013813445483423725,0.06761577790366151,0.2040718121636448,0.24322648144479078,0.09146601134089923,0.038406723968634655,0.15692990109765814,0.1844698465972872,1.0,-7.0,1.0,9.0,7.0,-3.0,-2.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,12V,2,19,41,43,14,22,3,1,29,4,2,14,18,79,24,22,14,1,174,37,-1,-1,3,20,40,44,13,3,25,26,16,61,0.006741179589307181,0.21535963005266187,0.4225922787049015,0.2329429123517398,0.032400178739715284,0.01007070629942368,0.06272826203794593,0.017164852224304798,0.0065372925518205095,0.2655163322771087,0.23237697876300928,0.2329527071636066,0.0572613510706917,0.00014746320464132157,0.12376562938915125,0.08144224557997083,0.020156645083989358,0.10064887351452104,0.20536914462165953,0.27412475103970335,0.07265113062328962,0.00317674328747295,0.15249491111022068,0.1713778007191434,0.013813445483423725,0.06761577790366151,0.2040718121636448,0.24322648144479078,0.09146601134089923,0.038406723968634655,0.15692990109765814,0.1844698465972872,-1.0,-1.0,1.0,-1.0,1.0,1.0,-3.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,13V,4,19,54,40,7,19,1,0,22,1,2,57,4,63,19,14,6,1,166,37,-1,-1,2,23,47,42,10,2,20,20,59,40,0.006741179589307181,0.21535963005266187,0.4225922787049015,0.2329429123517398,0.032400178739715284,0.01007070629942368,0.06272826203794593,0.017164852224304798,0.0065372925518205095,0.2655163322771087,0.23237697876300928,0.2329527071636066,0.0572613510706917,0.00014746320464132157,0.12376562938915125,0.08144224557997083,0.020156645083989358,0.10064887351452104,0.20536914462165953,0.27412475103970335,0.07265113062328962,0.00317674328747295,0.15249491111022068,0.1713778007191434,0.013813445483423725,0.06761577790366151,0.2040718121636448,0.24322648144479078,0.09146601134089923,0.038406723968634655,0.15692990109765814,0.1844698465972872,2.0,-4.0,7.0,-2.0,-3.0,-1.0,-1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,14V,1,23,40,52,10,21,1,2,15,3,2,38,16,58,26,14,7,4,165,37,-1,-1,2,22,43,42,11,3,21,21,40,51,0.006741179589307181,0.21535963005266187,0.4225922787049015,0.2329429123517398,0.032400178739715284,0.01007070629942368,0.06272826203794593,0.017164852224304798,0.0065372925518205095,0.2655163322771087,0.23237697876300928,0.2329527071636066,0.0572613510706917,0.00014746320464132157,0.12376562938915125,0.08144224557997083,0.020156645083989358,0.10064887351452104,0.20536914462165953,0.27412475103970335,0.07265113062328962,0.00317674328747295,0.15249491111022068,0.1713778007191434,0.013813445483423725,0.06761577790366151,0.2040718121636448,0.24322648144479078,0.09146601134089923,0.038406723968634655,0.15692990109765814,0.1844698465972872,-1.0,1.0,-3.0,10.0,-1.0,0.0,0.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,15V,4,21,42,56,16,15,0,3,15,3,3,36,45,33,24,22,6,3,172,37,-1,-1,2,27,45,42,11,3,22,20,39,55,0.006741179589307181,0.21535963005266187,0.4225922787049015,0.2329429123517398,0.032400178739715284,0.01007070629942368,0.06272826203794593,0.017164852224304798,0.0065372925518205095,0.2655163322771087,0.23237697876300928,0.2329527071636066,0.0572613510706917,0.00014746320464132157,0.12376562938915125,0.08144224557997083,0.020156645083989358,0.10064887351452104,0.20536914462165953,0.27412475103970335,0.07265113062328962,0.00317674328747295,0.15249491111022068,0.1713778007191434,0.013813445483423725,0.06761577790366151,0.2040718121636448,0.24322648144479078,0.09146601134089923,0.038406723968634655,0.15692990109765814,0.1844698465972872,2.0,-6.0,-3.0,14.0,5.0,0.0,-7.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,16V,0,38,44,39,8,20,1,2,21,3,3,33,61,28,19,18,8,3,173,37,-1,-1,2,30,45,42,11,2,22,19,36,48,0.006741179589307181,0.21535963005266187,0.4225922787049015,0.2329429123517398,0.032400178739715284,0.01007070629942368,0.06272826203794593,0.017164852224304798,0.0065372925518205095,0.2655163322771087,0.23237697876300928,0.2329527071636066,0.0572613510706917,0.00014746320464132157,0.12376562938915125,0.08144224557997083,0.020156645083989358,0.10064887351452104,0.20536914462165953,0.27412475103970335,0.07265113062328962,0.00317674328747295,0.15249491111022068,0.1713778007191434,0.013813445483423725,0.06761577790366151,0.2040718121636448,0.24322648144479078,0.09146601134089923,0.038406723968634655,0.15692990109765814,0.1844698465972872,-2.0,8.0,-1.0,-3.0,-3.0,1.0,-2.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,17V,3,33,40,43,8,24,2,0,16,2,1,42,68,20,16,12,9,1,169,37,-1,-1,2,32,46,40,10,2,20,17,43,38,0.006741179589307181,0.21535963005266187,0.4225922787049015,0.2329429123517398,0.032400178739715284,0.01007070629942368,0.06272826203794593,0.017164852224304798,0.0065372925518205095,0.2655163322771087,0.23237697876300928,0.2329527071636066,0.0572613510706917,0.00014746320464132157,0.12376562938915125,0.08144224557997083,0.020156645083989358,0.10064887351452104,0.20536914462165953,0.27412475103970335,0.07265113062328962,0.00317674328747295,0.15249491111022068,0.1713778007191434,0.013813445483423725,0.06761577790366151,0.2040718121636448,0.24322648144479078,0.09146601134089923,0.038406723968634655,0.15692990109765814,0.1844698465972872,1.0,1.0,-6.0,3.0,-2.0,0.0,4.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,18,1,35,47,23,5,10,1,2,4,3,3,112,5,2,2,1,3,0,128,37,-1,-1,1,27,51,30,5,1,9,4,115,6,0.006741179589307181,0.21535963005266187,0.4225922787049015,0.2329429123517398,0.032400178739715284,0.01007070629942368,0.06272826203794593,0.017164852224304798,0.0065372925518205095,0.2655163322771087,0.23237697876300928,0.2329527071636066,0.0572613510706917,0.00014746320464132157,0.12376562938915125,0.08144224557997083,0.020156645083989358,0.10064887351452104,0.20536914462165953,0.27412475103970335,0.07265113062328962,0.00317674328747295,0.15249491111022068,0.1713778007191434,0.013813445483423725,0.06761577790366151,0.2040718121636448,0.24322648144479078,0.09146601134089923,0.038406723968634655,0.15692990109765814,0.1844698465972872,0.0,8.0,-4.0,-7.0,0.0,2.0,1.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,19,0,30,56,35,6,17,0,0,7,0,63,22,31,13,12,5,4,1,151,37,-1,-1,1,29,50,36,8,2,15,10,85,22,0.006741179589307181,0.21535963005266187,0.4225922787049015,0.2329429123517398,0.032400178739715284,0.01007070629942368,0.06272826203794593,0.017164852224304798,0.0065372925518205095,0.2655163322771087,0.23237697876300928,0.2329527071636066,0.0572613510706917,0.00014746320464132157,0.12376562938915125,0.08144224557997083,0.020156645083989358,0.10064887351452104,0.20536914462165953,0.27412475103970335,0.07265113062328962,0.00317674328747295,0.15249491111022068,0.1713778007191434,0.013813445483423725,0.06761577790366151,0.2040718121636448,0.24322648144479078,0.09146601134089923,0.038406723968634655,0.15692990109765814,0.1844698465972872,-1.0,1.0,6.0,-1.0,-2.0,-2.0,2.0,-3.0
