REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,30-49,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-49,P_FRANCO ALDO PARISI_30-49,P_GABRIEL BORIC_30-49,P_JOSE ANTONIO KAST_30-49,P_MARCO ENRIQUEZ-OMINAMI_30-49,P_NULO BLANCO_30-49,P_SEBASTIAN SICHEL_30-49,P_YASNA PROVOSTE_30-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,ESCUELA BERTA SAAVEDRA SEGURA,10M,0,34,23,39,18,21,0,4,24,4,1,13,4,33,44,36,26,6,163,60,-1,-1,2,26,27,46,15,3,19,25,14,37,112,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,-2.0,8.0,-4.0,-7.0,3.0,1.0,2.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,ESCUELA BERTA SAAVEDRA SEGURA,11M,4,36,25,38,14,18,0,0,18,0,3,16,18,6,58,37,13,2,153,60,-1,-1,2,24,26,42,14,3,18,24,19,24,110,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,2.0,12.0,-1.0,-4.0,0.0,-3.0,0.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,ESCUELA BERTA SAAVEDRA SEGURA,12M,0,25,31,51,11,20,0,0,17,0,5,23,26,5,31,40,22,3,155,60,-1,-1,1,26,27,44,14,2,19,22,28,31,96,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,-1.0,-1.0,4.0,7.0,-3.0,-2.0,1.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,ESCUELA BERTA SAAVEDRA SEGURA,1M,1,13,17,47,20,10,1,1,20,2,2,21,1,4,27,36,32,7,130,60,-1,-1,1,20,22,35,13,2,16,21,23,5,102,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,0.0,-7.0,-5.0,12.0,7.0,0.0,-6.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,ESCUELA BERTA SAAVEDRA SEGURA,2M,2,24,28,53,12,15,1,0,20,1,2,13,3,0,46,59,26,6,155,60,-1,-1,2,23,25,41,15,3,19,27,15,3,137,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,0.0,1.0,3.0,12.0,-3.0,-2.0,-4.0,-7.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,ESCUELA BERTA SAAVEDRA SEGURA,3M,0,33,25,44,16,14,1,2,27,3,5,13,4,4,51,54,26,5,162,60,-1,-1,2,24,26,44,16,3,20,27,18,8,136,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,-2.0,9.0,-1.0,0.0,0.0,0.0,-6.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,ESCUELA BERTA SAAVEDRA SEGURA,4M,2,25,25,42,10,13,0,1,38,1,0,10,3,11,70,42,13,7,156,60,-1,-1,2,23,25,42,15,3,19,27,10,14,132,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,0.0,2.0,0.0,0.0,-5.0,-2.0,-6.0,11.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,ESCUELA BERTA SAAVEDRA SEGURA,5M,1,16,23,54,17,19,0,2,17,2,2,12,5,20,51,41,13,6,149,60,-1,-1,2,23,24,41,14,3,18,24,14,25,111,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,-1.0,-7.0,-1.0,13.0,3.0,-1.0,1.0,-7.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,ESCUELA BERTA SAAVEDRA SEGURA,6M,3,35,24,41,14,30,0,2,19,2,3,11,5,44,46,40,12,8,168,60,-1,-1,2,28,28,48,15,2,20,25,14,49,106,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,1.0,7.0,-4.0,-7.0,-1.0,0.0,10.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,ESCUELA BERTA SAAVEDRA SEGURA,7M,3,26,21,49,18,27,1,1,18,2,1,11,4,41,34,37,26,10,164,60,-1,-1,2,27,27,47,15,2,19,25,12,45,107,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,1.0,-1.0,-6.0,2.0,3.0,0.0,8.0,-7.0
